Gd-158(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
277.350 110.286
277.383 76.8699
277.416 56.3592
277.449 43.0269
277.515 27.3484
277.581 18.8623
277.647 13.7862
277.778 8.27398
277.910 5.51101
278.042 3.93374
278.173 2.94985
278.305 2.29570
278.568 1.50631
278.832 1.06678
279.095 0.797247
279.359 0.620205
279.885 0.409300
280.412 0.293312
280.939 0.222747
281.466 0.176654
282.519 0.122067
283.573 0.0922039
285.680 0.0623557
287.787 0.0485736
289.894 0.0412481
294.107 0.0346522
302.535 0.0333997
310.963 0.0403868
319.391 0.0591790
323.605 0.0785239
327.819 0.113988
329.926 0.143927
332.033 0.189736
334.140 0.265071
336.247 0.402272
337.301 0.517825
338.354 0.694294
339.408 0.983602
340.461 1.50761
340.988 1.94619
341.120 2.08618
341.251 2.24199
341.383 2.41611
341.515 2.61136
341.646 2.83166
341.778 3.08129
341.910 3.36568
342.041 3.69162
342.173 4.06760
342.305 4.50440
342.437 5.01591
342.568 5.61964
342.700 6.34033
342.832 7.20956
342.963 8.27106
343.095 9.58594
343.227 11.2416
343.358 13.3665
343.490 16.1556
343.622 19.9133
343.753 25.1523
343.885 32.7551
344.017 44.3754
344.148 63.3693
344.280 97.4908
344.346 125.652
344.412 167.429
344.478 232.885
344.543 341.571
344.609 534.453
344.675 889.401
344.738 1424.25
344.800 1786.85
344.863 1434.73
344.925 897.464
344.988 552.038
345.050 358.589
345.113 247.157
345.175 179.102
345.238 135.117
345.300 105.278
345.425 68.8016
345.550 48.3301
345.675 35.7552
345.925 21.7990
346.175 14.6495
346.425 10.5144
346.675 7.90993
346.925 6.16628
347.425 4.04888
347.925 2.86241
348.425 2.13165
348.924 1.65006
349.924 1.07504
350.924 0.758178
351.924 0.565380
352.924 0.439538
354.923 0.291004
356.923 0.210422
358.923 0.162266
360.922 0.131585
364.922 0.0973473
368.921 0.0815880
376.920 0.0767817
380.919 0.0844927
384.918 0.100784
388.918 0.131137
392.917 0.189534
394.917 0.239707
396.916 0.316991
398.916 0.444516
400.915 0.676778
401.915 0.871987
402.915 1.16915
403.415 1.37970
403.665 1.50739
403.915 1.65388
404.165 1.82319
404.415 2.02015
404.665 2.25132
404.915 2.52488
405.040 2.68097
405.165 2.85212
405.415 3.24790
405.665 3.73278
405.915 4.33536
406.165 5.09766
