30-Zn_n-g
>  30-Zn-64:0.491700
>  30-Zn-66:0.277300
>  30-Zn-67:0.040400
>  30-Zn-68:0.184500
>  30-Zn-70:0.006100
5.511400e+00 7.21156272e-02
6.116150e+00 6.86352551e-02
6.608620e+00 6.59708964e-02
6.986270e+00 6.40888782e-02
7.500000e+00 6.16334988e-02
8.726510e+00 5.73454946e-02
8.803060e+00 5.70934300e-02
1.000000e+01 5.34599124e-02
1.046670e+01 5.23865451e-02
1.099750e+01 5.12204968e-02
1.220700e+01 4.87694553e-02
1.319190e+01 4.68949650e-02
1.394720e+01 4.55724621e-02
1.500000e+01 4.38064429e-02
1.742770e+01 4.08361005e-02
1.758080e+01 4.06599156e-02
2.000000e+01 3.80959561e-02
2.090820e+01 3.73546736e-02
2.196970e+01 3.65260283e-02
2.420410e+01 3.49158756e-02
2.635860e+01 3.34557322e-02
2.750000e+01 3.27279190e-02
2.786920e+01 3.25414080e-02
2.873930e+01 3.21065854e-02
2.960940e+01 3.16782267e-02
3.125000e+01 3.08869338e-02
3.134970e+01 3.08420324e-02
3.483010e+01 2.93344272e-02
3.500000e+01 2.92625941e-02
3.513630e+01 2.92153418e-02
3.542450e+01 2.91160259e-02
3.568490e+01 2.90268289e-02
3.584890e+01 2.89711965e-02
3.623350e+01 2.88419444e-02
3.669780e+01 2.86881397e-02
3.733080e+01 2.84821867e-02
3.839560e+01 2.81449396e-02
3.952520e+01 2.77989258e-02
4.179110e+01 2.71384374e-02
4.391410e+01 2.65591929e-02
5.000000e+01 2.50109504e-02
5.269180e+01 2.45308929e-02
5.571310e+01 2.40284086e-02
6.146960e+01 2.31669303e-02
6.963500e+01 2.20580156e-02
7.024730e+01 2.19826753e-02
7.500000e+01 2.14357464e-02
7.889300e+01 2.11226865e-02
7.889310e+01 2.11226841e-02
7.889320e+01 2.11226817e-02
7.889330e+01 2.11226793e-02
7.889370e+01 2.11226205e-02
7.889430e+01 2.11226062e-02
7.889560e+01 2.11225259e-02
7.889820e+01 2.11222757e-02
7.890330e+01 2.11219166e-02
7.891360e+01 2.11211063e-02
7.893420e+01 2.11195262e-02
7.897550e+01 2.11163722e-02
7.905790e+01 2.11101096e-02
7.922280e+01 2.10974924e-02
7.955260e+01 2.10725178e-02
8.021220e+01 2.10231869e-02
8.153140e+01 2.09268417e-02
8.416980e+01 2.07434264e-02
8.944650e+01 2.04115950e-02
1.000000e+02 1.98780614e-02
1.013000e+02 1.98463364e-02
1.013010e+02 1.98463501e-02
