51-Sb_n-tot
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
2.127560e+01 1.66298211e+03
2.129610e+01 2.25221099e+03
2.131670e+01 3.11132923e+03
2.134840e+01 4.99933608e+03
2.138000e+01 6.27755548e+03
2.141170e+01 5.04875156e+03
2.144330e+01 3.17428935e+03
2.147120e+01 2.07575144e+03
2.149910e+01 1.41446316e+03
2.152700e+01 1.01055672e+03
2.155490e+01 7.52949291e+02
2.161060e+01 4.61141037e+02
2.166640e+01 3.10856418e+02
2.172220e+01 2.24123936e+02
2.177800e+01 1.69768078e+02
2.188950e+01 1.08129654e+02
2.200110e+01 7.58374561e+01
2.211260e+01 5.68153042e+01
2.222420e+01 4.46552453e+01
2.233570e+01 3.63987579e+01
2.238880e+01 3.39705161e+01
2.255880e+01 2.62032205e+01
2.278190e+01 2.03576792e+01
2.300500e+01 1.66785957e+01
2.322810e+01 1.42023390e+01
2.358320e+01 1.17784708e+01
2.367430e+01 1.11591630e+01
2.412050e+01 9.41990181e+00
2.456670e+01 8.31829717e+00
2.477770e+01 7.96397995e+00
2.501290e+01 7.57738148e+00
2.590530e+01 6.66840022e+00
2.597210e+01 6.62877204e+00
2.656930e+01 6.30837972e+00
2.679770e+01 6.20779090e+00
2.716650e+01 6.12320746e+00
2.746510e+01 6.10019187e+00
2.769010e+01 6.12908761e+00
2.776370e+01 6.14719937e+00
2.806230e+01 6.33809202e+00
2.836090e+01 6.78100617e+00
2.851020e+01 7.19635652e+00
2.858250e+01 7.51998951e+00
2.865950e+01 7.87192139e+00
2.880880e+01 9.02236150e+00
2.895810e+01 1.11370876e+01
2.903280e+01 1.29080228e+01
2.910740e+01 1.55749402e+01
2.918210e+01 1.98340527e+01
2.925670e+01 2.72026595e+01
2.933140e+01 4.14997814e+01
2.936870e+01 5.42266974e+01
2.940600e+01 7.46108286e+01
2.944330e+01 1.09989701e+02
2.946200e+01 1.38105365e+02
2.948070e+01 1.78364996e+02
2.949930e+01 2.38293442e+02
2.951800e+01 3.31204580e+02
2.953660e+01 4.80993345e+02
2.955530e+01 7.25194612e+02
2.957770e+01 1.16522167e+03
2.960000e+01 1.46522727e+03
2.962240e+01 1.18098146e+03
2.964470e+01 7.44917478e+02
2.966070e+01 5.27433341e+02
2.967680e+01 3.83303278e+02
2.969280e+01 2.87749670e+02
2.970890e+01 2.22828568e+02
2.974090e+01 1.44406745e+02
2.977300e+01 1.01428789e+02
2.980510e+01 7.56121166e+01
2.983710e+01 5.89729172e+01
2.990130e+01 3.95945706e+01
2.996540e+01 2.91796171e+01
3.002960e+01 2.29398331e+01
3.009370e+01 1.89018495e+01
3.015780e+01 1.61340423e+01
3.028610e+01 1.26773085e+01
3.036730e+01 1.14064589e+01
3.041440e+01 1.06723733e+01
3.054270e+01 9.40215786e+00
3.067100e+01 8.54007854e+00
3.092750e+01 7.46722551e+00
3.118410e+01 6.83930773e+00
3.144060e+01 6.43204156e+00
3.169720e+01 6.14726364e+00
3.215210e+01 5.81515628e+00
3.221030e+01 5.77458496e+00
3.272350e+01 5.55027505e+00
3.323660e+01 5.39258695e+00
3.374970e+01 5.27228559e+00
3.393690e+01 5.23944144e+00
3.477600e+01 5.10789499e+00
3.572170e+01 4.99908913e+00
3.580220e+01 4.99104807e+00
3.682850e+01 4.91419761e+00
3.708500e+01 4.90078414e+00
3.734160e+01 4.89610924e+00
3.746990e+01 4.90410391e+00
3.759810e+01 4.93701094e+00
3.766230e+01 4.98152856e+00
3.769440e+01 5.02149673e+00
3.772640e+01 5.08488406e+00
3.775850e+01 5.19207970e+00
3.779060e+01 5.38971863e+00
3.780660e+01 5.55415094e+00
3.782260e+01 5.79617717e+00
3.783870e+01 6.16144779e+00
3.785470e+01 6.71197322e+00
3.787740e+01 7.83735343e+00
3.790000e+01 8.58867490e+00
3.792270e+01 7.83634281e+00
3.794530e+01 6.70852745e+00
3.796890e+01 5.96457720e+00
3.799240e+01 5.55691044e+00
3.801590e+01 5.32530174e+00
3.803950e+01 5.18499137e+00
3.808660e+01 5.03303330e+00
3.813370e+01 4.95719886e+00
3.818080e+01 4.91361369e+00
3.822780e+01 4.88583876e+00
3.832200e+01 4.85258886e+00
3.851040e+01 4.81917359e+00
3.869870e+01 4.79964058e+00
3.929120e+01 4.75943962e+00
3.945210e+01 4.75021716e+00
4.095900e+01 4.68550808e+00
4.286080e+01 4.61576450e+00
4.397270e+01 4.58029062e+00
4.464560e+01 4.56113942e+00
4.553800e+01 4.53828069e+00
4.643040e+01 4.51877242e+00
4.698630e+01 4.51168464e+00
4.732280e+01 4.50804287e+00
4.776900e+01 4.51063152e+00
4.821520e+01 4.52482481e+00
4.849320e+01 4.54984497e+00
4.866140e+01 4.56536485e+00
4.888450e+01 4.60659440e+00
4.910760e+01 4.67549197e+00
4.924660e+01 4.75105215e+00
4.933070e+01 4.79711235e+00
4.955380e+01 5.02998121e+00
4.966540e+01 5.23017471e+00
4.977690e+01 5.53775015e+00
4.988850e+01 6.04019509e+00
5.000000e+01 6.93343726e+00
5.011370e+01 8.78371859e+00
5.017060e+01 1.05142744e+01
5.022740e+01 1.34313534e+01
5.028430e+01 1.88778784e+01
5.031270e+01 2.35379871e+01
5.034110e+01 3.07030223e+01
5.036950e+01 4.24385003e+01
5.039800e+01 6.32152493e+01
5.041220e+01 7.98769370e+01
5.042640e+01 1.03586138e+02
5.044060e+01 1.37914105e+02
5.045480e+01 1.87417545e+02
5.047740e+01 2.99602415e+02
5.050000e+01 3.76425628e+02
5.052260e+01 3.04541610e+02
5.054520e+01 1.93596313e+02
5.056120e+01 1.38675908e+02
5.057730e+01 1.02074331e+02
5.059330e+01 7.76743218e+01
5.060930e+01 6.10133118e+01
5.064130e+01 4.07953014e+01
5.067340e+01 2.96654172e+01
5.070540e+01 2.29546694e+01
5.073750e+01 1.86193237e+01
5.080160e+01 1.35558285e+01
5.086560e+01 1.08257567e+01
5.087370e+01 1.06186267e+01
5.092970e+01 9.18817980e+00
5.099380e+01 8.12759535e+00
