Nd-142(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 942.800
1.25000E-05 843.265
1.50000E-05 769.792
2.00000E-05 666.659
2.75000E-05 568.529
3.50000E-05 503.946
4.25000E-05 457.323
5.00000E-05 421.631
6.25000E-05 377.118
7.50000E-05 344.259
0.000100000 298.137
0.000125000 266.661
0.000150000 243.426
0.000200000 210.812
0.000275000 179.780
0.000350000 159.357
0.000425000 144.613
0.000500000 133.325
0.000625000 119.248
0.000750000 108.857
0.00100000 94.2702
0.00125000 84.3157
0.00150000 76.9673
0.00200000 66.6522
0.00275000 56.8367
0.00350000 50.3764
0.00425000 45.7123
0.00500000 42.1414
0.00625000 37.6875
0.00750000 34.3993
0.0100000 29.7829
0.0125000 26.6317
0.0150000 24.3050
0.0200000 21.0378
0.0253000 18.6945
0.0314750 16.7499
0.0376500 15.3050
0.0500000 13.2640
0.0625000 11.8483
0.0750000 10.8019
0.100000 9.33048
0.125000 8.32384
0.150000 7.57896
0.200000 6.52976
0.275000 5.52576
0.350000 4.86052
0.500000 4.00487
0.750000 3.18847
1.00000 2.69333
1.50000 2.09409
2.00000 1.72896
2.75000 1.37539
3.50000 1.13991
5.00000 0.839146
7.50000 0.562892
10.0000 0.407631
12.5000 0.309414
15.0000 0.242728
20.0000 0.160103
27.5000 0.0963220
35.0000 0.0634865
42.5000 0.0445427
50.0000 0.0327195
62.5000 0.0210874
75.0000 0.0145566
87.5000 0.0105691
100.000 0.00797866
125.000 0.00496450
150.000 0.00337663
175.000 0.00248743
187.500 0.00223914
200.000 0.00224829
204.644 0.00247818
209.288 0.00326743
211.610 0.00441774
212.771 0.00558095
213.932 0.00772121
215.093 0.0123297
215.673 0.0169440
216.254 0.0253945
216.544 0.0325445
216.834 0.0435003
217.125 0.0615482
217.415 0.0944166
217.560 0.122094
217.705 0.164268
217.850 0.233206
217.995 0.357446
218.068 0.460936
218.140 0.616819
218.213 0.868259
218.285 1.31114
218.322 1.67231
218.358 2.20577
218.394 3.04071
218.431 4.44841
218.467 7.11305
218.485 9.43737
218.503 13.0614
218.521 19.2078
218.539 30.5495
218.549 40.1389
