Pd-108(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 425.801
1.25000E-05 380.848
1.50000E-05 347.665
2.00000E-05 301.087
2.75000E-05 256.768
3.50000E-05 227.601
4.25000E-05 206.544
5.00000E-05 190.425
6.25000E-05 170.321
7.50000E-05 155.481
0.000100000 134.651
0.000125000 120.436
0.000150000 109.942
0.000200000 95.2131
0.000275000 81.1984
0.000350000 71.9750
0.000425000 65.3166
0.000500000 60.2192
0.000625000 53.8621
0.000750000 49.1695
0.00100000 42.5827
0.00125000 38.0877
0.00150000 34.7696
0.00200000 30.1123
0.00275000 25.6810
0.00350000 22.7648
0.00425000 20.6597
0.00500000 19.0481
0.00625000 17.0385
0.00750000 15.5551
0.0100000 13.4731
0.0125000 12.0525
0.0150000 11.0041
0.0200000 9.53268
0.0253000 8.47830
0.0314750 7.60410
0.0376500 6.95521
0.0500000 6.03994
0.0625000 5.40638
0.0750000 4.93908
0.100000 4.28389
0.125000 3.83749
0.150000 3.50851
0.200000 3.04786
0.275000 2.61141
0.350000 2.32578
0.500000 1.96488
0.750000 1.63187
1.00000 1.43970
1.50000 1.23115
2.00000 1.15919
2.22853 1.19193
2.45705 1.35927
2.57131 1.60405
2.68558 2.23422
2.74271 2.97487
2.79984 4.57679
2.82840 6.15798
2.85697 8.94254
2.88554 14.3092
2.89982 18.8417
2.91410 25.3395
2.93705 40.1375
2.96000 50.1306
2.98295 40.4380
3.00590 25.7117
3.02148 18.7112
3.03706 13.9706
3.06822 8.55449
3.09937 5.84053
3.13053 4.32992
3.19285 2.81813
3.25516 2.11993
3.37979 1.51299
3.50443 1.26058
3.75369 1.05103
4.00295 0.962843
5.00000 0.845561
7.50000 0.797136
10.0000 0.831782
15.0000 1.07348
17.5000 1.31997
20.0000 1.72897
21.6243 2.15023
22.4364 2.43585
23.2485 2.79392
23.6546 3.00802
23.8576 3.12563
24.0606 3.25112
24.1622 3.31705
24.2637 3.38523
24.3652 3.45576
24.4667 3.52875
24.5682 3.60432
24.6697 3.68259
24.7712 3.76370
24.8728 3.84778
24.9743 3.93498
25.0758 4.02546
25.2788 4.21693
25.4819 4.42365
25.6849 4.64732
26.0909 5.15338
26.4970 5.75408
26.9031 6.47478
27.3091 7.34991
27.7152 8.42735
28.1213 9.77513
28.5273 11.4926
28.9334 13.7295
29.3394 16.7200
29.7455 20.8476
30.1516 26.7755
30.5576 35.7322
30.9637 50.2091
31.3698 75.9104
31.5728 97.0005
31.7758 128.388
31.9789 178.055
32.1819 263.494
32.2834 331.391
32.3849 429.294
32.4864 577.722
32.5879 817.826
32.6895 1241.90
32.7402 1585.80
32.7910 2088.33
32.8417 2857.36
32.8925 4097.58
32.9433 6206.20
32.9940 9873.18
33.0470 15759.2
33.1000 19650.3
33.1530 15711.0
33.2060 9823.65
33.2388 7238.10
33.2716 5426.80
33.3372 3269.76
33.4028 2143.14
33.4684 1499.93
33.5340 1103.44
33.5996 843.649
33.7308 536.907
33.8620 370.475
33.9932 270.549
34.2556 161.963
34.5180 107.489
34.7804 76.3991
35.0429 57.0190
35.3053 44.1404
35.8301 28.6412
36.3549 20.0379
36.8797 14.7799
37.4045 11.3376
38.4541 7.26096
39.5038 5.03697
40.5534 3.69597
41.6030 2.82799
43.7023 1.81472
45.8015 1.27288
47.9008 0.953437
50.0000 0.752551
55.0811 0.505193
60.1621 0.418064
65.2432 0.418904
70.3243 0.507764
72.8648 0.603428
75.4053 0.760284
77.9459 1.02762
80.4864 1.52297
81.7567 1.94245
82.3918 2.22702
83.0269 2.58402
83.3445 2.79760
83.5033 2.91497
83.6621 3.04022
83.8208 3.17410
83.9796 3.31739
84.1384 3.47101
84.2972 3.63597
84.4560 3.81343
84.6148 4.00466
84.7735 4.21113
84.9323 4.43452
85.2499 4.93991
85.5674 5.53960
85.8850 6.25867
86.2026 7.13103
86.5202 8.20362
86.8377 9.54281
87.1553 11.2451
87.4728 13.4546
87.7904 16.3952
88.1080 20.4291
88.4255 26.1745
88.7431 34.7557
89.0607 48.3968
89.3782 72.0111
89.5370 90.8923
89.6958 118.278
89.8546 160.111
90.0134 228.512
90.1722 351.235
90.2516 452.352
90.3309 602.490
90.4103 837.134
90.4897 1226.83
90.5691 1917.25
90.6485 3183.91
90.7243 5091.52
90.8000 6358.85
90.8758 5082.66
90.9515 3175.00
91.0222 2014.47
91.0929 1339.49
91.1636 938.527
91.2343 688.083
91.3757 410.522
