63-Eu_n-g
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
3.281430e-01 3.50950875e+03
3.320130e-01 3.48729660e+03
3.338670e-01 3.46520953e+03
3.416050e-01 3.37305253e+03
3.453130e-01 3.33885313e+03
3.511980e-01 3.28461320e+03
3.559940e-01 3.27649261e+03
3.607900e-01 3.29963019e+03
3.674400e-01 3.38849898e+03
3.682050e-01 3.40683136e+03
3.740900e-01 3.54792320e+03
3.807400e-01 3.78291471e+03
3.873900e-01 4.10032109e+03
3.940400e-01 4.50959917e+03
4.006900e-01 5.02279707e+03
4.073400e-01 5.65359801e+03
4.139900e-01 6.41482462e+03
4.139910e-01 6.41494410e+03
4.139920e-01 6.41511138e+03
4.139930e-01 6.41523085e+03
4.139940e-01 6.41535030e+03
4.139950e-01 6.41546496e+03
4.139990e-01 6.41592373e+03
4.140010e-01 6.41618658e+03
4.140070e-01 6.41697507e+03
4.140110e-01 6.41746979e+03
4.140240e-01 6.41907769e+03
4.140320e-01 6.42007841e+03
4.140580e-01 6.42333078e+03
4.140740e-01 6.42533224e+03
4.141260e-01 6.43183696e+03
4.141580e-01 6.43583296e+03
4.142630e-01 6.44894485e+03
4.143260e-01 6.45689200e+03
4.145350e-01 6.48325641e+03
4.146620e-01 6.49942573e+03
4.150800e-01 6.55264448e+03
4.153340e-01 6.58561818e+03
4.161700e-01 6.69414603e+03
4.166780e-01 6.76313034e+03
4.189090e-01 7.06609210e+03
4.193660e-01 7.13190814e+03
4.216490e-01 7.46070253e+03
4.247410e-01 7.94078671e+03
4.271280e-01 8.31141250e+03
4.354930e-01 9.71189469e+03
4.380850e-01 1.01458608e+04
4.490430e-01 1.17135109e+04
4.545210e-01 1.21564268e+04
4.569950e-01 1.22020661e+04
4.600000e-01 1.22575198e+04
4.650000e-01 1.20279481e+04
4.700000e-01 1.15185923e+04
4.800000e-01 9.93476646e+03
5.000000e-01 6.45443744e+03
5.038300e-01 5.90198582e+03
5.177050e-01 4.28940694e+03
5.315800e-01 3.18126419e+03
5.315810e-01 3.18119720e+03
5.315830e-01 3.18109914e+03
5.315850e-01 3.18094604e+03
5.315890e-01 3.18064468e+03
5.315990e-01 3.18004191e+03
5.316170e-01 3.17883642e+03
5.316540e-01 3.17642066e+03
5.317280e-01 3.17159870e+03
5.318750e-01 3.16198824e+03
5.321700e-01 3.14287246e+03
5.327600e-01 3.10509992e+03
5.339390e-01 3.03135270e+03
5.362980e-01 2.89073388e+03
5.410160e-01 2.63481869e+03
5.504530e-01 2.20887347e+03
5.693250e-01 1.60595889e+03
5.881980e-01 1.21489498e+03
6.070700e-01 9.50154683e+02
6.448150e-01 6.29589848e+02
6.825600e-01 4.53465715e+02
6.825610e-01 4.53462316e+02
6.825620e-01 4.53457535e+02
6.825630e-01 4.53453897e+02
6.825640e-01 4.53450294e+02
6.825660e-01 4.53444331e+02
6.825690e-01 4.53435386e+02
6.825720e-01 4.53424218e+02
6.825770e-01 4.53405583e+02
6.825840e-01 4.53381020e+02
6.825940e-01 4.53345929e+02
6.826080e-01 4.53296999e+02
6.826280e-01 4.53227112e+02
6.826550e-01 4.53132764e+02
6.826960e-01 4.52989505e+02
6.827500e-01 4.52799432e+02
6.828310e-01 4.52514292e+02
6.829390e-01 4.52136834e+02
6.831020e-01 4.51567174e+02
6.833170e-01 4.50819954e+02
6.836440e-01 4.49683526e+02
6.840750e-01 4.48202202e+02
6.847280e-01 4.45957881e+02
6.855890e-01 4.43061907e+02
6.868950e-01 4.38669431e+02
6.886180e-01 4.33124910e+02
6.912300e-01 4.24720559e+02
6.946760e-01 4.14550540e+02
6.998990e-01 3.99139797e+02
7.067930e-01 3.81959758e+02
7.172380e-01 3.55944393e+02
7.310250e-01 3.31202258e+02
7.519150e-01 2.93764699e+02
7.794900e-01 2.68056456e+02
8.141680e-01 2.35877122e+02
8.764200e-01 2.30711189e+02
8.764210e-01 2.30711667e+02
8.764220e-01 2.30712145e+02
8.764240e-01 2.30712571e+02
8.764280e-01 2.30714483e+02
8.764350e-01 2.30717247e+02
8.764500e-01 2.30723358e+02
8.764810e-01 2.30735528e+02
8.765410e-01 2.30759337e+02
8.766620e-01 2.30807537e+02
8.769030e-01 2.30905268e+02
8.773860e-01 2.31103703e+02
8.783510e-01 2.31513960e+02
8.802820e-01 2.32388654e+02
8.841440e-01 2.34362369e+02
8.918680e-01 2.39270258e+02
9.073150e-01 2.53566362e+02
9.382100e-01 3.08130229e+02
9.691050e-01 4.27956129e+02
9.845530e-01 5.36003947e+02
1.000000e+00 7.00423583e+02
