82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
1.335610e+03 1.09328321e+01
1.335950e+03 1.09305001e+01
1.336640e+03 1.09275964e+01
1.337320e+03 1.09259159e+01
1.338010e+03 1.09248336e+01
1.338690e+03 1.09240827e+01
1.340060e+03 1.09230965e+01
1.341430e+03 1.09224574e+01
1.342800e+03 1.09219848e+01
1.344170e+03 1.09216025e+01
1.346910e+03 1.09209763e+01
1.349650e+03 1.09204410e+01
1.355130e+03 1.09194772e+01
1.360610e+03 1.09185664e+01
1.366100e+03 1.09176706e+01
1.377060e+03 1.09158853e+01
1.420910e+03 1.09084270e+01
1.464760e+03 1.09000872e+01
1.500000e+03 1.08921840e+01
1.508600e+03 1.08904869e+01
1.530530e+03 1.08852557e+01
1.552450e+03 1.08790866e+01
1.574380e+03 1.08715293e+01
1.596300e+03 1.08618230e+01
1.607270e+03 1.08557784e+01
1.618230e+03 1.08486433e+01
1.629190e+03 1.08401619e+01
1.640150e+03 1.08302815e+01
1.645630e+03 1.08250902e+01
1.651110e+03 1.08203826e+01
1.656600e+03 1.08177181e+01
1.657970e+03 1.08177708e+01
1.659340e+03 1.08183083e+01
1.660710e+03 1.08194887e+01
1.661390e+03 1.08203839e+01
1.662080e+03 1.08215243e+01
1.662760e+03 1.08229525e+01
1.663450e+03 1.08247084e+01
1.664130e+03 1.08268492e+01
1.664820e+03 1.08294372e+01
1.665500e+03 1.08325499e+01
1.666190e+03 1.08362763e+01
1.667560e+03 1.08460308e+01
1.668930e+03 1.08598875e+01
1.670300e+03 1.08795823e+01
1.671670e+03 1.09078190e+01
1.673040e+03 1.09488711e+01
1.674410e+03 1.10098298e+01
1.675780e+03 1.11027505e+01
1.677150e+03 1.12497826e+01
1.678520e+03 1.14940251e+01
1.679890e+03 1.19271766e+01
1.680580e+03 1.22721971e+01
1.681260e+03 1.27624123e+01
1.681950e+03 1.34786708e+01
1.682630e+03 1.45556540e+01
1.683320e+03 1.62139025e+01
1.684000e+03 1.87737237e+01
1.685000e+03 2.44965411e+01
1.686000e+03 2.91384744e+01
1.687000e+03 2.64842797e+01
1.688000e+03 2.12636751e+01
1.688610e+03 1.88501835e+01
1.689220e+03 1.70971560e+01
1.690440e+03 1.49132889e+01
1.691660e+03 1.37106958e+01
1.692880e+03 1.29924607e+01
1.694090e+03 1.25306644e+01
1.695310e+03 1.22162593e+01
1.697750e+03 1.18259853e+01
1.700190e+03 1.15996457e+01
1.702630e+03 1.14552117e+01
1.707500e+03 1.12851891e+01
1.712380e+03 1.11904871e+01
1.717250e+03 1.11310295e+01
1.722130e+03 1.10905523e+01
1.727000e+03 1.10613417e+01
1.736750e+03 1.10221263e+01
1.746500e+03 1.09970243e+01
1.756250e+03 1.09795271e+01
1.766000e+03 1.09665673e+01
1.785500e+03 1.09484513e+01
1.805000e+03 1.09361313e+01
1.824500e+03 1.09269781e+01
1.844000e+03 1.09197303e+01
1.883000e+03 1.09085387e+01
1.922000e+03 1.08997929e+01
1.961000e+03 1.08923449e+01
2.000000e+03 1.08856235e+01
2.059640e+03 1.08768304e+01
2.119270e+03 1.08682046e+01
2.178910e+03 1.08591119e+01
2.238540e+03 1.08487374e+01
2.268360e+03 1.08426518e+01
2.298180e+03 1.08355723e+01
2.327990e+03 1.08269669e+01
2.339210e+03 1.08228016e+01
2.357810e+03 1.08160325e+01
2.372720e+03 1.08091806e+01
2.387630e+03 1.08009436e+01
2.402540e+03 1.07908416e+01
2.417450e+03 1.07783224e+01
2.424900e+03 1.07710823e+01
2.432350e+03 1.07634273e+01
2.439810e+03 1.07562283e+01
2.443540e+03 1.07535385e+01
2.445400e+03 1.07526964e+01
2.447260e+03 1.07523768e+01
2.449130e+03 1.07527875e+01
2.450060e+03 1.07533543e+01
2.450990e+03 1.07542221e+01
2.451920e+03 1.07554471e+01
2.452860e+03 1.07570960e+01
2.453790e+03 1.07592512e+01
2.454720e+03 1.07620077e+01
