Ba-137(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 187.191
1.25000E-05 168.085
1.50000E-05 153.981
2.00000E-05 134.184
2.75000E-05 115.348
3.50000E-05 102.951
4.25000E-05 94.0012
5.00000E-05 87.1499
6.25000E-05 78.6054
7.50000E-05 72.2980
0.000100000 63.4446
0.000125000 57.4026
0.000150000 52.9427
0.000200000 46.6823
0.000275000 40.7256
0.000350000 36.8053
0.000425000 33.9752
0.000500000 31.8086
0.000625000 29.1065
0.000750000 27.1119
0.00100000 24.3122
0.00125000 22.4015
0.00150000 20.9911
0.00200000 19.0113
0.00275000 17.1275
0.00350000 15.8876
0.00425000 14.9926
0.00500000 14.3073
0.00625000 13.4527
0.00750000 12.8218
0.0100000 11.9361
0.0125000 11.3316
0.0150000 10.8853
0.0200000 10.2588
0.0253000 9.80950
0.0314750 9.43673
0.0376500 9.15981
0.0500000 8.76870
0.0625000 8.49748
0.0750000 8.29704
0.100000 8.01518
0.125000 7.82229
0.150000 7.67949
0.200000 7.47809
0.275000 7.28477
0.350000 7.15599
0.500000 6.98868
0.750000 6.82520
1.00000 6.72216
1.50000 6.58906
2.00000 6.49927
2.75000 6.40020
3.50000 6.32276
5.00000 6.19952
7.50000 6.03839
10.0000 5.90465
15.0000 5.68099
20.0000 5.49394
27.5000 5.25880
35.0000 5.06286
50.0000 4.75176
62.5000 4.54962
75.0000 4.38336
100.000 4.12380
113.440 4.01225
120.160 3.96222
123.520 3.93987
124.360 3.93574
125.200 3.93492
125.620 3.93900
125.830 3.94452
126.040 3.95574
126.250 3.98118
126.355 4.00695
126.460 4.05386
126.513 4.09305
126.565 4.15221
126.618 4.24741
126.670 4.41482
126.723 4.75035
126.749 5.06170
126.775 5.58172
126.802 6.55436
126.815 7.38462
126.828 8.66559
126.841 10.7978
126.854 14.6022
126.867 22.1644
126.874 28.8121
126.880 38.4376
126.890 59.1485
126.900 72.9554
126.910 59.1527
126.920 38.4427
126.929 25.9846
126.938 18.7336
126.946 14.3725
126.955 11.6227
126.973 8.53508
126.991 6.97636
127.009 6.08125
127.027 5.52813
127.062 4.90514
127.098 4.58276
127.134 4.39490
127.170 4.27599
127.205 4.19618
127.277 4.09844
127.348 4.04324
127.419 4.00897
127.491 3.98619
127.633 3.95850
127.776 3.94276
128.062 3.92590
128.347 3.91696
128.633 3.91118
129.203 3.90348
130.345 3.89306
131.487 3.88452
