73-Ta_n-tot
> 73-Ta-181:1.000000
1.409420e+01 7.82871000e+01
1.411770e+01 6.08525000e+01
1.416470e+01 4.10834000e+01
1.421180e+01 3.07181000e+01
1.425890e+01 2.46027000e+01
1.430590e+01 2.06847000e+01
1.435300e+01 1.80175000e+01
1.444710e+01 1.47040000e+01
1.454120e+01 1.27851000e+01
1.472940e+01 1.07270000e+01
1.491770e+01 9.67292000e+00
1.510590e+01 9.04029000e+00
1.548240e+01 8.31323000e+00
1.585890e+01 7.89550000e+00
1.623530e+01 7.61333000e+00
1.698830e+01 7.23722000e+00
1.774120e+01 6.99433000e+00
1.849410e+01 6.87641000e+00
1.887060e+01 6.92001000e+00
1.924710e+01 7.18093000e+00
1.943530e+01 7.53403000e+00
1.962350e+01 8.29960000e+00
1.971770e+01 9.02864000e+00
1.981180e+01 1.02574000e+01
1.990590e+01 1.25283000e+01
1.995300e+01 1.44451000e+01
2.000000e+01 1.73567000e+01
2.006740e+01 2.50423000e+01
2.010110e+01 3.21151000e+01
2.013480e+01 4.38419000e+01
2.016840e+01 6.52469000e+01
2.018530e+01 8.31531000e+01
2.020210e+01 1.10072000e+02
2.021900e+01 1.52859000e+02
2.023580e+01 2.25403000e+02
2.024420e+01 2.81169000e+02
2.025270e+01 3.57672000e+02
2.026110e+01 4.63687000e+02
2.026950e+01 6.09535000e+02
2.027710e+01 7.81051000e+02
2.028480e+01 9.77691000e+02
2.030000e+01 1.22846000e+03
2.030760e+01 1.16037000e+03
2.031530e+01 9.90705000e+02
2.033050e+01 6.25812000e+02
2.033970e+01 4.68656000e+02
2.034880e+01 3.57102000e+02
2.036710e+01 2.21847000e+02
2.038540e+01 1.49836000e+02
2.040370e+01 1.08134000e+02
2.042210e+01 8.21414000e+01
2.044040e+01 6.49491000e+01
2.047700e+01 4.44283000e+01
2.051360e+01 3.31397000e+01
2.055020e+01 2.62819000e+01
2.062340e+01 1.87143000e+01
2.069670e+01 1.48404000e+01
2.076990e+01 1.25871000e+01
2.091640e+01 1.01916000e+01
2.106280e+01 9.00589000e+00
2.120930e+01 8.33644000e+00
2.150220e+01 7.68108000e+00
2.179510e+01 7.48448000e+00
