Pd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
239.542 0.00317646
243.496 0.00446317
247.451 0.00683513
249.428 0.00885213
251.405 0.0119581
253.382 0.0171036
255.359 0.0265583
256.348 0.0345825
257.336 0.0469194
258.325 0.0673240
259.313 0.104727
259.807 0.136403
260.302 0.185005
260.796 0.265153
261.290 0.411434
261.537 0.534828
261.785 0.723296
262.032 1.03244
262.279 1.59186
262.402 2.05979
262.526 2.76888
262.650 3.91838
262.773 5.96282
262.835 7.64466
262.897 10.1511
262.959 14.1225
263.020 20.9479
263.082 34.2210
263.113 46.1085
263.144 65.3449
263.175 99.3231
263.190 126.986
263.206 167.163
263.221 229.071
263.237 328.351
263.244 401.190
263.252 497.263
263.260 624.697
263.267 792.466
263.269 825.282
263.273 934.517
263.277 1052.06
263.284 1304.96
263.300 1618.82
263.316 1304.95
263.331 825.273
263.333 789.988
263.337 697.609
263.341 617.152
263.349 488.761
263.365 320.247
263.380 221.763
263.396 161.584
263.412 122.218
263.428 95.5618
263.460 62.7726
263.491 44.2056
263.523 32.7630
263.586 20.0330
263.650 13.4810
263.713 9.68736
263.776 7.29096
263.840 5.68641
263.966 3.73402
264.093 2.63800
264.220 1.96211
264.346 1.51619
264.600 0.983035
264.853 0.688628
265.107 0.509106
265.360 0.391634
265.867 0.252342
266.374 0.176055
266.880 0.129797
267.387 0.0996565
268.401 0.0640564
269.414 0.0446385
270.428 0.0328972
271.441 0.0252614
273.469 0.0162617
275.496 0.0113625
277.523 0.00840355
279.550 0.00648074
283.604 0.00421603
287.659 0.00298345
291.713 0.00223885
295.767 0.00175464
303.876 0.00118348
311.984 0.000871747
328.201 0.000559687
344.419 0.000414379
360.636 0.000336829
376.853 0.000300257
384.962 0.000326296
389.016 0.000487116
391.043 0.00114322
392.057 0.00369064
392.563 0.0132079
392.817 0.0463750
392.880 0.0762500
392.943 0.147496
392.975 0.227131
393.007 0.390004
393.038 0.797648
393.054 1.24898
393.070 2.07961
393.085 3.32667
393.100 4.15784
393.115 3.32680
393.130 2.07977
393.145 1.28408
393.160 0.838939
393.189 0.422177
393.219 0.248884
393.249 0.163201
393.308 0.0851370
393.367 0.0521023
393.604 0.0149488
394.078 0.00417107
395.026 0.00126717
396.923 0.000511359
400.715 0.000315792
408.300 0.000265637
415.885 0.000284337
419.678 0.000414241
421.574 0.000940393
422.522 0.00297588
422.996 0.0105431
423.233 0.0366523
423.352 0.114794
423.411 0.297125
423.440 0.590804
423.455 0.904624
423.470 1.46061
423.485 2.33623
423.500 2.91974
423.515 2.33631
423.530 1.46072
423.549 0.803939
423.567 0.483407
423.605 0.221958
423.679 0.0797403
423.829 0.0243671
424.128 0.00690027
424.725 0.00198527
425.920 0.000680515
428.309 0.000343065
433.089 0.000255539
442.648 0.000232013
461.765 0.000231379
500.000 0.000304542
526.834 0.000664759
533.542 0.00103267
540.251 0.00207355
543.605 0.00352142
546.959 0.00763507
548.636 0.0133635
549.475 0.0191003
550.314 0.0296095
551.152 0.0521440
551.571 0.0746184
551.991 0.115584
552.200 0.150099
552.410 0.202742
552.620 0.288942
552.829 0.444497
552.934 0.574335
553.039 0.770367
553.144 1.08688
553.249 1.64713
553.301 2.10506
553.353 2.78360
553.406 3.85027
553.458 5.66667
553.511 9.13309
553.537 12.1795
553.563 17.0107
553.589 25.2936
553.615 41.0629
553.628 54.6841
553.642 75.5416
553.655 108.631
553.668 161.550
553.684 258.581
553.700 322.647
553.716 257.948
553.732 161.058
553.745 110.889
553.757 78.8049
553.769 57.8578
553.781 44.0028
553.806 27.5350
553.830 18.7312
553.855 13.5001
553.879 10.1824
553.928 6.36179
553.977 4.34174
554.026 3.14854
554.075 2.38642
554.124 1.87051
554.222 1.23737
554.319 0.878558
554.417 0.655846
554.515 0.508215
554.711 0.330855
554.906 0.232446
555.102 0.172241
555.297 0.132750
555.689 0.0858099
556.080 0.0600387
556.862 0.0341738
557.645 0.0221016
558.427 0.0155124
559.992 0.00894197
563.121 0.00427702
566.251 0.00274651
572.510 0.00268175
574.075 0.00370503
575.640 0.00689689
576.422 0.0114322
577.205 0.0242916
577.596 0.0419927
577.987 0.0911098
578.183 0.157279
578.281 0.221553
578.378 0.335290
578.476 0.565882
578.525 0.782189
578.574 1.15030
578.623 1.85209
578.647 2.46976
578.672 3.44419
578.696 5.11930
578.721 8.28733
578.733 11.0411
578.745 15.2164
578.757 21.8129
578.770 32.3114
578.785 51.6635
578.800 64.5508
578.815 51.6647
578.830 32.3130
578.845 20.5725
578.859 13.7140
578.873 9.62690
578.887 7.08271
578.915 4.23308
578.943 2.79823
578.971 1.97849
