Nb-93(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
120.098 8.22709
120.306 7.47318
120.514 7.02886
120.723 6.74222
120.931 6.54497
121.348 6.29514
121.765 6.14630
122.181 6.04879
122.598 5.98049
123.432 5.89165
124.265 5.83655
125.099 5.79894
125.932 5.77145
127.599 5.73337
129.266 5.70750
132.600 5.67253
136.363 5.64495
140.125 5.62265
147.650 5.58337
155.175 5.54357
162.700 5.49665
170.254 5.43265
174.031 5.38818
177.808 5.32837
179.697 5.28949
181.585 5.24181
183.474 5.18213
185.362 5.10669
186.306 5.06253
187.251 5.01575
188.195 4.97280
189.139 4.95620
189.611 4.97851
190.083 5.05131
190.555 5.23354
191.028 5.67557
191.264 6.10993
191.500 6.83529
191.736 8.11604
191.972 10.5700
192.090 12.6817
192.208 15.9103
192.326 21.1331
192.444 30.2430
192.503 37.5157
192.562 47.9440
192.621 63.5702
192.680 88.2803
192.739 130.161
192.769 162.594
192.798 207.834
192.828 272.815
192.857 368.992
192.887 514.882
192.916 736.497
192.958 1201.14
193.000 1532.34
193.042 1251.80
193.084 799.811
193.110 595.792
193.137 452.574
193.189 280.485
193.242 189.709
193.294 137.404
193.346 104.725
193.399 83.0645
193.504 57.0846
193.609 42.6394
193.714 33.7705
193.924 23.8168
194.133 18.5930
194.343 15.4813
194.553 13.4602
194.763 12.0633
195.183 10.2878
195.603 9.22832
196.022 8.53501
196.442 8.05106
197.282 7.42654
198.121 7.04534
198.961 6.79051
199.800 6.60897
200.000 6.57321
200.686 6.46696
201.371 6.38060
202.742 6.24885
205.485 6.08022
208.227 5.97648
210.969 5.90571
216.454 5.81402
221.938 5.75581
227.423 5.71476
232.907 5.68520
235.649 5.67565
237.020 5.67358
238.392 5.67550
239.763 5.68698
240.448 5.70136
241.134 5.72970
241.477 5.75425
241.819 5.79198
242.162 5.85353
242.505 5.96284
242.848 6.18375
243.019 6.38935
243.191 6.73550
243.362 7.38377
243.448 7.94194
243.533 8.80817
243.619 10.2475
243.705 12.8595
243.748 15.0104
243.790 18.1431
243.833 22.8195
243.876 29.7964
243.938 44.3593
244.000 54.0961
244.062 44.3688
244.124 29.8081
244.191 19.9228
244.259 14.6623
244.326 11.7374
244.393 9.99906
244.460 8.89402
244.528 8.15526
244.662 7.26310
244.797 6.76853
244.931 6.46707
245.200 6.13449
245.418 5.98990
245.636 5.89838
246.072 5.79313
246.508 5.73681
246.944 5.70287
247.816 5.66492
248.688 5.64446
249.559 5.63147
250.431 5.62222
252.175 5.60915
253.919 5.59951
255.663 5.59146
259.150 5.57761
266.125 5.55342
273.100 5.53071
287.050 5.48453
294.025 5.45927
301.000 5.43121
305.472 5.41122
309.945 5.39004
312.181 5.38041
313.299 5.37706
314.417 5.37657
315.535 5.38368
316.094 5.39445
316.653 5.41702
317.212 5.46848
317.492 5.52001
317.771 5.61195
318.051 5.79746
318.190 5.96931
318.330 6.25637
318.470 6.78790
318.540 7.23961
318.610 7.92986
318.679 9.05581
318.749 11.0402
318.819 14.8761
318.854 18.1217
318.889 22.7870
318.945 33.2943
319.000 40.3117
319.056 33.2985
319.111 22.7915
319.175 15.3629
319.238 11.5386
319.302 9.46983
319.366 8.26002
319.430 7.50159
319.493 6.99828
319.621 6.39652
319.748 6.06514
319.875 5.86411
320.130 5.64256
320.385 5.52917
320.639 5.46289
321.149 5.39098
321.658 5.35313
322.168 5.32924
323.186 5.29826
324.205 5.27562
325.224 5.25531
327.262 5.21328
328.281 5.18933
329.300 5.16239
330.318 5.13218
331.337 5.10057
331.847 5.08691
332.356 5.07939
332.866 5.08817
333.375 5.14101
333.630 5.20632
333.884 5.32713
334.139 5.55735
334.394 6.02581
334.521 6.44320
334.649 7.09576
334.776 8.17473
334.903 10.0939
335.031 13.8995
335.094 17.3141
335.158 22.7705
335.222 32.1650
335.285 49.9101
335.317 65.0294
335.349 87.6636
335.381 122.576
335.413 176.620
335.435 227.899
335.456 287.366
335.500 367.833
335.544 303.273
335.587 196.504
335.614 148.807
335.641 114.946
335.694 73.7634
335.748 51.6971
335.801 38.8175
335.855 30.7190
335.908 25.3121
336.015 18.7682
336.122 15.0958
336.228 12.8232
336.442 10.2481
336.656 8.88035
336.869 8.05722
337.083 7.51726
337.297 7.14045
337.724 6.65576
338.151 6.36169
338.578 6.16623
339.006 6.02761
339.860 5.84446
340.715 5.72866
341.569 5.64814
342.424 5.58816
344.133 5.50255
345.842 5.44143
349.260 5.35060
352.678 5.27436
356.096 5.19756
359.514 5.11123
361.223 5.06720
361.651 5.06097
362.078 5.06744
362.292 5.08710
362.398 5.10867
362.505 5.14788
362.612 5.22576
362.665 5.29536
362.719 5.40639
362.772 5.59708
362.826 5.95894
362.852 6.26965
362.879 6.74216
362.906 7.48470
362.932 8.65889
362.966 10.8535
363.000 12.3164
363.034 10.8520
363.068 8.65542
363.097 7.39762
363.126 6.63597
363.155 6.16660
363.184 5.86515
363.242 5.52108
363.300 5.34299
363.358 5.23946
363.416 5.17432
363.532 5.09986
363.764 5.03815
363.996 5.01967
364.228 5.03133
364.345 5.05606
364.461 5.10799
364.577 5.22048
364.635 5.32570
364.693 5.49782
364.751 5.80103
364.809 6.38733
364.838 6.89675
364.867 7.67673
364.896 8.90945
364.925 10.8709
364.962 14.7122
365.000 17.5112
365.038 15.2739
365.075 11.5747
365.110 9.27928
365.145 7.90606
365.179 7.07079
365.214 6.53932
365.283 5.93243
365.352 5.61581
365.421 5.42914
365.490 5.30944
365.628 5.16793
365.767 5.08830
365.905 5.03727
366.182 4.97410
366.735 4.90394
367.288 4.85658
369.500 4.69822
370.596 4.61562
371.691 4.52932
372.787 4.44930
373.882 4.41268
374.430 4.44506
374.978 4.56107
375.525 4.85775
376.073 5.58001
376.347 6.28737
376.621 7.46161
376.895 9.51482
377.169 13.3883
377.306 16.6671
377.442 21.5995
377.579 29.4092
377.716 42.5954
377.785 52.7840
377.853 66.9894
377.922 87.4748
377.990 118.190
378.059 166.705
378.127 247.657
378.196 391.648
378.264 655.599
378.332 1079.61
378.400 1389.95
378.468 1144.16
378.536 736.204
378.591 509.047
378.645 364.297
378.700 271.217
378.754 209.556
378.863 136.613
378.972 97.2747
379.082 73.7665
379.191 58.6009
379.409 40.8160
379.627 31.0998
379.845 25.1682
380.063 21.2527
380.281 18.5159
380.718 15.0005
381.154 12.8832
381.591 11.4903
382.027 10.5149
382.900 9.25379
383.772 8.48372
384.645 7.96980
385.518 7.60498
387.263 7.12706
389.008 6.84089
389.881 6.75238
390.754 6.72435
391.190 6.77100
391.408 6.83595
391.627 6.96404
391.845 7.23532
391.954 7.48938
392.063 7.91189
392.172 8.68195
392.227 9.32365
392.281 10.2821
392.336 11.7964
392.390 14.3353
392.445 18.9000
392.499 27.4324
392.550 40.0245
392.600 48.3935
392.651 39.9953
392.701 27.4029
392.761 18.3243
392.820 13.7243
392.880 11.2639
392.939 9.83719
392.998 8.94479
393.058 8.35394
393.177 7.64784
393.296 7.25769
393.415 7.01923
393.653 6.75173
393.891 6.60965
394.128 6.52235
394.604 6.41900
395.080 6.35663
395.556 6.31205
396.507 6.24712
398.410 6.15700
400.313 6.09030
404.120 5.99170
407.926 5.92008
415.538 5.82024
423.151 5.75152
430.763 5.69870
438.375 5.65347
445.988 5.60785
449.794 5.58000
451.697 5.56262
453.600 5.54091
454.427 5.52948
455.254 5.51649
456.081 5.50192
456.908 5.48685
457.321 5.48056
457.735 5.47756
458.148 5.48309
458.562 5.51133
458.769 5.54531
458.975 5.60736
459.182 5.72430
459.389 5.95937
459.595 6.48820
459.699 7.01316
459.802 7.93151
459.906 9.70846
459.957 11.2627
460.009 13.6814
460.061 17.6962
460.112 24.8757
460.164 38.9043
460.190 50.8317
460.216 68.0474
460.237 86.9627
460.258 108.956
460.300 138.982
460.342 115.717
460.385 76.5492
460.424 52.0297
460.463 37.3949
460.502 28.5133
460.541 22.8714
460.620 16.4536
460.698 13.1143
460.776 11.1584
460.855 9.91482
461.011 8.47100
461.168 7.68779
461.325 7.21096
461.481 6.89583
461.638 6.67519
461.951 6.39061
462.264 6.21791
462.578 6.10339
462.891 6.02252
