Rh-103(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
96.3496 5.29685
96.5347 3.21504
96.7198 2.16210
96.9049 1.55896
97.0901 1.18332
97.2752 0.935637
97.6454 0.649528
98.0156 0.531180
98.2007 0.538158
98.3858 0.647036
98.4784 0.800106
98.5709 1.13562
98.6172 1.45677
98.6635 1.99467
98.7097 2.95116
98.7560 4.70449
98.8005 7.36638
98.8450 9.13963
98.8895 7.35713
98.9340 4.68358
98.9673 3.31045
99.0006 2.41889
99.0339 1.83761
99.0673 1.44735
99.1339 0.981231
99.2005 0.727452
99.3338 0.475178
99.4670 0.356563
99.7335 0.246862
100.000 0.195082
100.556 0.141667
101.113 0.114022
102.225 0.0849055
104.450 0.0625742
106.675 0.0588991
107.788 0.0651231
108.344 0.0802994
108.483 0.0920711
108.622 0.119350
108.692 0.150334
108.761 0.217226
108.796 0.284462
108.831 0.405788
108.865 0.651767
108.883 0.870077
108.900 1.19402
108.925 1.86710
108.950 2.31615
108.975 1.86861
109.000 1.19674
109.029 0.718833
109.058 0.474676
109.087 0.342762
109.115 0.266367
109.173 0.187535
109.231 0.151107
109.346 0.121653
109.461 0.113035
109.692 0.117156
109.923 0.139189
110.153 0.188973
110.269 0.235899
110.384 0.314849
110.499 0.462155
110.557 0.588640
110.614 0.783917
110.672 1.10755
110.730 1.69035
110.787 2.86122
110.816 3.88901
110.845 5.41296
110.888 8.65136
110.930 10.8239
110.973 8.65552
111.015 5.41881
111.062 3.20240
111.109 2.03612
111.156 1.39479
111.203 1.01631
111.249 0.776809
111.296 0.617278
111.390 0.426409
111.484 0.321934
111.578 0.259701
111.765 0.195250
111.953 0.170356
112.140 0.172549
112.234 0.188847
112.328 0.229261
112.374 0.269432
112.421 0.338221
112.468 0.463951
112.515 0.702581
112.558 1.05189
112.600 1.28680
112.643 1.05450
112.685 0.707552
112.726 0.494637
112.766 0.374066
112.847 0.262623
112.928 0.220703
113.009 0.205605
113.171 0.211761
113.334 0.253259
113.496 0.348881
113.577 0.437495
113.658 0.581749
113.739 0.836854
113.820 1.34212
113.861 1.79823
113.901 2.52482
113.942 3.74297
113.982 5.82749
114.026 9.30522
114.070 11.6370
114.114 9.30846
114.158 5.83131
114.203 3.59080
114.247 2.35152
114.292 1.64190
114.336 1.21014
114.425 0.743309
114.514 0.513338
114.603 0.384461
114.692 0.305607
114.870 0.218518
115.048 0.174469
115.226 0.149569
115.582 0.124930
116.294 0.111444
117.007 0.113806
118.431 0.139270
119.855 0.195055
120.567 0.243344
121.279 0.317503
121.991 0.439284
122.704 0.659783
123.060 0.844173
123.416 1.12363
123.772 1.57689
124.128 2.38451
124.306 3.04984
124.484 4.04241
124.662 5.61858
124.840 8.34250
125.018 13.6679
125.107 18.4658
125.196 26.2831
125.285 40.2320
125.330 51.6618
125.374 68.5394
125.419 94.7210
125.441 113.474
125.463 137.757
125.485 169.983
125.508 212.926
125.530 271.066
125.552 348.425
125.574 446.570
125.596 559.062
125.640 700.112
125.662 658.473
125.684 558.852
125.728 348.170
125.756 254.554
125.784 189.839
125.839 113.482
125.895 74.0460
125.950 51.7190
126.005 37.9899
126.061 29.0345
126.172 18.4762
126.283 12.7602
126.394 9.33178
126.615 5.60868
126.837 3.74107
127.059 2.67459
127.281 2.00931
127.503 1.56681
127.946 1.03350
128.390 0.737033
128.833 0.555599
129.277 0.436726
130.164 0.296016
131.052 0.219654
132.826 0.145515
134.601 0.114426
136.375 0.101627
139.924 0.104451
143.473 0.142845
145.248 0.186809
147.022 0.269269
147.909 0.339300
148.797 0.446445
149.684 0.622104
150.571 0.939665
151.015 1.20489
151.458 1.60623
151.902 2.25584
152.346 3.41028
152.567 4.35842
152.789 5.76895
153.011 7.99991
153.233 11.8333
153.455 19.2540
153.566 25.8769
153.676 36.5541
153.787 55.3094
153.843 70.4495
153.898 92.4173
153.954 125.845
154.009 179.121
154.065 268.663
154.120 421.700
154.180 675.791
154.240 845.528
154.300 675.415
154.360 421.284
154.409 282.103
154.458 195.711
154.507 141.442
154.556 106.087
154.654 65.2491
154.751 43.8440
154.849 31.3654
154.947 23.5138
155.143 14.5871
155.338 9.91185
155.534 7.16987
155.730 5.42582
155.925 4.25006
156.317 2.81222
156.708 2.00075
157.099 1.49871
157.490 1.16684
158.273 0.769603
159.056 0.550381
159.838 0.417123
160.621 0.330439
162.186 0.229194
163.751 0.175913
166.882 0.129515
170.012 0.120332
173.142 0.136500
176.273 0.190665
177.838 0.255079
178.621 0.338509
178.816 0.391102
179.012 0.502884
179.110 0.621882
179.207 0.863473
179.256 1.09091
179.305 1.47493
179.354 2.17489
179.403 3.51233
179.447 5.42696
179.490 6.70463
179.534 5.43495
179.577 3.52738
179.606 2.64007
179.635 2.03591
179.693 1.34309
179.750 0.995158
179.808 0.803463
179.924 0.616715
180.039 0.536992
180.270 0.482814
180.501 0.477610
181.425 0.583380
182.349 0.806604
183.273 1.22224
183.735 1.57222
184.196 2.10429
184.658 2.97027
185.120 4.51965
185.351 5.80030
185.582 7.71863
185.813 10.7796
186.044 16.1030
186.160 20.3816
186.275 26.6169
186.391 36.2011
186.506 51.9906
186.564 64.0393
186.622 80.7006
186.679 104.694
186.737 140.722
186.795 198.144
186.853 295.764
186.882 371.292
186.910 475.001
186.939 620.001
186.968 819.900
187.019 1312.41
187.070 1640.85
187.121 1311.94
187.172 819.368
187.220 517.441
187.268 342.868
187.316 239.666
187.364 175.428
187.461 104.469
187.557 68.8394
187.653 48.6053
187.749 36.0992
187.941 22.1124
188.134 14.9057
188.326 10.7193
188.518 8.07640
188.711 6.30277
189.095 4.14500
189.480 2.93355
189.864 2.18635
190.249 1.69340
191.018 1.10412
191.788 0.779016
192.557 0.581008
193.326 0.451749
194.865 0.299620
196.403 0.219566
197.942 0.185802
198.711 0.211555
199.095 0.285804
199.288 0.384259
199.480 0.594072
199.630 0.870675
199.780 1.05456
199.930 0.866516
200.080 0.585329
200.237 0.398194
200.394 0.295154
200.708 0.199823
201.021 0.159374
201.335 0.138107
202.590 0.106102
203.218 0.102247
203.845 0.108632
204.159 0.122761
204.473 0.163504
204.629 0.214919
204.708 0.261029
204.786 0.335112
204.865 0.464494
204.943 0.716406
204.982 0.939129
205.022 1.28811
205.061 1.85859
205.100 2.80421
205.145 4.44074
