Cr-54(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 20.6765
1.25000E-05 18.4937
1.50000E-05 16.8823
2.00000E-05 14.6205
2.75000E-05 12.4684
3.50000E-05 11.0521
4.25000E-05 10.0296
5.00000E-05 9.24683
6.25000E-05 8.27062
7.50000E-05 7.55001
0.000100000 6.53850
0.000125000 5.84821
0.000150000 5.33866
0.000200000 4.62342
0.000275000 3.94286
0.000350000 3.49497
0.000425000 3.17164
0.000500000 2.92411
0.000625000 2.61540
0.000750000 2.38752
0.00100000 2.06765
0.00125000 1.84937
0.00150000 1.68823
0.00200000 1.46205
0.00275000 1.24684
0.00350000 1.10521
0.00425000 1.00296
0.00500000 0.924683
0.00625000 0.827061
0.00750000 0.755000
0.0100000 0.653849
0.0125000 0.584820
0.0150000 0.533865
0.0200000 0.462340
0.0253000 0.411070
0.0314750 0.368547
0.0376500 0.336971
0.0500000 0.292408
0.0625000 0.261538
0.0750000 0.238749
0.100000 0.206762
0.125000 0.184933
0.150000 0.168819
0.200000 0.146201
0.275000 0.124679
0.350000 0.110515
0.500000 0.0924613
0.750000 0.0754915
1.00000 0.0653751
1.50000 0.0533745
2.00000 0.0462201
2.75000 0.0394122
3.50000 0.0349312
5.00000 0.0292189
7.50000 0.0238481
10.0000 0.0206452
15.0000 0.0168440
20.0000 0.0145763
27.5000 0.0124166
35.0000 0.0109937
50.0000 0.00917720
75.0000 0.00746500
100.000 0.00644067
150.000 0.00521962
200.000 0.00448686
275.000 0.00378428
350.000 0.00331778
500.000 0.00271633
750.000 0.00214087
999.999 0.00179142
1000.00 0.00179141
1000.01 0.00179141
1000.02 0.00179140
1000.03 0.00179138
1000.06 0.00179134
1000.12 0.00179127
1000.25 0.00179114
1000.49 0.00179086
1000.98 0.00179030
1001.96 0.00178919
1003.91 0.00178698
1007.81 0.00178257
1015.63 0.00177382
1031.25 0.00175662
1062.50 0.00172331
1125.00 0.00166078
1250.00 0.00154962
1500.00 0.00136935
2000.00 0.00111416
2750.00 0.000870700
3500.00 0.000712258
5000.00 0.000517613
7500.00 0.000353379
8750.00 0.000309046
9375.00 0.000297684
9687.50 0.000303427
10000.0 0.000382427
10134.4 0.000707430
10201.6 0.00200803
10235.2 0.00712709
10243.6 0.0123408
10252.0 0.0268868
10256.2 0.0466338
10260.4 0.100407
10262.5 0.171162
10263.6 0.238466
10264.6 0.354793
10265.7 0.581997
10266.2 0.789110
10266.7 1.11990
10267.2 1.72138
10267.5 2.20494
10267.8 2.91527
10268.0 4.00943
10268.3 5.79032
10268.5 8.85799
10268.8 14.2889
10269.1 23.0864
10269.3 28.6847
10269.6 22.7416
10269.9 14.2916
10270.1 8.85980
10270.4 5.88052
10270.6 4.06347
10270.9 2.98380
10271.1 2.25064
10271.4 1.76923
10271.9 1.16245
10272.4 0.819536
10272.9 0.607890
10273.9 0.371867
10275.0 0.250497
10276.0 0.180074
10278.0 0.106090
10282.1 0.0493425
10286.2 0.0285029
10294.3 0.0130961
10302.5 0.00756493
10335.0 0.00212463
10400.2 0.000735530
10530.6 0.000382198
10791.3 0.000289560
11312.8 0.000260793
12355.8 0.000252785
12877.2 0.000262778
13398.7 0.000302878
13659.4 0.000362861
13789.8 0.000423887
13920.2 0.000536489
14050.5 0.000779353
14115.7 0.00102262
14180.9 0.00146787
14213.5 0.00184433
14246.1 0.00242061
14278.7 0.00336809
14311.3 0.00508992
14327.6 0.00653549
14343.9 0.00873244
14360.2 0.0123130
14376.5 0.0187279
14384.6 0.0240414
14392.8 0.0320146
14400.9 0.0447657
14409.1 0.0669873
14417.2 0.111104
14421.3 0.151576
14425.4 0.218503
14429.4 0.341380
14431.5 0.444855
14433.5 0.600901
14435.5 0.853007
14437.6 1.28658
14439.6 2.10479
14441.6 3.71946
14443.4 5.95882
14445.1 7.44052
14446.8 5.94532
14448.5 3.72008
14450.0 2.44683
14451.4 1.67655
14452.9 1.20065
14454.4 0.894502
14457.3 0.545305
14460.2 0.364445
14463.1 0.259887
14466.0 0.194353
14471.9 0.120206
14477.7 0.0815080
14483.6 0.0589061
14489.4 0.0445594
14495.2 0.0348921
14506.9 0.0230755
14518.6 0.0164167
14530.3 0.0122936
14542.0 0.00956940
14565.4 0.00630336
14588.7 0.00449660
14612.1 0.00339470
14635.5 0.00267543
14682.2 0.00183295
14728.9 0.00141209
14775.7 0.00140056
14799.0 0.00238554
14810.7 0.00658511
14816.6 0.0227118
14819.5 0.0811332
14820.9 0.272687
14821.7 0.794769
14822.0 1.87030
14822.2 3.28647
14822.4 6.50986
14822.5 10.5910
14822.7 13.0324
14822.8 10.2455
14822.9 6.50111
14823.0 3.78467
14823.2 2.43940
14823.4 1.18297
14824.0 0.444012
14825.1 0.140241
14827.2 0.0400957
14831.5 0.0112462
14840.0 0.00347751
14857.2 0.00142810
14891.5 0.000842011
14960.0 0.000603706
15097.1 0.000446732
15371.3 0.000335412
15919.6 0.000276406
17016.3 0.000271076
18113.0 0.000312747
18661.4 0.000358899
18935.5 0.000417385
19072.6 0.000563357
19141.2 0.00109301
19175.4 0.00316252
19192.6 0.0112614
19201.1 0.0423518
19203.3 0.0732100
19205.4 0.156560
19206.5 0.265105
19207.6 0.542451
19208.1 0.883452
19208.6 1.65375
19208.9 2.49157
19209.2 4.13057
19209.3 5.65358
