34-Se_n-tot
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
1.508000e+02 7.29332228e+00
1.509520e+02 7.30978894e+00
1.511050e+02 7.34187182e+00
1.511810e+02 7.36986303e+00
1.512580e+02 7.41284327e+00
1.513340e+02 7.48104306e+00
1.514100e+02 7.58969864e+00
1.515050e+02 7.79029357e+00
1.516000e+02 7.92372008e+00
1.516950e+02 7.78944041e+00
1.517900e+02 7.58774969e+00
1.518850e+02 7.45756963e+00
1.519810e+02 7.38448168e+00
1.520760e+02 7.34215343e+00
1.521720e+02 7.31607239e+00
1.523620e+02 7.28724690e+00
1.525530e+02 7.27240021e+00
1.529350e+02 7.25765171e+00
1.533160e+02 7.25006103e+00
1.540790e+02 7.24111785e+00
1.548430e+02 7.23478401e+00
1.578950e+02 7.21447804e+00
1.640000e+02 7.17802740e+00
1.701050e+02 7.14535513e+00
1.731580e+02 7.13339017e+00
1.739210e+02 7.13270722e+00
1.746840e+02 7.13650004e+00
1.750000e+02 7.14243631e+00
1.750650e+02 7.14365882e+00
1.754470e+02 7.16278907e+00
1.756380e+02 7.18485291e+00
1.758290e+02 7.23030574e+00
1.759240e+02 7.27254898e+00
1.760190e+02 7.34199851e+00
1.761150e+02 7.46295885e+00
1.762100e+02 7.67935989e+00
1.763050e+02 8.01605169e+00
1.764000e+02 8.24032308e+00
1.764950e+02 8.01585128e+00
1.765900e+02 7.67860044e+00
1.766820e+02 7.46793693e+00
1.767730e+02 7.34730521e+00
1.768640e+02 7.27634784e+00
1.769560e+02 7.23236396e+00
1.771390e+02 7.18374420e+00
1.773220e+02 7.15913987e+00
1.776870e+02 7.13602666e+00
1.780530e+02 7.12556465e+00
1.787850e+02 7.11591550e+00
1.795160e+02 7.11118931e+00
1.824430e+02 7.10424508e+00
1.875000e+02 7.12024661e+00
1.882950e+02 7.12285509e+00
1.912210e+02 7.15970885e+00
1.941480e+02 7.23463557e+00
1.970740e+02 7.38505501e+00
2.000000e+02 7.70400971e+00
2.013340e+02 7.96642489e+00
2.026680e+02 8.37087251e+00
2.040010e+02 9.02864883e+00
2.043210e+02 9.30492036e+00
2.053350e+02 1.01805413e+01
2.066690e+02 1.24235290e+01
2.073360e+02 1.44096010e+01
2.080030e+02 1.75568522e+01
2.086410e+02 2.26837170e+01
2.086690e+02 2.29087258e+01
2.093360e+02 3.28824358e+01
2.096700e+02 4.12679956e+01
2.100030e+02 5.37306507e+01
2.103370e+02 7.27316006e+01
2.106700e+02 1.01732128e+02
2.108020e+02 1.18567543e+02
2.111350e+02 1.61038742e+02
2.116000e+02 2.02604858e+02
2.118820e+02 1.80601703e+02
2.120700e+02 1.65932949e+02
2.125400e+02 1.07848233e+02
2.128440e+02 8.10648097e+01
2.129620e+02 7.38536540e+01
2.131480e+02 6.24869307e+01
2.135020e+02 4.97785148e+01
2.137570e+02 4.06241608e+01
2.140420e+02 3.53169477e+01
2.143650e+02 2.93021242e+01
2.145820e+02 2.69977132e+01
2.149730e+02 2.28455484e+01
2.151220e+02 2.18686838e+01
2.155820e+02 1.88528889e+01
2.156620e+02 1.85065545e+01
2.161900e+02 1.62207822e+01
2.162020e+02 1.61897898e+01
2.172830e+02 1.33979984e+01
2.174070e+02 1.30777748e+01
2.183630e+02 1.17115244e+01
2.186230e+02 1.13399937e+01
2.194430e+02 1.06221618e+01
2.198400e+02 1.02747418e+01
2.210560e+02 9.57150871e+00
2.216030e+02 9.35083447e+00
2.222730e+02 9.08085067e+00
2.237640e+02 8.69657232e+00
2.247060e+02 8.45433795e+00
2.259240e+02 8.26704641e+00
2.271400e+02 8.08095175e+00
2.280840e+02 7.98663362e+00
2.295730e+02 7.83924098e+00
2.302440e+02 7.79317923e+00
2.320060e+02 7.67564345e+00
2.345650e+02 7.56829620e+00
2.368730e+02 7.48081860e+00
2.388860e+02 7.43937327e+00
2.417390e+02 7.40109370e+00
2.432060e+02 7.39437319e+00
2.444330e+02 7.40541838e+00
2.456830e+02 7.41670013e+00
2.466060e+02 7.42466532e+00
2.475270e+02 7.43723317e+00
2.496870e+02 7.50593700e+00
2.514720e+02 7.59877209e+00
2.518480e+02 7.61986127e+00
2.540080e+02 7.80905644e+00
2.561680e+02 8.10889106e+00
2.583290e+02 8.59951540e+00
2.604890e+02 9.44428368e+00
2.612050e+02 9.96435643e+00
2.626490e+02 1.10172582e+01
2.637290e+02 1.23300518e+01
2.648090e+02 1.42791954e+01
2.658900e+02 1.72991234e+01
2.669700e+02 2.22096975e+01
2.680500e+02 3.05891356e+01
2.685250e+02 3.70055016e+01
2.691300e+02 4.51776120e+01
2.703150e+02 7.04271902e+01
2.709380e+02 8.02014026e+01
2.715000e+02 8.90191950e+01
2.726850e+02 7.48643211e+01
2.738700e+02 5.09134842e+01
2.747530e+02 3.82259979e+01
2.750000e+02 3.58720728e+01
2.756370e+02 2.98014079e+01
2.758050e+02 2.87370172e+01
2.765200e+02 2.42073321e+01
2.774030e+02 2.03925284e+01
2.791700e+02 1.57519768e+01
2.806710e+02 1.35603287e+01
2.809370e+02 1.31720645e+01
2.827030e+02 1.15949759e+01
2.831040e+02 1.13596104e+01
2.843210e+02 1.06462649e+01
2.844700e+02 1.05591623e+01
2.855380e+02 1.01846503e+01
2.867540e+02 9.76378498e+00
2.873630e+02 9.55864295e+00
2.879710e+02 9.36361565e+00
2.880030e+02 9.35465049e+00
2.885790e+02 9.28163856e+00
2.888650e+02 9.26645815e+00
2.888830e+02 9.26549631e+00
2.891870e+02 9.28409062e+00
2.894920e+02 9.38123428e+00
2.896440e+02 9.49364707e+00
2.897960e+02 9.69344625e+00
2.899480e+02 1.00636615e+01
2.901000e+02 1.08037410e+01
2.901760e+02 1.14567202e+01
2.902520e+02 1.24623046e+01
2.903280e+02 1.40597252e+01
2.904040e+02 1.66102701e+01
2.904530e+02 1.89052673e+01
2.905020e+02 2.15757367e+01
2.906000e+02 2.51521618e+01
2.906980e+02 2.21952467e+01
2.907960e+02 1.73557055e+01
2.908930e+02 1.41800063e+01
2.909900e+02 1.23530087e+01
2.910870e+02 1.12711494e+01
2.911850e+02 1.05911408e+01
2.912820e+02 1.01377416e+01
2.913670e+02 9.85923811e+00
2.913790e+02 9.81991213e+00
2.915370e+02 9.48530619e+00
2.915730e+02 9.41169287e+00
2.917670e+02 9.17271095e+00
2.919620e+02 9.01314726e+00
2.923500e+02 8.80932932e+00
2.927380e+02 8.67739591e+00
2.931270e+02 8.57818206e+00
2.939040e+02 8.42426338e+00
2.946810e+02 8.29669413e+00
2.950700e+02 8.23864170e+00
2.954580e+02 8.19600472e+00
2.970120e+02 8.04064809e+00
2.985650e+02 7.89448534e+00
2.986030e+02 7.89100787e+00
3.001190e+02 7.78744022e+00
3.021360e+02 7.65316915e+00
3.027870e+02 7.62252297e+00
3.032270e+02 7.60149893e+00
3.092030e+02 7.32342097e+00
3.094430e+02 7.31561820e+00
3.110810e+02 7.26301073e+00
3.142080e+02 7.15981007e+00
3.156580e+02 7.11036702e+00
3.162690e+02 7.08943673e+00
3.218740e+02 6.93862717e+00
3.233360e+02 6.89888378e+00
3.249810e+02 6.86118388e+00
3.256290e+02 6.84632234e+00
3.280890e+02 6.78540266e+00
3.296430e+02 6.74769981e+00
3.304030e+02 6.73019371e+00
3.311970e+02 6.71472771e+00
3.327510e+02 6.68935415e+00
3.332980e+02 6.68500328e+00
3.343050e+02 6.67526483e+00
3.350820e+02 6.67913881e+00
3.358580e+02 6.69921403e+00
3.366350e+02 6.75105400e+00
3.370500e+02 6.81553641e+00
3.374120e+02 6.87097745e+00
3.378010e+02 6.98319058e+00
3.381890e+02 7.16304636e+00
3.385780e+02 7.46457886e+00
3.389660e+02 8.00518103e+00
3.391610e+02 8.44298082e+00
3.393550e+02 9.07719094e+00
3.395490e+02 1.00350199e+01
3.397430e+02 1.15595976e+01
3.399370e+02 1.41584946e+01
3.400350e+02 1.61757173e+01
3.401320e+02 1.89926622e+01
3.402290e+02 2.30407075e+01
3.403260e+02 2.90302064e+01
3.404230e+02 3.81048957e+01
3.405200e+02 5.18692883e+01
