Cr-53(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 909.750
1.25000E-05 813.706
1.50000E-05 742.808
2.00000E-05 643.291
2.75000E-05 548.600
3.50000E-05 486.282
4.25000E-05 441.294
5.00000E-05 406.853
6.25000E-05 363.900
7.50000E-05 332.194
0.000100000 287.688
0.000125000 257.316
0.000150000 234.897
0.000200000 203.426
0.000275000 173.483
0.000350000 153.776
0.000425000 139.549
0.000500000 128.658
0.000625000 115.075
0.000750000 105.049
0.00100000 90.9750
0.00125000 81.3705
0.00150000 74.2808
0.00200000 64.3291
0.00275000 54.8600
0.00350000 48.6282
0.00425000 44.1294
0.00500000 40.6853
0.00625000 36.3900
0.00750000 33.2194
0.0100000 28.7688
0.0125000 25.7316
0.0150000 23.4896
0.0200000 20.3426
0.0253000 18.0868
0.0314750 16.2158
0.0376500 14.8265
0.0500000 12.8658
0.0625000 11.5075
0.0750000 10.5048
0.100000 9.09743
0.125000 8.13697
0.150000 7.42799
0.200000 6.43280
0.275000 5.48588
0.350000 4.86269
0.500000 4.06837
0.750000 3.32175
1.00000 2.87667
1.50000 2.34871
2.00000 2.03397
2.75000 1.73448
3.50000 1.53737
5.00000 1.28612
7.50000 1.04993
10.0000 0.909113
15.0000 0.742035
20.0000 0.642405
27.5000 0.547573
35.0000 0.485134
50.0000 0.405507
75.0000 0.330596
100.000 0.285899
150.000 0.232842
200.000 0.201211
275.000 0.171163
350.000 0.151476
500.000 0.126681
750.000 0.104282
999.999 0.0921617
1000.00 0.0921616
1000.01 0.0921613
1000.02 0.0921610
1000.03 0.0921605
1000.06 0.0921594
1000.12 0.0921572
1000.25 0.0921527
1000.49 0.0921439
1000.98 0.0921263
1001.96 0.0920910
1003.91 0.0920208
1007.81 0.0918813
1015.63 0.0916058
1031.25 0.0910689
1062.50 0.0900498
1125.00 0.0882159
1250.00 0.0852712
1500.00 0.0817633
2000.00 0.0824934
2391.70 0.0904956
2783.40 0.107893
3175.10 0.141542
3566.80 0.205341
3907.45 0.295886
4248.10 0.378858
4418.45 0.381304
4588.80 0.352087
4929.50 0.267313
5000.00 0.254390
5138.63 0.239053
5277.25 0.243957
5346.56 0.260109
5415.88 0.294195
5485.19 0.363319
5554.50 0.505906
5670.60 0.935295
5699.63 0.941274
5728.65 0.859902
5786.70 0.616930
5837.85 0.461598
5889.00 0.370611
5940.15 0.319120
5991.30 0.290300
6042.45 0.274955
6093.60 0.268097
6195.90 0.269512
6343.98 0.288359
6492.05 0.306112
6640.13 0.304492
6788.20 0.281433
7084.40 0.227991
7380.60 0.222541
7636.70 0.267132
7921.95 0.356171
8207.20 0.377649
8492.50 0.273237
8777.80 0.170592
9083.35 0.106401
9388.90 0.0715505
9694.45 0.0514503
10000.0 0.0389841
10525.3 0.0264410
11050.5 0.0194100
11575.8 0.0151489
11838.4 0.0140616
11969.7 0.0154040
12002.6 0.0173145
12035.4 0.0229325
12051.8 0.0306823
12060.0 0.0382850
12068.2 0.0518209
12076.4 0.0795639
12080.5 0.105806
12084.6 0.150902
12088.7 0.238473
12090.8 0.316472
12092.8 0.442155
12094.9 0.662715
12096.9 1.09834
12098.0 1.49191
12099.0 2.11273
12100.0 3.16140
12101.0 4.93123
12102.2 7.89725
12103.3 9.85375
12104.4 7.87428
12105.5 4.93568
12106.3 3.42792
12107.2 2.44789
12108.0 1.80914
12108.8 1.38095
12110.5 0.871877
12112.1 0.598746
12113.8 0.435527
12115.4 0.331950
12118.7 0.212232
12122.1 0.148638
12125.4 0.111151
12132.0 0.0709187
12138.6 0.0509193
12145.2 0.0395824
12158.5 0.0278340
12171.7 0.0221735
12185.0 0.0190056
12211.5 0.0157393
12264.5 0.0132133
12317.5 0.0121767
12529.5 0.0105773
12741.4 0.00975682
12847.4 0.00956219
12900.4 0.0100390
12926.9 0.0124976
12933.5 0.0150769
12940.2 0.0223359
12943.5 0.0322674
12946.8 0.0595869
12948.4 0.0961503
12949.3 0.131405
12950.1 0.192262
12950.9 0.314835
12951.3 0.429602
12951.8 0.616675
12952.2 0.972138
12952.4 1.27697
12952.6 1.72003
12952.8 2.47694
12953.0 3.74043
12953.2 6.29381
12953.3 8.34692
12953.4 11.2542
12953.6 18.2007
12953.7 22.4376
12953.9 17.7157
12954.1 11.2147
12954.2 8.07991
12954.3 6.10685
12954.5 3.64827
12954.7 2.38089
12954.9 1.66336
12955.1 1.22354
12955.3 0.936403
12955.7 0.604298
12956.2 0.419096
12956.6 0.310385
12957.4 0.190194
12958.2 0.129735
12959.1 0.0951392
12960.7 0.0591223
12964.0 0.0319945
12967.4 0.0221498
12974.0 0.0149122
12980.7 0.0123170
12994.0 0.0104155
13007.3 0.00971880
13060.5 0.00892945
13166.8 0.00848393
13379.6 0.00792554
13805.1 0.00704182
14230.6 0.00635306
14443.4 0.00616356
14549.8 0.00650125
14576.4 0.00696248
14603.0 0.00832883
14616.3 0.0102436
14629.6 0.0156139
14636.2 0.0229144
14639.5 0.0300695
14642.9 0.0427885
14646.2 0.0689698
14647.9 0.0937808
14649.5 0.136579
14651.2 0.219913
14652.0 0.294740
14652.8 0.416143
14653.7 0.631388
14654.1 0.809116
14654.5 1.06358
14654.9 1.46459
14655.3 2.09973
14655.7 3.21668
14656.2 5.13363
14656.6 8.23880
14657.0 10.2510
14657.4 8.18177
14657.9 5.14931
14658.2 3.48377
14658.5 2.45915
14658.9 1.78533
14659.2 1.35448
14659.9 0.841912
14660.5 0.570368
14661.2 0.411108
14661.9 0.310304
14663.2 0.195189
14664.6 0.134665
14665.9 0.0990438
14668.6 0.0611106
14671.2 0.0422829
14673.9 0.0316365
14679.3 0.0206811
14690.0 0.0125188
14700.7 0.00956549
14722.1 0.00739396
14743.5 0.00660531
14829.2 0.00575734
15000.5 0.00537237
15343.1 0.00497087
15685.7 0.00465468
15857.0 0.00451849
15942.7 0.00447007
15985.5 0.00450962
16006.9 0.00477783
16017.6 0.00588104
16023.0 0.0101120
16024.3 0.0143031
16025.7 0.0255715
16026.3 0.0401569
16027.0 0.0770784
16027.4 0.122290
16027.7 0.221575
16027.9 0.328567
16028.0 0.516885
16028.1 0.698782
16028.2 0.945832
16028.3 1.32674
16028.3 2.00294
16028.5 3.15065
16028.6 4.01273
16028.7 3.15783
16028.8 2.00851
16028.9 1.16670
16029.0 0.752912
16029.1 0.517850
16029.2 0.375424
16029.4 0.221858
16029.7 0.146321
16030.1 0.0780674
16030.5 0.0492792
16031.4 0.0258744
16032.3 0.0169970
16034.1 0.0102110
16035.9 0.00772319
16042.9 0.00523453
16057.1 0.00458018
16085.4 0.00439595
16142.0 0.00431467
16255.1 0.00422744
16481.5 0.00408305
16934.2 0.00384641
17839.7 0.00361541
18292.4 0.00374417
18745.2 0.00444378
18971.5 0.00551004
19084.7 0.00656457
19197.9 0.00842603
19311.1 0.0121375
19367.7 0.0155385
19424.2 0.0211670
19480.8 0.0314312
19509.1 0.0400241
19537.4 0.0529676
19551.6 0.0620099
19565.7 0.0735893
19579.9 0.0886734
19594.0 0.108663
19608.2 0.135661
19622.3 0.172639
19636.5 0.223550
19650.6 0.292354
19676.8 0.456915
19689.8 0.519225
19702.9 0.526048
19729.1 0.389680
19755.3 0.239386
19785.9 0.138440
19816.5 0.0872320
19847.1 0.0594931
19877.7 0.0432170
19908.2 0.0329901
19938.8 0.0262179
20000.0 0.0182752
20054.9 0.0146939
20109.7 0.0137540
20137.2 0.0151495
20150.9 0.0170756
20164.6 0.0209318
20178.3 0.0294748
20185.2 0.0379605
20192.1 0.0531273
20198.9 0.0840969
20202.3 0.113266
20205.8 0.163051
20209.2 0.258300
20210.9 0.342498
20212.6 0.475528
20214.4 0.705689
20216.1 1.14324
20216.9 1.52505
20217.8 2.10460
20218.6 3.03898
20219.5 4.52318
20220.5 7.24903
20221.6 9.04677
20222.6 7.22627
20223.7 4.52715
20224.8 2.70989
20225.9 1.73428
20227.0 1.18462
20228.1 0.854002
20229.2 0.642608
20230.3 0.500308
20232.5 0.327693
20234.7 0.231189
20236.9 0.172511
20241.3 0.107603
20245.7 0.0743986
20250.1 0.0552537
20258.9 0.0350955
20267.7 0.0252180
20276.5 0.0196338
20294.1 0.0138227
20311.7 0.0109563
20329.4 0.00929373
20364.6 0.00746031
20435.0 0.00581222
20505.5 0.00499473
20787.3 0.00362037
21350.9 0.00280250
21914.6 0.00254671
22196.4 0.00254185
22337.3 0.00274517
22407.7 0.00360737
22443.0 0.00694661
22460.6 0.0192965
22469.4 0.0615523
22473.8 0.185670
22476.0 0.466372
22477.1 0.902354
22477.6 1.35240
22478.2 2.12364
22478.8 3.41618
22479.4 4.26231
22480.0 3.39342
22480.6 2.12388
22481.5 1.03159
22482.4 0.577592
22484.2 0.246297
22487.8 0.0850237
22495.0 0.0267077
22509.5 0.00902758
22538.4 0.00415436
22596.3 0.00287470
22712.0 0.00254837
22943.4 0.00248257
23406.2 0.00256130
23869.0 0.00277848
24100.4 0.00296754
24216.1 0.00312696
24274.0 0.00336988
24302.9 0.00409965
24317.4 0.00677132
24324.6 0.0164560
24328.2 0.0487703
24330.0 0.139776
24330.9 0.330394
24331.4 0.601350
24331.8 1.28426
24332.1 2.05666
24332.4 2.62874
24332.7 2.14040
24332.9 1.34963
24333.3 0.733199
24333.7 0.433449
24334.4 0.197675
24335.8 0.0717640
24338.7 0.0238603
24344.4 0.00889786
24355.8 0.00472334
24378.6 0.00364768
24424.2 0.00342900
24515.5 0.00350501
24698.0 0.00386696
25063.0 0.00526213
25245.5 0.00673633
25336.7 0.00795483
25382.4 0.00878041
25428.0 0.00982128
25450.8 0.0104486
25473.6 0.0111658
25496.4 0.0119923
25519.3 0.0129514
25542.1 0.0140749
25564.9 0.0154020
25587.7 0.0169858
25610.5 0.0188966
25633.3 0.0212295
25656.1 0.0241104
25678.9 0.0277144
25701.8 0.0322801
25724.6 0.0381330
25747.4 0.0456906
25770.2 0.0554632
25793.0 0.0679294
25844.5 0.104362
25896.0 0.123520
25947.0 0.0964542
25998.0 0.0626926
26048.2 0.0421053
26098.4 0.0306720
26148.6 0.0242258
26198.8 0.0204908
26299.1 0.0171110
26399.5 0.0164672
26600.3 0.0194397
26801.0 0.0272967
27016.0 0.0412297
27231.0 0.0510213
27446.5 0.0417428
27662.0 0.0272736
27801.3 0.0207469
27940.7 0.0163891
28219.3 0.0119199
28498.0 0.0111348
28637.3 0.0123156
28707.0 0.0142385
28741.8 0.0182519
28759.2 0.0306299
28767.9 0.0727735
28772.3 0.204459
28774.4 0.539880
28775.5 1.15039
28776.1 1.87773
28776.6 3.34014
28777.1 5.33113
28777.5 6.67366
28778.0 5.34450
28778.4 3.35067
28778.8 2.19281
28779.2 1.49770
28780.0 0.799685
28781.5 0.331046
28784.7 0.119111
28790.9 0.0459801
28803.5 0.0253420
28828.6 0.0236075
28841.1 0.0279111
28853.6 0.0402503
28859.9 0.0559511
28866.2 0.0943045
28869.3 0.138435
28872.4 0.232356
28874.0 0.324619
28875.6 0.485055
28877.1 0.794607
28878.7 1.42564
28880.0 2.28818
