Mo-98(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 12.1732
1.25000E-05 11.4836
1.50000E-05 10.9747
2.00000E-05 10.2602
2.75000E-05 9.58041
3.50000E-05 9.13302
4.25000E-05 8.81004
5.00000E-05 8.56278
6.25000E-05 8.25442
7.50000E-05 8.02679
0.000100000 7.70728
0.000125000 7.48924
0.000150000 7.32828
0.000200000 7.10235
0.000275000 6.88738
0.000350000 6.74591
0.000425000 6.64377
0.000500000 6.56559
0.000625000 6.46807
0.000750000 6.39609
0.00100000 6.29506
0.00125000 6.22611
0.00150000 6.17521
0.00200000 6.10377
0.00275000 6.03580
0.00350000 5.99106
0.00425000 5.95877
0.00500000 5.93405
0.00625000 5.90321
0.00750000 5.88046
0.0100000 5.84851
0.0125000 5.82671
0.0150000 5.81062
0.0200000 5.78804
0.0253000 5.77185
0.0314750 5.75842
0.0376500 5.74845
0.0500000 5.73438
0.0625000 5.72464
0.0750000 5.71744
0.100000 5.70734
0.125000 5.70044
0.150000 5.69535
0.200000 5.68818
0.275000 5.68135
0.350000 5.67684
0.500000 5.67104
0.750000 5.66551
1.00000 5.66214
1.50000 5.65799
2.00000 5.65538
2.75000 5.65279
3.50000 5.65106
5.00000 5.64933
6.25000 5.64982
7.50000 5.65360
8.12500 5.65806
8.75000 5.66608
9.37500 5.68132
9.68750 5.69422
10.0000 5.71369
10.2550 5.73779
10.5100 5.77479
10.7650 5.83552
11.0200 5.94496
11.1475 6.03573
11.2750 6.17194
11.4025 6.38949
11.5300 6.76791
11.6575 7.51309
11.7213 8.18959
11.7850 9.29942
11.8488 11.2986
11.8806 12.9521
11.9125 15.4144
11.9444 19.2793
11.9763 25.7304
12.0081 37.2472
12.0400 58.5705
12.0700 90.4394
12.1000 111.773
12.1300 90.6497
12.1600 58.8334
12.1906 38.0965
12.2213 26.6141
12.2519 20.0495
12.2825 16.0625
12.3131 13.4938
12.3438 11.7558
12.4050 9.63514
12.4663 8.44679
12.5275 7.71720
12.6500 6.90704
