Nd-148(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 134.318
1.25000E-05 120.600
1.50000E-05 110.474
2.00000E-05 96.2608
2.75000E-05 82.7366
3.50000E-05 73.8359
4.25000E-05 67.4105
5.00000E-05 62.4914
6.25000E-05 56.3567
7.50000E-05 51.8282
0.000100000 45.4716
0.000125000 41.1337
0.000150000 37.9316
0.000200000 33.4369
0.000275000 29.1601
0.000350000 26.3455
0.000425000 24.3136
0.000500000 22.7580
0.000625000 20.8181
0.000750000 19.3860
0.00100000 17.3759
0.00125000 16.0042
0.00150000 14.9916
0.00200000 13.5702
0.00275000 12.2177
0.00350000 11.3277
0.00425000 10.6851
0.00500000 10.1932
0.00625000 9.57966
0.00750000 9.12678
0.0100000 8.49105
0.0125000 8.05718
0.0150000 7.73688
0.0200000 7.28723
0.0253000 6.96485
0.0314750 6.69740
0.0376500 6.49874
0.0500000 6.21823
0.0625000 6.02374
0.0750000 5.88004
0.100000 5.67803
0.125000 5.53984
0.150000 5.43756
0.200000 5.29336
0.275000 5.15499
0.350000 5.06282
0.500000 4.94302
0.750000 4.82572
1.00000 4.75142
1.50000 4.65444
2.00000 4.58783
2.75000 4.51248
3.50000 4.45167
5.00000 4.35032
7.50000 4.20720
10.0000 4.07746
15.0000 3.83368
20.0000 3.59864
27.5000 3.25192
35.0000 2.90704
50.0000 2.21477
72.4439 1.18070
83.6659 0.699309
89.2769 0.490459
92.0824 0.406779
93.4851 0.398501
93.8358 0.422829
94.0112 0.452115
94.1865 0.509632
94.3619 0.637684
94.4495 0.766866
94.5372 1.00250
94.6249 1.50005
94.6687 1.98641
94.7125 2.85154
94.7345 3.56209
94.7564 4.61952
94.7783 6.29135
94.8002 9.15962
94.8221 14.7035
94.8331 19.6401
94.8440 27.5784
94.8550 41.4677
94.8660 68.7692
94.8714 93.1606
94.8769 131.810
94.8824 195.969
94.8879 304.088
94.8939 486.493
94.9000 607.828
94.9061 486.203
94.9121 304.127
94.9171 203.729
94.9221 141.298
94.9270 102.123
94.9320 76.6277
94.9420 47.2106
94.9519 31.8198
94.9618 22.8494
94.9718 17.2009
94.9916 10.7843
95.0115 7.42373
