Mo-97(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 110.535
1.25000E-05 98.8656
1.50000E-05 90.2515
2.00000E-05 78.1601
2.75000E-05 66.6552
3.50000E-05 59.0835
4.25000E-05 53.6174
5.00000E-05 49.4328
6.25000E-05 44.2140
7.50000E-05 40.3617
0.000100000 34.9542
0.000125000 31.2640
0.000150000 28.5400
0.000200000 24.7163
0.000275000 21.0781
0.000350000 18.6837
0.000425000 16.9551
0.000500000 15.6318
0.000625000 13.9815
0.000750000 12.7633
0.00100000 11.0532
0.00125000 9.88626
0.00150000 9.02482
0.00200000 7.81563
0.00275000 6.66506
0.00350000 5.90784
0.00425000 5.36118
0.00500000 4.94267
0.00625000 4.42072
0.00750000 4.03542
0.0100000 3.49456
0.0125000 3.12543
0.0150000 2.85294
0.0200000 2.47041
0.0253000 2.19617
0.0314750 1.96869
0.0376500 1.79975
0.0500000 1.56126
0.0625000 1.39600
0.0750000 1.27397
0.100000 1.10261
0.125000 0.985589
0.150000 0.899158
0.200000 0.777729
0.275000 0.662020
0.350000 0.585731
0.500000 0.488250
0.750000 0.396219
1.00000 0.341051
1.50000 0.275126
2.00000 0.235442
2.75000 0.197281
3.50000 0.171876
5.00000 0.139058
7.50000 0.107687
10.0000 0.0887842
15.0000 0.0664769
20.0000 0.0536992
27.5000 0.0428704
35.0000 0.0378868
42.5000 0.0378606
50.0000 0.0457251
55.2112 0.0629633
57.8168 0.0811624
60.4225 0.115031
61.7253 0.143836
63.0281 0.188064
64.3309 0.260952
65.6337 0.393824
66.2851 0.505729
66.9365 0.676580
67.5879 0.956554
68.2393 1.46341
68.5650 1.88746
68.8907 2.53061
69.2164 3.57491
69.5421 5.43961
69.7050 6.97775
69.8678 9.27800
70.0307 12.9406
70.1935 19.2955
70.3564 31.7885
70.4378 43.1260
70.5192 61.7321
70.6006 95.3049
70.6413 123.125
70.6821 164.667
70.7228 230.115
70.7635 339.982
70.8042 537.695
70.8246 694.416
70.8449 908.002
70.8825 1452.62
70.9200 1815.38
70.9576 1451.69
70.9951 906.912
71.0283 588.871
71.0615 398.538
71.0947 282.782
71.1278 209.247
71.1942 126.369
71.2606 83.9466
71.3269 59.6011
71.3933 44.4239
71.5260 27.3373
71.6588 18.4750
71.7915 13.3055
71.9242 10.0328
72.0570 7.83221
72.3224 5.15023
72.5879 3.64141
72.8533 2.70984
73.1188 2.09489
73.6497 1.35954
74.1807 0.953778
74.7116 0.706763
75.2425 0.545605
76.3044 0.356328
77.3662 0.257959
78.4281 0.226633
78.6935 0.245756
78.9590 0.316271
79.0917 0.412965
79.1581 0.503064
79.2244 0.652886
79.2908 0.926109
79.3572 1.49609
79.3904 2.03802
79.4235 2.95399
79.4567 4.61753
79.4899 7.76996
79.5200 12.3476
79.5500 15.4008
79.5801 12.3503
79.6101 7.77196
79.6300 5.64469
79.6499 4.19369
79.6898 2.52018
79.7296 1.67380
79.7694 1.20044
79.8092 0.912310
79.8491 0.725029
79.9287 0.505067
80.0084 0.385796
80.0880 0.313746
80.2473 0.234027
80.5659 0.167131
80.8845 0.137990
81.5217 0.109517
82.1588 0.0936766
84.7076 0.0612951
87.2563 0.0452064
89.8051 0.0355342
94.9025 0.0249607
100.000 0.0202010
102.369 0.0196410
104.738 0.0215448
105.922 0.0254400
106.514 0.0295819
107.106 0.0372634
107.699 0.0535592
107.995 0.0694314
108.291 0.0974622
108.587 0.153933
108.735 0.206487
108.883 0.294976
109.031 0.461143
109.105 0.604465
109.179 0.827425
109.253 1.19919
109.327 1.87737
109.364 2.43795
109.401 3.26029
109.438 4.49557
109.475 6.35049
109.528 10.1430
109.580 12.6683
109.633 10.1478
109.685 6.35647
109.718 4.65108
109.752 3.46774
109.819 2.07584
109.885 1.35805
109.952 0.951592
110.019 0.702413
110.086 0.539711
110.219 0.348229
110.353 0.244614
110.487 0.182470
110.754 0.114954
111.021 0.0810447
111.288 0.0616450
111.823 0.0414260
112.357 0.0316282
112.891 0.0261379
113.960 0.0205157
116.098 0.0164508
118.235 0.0153860
120.373 0.0158963
122.510 0.0190306
123.579 0.0235367
124.113 0.0279268
124.648 0.0357161
125.182 0.0516966
125.449 0.0669694
125.716 0.0936110
125.984 0.146584
126.117 0.195319
126.251 0.276572
126.384 0.426750
126.451 0.554388
126.518 0.749914
126.585 1.06896
126.652 1.63260
126.718 2.72612
126.752 3.65614
126.785 4.99200
126.838 7.97080
126.890 9.95446
126.943 7.97419
126.995 4.99636
127.031 3.56844
127.067 2.60979
127.103 1.96502
127.139 1.52179
127.211 0.980263
127.283 0.681297
127.355 0.500718
127.427 0.384347
127.571 0.248959
127.715 0.176531
127.859 0.133536
128.148 0.0873939
128.436 0.0647121
128.724 0.0521521
129.300 0.0401013
129.876 0.0356955
130.453 0.0349401
131.605 0.0407216
132.758 0.0593852
133.334 0.0790759
133.910 0.115155
134.198 0.145359
134.486 0.190968
134.774 0.264411
135.063 0.393686
135.351 0.653351
135.495 0.894252
135.639 1.29874
135.783 2.05522
135.855 2.70499
135.927 3.71151
135.999 5.38275
136.071 8.40141
136.107 10.8743
136.143 14.4711
136.179 19.8166
136.215 27.7467
136.268 44.3013
136.320 55.3048
136.373 44.3180
136.425 27.7678
136.487 15.7530
136.549 9.66669
136.611 6.41515
136.673 4.53032
136.736 3.35618
136.798 2.58072
136.922 1.65836
137.046 1.15340
137.170 0.848482
137.418 0.515303
137.667 0.347014
137.915 0.250510
138.164 0.190062
138.412 0.149742
138.909 0.100938
139.405 0.0736389
139.902 0.0568261
140.399 0.0457334
141.392 0.0324378
142.385 0.0250540
144.372 0.0175130
146.359 0.0138924
148.345 0.0118527
152.319 0.00971822
160.266 0.00806066
168.213 0.00749100
184.106 0.00766307
192.053 0.00857447
196.027 0.00960273
200.000 0.0118031
202.469 0.0149436
203.703 0.0179342
204.938 0.0232394
206.172 0.0342803
206.789 0.0450651
207.406 0.0643954
207.715 0.0804360
208.024 0.104591
208.332 0.143443
208.641 0.211889
208.949 0.349784
209.104 0.478286
209.258 0.695404
209.412 1.10477
209.489 1.46024
209.567 2.01571
209.644 2.95092
209.721 4.67640
209.759 6.12291
209.798 8.26482
209.837 11.5393
209.875 16.5261
209.928 26.3849
209.980 32.9379
210.033 26.3915
210.085 16.5343
210.119 12.0292
210.153 8.92255
210.221 5.30055
210.289 3.44446
210.357 2.40047
210.425 1.76178
210.493 1.34647
210.629 0.858824
210.764 0.595427
210.900 0.437878
211.172 0.267023
211.444 0.181479
211.715 0.132708
212.259 0.0821871
212.802 0.0580187
213.346 0.0447253
214.432 0.0316605
215.519 0.0261058
216.606 0.0237695
218.780 0.0240536
220.953 0.0302891
222.040 0.0374039
223.127 0.0506274
224.214 0.0787041
224.757 0.106255
225.300 0.155594
225.572 0.196435
225.844 0.257750
226.116 0.355942
226.387 0.527810
226.659 0.870516
226.795 1.18650
226.931 1.71358
227.067 2.68990
227.134 3.52017
227.202 4.79341
227.270 6.87800
227.338 10.5653
227.406 17.7457
227.440 23.8867
227.474 32.7428
227.527 52.3821
227.580 65.4790
227.633 52.3939
227.686 32.7581
227.729 21.9657
227.773 15.2448
227.816 11.0222
227.859 8.27667
227.946 5.09722
228.032 3.43271
228.119 2.46198
228.205 1.85119
228.378 1.15646
228.552 0.792978
228.725 0.579919
229.071 0.353867
229.417 0.243708
229.763 0.182993
230.456 0.126248
231.148 0.112744
231.494 0.120066
231.840 0.142783
232.187 0.198149
232.360 0.253174
232.533 0.348952
232.706 0.534288
232.792 0.698439
232.879 0.959601
232.966 1.40996
233.052 2.27129
233.095 3.02012
