Cu-63(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 229.912
1.25000E-05 206.178
1.50000E-05 188.658
2.00000E-05 164.067
2.75000E-05 140.668
3.50000E-05 125.268
4.25000E-05 114.151
5.00000E-05 105.640
6.25000E-05 95.0262
7.50000E-05 87.1913
0.000100000 76.1935
0.000125000 68.6882
0.000150000 63.1480
0.000200000 55.3714
0.000275000 47.9720
0.000350000 43.1022
0.000425000 39.5867
0.000500000 36.8954
0.000625000 33.5389
0.000750000 31.0612
0.00100000 27.5834
0.00125000 25.2100
0.00150000 23.4581
0.00200000 20.9989
0.00275000 18.6589
0.00350000 17.1189
0.00425000 16.0072
0.00500000 15.1561
0.00625000 14.0946
0.00750000 13.3111
0.0100000 12.2113
0.0125000 11.4607
0.0150000 10.9066
0.0200000 10.1288
0.0253000 9.57127
0.0253000 9.57127
0.0253001 9.57127
0.0253001 9.57126
0.0253002 9.57126
0.0253004 9.57124
0.0253008 9.57120
0.0253015 9.57114
0.0253030 9.57101
0.0253061 9.57074
0.0253121 9.57021
0.0253241 9.56914
0.0253483 9.56702
0.0253965 9.56277
0.0254930 9.55432
0.0256860 9.53756
0.0260719 9.50460
0.0268438 9.44082
0.0283875 9.32116
0.0314750 9.10882
0.0376500 8.76540
0.0500000 8.28067
0.0625000 7.94483
0.0750000 7.69688
0.100000 7.34874
0.125000 7.11107
0.150000 6.93555
0.200000 6.68902
0.275000 6.45416
0.350000 6.29933
0.500000 6.10146
0.750000 5.91445
1.00000 5.80205
1.50000 5.66959
2.00000 5.58997
2.75000 5.51338
3.50000 5.46223
5.00000 5.39560
7.50000 5.33031
10.0000 5.28921
15.0000 5.23671
20.0000 5.20241
27.5000 5.16684
35.0000 5.14175
50.0000 5.10901
75.0000 5.08372
100.000 5.08042
135.000 5.09940
170.000 5.13715
200.000 5.02010
300.935 4.66394
351.403 4.49016
376.636 4.39918
389.253 4.35191
395.562 4.32877
397.139 4.32394
398.716 4.32152
399.504 4.32353
400.293 4.33418
400.687 4.35041
400.884 4.36625
401.082 4.39363
401.279 4.44619
401.377 4.49229
401.476 4.56488
401.574 4.68809
401.673 4.91795
401.722 5.11259
401.772 5.40453
401.821 5.85532
401.870 6.55180
401.935 7.89394
402.000 8.78563
402.065 7.89406
402.130 6.55155
402.178 5.87060
402.226 5.42476
402.273 5.13241
