Cr-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
23573.4 0.00165186
23828.7 0.00166642
23956.3 0.00169538
24020.1 0.00178585
24052.0 0.00213091
24067.9 0.00349158
24075.9 0.00885218
24079.9 0.0296714
24081.9 0.107661
24082.9 0.385205
24083.4 1.26157
24083.7 3.48645
24083.8 7.22409
24083.8 11.4631
24083.9 19.6345
24084.0 32.3453
24084.0 39.0903
24084.1 30.0654
24084.1 19.4579
24084.2 12.4704
24084.2 8.35788
24084.3 4.33785
24084.5 1.79066
24084.9 0.584566
24085.7 0.169016
24087.2 0.0465517
24090.4 0.0132984
24096.6 0.00463961
24109.0 0.00242653
24134.0 0.00186896
24183.8 0.00173314
24283.5 0.00170949
24482.9 0.00173486
24682.3 0.00182474
24782.0 0.00209081
24831.8 0.00308946
24856.7 0.00698836
24869.2 0.0220656
24875.4 0.0785270
24877.0 0.133377
24878.5 0.277328
24879.3 0.457982
24880.1 0.894607
24880.5 1.38879
24880.9 2.42195
24881.1 3.44099
24881.3 5.08594
24881.5 8.04825
24881.7 13.6017
24881.8 22.0109
24882.0 27.2095
24882.2 21.5236
24882.4 13.6096
24882.6 7.64645
24882.8 4.66171
24883.0 3.08019
24883.2 2.20228
24883.6 1.25940
24884.0 0.810364
24884.8 0.414583
24885.6 0.251055
24887.3 0.120825
24888.9 0.0712136
24895.5 0.0201150
24908.6 0.00649511
24934.9 0.00298303
24987.3 0.00210122
25092.3 0.00190133
25302.3 0.00190519
25722.3 0.00206289
26142.2 0.00233976
26352.2 0.00254592
26562.2 0.00282341
26667.2 0.00299930
26719.7 0.00309912
26772.2 0.00320812
26824.7 0.00332749
26877.2 0.00345855
26929.7 0.00360291
26982.1 0.00376238
27034.6 0.00393921
27087.1 0.00413592
27139.6 0.00435570
27192.1 0.00460221
27297.1 0.00519463
27402.1 0.00596288
27507.1 0.00698378
27612.1 0.00837999
27717.1 0.0103568
27822.1 0.0132760
27927.0 0.0178135
28032.0 0.0253152
28084.5 0.0309642
28137.0 0.0385966
28189.5 0.0490324
28242.0 0.0632895
28438.0 0.135286
28487.0 0.132661
28536.0 0.116349
28634.0 0.0746243
28709.8 0.0512999
28785.6 0.0363269
28861.4 0.0267780
28937.2 0.0205131
29088.8 0.0132557
29240.4 0.00946083
29392.0 0.00726639
29543.6 0.00590046
29846.8 0.00439016
30150.0 0.00365252
30453.2 0.00327381
31059.6 0.00302806
31665.9 0.00314928
32272.3 0.00356037
32575.5 0.00392339
32878.7 0.00454784
33030.3 0.00515249
33106.1 0.00566740
33181.9 0.00652586
33257.7 0.00823599
33295.6 0.00987566
33333.5 0.0127969
33352.5 0.0152196
33371.4 0.0188758
33390.4 0.0247848
33409.3 0.0352851
33418.8 0.0439172
33428.3 0.0567661
33437.7 0.0771496
33447.2 0.112238
33456.7 0.180552
33461.4 0.241842
33466.2 0.340928
33470.9 0.516632
33473.3 0.659432
33475.6 0.867507
33478.0 1.18775
33480.4 1.70585
33482.7 2.59062
33485.1 4.13019
33487.6 6.60900
33490.0 8.26073
33492.5 6.61556
33494.9 4.13553
33496.9 2.80989
33498.8 1.97090
33500.7 1.43653
33502.7 1.08473
