Ti-49(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 94.2210
1.25000E-05 84.3309
1.50000E-05 77.0303
2.00000E-05 66.7826
2.75000E-05 57.0320
3.50000E-05 50.6148
4.25000E-05 45.9822
5.00000E-05 42.4357
6.25000E-05 38.0127
7.50000E-05 34.7478
0.000100000 30.1649
0.000125000 27.0373
0.000150000 24.7287
0.000200000 21.4881
0.000275000 18.4047
0.000350000 16.3754
0.000425000 14.9104
0.000500000 13.7889
0.000625000 12.3902
0.000750000 11.3578
0.00100000 9.90852
0.00125000 8.91951
0.00150000 8.18944
0.00200000 7.16467
0.00275000 6.18959
0.00350000 5.54787
0.00425000 5.08460
0.00500000 4.72994
0.00625000 4.28763
0.00750000 3.96113
0.0100000 3.50282
0.0125000 3.19005
0.0150000 2.95917
0.0200000 2.63508
0.0253000 2.40276
0.0314750 2.21006
0.0376500 2.06698
0.0500000 1.86502
0.0625000 1.72510
0.0750000 1.62181
0.100000 1.47681
0.125000 1.37783
0.150000 1.30475
0.200000 1.20213
0.275000 1.10443
0.350000 1.04008
0.500000 0.957949
0.750000 0.880545
1.00000 0.834222
1.50000 0.778925
2.00000 0.745628
2.75000 0.713510
3.50000 0.691978
5.00000 0.663721
7.50000 0.635598
10.0000 0.617446
15.0000 0.593266
20.0000 0.576371
27.5000 0.557169
35.0000 0.541830
50.0000 0.517152
75.0000 0.485241
100.000 0.459730
150.000 0.419931
200.000 0.389730
275.000 0.355844
350.000 0.331102
500.000 0.298851
750.000 0.275944
1000.00 0.279449
1250.00 0.308132
1500.00 0.368631
1750.00 0.475927
2000.00 0.658712
2212.28 0.913542
2424.55 1.32821
2636.83 2.03541
2849.10 3.33095
2955.24 4.39992
3061.38 5.97595
3167.51 8.40825
3273.65 12.3912
3379.79 19.4485
3432.86 25.1390
3485.93 33.3664
3538.99 45.7195
3592.06 65.0462
3645.13 96.4438
3698.20 147.945
3762.60 242.648
3827.00 307.659
3891.40 249.597
3955.80 159.726
4008.30 109.595
4060.80 77.8454
4113.29 57.5695
4165.79 44.1576
4270.79 28.3563
4375.78 19.8563
4480.78 14.7844
4585.77 11.5155
4690.77 9.28151
4743.26 8.42000
4769.51 8.03856
4782.64 7.86109
4789.20 7.78447
4790.84 7.77374
4792.48 7.78166
4793.30 7.80927
4794.12 7.89628
4794.53 8.00919
4794.94 8.27513
4795.14 8.56088
4795.35 9.11500
4795.45 9.60458
4795.55 10.3586
4795.66 11.5910
4795.76 13.5881
4795.88 17.1321
4796.00 19.4625
4796.12 17.0954
4796.24 13.5544
4796.34 11.5946
4796.44 10.3914
4796.54 9.62985
4796.64 9.13955
4796.84 8.57015
4797.04 8.27125
4797.44 7.98534
4797.83 7.85705
4798.63 7.74460
4799.43 7.69416
4801.02 7.64278
4802.61 7.61097
4808.98 7.51900
4821.71 7.35940
4847.18 7.06143
4898.12 6.52415
5000.00 5.63660
5329.53 3.82356
5659.05 2.84528
5988.58 2.26755
6318.11 1.92797
6647.63 1.77778
6977.16 1.85734
7306.69 2.37700
7471.45 2.99945
7553.83 3.48726
7574.43 3.63616
7595.02 3.79939
7605.32 3.88853
7615.62 3.98801
7620.77 4.04809
7625.92 4.13318
7628.49 4.20660
7629.78 4.26519
7631.07 4.35666
7632.35 4.52053
7633.00 4.66029
7633.64 4.87834
7634.28 5.24916
7634.93 5.95066
7635.25 6.55720
7635.57 7.48765
7635.89 8.96878
7636.21 11.3394
7636.61 15.6519
7637.00 18.5290
7637.39 15.6632
7637.79 11.3592
7638.11 8.98877
7638.43 7.51560
7638.75 6.59220
7639.07 5.99224
7639.72 5.30256
7640.36 4.94480
7641.01 4.73875
7641.65 4.61151
7642.94 4.47220
7644.22 4.40533
7645.51 4.37145
7648.08 4.34753
7653.23 4.36166
7658.38 4.40106
7668.68 4.50136
7678.98 4.61343
7699.57 4.85846
7720.16 5.12874
7802.54 6.50902
7884.92 8.58015
7967.29 11.8289
8049.67 17.2260
8132.05 26.8649
8214.42 45.5855
8255.61 61.4168
8296.80 84.1202
8365.90 139.136
8435.00 179.211
8504.10 147.929
8573.20 95.9591
8617.79 71.6260
8662.38 54.5393
8751.55 34.1295
8840.73 23.3717
8929.90 17.1428
9019.08 13.2370
9108.25 10.6281
9286.60 7.45631
9464.95 5.65823
9643.30 4.52799
10000.0 3.21479
10396.2 2.42666
10792.4 1.94811
11584.9 1.38949
12377.3 1.06194
12773.5 0.940123
12971.6 0.886069
13070.7 0.860544
13120.2 0.848403
13145.0 0.843485
13157.3 0.845011
13163.5 0.860369
13166.6 0.919663
13168.2 1.11381
13169.0 1.63055
13169.3 2.66417
13169.5 3.98889
13169.7 7.07849
13169.9 10.7166
13170.0 13.3062
13170.1 10.6947
13170.3 7.05153
13170.5 3.96539
13170.7 2.59880
13171.1 1.58969
13171.9 1.09373
13173.4 0.910475
13176.6 0.854060
13182.9 0.837344
13195.6 0.830394
13220.9 0.823327
13271.5 0.810983
