Ge-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
9044.58 4.75326
10000.0 4.48024
11041.9 4.14241
11562.8 3.93952
12083.7 3.69481
12604.6 3.37746
12865.1 3.17234
13125.6 2.91503
13386.0 2.57070
13516.3 2.34394
13646.5 2.05635
13776.7 1.66839
13841.8 1.41322
13906.9 1.09466
13972.1 0.688136
14004.6 0.448850
14037.2 0.204356
14053.5 0.101329
14061.6 0.0642097
14069.7 0.0441708
14077.9 0.0504955
14086.0 0.0975357
14090.1 0.142960
14094.2 0.208006
14098.2 0.297780
14102.3 0.418899
14110.4 0.792586
14118.6 1.43876
14126.7 2.56060
14134.9 4.55907
14143.0 8.28970
14147.1 11.3473
14151.1 15.7561
14155.2 22.2678
14159.3 32.1252
14163.3 47.3478
14167.4 70.8226
14173.7 128.419
14180.0 180.372
14186.3 160.632
14192.6 111.038
14199.6 72.2352
14206.6 50.1056
14213.6 37.0957
14220.6 28.9590
14227.6 23.5327
14234.6 19.7346
14248.6 14.8534
14262.6 11.9121
14276.5 9.97206
14304.5 7.59301
14332.5 6.19250
14360.5 5.26216
14416.4 4.06995
14472.4 3.29114
14528.3 2.69561
14640.3 1.71742
14752.2 0.813087
14808.1 0.386867
14836.1 0.202261
14850.1 0.124839
14864.1 0.0625981
14878.1 0.0211696
14892.1 0.00846758
14899.1 0.0161530
14906.1 0.0353898
14913.1 0.0682887
14920.0 0.117198
14927.0 0.185179
14934.0 0.275533
14948.0 0.541531
14962.0 0.960744
14976.0 1.60053
14990.0 2.56517
15004.0 4.01563
15018.0 6.21022
15032.0 9.57392
15045.9 14.8243
15059.9 23.1944
15073.9 36.7870
15087.9 58.8759
15109.0 114.697
15130.0 171.210
15140.5 174.983
15151.1 160.963
15172.1 116.788
15191.0 85.4531
15209.8 64.7553
15228.7 51.1652
15247.5 41.9355
15285.3 30.6324
15323.0 24.2012
15360.7 20.1460
15398.4 17.3904
15473.9 13.9261
15549.3 11.8564
15624.7 10.4872
15700.2 9.51498
15775.6 8.78858
15926.5 7.77174
16077.3 7.08876
16228.2 6.59309
16379.1 6.21268
16680.8 5.65548
16982.6 5.25271
17586.1 4.66514
18189.5 4.20010
18793.0 3.76079
19396.5 3.27811
19698.3 2.99177
20000.0 2.64592
20262.4 2.25797
20393.5 2.01067
20524.7 1.70343
20655.9 1.29869
20721.5 1.03970
20787.1 0.728409
20852.6 0.364462
20885.4 0.182888
20901.8 0.106941
20918.2 0.0564724
20926.4 0.0476433
20934.6 0.0555700
20942.8 0.0867625
20951.0 0.150406
20959.2 0.259657
20967.4 0.433688
20975.6 0.700999
20983.8 1.10433
20992.0 1.71222
21000.2 2.63295
21008.4 4.04726
21016.6 6.26354
21024.8 9.84568
21033.0 15.8288
21041.2 26.1591
21049.4 44.1881
21059.7 82.7337
21070.0 119.512
21080.3 109.190
21090.6 77.2322
21102.6 50.4936
21114.5 35.3196
21126.5 26.4439
21138.5 20.8942
21150.4 17.1891
21162.4 14.5860
21186.3 11.2213
21210.3 9.17388
21234.2 7.80926
21282.0 6.11028
21329.9 5.08776
21377.7 4.39357
21473.5 3.47532
21569.2 2.84968
21664.9 2.35344
21856.3 1.50736
22047.7 0.709109
22143.4 0.334616
22191.3 0.173573
22215.2 0.106261
22239.2 0.0521339
22263.1 0.0158375
22287.0 0.00374005
22299.0 0.00935765
22310.9 0.0244829
22322.9 0.0507350
22334.9 0.0899463
22346.8 0.144402
22358.8 0.216638
22382.7 0.427776
22406.7 0.756466
22430.6 1.25039
22454.5 1.98048
22478.4 3.05231
22502.4 4.62725
22526.3 6.95487
22550.2 10.4319
22574.2 15.6821
22598.1 23.6721
22622.0 35.7713
22666.0 72.7288
22710.0 112.244
22732.0 116.214
22754.0 108.088
22798.0 79.9186
22848.2 54.9908
22898.4 40.1204
22948.5 31.1184
22998.7 25.3306
23048.9 21.3841
23099.0 18.5583
23199.4 14.8276
23299.7 12.4998
23400.1 10.9171
23600.8 8.90106
23801.4 7.65812
24002.1 6.79933
24403.5 5.64501
24804.9 4.84845
25206.3 4.21167
26009.0 3.10539
26811.8 1.97944
27213.1 1.36171
