Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
82.5745 0.118192
82.6086 0.117981
82.6768 0.117559
82.8132 0.116724
83.0860 0.115081
83.6316 0.111903
84.7229 0.105947
86.9053 0.0954518
91.2702 0.0789487
99.9999 0.0583470
100.000 0.0583467
100.001 0.0583456
100.001 0.0583447
100.003 0.0583426
100.005 0.0583387
100.010 0.0583310
100.020 0.0583154
100.040 0.0582844
100.080 0.0582227
100.160 0.0581002
100.320 0.0578590
100.641 0.0573933
101.281 0.0565331
102.561 0.0551498
105.123 0.0547704
106.403 0.0576618
107.684 0.0684393
108.324 0.0838504
108.644 0.0988341
108.964 0.124993
109.285 0.176522
109.445 0.223198
109.605 0.299468
109.765 0.436224
109.925 0.715429
110.005 0.975420
110.085 1.40480
110.165 2.16042
110.245 3.53429
110.323 5.62674
110.400 7.02186
110.478 5.63059
110.555 3.53907
110.611 2.49692
110.667 1.81075
110.723 1.35758
110.778 1.05060
110.890 0.681360
111.002 0.480426
111.113 0.360295
111.225 0.283352
111.448 0.194365
111.672 0.147057
111.895 0.119048
112.341 0.0891285
113.234 0.0668358
114.128 0.0610214
115.021 0.0640832
115.914 0.0830745
116.360 0.111167
116.584 0.138641
116.807 0.186825
117.030 0.282422
117.142 0.369723
117.254 0.513544
117.365 0.774794
117.421 0.992312
117.477 1.31877
117.533 1.83641
117.588 2.71363
117.644 4.31315
117.700 7.36091
117.750 11.7464
117.800 14.6677
117.850 11.7511
117.900 7.36680
117.951 4.51433
118.002 2.93388
118.053 2.02736
118.103 1.47719
118.154 1.12194
118.205 0.881901
118.307 0.588907
118.408 0.424527
118.510 0.323710
118.713 0.211701
118.917 0.154267
119.120 0.120947
119.527 0.0857183
119.933 0.0683612
120.340 0.0584735
121.153 0.0480571
121.153 0.0480553
121.154 0.0480485
121.155 0.0480416
121.156 0.0480278
121.159 0.0480012
121.166 0.0479474
121.178 0.0478413
121.203 0.0476325
121.253 0.0472265
121.353 0.0464619
121.554 0.0450971
121.954 0.0428843
122.755 0.0398075
124.357 0.0363253
127.560 0.0332028
133.967 0.0319204
140.373 0.0358337
143.577 0.0415283
146.780 0.0531334
146.780 0.0531345
146.781 0.0531386
146.782 0.0531428
146.783 0.0531505
146.786 0.0531666
146.793 0.0531988
146.805 0.0532628
146.830 0.0533919
