Eu-153(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 18616.5
1.30871E-05 16273.3
1.61743E-05 14638.0
2.00000E-05 13163.7
2.23486E-05 12452.8
2.85229E-05 11022.8
3.46972E-05 9993.94
4.70459E-05 8582.54
5.00000E-05 8325.11
5.93945E-05 7638.30
7.17431E-05 6949.80
8.40917E-05 6419.17
0.000100000 5886.35
0.000108789 5643.50
0.000133486 5094.58
0.000158183 4679.85
0.000200000 4161.72
0.000207578 4085.00
0.000232276 3861.60
0.000256973 3671.22
0.000306367 3362.05
0.000405156 2923.19
0.000500000 2631.04
0.000503945 2620.71
0.000516294 2589.14
0.000528642 2558.68
0.000553340 2500.84
0.000602734 2396.02
0.000800313 2078.78
0.000997891 1861.15
0.00100000 1859.18
0.00100611 1853.51
0.00101222 1847.90
0.00102443 1836.82
0.00104887 1815.24
0.00109774 1774.26
0.00119547 1699.96
0.00159062 1472.98
0.00198578 1317.60
0.00200000 1312.88
0.00204762 1297.45
0.00209524 1282.54
0.00219047 1254.19
0.00238094 1202.67
0.00277610 1113.20
0.00317125 1040.99
0.00396156 930.403
0.00475187 848.623
0.00500000 827.025
0.00566625 776.195
0.00633250 733.579
0.00791312 654.862
0.00949375 596.618
0.0100000 580.931
0.0113275 544.875
0.0126550 514.604
0.0158162 458.407
0.0189775 416.762
0.0200000 405.429
0.0226500 379.664
0.0253000 358.001
0.0253000 358.001
0.0253000 358.000
0.0253000 358.000
0.0253001 358.000
0.0253001 358.000
0.0253002 357.999
0.0253004 357.997
0.0253008 357.994
0.0253016 357.988
0.0253032 357.976
0.0253064 357.952
0.0253128 357.904
0.0253256 357.807
0.0253512 357.615
0.0254025 357.230
0.0255049 356.465
0.0257099 354.948
0.0261197 351.966
0.0269394 346.204
0.0285787 335.419
0.0318574 316.356
0.0384149 285.696
0.0500000 246.800
0.0515297 242.647
0.0548084 234.322
0.0580872 226.693
0.0646446 213.168
0.0777595 191.307
0.100000 164.340
0.103989 160.418
0.117104 148.928
0.130219 139.178
0.156449 123.423
0.182678 111.153
0.200000 104.403
0.235138 93.0992
0.287598 80.3523
0.322420 73.7585
0.322420 73.7585
0.322420 73.7585
0.322421 73.7584
0.322422 73.7582
0.322423 73.7580
0.322426 73.7575
0.322431 73.7566
0.322443 73.7546
0.322465 73.7508
0.322510 73.7430
0.322599 73.7276
0.322778 73.6968
0.323136 73.6352
0.323851 73.5123
0.325282 73.2679
0.328143 72.7843
0.333867 71.8377
0.345313 70.0224
0.368205 66.6768
0.413990 60.9449
0.413990 60.9449
0.413991 60.9448
0.413992 60.9447
0.413993 60.9446
0.413995 60.9443
0.414001 60.9437
0.414011 60.9425
0.414032 60.9401
0.414074 60.9354
0.414158 60.9259
0.414326 60.9069
0.414662 60.8690
0.415334 60.7933
0.416678 60.6426
0.419366 60.3438
0.424741 59.7563
0.435493 58.6201
0.456995 56.4932
0.500000 52.7503
0.531580 50.3726
0.531580 50.3726
0.531581 50.3725
0.531581 50.3725
0.531583 50.3724
0.531585 50.3722
0.531589 50.3719
0.531599 50.3712
0.531617 50.3699
0.531654 50.3673
0.531728 50.3621
0.531875 50.3517
0.532170 50.3308
0.532760 50.2891
0.533939 50.2061
0.536298 50.0411
0.541016 49.7155
0.550453 49.0812
0.569325 47.8777
0.607070 45.7081
0.682560 42.1767
0.682560 42.1767
0.682561 42.1766
0.682562 42.1766
0.682563 42.1765
0.682566 42.1764
0.682572 42.1762
0.682584 42.1757
0.682608 42.1747
0.682655 42.1728
0.682750 42.1690
0.682939 42.1613
0.683317 42.1460
0.684075 42.1155
0.685589 42.0546
0.688618 41.9339
0.694676 41.6966
0.706793 41.2382
0.731025 40.3831
