Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
0.000562500 316.384
0.000565690 315.539
0.000578038 312.373
0.000590387 309.306
0.000602735 306.334
0.000615084 303.475
0.000619642 302.420
0.000625000 301.207
0.000627433 300.656
0.000639782 297.942
0.000640000 297.894
0.000652130 295.313
0.000654014 294.912
0.000664479 292.754
0.000667883 292.052
0.000676827 290.263
0.000681599 289.309
0.000687500 288.168
0.000689176 287.844
0.000701524 285.459
0.000713873 283.181
0.000721761 281.727
0.000726222 280.932
0.000738571 278.733
0.000750000 276.761
0.000750919 276.602
0.000775616 272.495
0.000800313 268.579
0.000812500 266.734
0.000825011 264.840
0.000849708 261.266
0.000874405 257.861
0.000875000 257.779
0.000877786 257.395
0.000899102 254.564
0.000923800 251.417
0.000948497 248.393
0.000973194 245.488
0.000974027 245.390
0.000997891 242.686
0.00100000 242.455
0.00102259 239.990
0.00102303 239.942
0.00104729 237.402
0.00105209 236.898
0.00107198 234.892
0.00107820 234.266
0.00109668 232.463
0.00110157 231.986
0.00112138 230.109
0.00112244 230.008
0.00112500 229.773
0.00114608 227.837
0.00117077 225.649
0.00117428 225.338
0.00119547 223.522
0.00119986 223.145
0.00122017 221.449
0.00124486 219.447
0.00125000 219.047
0.00126956 217.521
0.00128000 216.707
0.00129426 215.637
0.00131896 213.784
0.00134365 212.001
0.00136835 210.267
0.00137500 209.812
0.00139305 208.579
0.00141775 206.935
0.00144244 205.335
0.00144352 205.265
0.00146714 203.776
0.00146960 203.621
0.00149184 202.257
0.00149531 202.045
0.00150000 201.766
0.00154123 199.318
0.00159063 196.522
0.00162500 194.665
0.00164002 193.854
0.00168942 191.304
0.00173881 188.863
0.00175000 188.336
0.00178820 186.538
0.00179745 186.103
0.00183760 184.279
0.00183762 184.278
0.00188699 182.124
0.00193639 180.066
0.00194805 179.581
0.00198578 178.057
0.00200000 177.507
0.00203518 176.148
0.00204606 175.727
0.00208457 174.283
0.00213397 172.495
0.00218336 170.768
0.00218750 170.628
0.00223276 169.109
0.00224487 168.702
0.00228215 167.483
