K-41(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 76.0512
1.25000E-05 68.2931
1.50000E-05 62.5663
2.00000E-05 54.5277
2.75000E-05 46.8790
3.50000E-05 41.8452
4.25000E-05 38.2112
5.00000E-05 35.4292
6.25000E-05 31.9596
7.50000E-05 29.3985
0.000100000 25.8036
0.000125000 23.3502
0.000150000 21.5392
0.000200000 18.9972
0.000275000 16.5785
0.000350000 14.9866
0.000425000 13.8374
0.000500000 12.9577
0.000625000 11.8605
0.000750000 11.0506
0.00100000 9.91376
0.00125000 9.13793
0.00150000 8.56524
0.00200000 7.76135
0.00275000 6.99643
0.00350000 6.49302
0.00425000 6.12958
0.00500000 5.85135
0.00625000 5.50434
0.00750000 5.24818
0.0100000 4.88858
0.0125000 4.64315
0.0150000 4.46196
0.0200000 4.20758
0.0253000 4.02519
0.0314750 3.87385
0.0376500 3.76143
0.0500000 3.60266
0.0625000 3.49255
0.0750000 3.41118
0.100000 3.29675
0.125000 3.21843
0.150000 3.16044
0.200000 3.07863
0.275000 3.00004
0.350000 2.94763
0.500000 2.87940
0.750000 2.81241
1.00000 2.76989
1.50000 2.71434
2.00000 2.67627
2.75000 2.63349
3.50000 2.59940
5.00000 2.54388
7.50000 2.46905
10.0000 2.40523
15.0000 2.29553
20.0000 2.20128
27.5000 2.07989
35.0000 1.97650
50.0000 1.80870
75.0000 1.60576
100.000 1.46217
125.000 1.35531
150.000 1.27272
200.000 1.15339
275.000 1.03892
350.000 0.964629
500.000 0.872130
698.504 0.799582
797.757 0.772996
822.570 0.767026
847.383 0.761483
859.789 0.759116
872.196 0.757765
878.399 0.758442
881.501 0.759822
884.602 0.762916
887.704 0.770268
889.255 0.777858
890.806 0.791798
891.581 0.803501
892.356 0.821221
893.132 0.849822
893.907 0.900293
894.295 0.941364
894.683 1.00193
895.070 1.09646
895.458 1.25579
895.846 1.55492
896.040 1.81336
896.233 2.21562
896.427 2.88775
896.621 4.11634
896.718 5.13575
896.815 6.63372
896.912 8.89138
897.009 12.2950
897.145 19.2235
897.282 23.8368
897.418 19.2159
897.555 12.2923
897.655 8.79821
897.755 6.51454
897.855 5.01603
897.955 4.00795
898.155 2.80301
898.355 2.15058
898.555 1.76243
898.755 1.51428
899.155 1.22818
899.556 1.07636
899.956 0.986462
900.356 0.928926
900.756 0.889919
901.556 0.841915
902.357 0.814612
903.957 0.786235
905.558 0.772452
907.159 0.764644
910.360 0.756384
913.562 0.752121
916.763 0.749462
923.166 0.746094
935.972 0.741879
948.777 0.738601
974.389 0.732746
1000.00 0.727191
1062.50 0.714031
1125.00 0.701021
1250.00 0.674316
1375.00 0.644722
1500.00 0.608770
1625.00 0.559768
1687.50 0.526078
1750.00 0.481456
1812.50 0.418355
1843.75 0.375619
1875.00 0.321661
1906.25 0.252779
1921.88 0.212155
1937.50 0.168957
1953.13 0.129480
1960.94 0.116811
1968.75 0.116430
1972.66 0.124498
1976.56 0.141385
1980.47 0.171096
1984.38 0.219709
1988.28 0.296729
1992.19 0.417380
1996.09 0.607225
2000.00 0.911116
2003.55 1.35525
2007.10 2.08210
2010.65 3.33747
2014.20 5.68064
2015.98 7.64769
2017.75 10.5926
2019.53 15.2246
2021.30 22.9987
2023.08 37.2512
2023.96 49.1373
2024.85 66.8483
2025.74 94.5806
2026.63 140.358
2027.51 220.535
2028.40 364.739
2029.31 599.817
2030.21 772.317
2031.12 636.186
2032.03 408.204
2032.60 304.063
2033.18 230.664
2034.32 142.693
2035.47 96.2707
2036.61 69.4615
2037.76 52.6979
2038.91 41.5578
2041.20 28.1377
2043.49 20.6366
2045.78 16.0016
2050.36 10.7583
2054.94 7.97713
2059.53 6.30350
2064.11 5.20623
2068.69 4.44107
2077.86 3.45790
2087.02 2.86290
2096.19 2.46883
2105.35 2.19079
2123.69 1.82728
2142.02 1.60194
2160.35 1.44937
2178.68 1.33951
2215.34 1.19211
2252.00 1.09776
2288.66 1.03204
2325.33 0.983479
2398.65 0.916063
2471.97 0.870927
2618.62 0.812815
2765.27 0.775555
2911.92 0.748638
2985.24 0.737694
3058.57 0.728294
3095.23 0.724493
3131.89 0.722425
3150.22 0.723549
3168.55 0.730673
3177.72 0.742398
3182.30 0.754596
3186.88 0.777244
3191.47 0.825993
3193.76 0.874430
3196.05 0.962103
3197.19 1.03535
3198.34 1.14617
3199.49 1.32533
3200.63 1.64267
3201.20 1.90263
3201.78 2.28841
3202.35 2.89611
3202.92 3.93161
3203.50 5.91892
3203.78 7.67736
3204.07 10.4699
3204.36 15.3097
3204.64 24.5948
3204.78 32.7021
3204.93 45.2527
3205.07 65.4526
3205.21 98.3266
3205.38 157.172
3205.55 196.133
3205.73 156.794
3205.90 98.3126
3206.09 56.6286
3206.29 35.2586
3206.49 23.7351
3206.68 17.0120
3206.88 12.8049
3207.08 10.0173
3207.47 6.69510
3207.86 4.86681
3208.26 3.76084
3209.05 2.55131
3209.83 1.93902
3210.62 1.58802
3211.41 1.36817
3212.19 1.22146
3213.77 1.04390
3215.34 0.944698
3216.92 0.883698
3218.49 0.843533
3221.64 0.795486
3224.79 0.768896
3231.09 0.741820
3237.39 0.728815
3243.69 0.721417
3256.29 0.713396
3281.48 0.706069
3306.68 0.701965
3357.07 0.696174
3407.46 0.691478
3508.24 0.683552
3609.02 0.677124
3810.59 0.669275
3860.98 0.668745
3911.37 0.669279
3936.57 0.670397
3961.76 0.673371
3974.36 0.677201
3986.96 0.687519
3993.26 0.701451
3996.41 0.715190
3999.56 0.740039
4002.71 0.792466
4004.28 0.843934
4005.86 0.936143
4006.64 1.01263
4007.43 1.12736
4008.22 1.31107
4009.00 1.63246
4009.79 2.27374
4010.19 2.86446
4010.58 3.84667
4010.97 5.66583
4011.17 7.21184
4011.37 9.56480
4011.56 13.4173
4011.76 20.2169
4011.96 33.3904
4012.06 44.5108
4012.15 60.4946
4012.31 96.4942
4012.46 120.279
4012.62 96.2221
4012.78 60.4580
4012.90 41.4823
4013.02 29.3942
4013.14 21.6514
4013.26 16.5662
4013.50 10.5641
4013.74 7.36752
4013.98 5.48621
4014.22 4.29256
4014.70 2.92638
4015.19 2.20660
4015.67 1.78247
4016.15 1.51205
4016.63 1.32926
4017.60 1.10528
4018.56 0.978588
4020.49 0.848098
4022.42 0.785756
4024.35 0.751287
4028.20 0.716527
4032.06 0.700298
4035.91 0.691499
4043.63 0.682897
4059.05 0.677288
4074.48 0.675974
4105.33 0.676594
4136.18 0.678755
4259.58 0.695240
4506.39 0.779273
4629.79 0.870282
4753.19 1.02864
4876.60 1.31626
5000.00 1.87805
5059.45 2.34345
5118.90 3.04499
5178.35 4.15408
5237.80 6.02112
5297.25 9.44433
5326.98 12.2905
5356.70 16.5206
5386.43 23.0967
5416.15 33.8645
5445.88 52.4527
5475.60 85.3980
5507.10 141.360
5538.60 184.266
5570.10 153.962
5601.60 99.9462
5627.13 69.1684
5652.66 49.5055
5678.18 36.9003
5703.71 28.5451
5754.77 18.6824
5805.82 13.3652
5856.88 10.1858
5907.93 8.13283
5958.99 6.73087
5971.75 6.45275
5984.52 6.20405
5990.90 6.09707
5997.28 6.02148
6000.47 6.02003
6002.07 6.04531
6003.66 6.11099
6005.26 6.27083
6006.06 6.43118
6006.85 6.71060
6007.65 7.24969
6008.05 7.72284
6008.45 8.46612
6008.85 9.72755
6009.25 12.0801
6009.45 14.0739
6009.65 17.0461
6009.85 21.6259
6010.04 28.7060
6010.31 42.4090
6010.57 51.4271
6010.84 42.1618
6011.10 28.4353
6011.34 20.1825
6011.58 15.3624
6011.82 12.4771
6012.06 10.6644
6012.55 8.64363
6013.03 7.61817
6013.51 7.03162
6013.99 6.66543
6014.96 6.24948
6015.92 6.02795
6016.88 5.89335
6018.81 5.73759
6020.74 5.64651
6022.67 5.58259
6026.53 5.48896
6034.24 5.34884
6041.95 5.22940
6057.38 5.01475
6072.80 4.82015
6134.51 4.17910
6257.92 3.32175
6381.33 2.78386
6504.75 2.42057
6751.57 1.96878
6998.39 1.70369
7245.22 1.53157
7492.04 1.41167
7738.86 1.32373
7862.28 1.28820
7923.98 1.27259
7954.83 1.26717
7970.26 1.27222
7977.97 1.30361
7979.90 1.33578
7981.83 1.42230
7982.79 1.53356
7983.76 1.81175
7984.24 2.14006
7984.72 2.86690
7984.96 3.60822
7985.20 4.96877
7985.45 7.77093
7985.57 10.3126
7985.69 14.1312
7985.85 21.8648
7986.02 26.9765
7986.19 21.8140
7986.36 14.1236
7986.48 10.3286
7986.59 7.82836
7986.83 5.02952
7987.07 3.65664
7987.30 2.90382
7987.77 2.16178
7988.25 1.82511
7989.19 1.53888
7990.13 1.42400
7992.02 1.33413
7993.91 1.30023
8001.46 1.26452
8016.57 1.25214
8046.78 1.24299
8107.21 1.22917
8228.06 1.20465
8288.48 1.19349
8348.91 1.18323
8409.34 1.17583
8424.44 1.17632
8439.55 1.18235
8447.10 1.19296
8454.65 1.22518
8458.43 1.27062
8460.32 1.31588
8462.21 1.39792
8464.10 1.57032
8465.04 1.73806
8465.98 2.03532
8466.93 2.63911
8467.40 3.20644
8467.87 4.17355
8468.34 6.02189
8468.58 7.64870
8468.82 10.2325
8469.05 14.6719
8469.29 23.1522
8469.41 30.5031
8469.52 41.7989
8469.64 59.8030
8469.76 88.7622
8469.90 141.348
8470.05 176.436
8470.19 141.409
8470.34 88.8272
8470.43 64.7080
8470.52 48.2979
8470.71 29.0730
8470.90 19.2638
8471.08 13.7699
8471.27 10.3955
8471.46 8.20017
8471.83 5.63079
8472.20 4.24070
8472.58 3.41101
8473.32 2.51005
8474.07 2.05866
8474.82 1.80099
8476.31 1.53320
8477.81 1.40405
8479.30 1.33199
8482.29 1.25850
8488.26 1.20402
8494.24 1.18394
8506.19 1.16820
8518.14 1.16144
8565.94 1.14947
8661.54 1.13470
8757.15 1.12186
8852.75 1.10999
9235.17 1.06957
10000.0 1.01153
10465.4 0.985824
10698.0 0.974994
10814.4 0.970469
10872.6 0.970081
10901.6 0.976537
10908.9 0.983889
10916.2 1.00481
10919.8 1.03355
10923.4 1.11261
10925.3 1.21886
10927.1 1.50384
10928.0 1.87230
10928.5 2.22249
10928.9 2.80512
10929.4 3.94239
10929.6 4.94831
10929.8 6.46573
10930.0 9.17226
10930.3 14.0472
10930.4 18.6308
10930.5 25.0671
10930.6 35.0848
10930.7 51.8660
10930.9 82.9019
10931.0 102.868
10931.1 82.8956
10931.3 51.8161
10931.4 31.8162
10931.6 21.1466
10931.7 14.9502
10931.9 11.1395
10932.0 8.52109
10932.1 6.87695
10932.4 4.85109
10932.7 3.67358
10933.0 2.97659
10933.6 2.18706
10934.1 1.78366
10934.7 1.55066
10935.8 1.30764
10938.1 1.12198
10940.4 1.05397
10944.9 1.00404
