56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
4.796290e+01 4.80777786e-02
4.818930e+01 4.29738427e-02
4.841560e+01 3.94546136e-02
4.864190e+01 3.69424905e-02
4.886830e+01 3.51019766e-02
4.909460e+01 3.37285056e-02
4.932100e+01 3.26911855e-02
4.954730e+01 3.19038838e-02
4.977370e+01 3.13079371e-02
4.988680e+01 3.10685143e-02
5.000000e+01 3.08627504e-02
5.006070e+01 3.08012812e-02
5.012130e+01 3.07480697e-02
5.018200e+01 3.07028080e-02
5.024270e+01 3.06650722e-02
5.030340e+01 3.06345551e-02
5.036400e+01 3.06108858e-02
5.042470e+01 3.05939048e-02
5.048540e+01 3.05833050e-02
5.060670e+01 3.05803060e-02
5.072800e+01 3.06004043e-02
5.097070e+01 3.07051230e-02
5.121340e+01 3.08903168e-02
5.145600e+01 3.11522337e-02
5.194140e+01 3.19062141e-02
5.242670e+01 3.29932468e-02
5.291210e+01 3.44867893e-02
5.339740e+01 3.65242498e-02
5.388280e+01 3.93466082e-02
5.436810e+01 4.33825079e-02
5.485340e+01 4.94342096e-02
5.533880e+01 5.91348021e-02
5.582410e+01 7.62205738e-02
5.606680e+01 9.01676840e-02
5.630950e+01 1.10848868e-01
5.655220e+01 1.43445618e-01
5.679480e+01 1.99256422e-01
5.691620e+01 2.43417506e-01
5.703750e+01 3.06847218e-01
5.715880e+01 4.02520010e-01
5.728020e+01 5.56198174e-01
5.740150e+01 8.24826926e-01
5.746220e+01 1.04038662e+00
5.752280e+01 1.35220062e+00
5.758350e+01 1.82293623e+00
5.764420e+01 2.56823304e+00
5.770480e+01 3.80420380e+00
5.776550e+01 5.88900141e+00
5.783280e+01 9.39935411e+00
5.790000e+01 1.17291953e+01
5.796730e+01 9.37826744e+00
5.796810e+01 9.33647257e+00
5.803450e+01 5.86754442e+00
5.807550e+01 4.34821186e+00
5.811650e+01 3.27870090e+00
5.819840e+01 1.99711286e+00
5.828040e+01 1.32321233e+00
5.836240e+01 9.36781689e-01
5.844430e+01 6.97842503e-01
5.852630e+01 5.40938960e-01
5.869020e+01 3.55297411e-01
5.885420e+01 2.54424184e-01
5.901810e+01 1.93826595e-01
5.934590e+01 1.28044084e-01
5.967380e+01 9.51762843e-02
6.000160e+01 7.65582605e-02
6.032950e+01 6.50861372e-02
6.065740e+01 5.75857278e-02
6.131310e+01 4.88593507e-02
6.195220e+01 4.44707453e-02
6.196880e+01 4.43742920e-02
6.250000e+01 4.29508291e-02
6.262450e+01 4.26254054e-02
6.328020e+01 4.20276348e-02
6.459160e+01 4.25623527e-02
6.590300e+01 4.42424324e-02
6.593630e+01 4.42990212e-02
6.721450e+01 4.96907666e-02
6.852590e+01 5.55177343e-02
6.875000e+01 5.65522792e-02
6.992030e+01 6.20303658e-02
7.114870e+01 7.33227557e-02
