Br-81(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 124.633
1.25000E-05 112.082
1.50000E-05 102.818
2.00000E-05 89.8137
2.75000E-05 77.4403
3.50000E-05 69.2971
4.25000E-05 63.4184
5.00000E-05 58.9179
6.25000E-05 53.3052
7.50000E-05 49.1621
0.000100000 43.3465
0.000125000 39.3777
0.000150000 36.4481
0.000200000 32.3358
0.000275000 28.4230
0.000350000 25.8479
0.000425000 23.9889
0.000500000 22.5658
0.000625000 20.7909
0.000750000 19.4807
0.00100000 17.6417
0.00125000 16.3867
0.00150000 15.4602
0.00200000 14.1598
0.00275000 12.9225
0.00350000 12.1082
0.00425000 11.5204
0.00500000 11.0704
0.00625000 10.5091
0.00750000 10.0948
0.0100000 9.51332
0.0125000 9.11648
0.0150000 8.82355
0.0200000 8.41238
0.0253000 8.11765
0.0314750 7.87320
0.0376500 7.69169
0.0500000 7.43552
0.0625000 7.25805
0.0750000 7.12704
0.100000 6.94313
0.125000 6.81760
0.150000 6.72491
0.200000 6.59473
0.275000 6.47073
0.350000 6.38898
0.500000 6.28446
0.750000 6.18552
1.00000 6.12585
1.50000 6.05362
2.00000 6.00905
2.75000 5.96451
3.50000 5.93315
5.00000 5.88866
7.50000 5.83733
10.0000 5.79740
15.0000 5.72954
20.0000 5.66648
27.5000 5.57057
35.0000 5.46669
50.0000 5.21319
62.5000 4.92026
68.7500 4.72652
75.0000 4.48502
81.2500 4.18229
84.3750 4.01164
87.5000 3.85344
90.6250 3.80552
92.1875 3.92829
93.7500 4.33149
95.3125 5.45943
96.0938 6.66748
96.8750 8.83010
97.2656 10.5516
97.6563 12.9903
98.0469 16.5520
98.4375 21.9598
98.8281 30.5993
99.0234 36.9339
99.2188 45.3804
99.4141 56.9350
99.6094 73.2391
99.8047 97.1510
100.000 133.982
100.126 169.350
100.253 219.682
100.379 294.344
100.506 410.900
100.632 605.666
100.758 959.823
100.822 1250.68
100.885 1674.06
100.948 2303.45
101.011 3236.44
101.106 5267.38
101.200 6693.62
101.295 5433.56
101.389 3445.36
101.455 2466.71
101.521 1809.84
101.587 1368.65
101.654 1065.42
101.786 694.650
101.918 488.576
102.050 363.321
102.182 281.897
102.447 185.978
102.711 133.680
102.976 101.975
103.240 81.2305
103.505 66.8683
104.033 48.7012
104.562 37.9865
105.091 31.0811
105.620 26.3371
106.678 20.3529
107.736 16.8098
108.793 14.5055
109.851 12.9047
111.967 10.8537
114.082 9.62152
118.313 8.32508
120.429 8.05687
122.544 8.05629
124.660 8.47186
126.775 9.72960
127.833 11.0075
128.891 13.1442
129.948 16.8931
131.006 24.0073
131.535 30.0768
132.064 39.3142
132.593 54.1862
133.122 80.0216
133.650 130.064
133.915 174.284
134.179 244.307
134.444 363.507
134.708 586.185
134.840 774.073
134.973 1054.58
135.105 1484.79
135.237 2146.27
135.419 3484.22
135.600 4420.38
135.782 3593.93
135.963 2285.60
136.088 1648.08
136.213 1216.02
136.338 923.898
136.463 722.210
136.714 474.044
136.964 335.433
137.214 250.900
137.464 195.784
137.964 130.683
138.465 95.1124
138.965 73.5011
139.465 59.3412
139.965 49.5259
140.966 37.0918
141.967 29.7410
142.967 24.9919
143.968 21.7206
145.969 17.5771
147.970 15.1075
149.971 13.4894
151.972 12.3556
155.975 10.8805
159.977 9.96596
163.979 9.34282
167.982 8.88900
175.986 8.26504
183.991 7.84409
191.995 7.52061
195.998 7.37380
197.999 7.30288
199.000 7.27054
200.000 7.24535
