V-51(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 247.330
1.25000E-05 221.219
1.50000E-05 201.944
2.00000E-05 174.889
2.75000E-05 149.146
3.50000E-05 132.203
4.25000E-05 119.973
5.00000E-05 110.609
6.25000E-05 98.9320
7.50000E-05 90.3121
0.000100000 78.2126
0.000125000 69.9555
0.000150000 63.8603
0.000200000 55.3047
0.000275000 47.1640
0.000350000 41.8064
0.000425000 37.9387
0.000500000 34.9777
0.000625000 31.2850
0.000750000 28.5592
0.00100000 24.7330
0.00125000 22.1219
0.00150000 20.1944
0.00200000 17.4889
0.00275000 14.9146
0.00350000 13.2204
0.00425000 11.9973
0.00500000 11.0609
0.00625000 9.89321
0.00750000 9.03122
0.0100000 7.82127
0.0125000 6.99556
0.0150000 6.38605
0.0200000 5.53049
0.0253000 4.91721
0.0314750 4.40855
0.0376500 4.03085
0.0500000 3.49780
0.0625000 3.12854
0.0750000 2.85596
0.100000 2.47334
0.125000 2.21224
0.150000 2.01949
0.200000 1.74895
0.275000 1.49153
0.350000 1.32212
0.500000 1.10619
0.750000 0.903243
1.00000 0.782266
1.50000 0.638775
2.00000 0.553245
2.75000 0.471873
3.50000 0.418327
5.00000 0.350092
7.50000 0.285978
10.0000 0.247777
15.0000 0.202492
20.0000 0.175523
27.5000 0.149891
35.0000 0.133047
50.0000 0.111624
75.0000 0.0915670
100.000 0.0796757
150.000 0.0656873
200.000 0.0574556
275.000 0.0497611
350.000 0.0448240
500.000 0.0388062
750.000 0.0337541
1000.00 0.0314131
1500.00 0.0305757
2000.00 0.0334470
2477.00 0.0409015
2954.00 0.0590668
3192.50 0.0785255
3431.00 0.116428
3550.25 0.150157
3669.50 0.203585
3788.75 0.292338
3908.00 0.441526
4037.50 0.676640
4167.00 0.797168
4275.70 0.653366
4330.06 0.552196
4357.23 0.521692
4370.82 0.574665
4374.22 0.644647
4377.61 0.841410
4379.31 1.09861
4380.16 1.33901
4381.01 1.74531
4381.86 2.51141
4382.29 3.17486
4382.71 4.20738
4383.14 5.93984
4383.56 9.11069
4383.77 11.7603
4383.98 15.6523
4384.20 21.5373
4384.41 30.4423
4384.70 48.4399
4385.00 60.4371
4385.30 48.4381
4385.59 30.4412
4385.91 18.3402
4386.22 11.8185
4386.54 8.16870
4386.86 5.98954
4387.49 3.66005
4388.12 2.52932
4388.75 1.89956
4389.38 1.51550
4390.64 1.09063
4391.91 0.873069
4393.17 0.746777
