Mo-97(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 117.189
1.25000E-05 105.519
1.50000E-05 96.9052
2.00000E-05 84.8138
2.75000E-05 73.3088
3.50000E-05 65.7371
4.25000E-05 60.2710
5.00000E-05 56.0864
6.25000E-05 50.8677
7.50000E-05 47.0153
0.000100000 41.6079
0.000125000 37.9176
0.000150000 35.1936
0.000200000 31.3700
0.000275000 27.7318
0.000350000 25.3374
0.000425000 23.6088
0.000500000 22.2855
0.000625000 20.6352
0.000750000 19.4169
0.00100000 17.7069
0.00125000 16.5399
0.00150000 15.6785
0.00200000 14.4693
0.00275000 13.3187
0.00350000 12.5615
0.00425000 12.0148
0.00500000 11.5963
0.00625000 11.0743
0.00750000 10.6890
0.0100000 10.1481
0.0125000 9.77888
0.0150000 9.50633
0.0200000 9.12371
0.0253000 8.84938
0.0314750 8.62178
0.0376500 8.45272
0.0500000 8.21400
0.0625000 8.04851
0.0750000 7.92625
0.100000 7.75442
0.125000 7.63694
0.150000 7.55004
0.200000 7.42769
0.275000 7.31059
0.350000 7.23292
0.500000 7.13268
0.750000 7.03607
1.00000 6.97636
1.50000 6.90143
2.00000 6.85287
2.75000 6.80161
3.50000 6.76337
5.00000 6.70559
7.50000 6.63461
10.0000 6.57832
15.0000 6.48685
20.0000 6.41090
27.5000 6.31297
35.0000 6.22531
42.5000 6.14016
50.0000 6.04771
55.2112 5.96965
57.8168 5.92219
60.4225 5.86635
61.7253 5.83504
63.0281 5.80253
64.3309 5.77276
65.6337 5.75942
66.2851 5.77148
66.9365 5.81439
67.5879 5.92425
68.2393 6.19409
68.5650 6.46140
68.8907 6.91110
69.2164 7.71312
69.5421 9.27368
69.7050 10.6358
69.8678 12.7518
70.0307 16.2469
70.1935 22.5308
70.3564 35.3194
70.4378 47.2028
70.5192 67.0315
70.6006 103.409
70.6413 133.908
70.6821 179.832
70.7228 252.804
70.7635 376.383
70.8042 600.884
70.8246 780.167
70.8449 1025.99
70.8825 1660.59
70.9200 2102.34
70.9576 1705.24
70.9951 1081.90
71.0283 712.832
71.0615 489.956
71.0947 353.361
71.1278 265.975
71.1942 166.570
71.2606 115.041
71.3269 85.1106
71.3933 66.2311
71.5260 44.6300
71.6588 33.1713
71.7915 26.3398
71.9242 21.9219
72.0570 18.8886
72.3224 15.0837
72.5879 12.8567
72.8533 11.4284
73.1188 10.4502
73.6497 9.22013
74.1807 8.49372
