Ca-43(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
10479.6 2.08687
10481.5 2.05280
10483.4 2.12008
10484.4 2.26787
10485.3 2.60892
10486.3 3.42137
10486.8 4.21327
10487.3 5.49367
10487.7 7.76447
10488.2 11.9923
10488.5 15.4690
10488.7 20.4798
10488.9 27.7924
10489.2 37.8945
10489.6 65.6827
10490.0 89.9165
10490.2 88.6740
10490.4 79.1171
10490.9 54.9360
10491.3 38.0245
10491.7 27.9139
10492.1 21.4808
10492.5 17.4021
10492.9 14.5475
10493.3 12.5640
10494.1 9.94618
10494.9 8.35685
10495.7 7.30928
10497.3 6.04309
10498.9 5.31072
10500.6 4.84412
10502.2 4.51963
10503.8 4.28429
10507.0 3.96355
10510.2 3.75606
10513.5 3.61054
10516.7 3.50244
10523.2 3.35134
10529.6 3.24919
10542.5 3.11566
10555.5 3.02784
10568.4 2.96247
10594.2 2.86505
10645.9 2.72686
10697.6 2.61961
10904.4 2.29745
11317.9 1.85536
11731.4 1.54793
12144.9 1.34004
12558.5 1.28461
12765.2 1.38719
12972.0 1.70112
13178.7 2.51394
13282.1 3.33570
13385.5 4.73583
13488.9 7.26131
13592.3 12.1952
13643.9 16.4533
13695.6 22.8770
13747.3 32.7895
13799.0 48.0999
13874.5 82.2731
13950.0 109.703
14026.0 93.5660
14102.0 62.3509
14160.1 44.9583
14218.2 33.4029
14247.3 29.3561
14276.3 26.6280
14290.8 26.1744
14305.4 27.2416
14312.6 29.0352
14319.9 32.5935
14327.1 39.5330
14334.4 52.9200
14342.2 77.8415
14350.0 99.6237
14357.8 89.4926
14365.6 66.6776
14374.5 48.5927
14383.4 38.2784
14392.2 32.1306
14401.1 28.1626
14418.9 23.3747
14436.6 20.5335
14454.4 18.5851
14472.2 17.1195
14507.7 14.9737
14578.7 12.1830
14649.7 10.3376
14791.8 7.96343
14933.9 6.48710
15075.9 5.48088
15218.0 4.75219
15502.1 3.76578
15786.2 3.12206
16070.4 2.65711
16354.5 2.28195
16425.5 2.18909
16496.6 2.08347
16532.1 2.01622
16549.8 1.97396
16567.6 1.92074
16585.4 1.84715
16594.2 1.79664
16603.1 1.73038
16612.0 1.63909
16616.4 1.58014
16620.9 1.51186
16625.3 1.44472
16629.8 1.45329
16632.0 1.60788
16633.1 1.80877
16634.2 2.20103
16635.3 3.00158
16635.9 3.71200
16636.4 4.77583
16637.0 6.48462
16637.5 9.23159
16638.1 13.8704
16638.6 21.8043
16639.3 38.2445
16640.0 53.0298
16640.7 47.4248
16641.4 33.2797
16642.0 23.9810
16642.6 18.0097
16643.2 14.1682
16643.8 11.6038
16645.0 8.52903
16646.3 6.83534
16647.5 5.78080
16648.7 5.08352
16651.1 4.22334
16653.5 3.72446
16656.0 3.40270
16658.4 3.17940
16660.8 3.01593
16665.7 2.79323
16670.6 2.64870
16675.4 2.54714
16680.3 2.47160
16690.0 2.36589
16699.7 2.29438
16719.2 2.20088
16738.6 2.13941
16758.0 2.09364
16796.9 2.02530
16874.7 1.92764
16952.5 1.85070
17263.5 1.61163
17574.6 1.43059
17885.7 1.31602
18196.8 1.34955
18352.3 1.50206
18507.9 1.86925
18663.4 2.71880
18741.2 3.52459
18818.9 4.83175
18896.7 7.05506
18974.5 11.0758
19052.2 18.8811
19091.1 25.4284
19130.0 34.7551
19200.0 59.6225
19270.0 79.9841
19340.0 68.8822
19410.0 46.4690
19483.8 30.2261
19557.5 20.8656
19631.3 15.3280
19705.0 11.8447
19778.8 9.51878
19852.5 7.88355
20000.0 5.76491
20072.1 5.05265
20144.1 4.45887
20180.2 4.18593
20216.2 3.90818
20234.2 3.75410
20243.2 3.66780
20252.2 3.57136
20261.3 3.46131
20270.3 3.34803
20274.8 3.32493
20279.3 3.45709
20281.5 3.74886
20282.7 4.05808
20283.8 4.59220
20284.9 5.58147
20286.0 7.51628
20287.2 11.7501
20287.7 15.6275
20288.3 21.5813
20289.1 36.0408
20290.0 48.5548
20290.9 43.1510
20291.7 30.6711
20292.3 24.5583
20292.8 20.1494
20293.9 14.5430
20294.9 11.4149
20296.0 9.52174
20297.1 8.29044
20298.2 7.44172
20300.3 6.37323
20302.4 5.73514
20304.6 5.31810
20308.8 4.81120
20313.1 4.51353
20317.4 4.31691
20325.9 4.06695
20334.5 3.90783
20343.0 3.79238
20360.1 3.62445
20377.2 3.49791
20394.3 3.39243
20428.5 3.21483
20496.8 2.92493
20565.2 2.67972
20701.9 2.26009
20838.7 1.89059
20975.4 1.53641
21043.8 1.35608
21112.1 1.17201
21180.5 0.998037
21214.7 0.935793
21248.9 0.931380
21283.1 1.09179
21300.2 1.32493
21317.2 1.78731
21334.3 2.72138
