W-184(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 82.8700
1.25000E-05 74.8975
1.50000E-05 69.0124
2.00000E-05 60.7517
2.75000E-05 52.8916
3.50000E-05 47.7188
4.25000E-05 43.9844
5.00000E-05 41.1255
6.25000E-05 37.5601
7.50000E-05 34.9282
0.000100000 31.2339
0.000125000 28.7128
0.000150000 26.8518
0.000200000 24.2395
0.000275000 21.7539
0.000350000 20.1181
0.000425000 18.9372
0.000500000 18.0331
0.000625000 16.9056
0.000750000 16.0734
0.00100000 14.9051
0.00125000 14.1079
0.00150000 13.5194
0.00200000 12.6933
0.00275000 11.9073
0.00350000 11.3899
0.00425000 11.0165
0.00500000 10.7306
0.00625000 10.3740
0.00750000 10.1108
0.0100000 9.74129
0.0125000 9.48912
0.0150000 9.30295
0.0200000 9.04159
0.0253000 8.85420
0.0314750 8.69873
0.0376500 8.58324
0.0500000 8.42015
0.0625000 8.30707
0.0750000 8.22350
0.100000 8.10599
0.125000 8.02559
0.150000 7.96605
0.200000 7.88207
0.275000 7.80140
0.350000 7.74760
0.500000 7.67751
0.750000 7.60860
1.00000 7.56471
1.50000 7.50696
2.00000 7.46691
2.75000 7.42113
3.50000 7.38383
5.00000 7.32108
7.50000 7.23156
10.0000 7.14985
15.0000 6.99549
20.0000 6.84592
27.5000 6.62386
35.0000 6.40072
50.0000 5.94104
75.0000 5.08867
87.5000 4.57895
90.6250 4.43236
93.7500 4.26985
95.3125 4.17876
96.8750 4.07731
97.6563 4.02189
98.4375 3.96471
99.2188 3.91470
99.6094 3.90383
100.000 3.92486
100.209 3.96681
100.418 4.05499
100.626 4.23684
100.835 4.63005
100.939 4.99514
101.044 5.58500
101.148 6.60064
101.252 8.50728
101.305 10.1319
101.357 12.6089
101.409 16.6160
101.461 23.6263
101.513 37.4523
101.526 43.0108
101.539 49.9035
101.552 58.7241
101.559 64.0094
101.565 70.0470
101.572 77.0968
101.579 85.1286
101.585 94.4700
101.592 105.410
101.598 118.536
101.605 133.936
101.618 174.824
101.631 236.780
101.644 333.393
101.650 402.429
101.657 491.417
101.663 606.370
101.670 753.508
101.685 1220.07
101.700 1541.27
101.708 1459.40
101.715 1247.64
101.730 791.805
101.747 476.870
101.763 306.932
101.780 211.666
101.796 154.476
101.812 117.898
101.829 93.2297
101.862 63.1764
101.894 46.2983
101.927 35.8834
101.993 24.2165
102.058 18.1241
102.124 14.5296
102.189 12.2197
102.255 10.6419
102.386 8.66480
102.517 7.50919
102.648 6.76649
102.779 6.25593
103.042 5.60873
103.304 5.22090
103.566 4.96429
103.829 4.78209
104.353 4.53876
104.878 4.38075
105.927 4.17808
106.976 4.04284
108.025 3.93765
110.123 3.76740
114.319 3.48174
118.516 3.21122
126.908 2.64757
135.301 2.02156
143.694 1.33018
152.086 0.652126
154.184 0.518505
156.282 0.422242
157.332 0.394914
157.856 0.388064
158.381 0.386527
158.905 0.390975
159.430 0.402163
159.954 0.420949
160.479 0.448304
161.003 0.485344
161.528 0.533315
162.052 0.593678
162.577 0.668062
163.626 0.866874
164.675 1.14898
165.724 1.54132
166.773 2.08541
167.822 2.88277
168.347 3.60226
168.478 3.97078
168.609 4.71267
168.675 5.52369
168.708 6.22456
168.740 7.34099
168.773 9.32228
168.789 10.9508
168.806 13.3775
168.822 17.2063
168.839 23.6809
168.855 35.5044
168.871 57.9441
168.886 89.5219
168.900 109.473
168.914 87.1036
168.929 55.2244
168.943 34.9542
168.957 23.8037
168.972 17.3927
168.986 13.5398
169.015 9.39842
169.044 7.39753
169.072 6.30490
169.101 5.65617
169.158 4.98078
169.273 4.53996
169.388 4.47044
169.847 4.88181
170.765 6.32351
172.602 10.8559
174.439 19.1490
175.357 25.8717
176.275 35.5439
177.194 49.9336
178.112 72.2769
179.030 109.001
179.949 174.239
180.408 227.030
180.867 303.836
181.326 420.783
181.785 609.494
182.245 938.434
182.704 1573.66
182.933 2127.15
183.163 2978.72
183.393 4334.76
183.622 6510.88
183.911 10642.8
184.200 13581.3
184.490 11089.8
184.779 7076.49
185.017 4814.95
185.255 3392.71
185.493 2490.73
185.730 1898.33
186.206 1205.77
186.682 836.753
187.157 618.183
187.633 478.263
188.584 315.551
189.536 227.652
190.487 174.474
191.438 139.650
192.390 115.474
194.292 84.7189
196.195 66.4010
198.097 54.4693
200.000 46.1830
202.623 38.2711
205.246 32.8031
210.493 25.8144
215.739 21.5786
220.985 18.7506
226.232 16.7268
231.478 15.1947
236.724 13.9522
238.036 13.6566
239.347 13.3421
240.003 13.1641
240.331 13.0656
240.659 12.9596
240.987 12.8539
241.151 12.8146
241.315 12.8147
241.397 12.8524
241.479 12.9466
241.561 13.1551
241.643 13.6176
241.725 14.7350
241.766 15.8911
241.807 17.9704
241.848 22.1340
241.868 25.8800
241.889 31.8741
241.909 42.1433
241.930 61.3682
241.940 77.6352
241.950 101.549
241.960 137.831
241.971 192.940
241.978 247.656
241.985 311.641
242.000 398.724
242.015 332.027
242.030 218.913
242.046 136.480
242.063 92.7382
242.080 68.2137
242.097 53.5941
242.113 44.1619
242.130 37.8094
242.164 29.9724
242.197 25.5048
242.231 22.7027
242.298 19.4848
242.365 17.7494
242.432 16.6904
242.499 15.9871
242.566 15.4902
242.700 14.8400
242.834 14.4350
242.968 14.1583
243.102 13.9560
243.370 13.6761
243.638 13.4864
244.174 13.2314
244.710 13.0537
245.246 12.9128
246.318 12.6848
248.462 12.3223
250.606 12.0151
259.181 11.0199
276.333 9.52778
