Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
119.525 12.7676
119.577 9.57994
119.681 5.95448
119.785 4.05570
119.889 2.94110
119.993 2.23231
120.098 1.75450
120.306 1.16949
120.514 0.839168
120.723 0.634681
120.931 0.499461
121.348 0.337280
121.765 0.247529
122.181 0.192709
122.598 0.156813
123.432 0.114214
124.265 0.0908786
125.099 0.0767345
125.932 0.0675264
127.599 0.0566831
129.266 0.0508111
132.600 0.0450737
136.363 0.0423571
140.125 0.0412028
147.650 0.0408897
155.175 0.0421836
162.700 0.0453922
170.254 0.0527322
174.031 0.0601641
177.808 0.0737907
179.697 0.0853171
181.585 0.102988
183.474 0.132111
185.362 0.185288
186.306 0.230174
187.251 0.298849
188.195 0.411739
189.139 0.616944
189.611 0.789354
190.083 1.05181
190.555 1.48012
191.028 2.25047
191.264 2.89062
191.500 3.85469
191.736 5.40444
191.972 8.12897
192.090 10.3439
192.208 13.6033
192.326 18.6847
192.444 27.2358
192.503 33.8943
192.562 43.2794
192.621 57.1045
192.680 78.5984
192.739 114.412
192.769 141.808
192.798 179.688
192.828 233.609
192.857 312.668
192.887 431.373
192.916 609.600
192.958 975.851
193.000 1220.15
193.042 975.571
193.084 609.281
193.110 447.159
193.137 334.523
193.189 200.827
193.242 131.380
193.294 91.9230
193.346 67.5986
193.399 51.6817
193.504 32.9247
193.609 22.7452
193.714 16.6398
193.924 10.0017
194.133 6.66672
194.343 4.76107
194.553 3.57162
194.763 2.78033
195.183 1.82546
195.603 1.29380
196.022 0.967705
196.442 0.753531
197.282 0.498589
198.121 0.358497
198.961 0.273393
199.800 0.217878
200.000 0.207514
200.686 0.177939
201.371 0.155353
202.742 0.123694
205.485 0.0888950
208.227 0.0712611
210.969 0.0611714
216.454 0.0508437
221.938 0.0462924
227.423 0.0446630
232.907 0.0462781
235.649 0.0502317
237.020 0.0545019
238.392 0.0625037
239.763 0.0797593
240.448 0.0968819
241.134 0.127776
241.477 0.153490
241.819 0.192245
242.162 0.254573
242.505 0.364181
242.848 0.584294
243.019 0.788547
243.191 1.13197
243.362 1.77454
243.448 2.32756
243.533 3.18559
243.619 4.61107
243.705 7.19765
243.748 9.32750
243.790 12.4294
243.833 17.0599
243.876 23.9680
243.938 38.3873
244.000 48.0278
244.062 38.3966
244.124 23.9798
244.191 14.1925
244.259 8.98420
244.326 6.08856
244.393 4.36764
244.460 3.27380
244.528 2.54262
244.662 1.65982
244.797 1.17067
244.931 0.872717
245.200 0.544466
245.418 0.402139
245.636 0.312349
246.072 0.209790
246.508 0.155656
246.944 0.123658
247.816 0.0892841
248.688 0.0721738
249.559 0.0624270
250.431 0.0563466
252.175 0.0494594
253.919 0.0458439
255.663 0.0437098
259.150 0.0414252
266.125 0.0397198
273.100 0.0392653
287.050 0.0397704
294.025 0.0406528
301.000 0.0423243
305.472 0.0443434
309.945 0.0486814
312.181 0.0536550
313.299 0.0581999
314.417 0.0660498
315.535 0.0820042
316.094 0.0973616
316.653 0.124617
317.212 0.180713
317.492 0.234453
317.771 0.328332
318.051 0.515136
318.190 0.687061
318.330 0.973331
318.470 1.50222
318.540 1.95121
318.610 2.63692
318.679 3.75502
318.749 5.72506
318.819 9.53238
318.854 12.7537
318.889 17.3838
318.945 27.8115
319.000 34.7756
319.056 27.8162
319.111 17.3899
319.175 10.0187
319.238 6.22434
319.302 4.17203
319.366 2.97217
319.430 2.22024
319.493 1.72147
319.621 1.12572
319.748 0.798296
319.875 0.600246
320.130 0.383304
320.385 0.273753
320.639 0.211030
321.149 0.145986
321.658 0.115056
322.168 0.0983344
323.186 0.0827873
324.205 0.0775125
325.224 0.0770893
327.262 0.0860059
328.281 0.0961267
329.300 0.112554
330.318 0.140254
331.337 0.191154
331.847 0.234073
332.356 0.299504
332.866 0.406408
333.375 0.598895
333.630 0.759039
333.884 1.00034
334.139 1.38864
334.394 2.07275
334.521 2.62958
334.649 3.45030
334.776 4.73374
334.903 6.89877
335.031 10.9793
335.094 14.5164
335.158 20.0345
335.222 29.3106
335.285 46.4127
335.317 60.7312
335.349 81.8903
335.381 114.076
335.413 163.110
335.435 208.882
335.456 260.948
335.500 326.164
335.544 260.909
335.587 163.064
335.614 120.466
335.641 90.6263
335.694 54.9014
335.748 36.1325
335.801 25.3723
335.855 18.7199
335.908 14.3503
336.015 9.17794
336.122 6.36210
336.228 4.66967
336.442 2.82606
336.656 1.89819
336.869 1.36759
337.083 1.03609
337.297 0.815327
337.724 0.548861
338.151 0.400430
338.578 0.309433
339.006 0.249707
339.860 0.178749
340.715 0.139964
341.569 0.116612
342.424 0.101593
344.133 0.0844496
345.842 0.0759148
349.260 0.0698694
352.678 0.0710638
356.096 0.0776507
359.514 0.0928441
361.223 0.112469
361.651 0.124337
362.078 0.150106
362.292 0.179948
362.398 0.206756
362.505 0.251291
362.612 0.334572
362.665 0.406869
362.719 0.520584
362.772 0.713874
362.826 1.07811
362.852 1.38983
362.879 1.86311
362.906 2.60602
362.932 3.77992
362.966 5.97308
363.000 7.43567
363.034 5.97542
363.068 3.78420
363.097 2.53007
363.126 1.77134
363.155 1.30447
363.184 1.00526
363.242 0.665367
363.300 0.491265
363.358 0.391707
363.416 0.330567
363.532 0.264371
363.764 0.220762
363.996 0.223753
364.228 0.263040
364.345 0.305771
