45-Rh_n-tot
> 45-Rh-103:1.000000
5.091600e+01 4.89869000e+00
5.137390e+01 4.87971000e+00
5.160290e+01 4.87273000e+00
5.171740e+01 4.87141000e+00
5.183190e+01 4.88043000e+00
5.190000e+01 4.89504000e+00
5.196810e+01 4.87647000e+00
5.209540e+01 4.85993000e+00
5.222270e+01 4.85440000e+00
5.247730e+01 4.84723000e+00
5.298650e+01 4.83604000e+00
5.400500e+01 4.81862000e+00
5.604180e+01 4.79372000e+00
6.011550e+01 4.75976000e+00
6.215240e+01 4.74646000e+00
6.418920e+01 4.73657000e+00
6.520760e+01 4.73602000e+00
6.571680e+01 4.73938000e+00
6.622610e+01 4.74904000e+00
6.673530e+01 4.77492000e+00
6.698990e+01 4.80304000e+00
6.724450e+01 4.85590000e+00
6.749910e+01 4.96838000e+00
6.762640e+01 5.07684000e+00
6.775370e+01 5.26441000e+00
6.788100e+01 5.62650000e+00
6.794470e+01 5.94614000e+00
6.800830e+01 6.45303000e+00
6.807200e+01 7.31844000e+00
6.813560e+01 8.94755000e+00
6.816740e+01 1.03346000e+01
6.819930e+01 1.24243000e+01
6.823110e+01 1.56700000e+01
6.826290e+01 2.07313000e+01
6.830500e+01 3.06208000e+01
6.834700e+01 3.74458000e+01
6.838910e+01 3.11763000e+01
6.843110e+01 2.14253000e+01
6.846050e+01 1.66481000e+01
6.848990e+01 1.34394000e+01
6.851920e+01 1.12868000e+01
6.854860e+01 9.80971000e+00
6.860740e+01 8.00695000e+00
6.866610e+01 7.00794000e+00
6.872490e+01 6.40282000e+00
6.878360e+01 6.01032000e+00
6.890110e+01 5.54978000e+00
6.901860e+01 5.30001000e+00
6.913610e+01 5.14920000e+00
6.937110e+01 4.98298000e+00
6.960610e+01 4.89730000e+00
6.984110e+01 4.84675000e+00
7.031120e+01 4.79130000e+00
7.078120e+01 4.76203000e+00
7.125120e+01 4.74387000e+00
7.219120e+01 4.72181000e+00
7.407130e+01 4.69737000e+00
7.595130e+01 4.68074000e+00
7.971140e+01 4.65321000e+00
8.159150e+01 4.64145000e+00
8.253150e+01 4.64117000e+00
8.276650e+01 4.64563000e+00
8.300150e+01 4.65945000e+00
8.311900e+01 4.67707000e+00
8.323650e+01 4.71753000e+00
8.329530e+01 4.75970000e+00
8.335400e+01 4.83847000e+00
8.338340e+01 4.90501000e+00
8.341280e+01 5.00451000e+00
8.344210e+01 5.15770000e+00
8.347150e+01 5.39401000e+00
8.351080e+01 5.85528000e+00
8.355000e+01 6.16292000e+00
8.358930e+01 5.85526000e+00
8.362850e+01 5.39355000e+00
8.367540e+01 5.05720000e+00
8.372230e+01 4.88812000e+00
8.376910e+01 4.79814000e+00
8.381600e+01 4.74603000e+00
8.390980e+01 4.69195000e+00
8.400350e+01 4.66606000e+00
8.419110e+01 4.64259000e+00
8.437860e+01 4.63211000e+00
8.475360e+01 4.62207000e+00
8.512870e+01 4.61647000e+00
8.662880e+01 4.60215000e+00
8.812900e+01 4.59049000e+00
8.962910e+01 4.58157000e+00
9.112930e+01 4.58264000e+00
9.187930e+01 4.59507000e+00
9.262940e+01 4.63050000e+00
9.300440e+01 4.66723000e+00
9.337950e+01 4.73012000e+00
9.375450e+01 4.84354000e+00
9.412960e+01 5.06577000e+00
9.431710e+01 5.26044000e+00
9.450460e+01 5.56349000e+00
9.469210e+01 6.06523000e+00
9.487960e+01 6.96985000e+00
9.506720e+01 8.81868000e+00
9.516090e+01 1.05443000e+01
9.525470e+01 1.34383000e+01
9.534840e+01 1.87871000e+01
9.539530e+01 2.33074000e+01
9.544220e+01 3.01684000e+01
9.548910e+01 4.11868000e+01
9.553600e+01 6.01439000e+01
9.558280e+01 9.53734000e+01
9.560630e+01 1.24097000e+02
9.562970e+01 1.64129000e+02
9.565030e+01 2.10126000e+02
9.567090e+01 2.63139000e+02
9.571200e+01 3.31885000e+02
9.575320e+01 2.69706000e+02
9.579430e+01 1.72339000e+02
9.584060e+01 1.03439000e+02
9.588690e+01 6.71135000e+01
9.593310e+01 4.70985000e+01
9.597940e+01 3.52265000e+01
9.602570e+01 2.76934000e+01
9.607200e+01 2.26431000e+01
9.616450e+01 1.65264000e+01
9.625710e+01 1.31094000e+01
9.634960e+01 1.10084000e+01
9.653470e+01 8.65963000e+00
9.671980e+01 7.43925000e+00
9.690490e+01 6.72132000e+00
9.709010e+01 6.26202000e+00
9.727520e+01 5.95057000e+00
9.764540e+01 5.57342000e+00
9.801560e+01 5.39289000e+00
9.820070e+01 5.37552000e+00
9.838580e+01 5.46333000e+00
9.847840e+01 5.60691000e+00
9.857090e+01 5.93360000e+00
9.861720e+01 6.25061000e+00
9.866350e+01 6.78458000e+00
9.870970e+01 7.73746000e+00
9.875600e+01 9.48763000e+00
9.880050e+01 1.21470000e+01
9.884500e+01 1.39174000e+01
9.888950e+01 1.21306000e+01
9.893400e+01 9.45249000e+00
9.896730e+01 8.07627000e+00
9.900060e+01 7.18186000e+00
9.903390e+01 6.59793000e+00
9.906730e+01 6.20514000e+00
9.913390e+01 5.73423000e+00
9.920050e+01 5.47590000e+00
9.933380e+01 5.21508000e+00
9.946700e+01 5.08850000e+00
9.973350e+01 4.96431000e+00
1.000000e+02 4.89959000e+00
1.005560e+02 4.82302000e+00
1.011130e+02 4.77603000e+00
1.022250e+02 4.71560000e+00
1.044500e+02 4.64617000e+00
1.066750e+02 4.60408000e+00
1.077880e+02 4.59219000e+00
1.083440e+02 4.59836000e+00
1.084830e+02 4.60787000e+00
1.086220e+02 4.63290000e+00
1.086920e+02 4.66275000e+00
1.087610e+02 4.72852000e+00
1.087960e+02 4.79520000e+00
1.088310e+02 4.91597000e+00
1.088650e+02 5.16141000e+00
1.088830e+02 5.37945000e+00
1.089000e+02 5.70314000e+00
1.089250e+02 6.37585000e+00
1.089500e+02 6.82450000e+00
1.089750e+02 6.37649000e+00
1.090000e+02 5.70414000e+00
1.090290e+02 5.22573000e+00
1.090580e+02 4.98109000e+00
1.090870e+02 4.84870000e+00
1.091150e+02 4.77183000e+00
1.091730e+02 4.69205000e+00
1.092310e+02 4.65467000e+00
1.093460e+02 4.62332000e+00
1.094610e+02 4.61280000e+00
1.096920e+02 4.61309000e+00
1.099230e+02 4.63128000e+00
1.101530e+02 4.67719000e+00
1.102690e+02 4.72217000e+00
1.103840e+02 4.79918000e+00
1.104990e+02 4.94456000e+00
1.105570e+02 5.07010000e+00
1.106140e+02 5.26445000e+00
1.106720e+02 5.58721000e+00
1.107300e+02 6.16921000e+00
1.107870e+02 7.33950000e+00
1.108160e+02 8.36716000e+00
1.108450e+02 9.89115000e+00
1.108880e+02 1.31300000e+01
1.109300e+02 1.53025000e+01
1.109730e+02 1.31326000e+01
1.110150e+02 9.89401000e+00
1.110620e+02 7.67599000e+00
1.111090e+02 6.50845000e+00
1.111560e+02 5.86606000e+00
1.112030e+02 5.48662000e+00
1.112490e+02 5.24619000e+00
1.112960e+02 5.08576000e+00
1.113900e+02 4.89315000e+00
1.114840e+02 4.78694000e+00
1.115780e+02 4.72299000e+00
1.117650e+02 4.65508000e+00
1.119530e+02 4.62670000e+00
1.121400e+02 4.62538000e+00
1.122340e+02 4.63990000e+00
1.123280e+02 4.67854000e+00
1.123740e+02 4.71782000e+00
1.124210e+02 4.78572000e+00
1.124680e+02 4.91056000e+00
1.125150e+02 5.14830000e+00
1.125580e+02 5.49680000e+00
1.126000e+02 5.73087000e+00
1.126430e+02 5.49768000e+00
1.126850e+02 5.14987000e+00
1.127260e+02 4.93615000e+00
1.127660e+02 4.81477000e+00
1.128470e+02 4.70172000e+00
1.129280e+02 4.65819000e+00
1.130090e+02 4.64147000e+00
