Se-82(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
17275.0 6.90475
17956.3 6.48396
18637.5 6.16407
19318.8 5.88365
20000.0 5.59808
20332.9 5.44099
20665.8 5.25955
20998.6 5.03688
21331.5 4.74193
21497.9 4.54928
21664.4 4.30869
21830.8 3.99565
21997.3 3.56645
22080.5 3.28443
22163.7 2.93608
22246.9 2.49602
22330.1 1.92839
22413.4 1.19469
22455.0 0.770377
22496.6 0.357379
22517.4 0.198997
22527.8 0.149331
22538.2 0.131660
22548.6 0.160188
22559.0 0.255174
22564.2 0.336333
22569.4 0.446118
22574.6 0.590437
22579.8 0.776522
22590.2 1.31226
22600.6 2.15201
22611.0 3.45129
22621.4 5.45615
22631.8 8.56320
22642.2 13.4159
22652.6 21.0408
22663.0 32.9528
22672.3 48.5520
22681.5 69.2276
22700.0 109.997
22709.3 115.569
22718.5 109.051
22737.0 82.7765
22751.8 64.5821
22766.5 51.5611
22781.3 42.4489
22796.0 35.9579
22825.6 27.6032
22855.1 22.6209
22884.6 19.3784
22914.1 17.1272
22973.1 14.2361
23032.1 12.4754
23091.2 11.2971
23150.2 10.4550
23209.2 9.82337
23327.3 8.93728
23445.3 8.34240
23563.4 7.91174
23681.4 7.58218
23917.5 7.10057
24153.6 6.75073
24389.8 6.46825
24625.9 6.21826
24862.0 5.97696
25098.1 5.72299
25334.2 5.43035
25570.3 5.05779
25688.3 4.81898
25806.4 4.52363
25924.4 4.14297
26042.5 3.62725
26101.5 3.29267
26160.6 2.88488
26219.6 2.37987
26278.6 1.74936
26337.6 0.982819
26367.1 0.579349
26381.9 0.395498
26396.7 0.246875
26404.0 0.195411
26411.4 0.167042
26418.8 0.170130
26426.2 0.215920
26433.6 0.319657
26440.9 0.502189
26448.3 0.792285
26455.7 1.22934
26463.1 1.87097
26470.4 2.79707
26477.8 4.12315
26485.2 6.01329
26492.6 8.71458
26500.0 12.5732
26507.3 18.0756
26514.7 25.8418
26523.5 39.0780
26532.4 56.9717
26550.0 93.9532
26558.8 100.259
26567.7 95.9281
26585.3 74.5670
26598.6 59.8161
26612.0 48.8594
26625.3 40.9590
26638.7 35.1968
26665.3 27.6060
26692.0 22.9718
26718.7 19.9078
26745.4 17.7555
26798.7 14.9611
26852.1 13.2415
26905.4 12.0836
26958.8 11.2527
27012.1 10.6284
27118.9 9.75297
27225.6 9.16801
27332.3 8.74878
27439.0 8.43286
27652.4 7.98645
27865.8 7.68399
28079.2 7.46377
28292.7 7.29508
28719.5 7.05102
29146.3 6.88039
29573.2 6.75253
30000.0 6.65199
30000.0 9.44812
35000.0 9.23484
40000.0 9.06158
50000.0 8.79275
60000.0 8.58954
70000.0 8.42714
80000.0 8.29226
99999.9 8.07608
100000 8.08621
150000 7.99846
200000 7.89067
250000 7.75966
300000 7.60980
500000 6.92227
662863 6.36195
700000 6.24101
800000 5.93222
900000 5.65017
1.00000E+06 5.39576
1.25000E+06 4.87621
1.43748E+06 4.58235
1.43749E+06 4.58234
1.50000E+06 4.49968
1.75000E+06 4.23068
1.75252E+06 4.22840
1.75677E+06 4.22457
2.00000E+06 4.03730
2.39086E+06 3.84874
2.58221E+06 3.77015
2.92984E+06 3.69196
3.00000E+06 3.68165
3.05212E+06 3.67504
3.05213E+06 3.67504
3.52606E+06 3.67427
4.00000E+06 3.67594
4.06250E+06 3.68735
4.12500E+06 3.69863
4.18750E+06 3.70978
4.25000E+06 3.72082
4.31250E+06 3.73173
4.37500E+06 3.74253
4.43750E+06 3.75322
4.50000E+06 3.76380
4.56250E+06 3.77427
4.62500E+06 3.78463
4.68750E+06 3.79489
4.75000E+06 3.80505
4.81250E+06 3.81511
4.87500E+06 3.82507
4.93750E+06 3.83494
5.00000E+06 3.84472
5.06250E+06 3.86162
5.12500E+06 3.87843
5.18750E+06 3.89515
5.25000E+06 3.91177
5.31250E+06 3.92830
5.37500E+06 3.94473
5.43750E+06 3.96108
5.50000E+06 3.97734
5.56250E+06 3.99351
5.62500E+06 4.00959
5.68750E+06 4.02559
5.75000E+06 4.04151
5.81250E+06 4.05734
5.87500E+06 4.07310
5.93750E+06 4.08877
6.00000E+06 4.10437
6.08687E+06 4.12672
6.17374E+06 4.14891
6.26061E+06 4.17096
6.34748E+06 4.19286
6.43435E+06 4.21461
6.52122E+06 4.23621
6.60809E+06 4.25768
6.69496E+06 4.27901
6.77122E+06 4.29744
6.84748E+06 4.31576
6.92374E+06 4.33398
7.00000E+06 4.35211
7.12500E+06 4.37069
7.25000E+06 4.38911
7.37500E+06 4.40736
7.50000E+06 4.42545
7.62500E+06 4.44338
7.75000E+06 4.46116
7.87500E+06 4.47879
8.00000E+06 4.49627
8.02184E+06 4.49680
8.04368E+06 4.49732
8.06552E+06 4.49785
8.08736E+06 4.49837
8.10920E+06 4.49889
8.13104E+06 4.49942
8.15289E+06 4.49994
8.17473E+06 4.50046
8.19657E+06 4.50098
8.21841E+06 4.50151
8.24025E+06 4.50203
8.26209E+06 4.50255
8.28393E+06 4.50307
8.30577E+06 4.50359
8.32761E+06 4.50411
8.34945E+06 4.50463
8.43077E+06 4.50649
8.51209E+06 4.50834
8.59341E+06 4.51019
8.67473E+06 4.51203
8.75604E+06 4.51387
8.83736E+06 4.51570
8.91868E+06 4.51754
9.00000E+06 4.51936
9.09632E+06 4.51134
9.19263E+06 4.50357
9.28895E+06 4.49605
9.38526E+06 4.48876
9.48683E+06 4.48002
9.55013E+06 4.47479
9.61344E+06 4.46976
9.67674E+06 4.46491
9.74004E+06 4.46026
9.80503E+06 4.45562
9.87002E+06 4.45117
9.93501E+06 4.44691
1.00000E+07 4.44283
1.00518E+07 4.43412
1.00991E+07 4.42522
1.01465E+07 4.41649
1.01938E+07 4.40792
1.02411E+07 4.39952
1.03029E+07 4.38876
1.03646E+07 4.37827
1.04264E+07 4.36805
1.04881E+07 4.35810
1.05521E+07 4.34799
1.06161E+07 4.33816
1.06801E+07 4.32861
1.07441E+07 4.31933
1.08080E+07 4.31032
1.08720E+07 4.30157
1.09360E+07 4.29309
1.10000E+07 4.28487
1.10306E+07 4.28007
1.10611E+07 4.27530
1.10917E+07 4.27057
1.11223E+07 4.26587
1.11529E+07 4.26121
1.11834E+07 4.25658
1.12140E+07 4.25198
1.12446E+07 4.24742
1.12751E+07 4.24289
1.13057E+07 4.23839
1.13363E+07 4.23393
1.13668E+07 4.22950
1.13974E+07 4.22510
1.14280E+07 4.22074
1.14585E+07 4.21640
1.14891E+07 4.21210
1.15210E+07 4.20769
1.15530E+07 4.20331
1.15849E+07 4.19897
1.16168E+07 4.19466
1.16488E+07 4.19039
1.16807E+07 4.18615
1.17126E+07 4.18194
1.17446E+07 4.17777
1.17765E+07 4.17363
1.18084E+07 4.16952
1.18404E+07 4.16545
1.18723E+07 4.16141
1.19042E+07 4.15740
1.19361E+07 4.15343
1.19681E+07 4.14949
1.20000E+07 4.14558
1.20488E+07 4.13711
1.20976E+07 4.12874
1.21464E+07 4.12047
1.21952E+07 4.11229
1.22440E+07 4.10420
1.22928E+07 4.09621
1.23416E+07 4.08830
1.23904E+07 4.08049
1.24402E+07 4.07237
1.24900E+07 4.06434
1.25532E+07 4.05423
1.26649E+07 4.03631
1.27766E+07 4.01875
1.28883E+07 4.00156
1.30000E+07 3.98473
1.31227E+07 3.96610
1.32454E+07 3.94776
1.33680E+07 3.92972
1.34907E+07 3.91196
1.36180E+07 3.89387
1.37454E+07 3.87608
1.38727E+07 3.85859
1.40000E+07 3.84138
1.40313E+07 3.83731
1.40625E+07 3.83326
1.40938E+07 3.82923
1.41250E+07 3.82522
1.41563E+07 3.82123
1.41875E+07 3.81727
1.42188E+07 3.81332
1.42500E+07 3.80939
1.42813E+07 3.80549
1.43125E+07 3.80160
1.43438E+07 3.79774
1.43750E+07 3.79389
1.44063E+07 3.79007
1.44375E+07 3.78626
1.44688E+07 3.78248
1.45000E+07 3.77872
1.45625E+07 3.77099
1.46250E+07 3.76334
1.46875E+07 3.75577
1.47500E+07 3.74829
1.48125E+07 3.74088
1.48750E+07 3.73355
1.49375E+07 3.72630
1.50000E+07 3.71913
1.50984E+07 3.70822
1.51967E+07 3.69750
