Pb-208(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 11.3831
1.25000E-05 11.3819
1.50000E-05 11.3810
2.00000E-05 11.3797
2.75000E-05 11.3785
3.50000E-05 11.3777
4.25000E-05 11.3771
5.00000E-05 11.3766
6.25000E-05 11.3761
7.50000E-05 11.3757
0.000100000 11.3751
0.000125000 11.3747
0.000150000 11.3744
0.000200000 11.3740
0.000275000 11.3737
0.000350000 11.3734
0.000425000 11.3732
0.000500000 11.3731
0.000625000 11.3729
0.000750000 11.3728
0.00100000 11.3726
0.00125000 11.3725
0.00150000 11.3724
0.00200000 11.3723
0.00275000 11.3721
0.00350000 11.3720
0.00500000 11.3719
0.00750000 11.3719
0.0100000 11.3718
0.0150000 11.3717
0.0200000 11.3717
0.0253000 11.3717
0.0376500 11.3716
0.0500000 11.3716
0.0750000 11.3716
0.100000 11.3715
0.150000 11.3715
0.200000 11.3715
0.275000 11.3715
0.350000 11.3715
0.500000 11.3715
0.750000 11.3714
1.00000 11.3714
1.50000 11.3714
2.00000 11.3714
2.75000 11.3714
3.50000 11.3714
5.00000 11.3713
7.50000 11.3713
10.0000 11.3712
15.0000 11.3712
20.0000 11.3711
27.5000 11.3709
35.0000 11.3708
50.0000 11.3705
75.0000 11.3700
100.000 11.3696
150.000 11.3687
200.000 11.3677
275.000 11.3664
350.000 11.3650
500.000 11.3622
750.000 11.3576
1000.00 11.3531
1500.00 11.3439
2000.00 11.3347
2750.00 11.3210
3500.00 11.3073
5000.00 11.2799
7500.00 11.2345
10000.0 11.1892
15000.0 11.0993
20000.0 11.0102
26815.0 10.8900
33629.9 10.7712
40444.9 10.6541
43852.3 10.5964
45556.1 10.5678
46407.9 10.5536
46833.9 10.5465
47046.8 10.5430
47153.3 10.5412
47206.6 10.5404
47233.2 10.5401
47246.5 10.5407
47253.2 10.5440
47256.5 10.5569
47258.1 10.6022
47259.0 10.7401
47259.4 11.0771
47259.8 13.3172
47260.0 16.1027
47260.2 13.3249
47260.5 11.2130
47260.9 10.8204
47261.5 10.6327
47262.9 10.5666
47265.6 10.5468
47270.9 10.5412
47281.6 10.5396
47303.0 10.5389
47345.8 10.5380
47431.4 10.5366
47602.7 10.5337
47945.2 10.5281
48630.1 10.5168
50000.0 10.4943
55289.9 10.4106
57934.8 10.3717
60579.8 10.3371
63224.7 10.3112
65869.6 10.3065
67192.1 10.3245
68514.6 10.3815
69175.8 10.4487
69837.0 10.5970
70167.7 10.7592
70498.3 11.1201
70663.6 11.5229
70746.2 11.8701
70828.9 12.4234
70911.6 13.4062
70952.9 14.2237
70994.2 15.4661
71035.5 17.5008
71076.9 21.1819
71097.5 24.2428
71118.2 28.7974
71138.8 35.8345
71159.5 46.8959
71210.0 83.7658
71222.6 81.0188
71235.3 70.8814
71260.5 46.8084
71285.9 31.1642
71311.4 22.8051
71336.8 18.2380
71362.2 15.5859
71387.7 13.9505
71413.1 12.8903
71464.0 11.6716
71514.8 11.0442
71565.7 10.6917
71667.4 10.3498
71769.1 10.2107
71870.9 10.1516
72074.3 10.1235
72481.2 10.1652
72888.1 10.2350
73701.9 10.4167
74515.8 10.7094
75329.6 11.2770
75736.5 11.7903
76143.4 12.6245
76550.3 14.0944
76957.2 16.9825
77160.7 19.5442
77364.1 23.5587
77567.6 30.1171
77771.0 41.0209
78250.0 76.9604
78489.5 66.2271
78729.0 46.1568
78972.6 32.4936
79216.1 24.7768
79459.6 20.3143
79703.2 17.5766
79946.7 15.7969
80190.3 14.5810
80677.3 13.0769
81164.4 12.2163
81651.5 11.6759
82625.7 11.0541
83599.8 10.7158
84574.0 10.5046
85548.1 10.3643
86035.2 10.3629
86157.0 10.4196
86278.8 10.6081
86339.7 10.8634
86370.1 11.0987
86400.5 11.4832
86431.0 12.1604
86461.4 13.4804
86476.6 14.6383
86491.9 16.4307
86507.1 19.3101
86522.3 24.0035
86560.0 40.4901
86578.9 35.8993
86597.7 26.8656
86610.8 22.2668
86623.9 19.1302
86637.0 17.0069
86650.1 15.5400
86676.2 13.7363
86702.4 12.7269
86728.6 12.1090
86754.8 11.7039
86807.1 11.2209
86859.5 10.9526
86911.8 10.7863
87016.5 10.5957
87225.9 10.4254
87435.4 10.3456
88273.0 10.2125
89948.3 10.0963
93298.9 9.96079
96649.4 9.86463
100000 9.78388
104265 9.69009
108531 9.59700
110663 9.54749
112796 9.49557
113862 9.47381
114395 9.46977
114928 9.48049
115462 9.53388
115728 9.60260
115995 9.74067
116261 10.0430
116395 10.3319
116528 10.8163
116661 11.6923
116795 13.4518
116861 15.0348
116928 17.5333
116994 21.6496
117061 28.5749
117220 53.8357
117300 48.1431
117379 34.9290
117429 28.5810
117479 24.0553
117579 18.5811
117679 15.6756
117779 13.9884
117879 12.9290
117978 12.2209
118178 11.3596
118378 10.8715
118578 10.5651
118977 10.2106
119377 10.0157
119777 9.89381
120176 9.81045
120576 9.74962
121375 9.66566
122174 9.60897
123772 9.53293
125370 9.47979
126969 9.43727
127768 9.41835
128567 9.40056
129366 9.38434
129766 9.38083
129866 9.38428
129965 9.39867
130015 9.42107
130065 9.48634
130090 9.57619
130103 9.66390
130115 9.81736
130128 10.1280
130134 10.4190
130140 10.8991
130147 11.8074
130150 12.5719
130153 13.7437
130156 15.6562
130159 19.0332
130162 25.5750
130164 31.3453
130165 39.1278
130168 57.4444
130170 69.1780
130173 57.0955
130175 39.5834
130178 26.5379
130181 20.0859
130183 16.5695
130186 14.5008
130189 13.1607
130192 12.3045
130198 11.2741
130203 10.6960
130209 10.3512
130220 9.97002
130231 9.77380
130243 9.66051
130265 9.54150
130310 9.44946
130355 9.41456
130445 9.38700
130535 9.37560
130716 9.36470
130896 9.35838
131617 9.34151
133059 9.31389
134501 9.28804
135942 9.26311
141710 9.16855
147477 9.07779
148919 9.05485
150361 9.03095
151082 9.01797
151803 9.00294
152163 8.99343
152524 8.98013
152704 8.96996
152884 8.95362
153064 8.91981
153155 8.89622
153177 8.90702
153200 8.98021
153211 9.10905
153222 9.47610
153228 9.94019
153233 10.9418
153236 11.9152
153239 13.5748
153242 16.5976
153245 22.3791
153250 41.6890
153251 41.7770
153253 38.4480
153255 28.6533
153258 21.7907
153261 17.8282
153263 15.4113
153266 13.8685
153271 12.1097
153276 11.1881
153281 10.6441
153286 10.2945
153296 9.88304
153306 9.65569
153316 9.51468
153336 9.35261
153376 9.20894
153416 9.14483
153496 9.08607
153576 9.05846
153736 9.03131
153896 9.01719
154216 9.00111
154536 8.99084
155176 8.97589
155816 8.96365
157096 8.94174
158376 8.92093
159656 8.90017
160936 8.87857
161576 8.86682
162216 8.85324
162536 8.84471
162856 8.83290
163016 8.82396
163176 8.80957
163336 8.77883
163416 8.75106
163456 8.79577
163466 8.88226
163476 9.14835
163481 9.49305
163486 10.2805
163488 11.0786
163491 12.4986
163493 15.2438
163495 17.6811
163496 21.1408
163500 39.1677
163501 39.4126
163502 36.4985
163504 27.3150
163506 20.5850
163509 16.6434
163511 14.3617
163513 12.9604
163517 11.4200
163522 10.6385
163531 9.89829
163539 9.56580
163557 9.26647
163574 9.13591
163610 9.01949
163645 8.96727
163715 8.91906
163785 8.89618
163925 8.87338
164066 8.86127
164346 8.84705
164627 8.83755
165750 8.80943
166311 8.79552
166873 8.77925
167434 8.75729
167715 8.74456
167855 8.75453
167890 8.77462
167926 8.83787
167943 8.92702
167961 9.16542
167969 9.46832
167978 10.1852
167983 10.9912
167987 12.6390
167989 14.1716
167991 16.7019
167994 21.1417
167996 29.0837
167998 41.2234
168000 49.9623
168002 41.7451
168004 29.5954
168006 22.1647
168008 17.7182
168010 15.0605
168012 13.3924
168016 11.5339
168020 10.5909
168028 9.71611
168036 9.33731
168052 9.02308
168068 8.89754
168100 8.79657
168132 8.75518
168196 8.71706
168260 8.69760
168324 8.69192
168388 8.73269
168420 8.82324
168436 8.92289
168452 9.10497
168468 9.47059
168476 9.79441
168484 10.3001
168492 11.1324
168500 12.5946
168508 15.3650
168516 20.8464
168530 38.8514
168534 39.2676
168537 36.2876
168544 27.3583
168551 21.2066
168557 17.4557
168564 15.1028
168570 13.6132
168583 11.8880
168596 10.9789
168609 10.4403
168622 10.0931
168647 9.68437
168673 9.45654
168699 9.31482
168751 9.15167
168802 9.06210
168854 9.00672
168957 8.94421
169060 8.91635
169163 8.92354
169215 8.96038
169240 9.00254
169266 9.08160
