Ga-69(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 87.0112
1.25000E-05 77.8252
1.50000E-05 71.0444
2.00000E-05 61.5262
2.75000E-05 52.4697
3.50000E-05 46.5095
4.25000E-05 42.2066
5.00000E-05 38.9126
6.25000E-05 34.8045
7.50000E-05 31.7720
0.000100000 27.5154
0.000125000 24.6105
0.000150000 22.4662
0.000200000 19.4563
0.000275000 16.5924
0.000350000 14.7076
0.000425000 13.3469
0.000500000 12.3053
0.000625000 11.0062
0.000750000 10.0472
0.00100000 8.70114
0.00125000 7.78254
0.00150000 7.10446
0.00200000 6.15264
0.00275000 5.24700
0.00350000 4.65097
0.00425000 4.22070
0.00500000 3.89129
0.00625000 3.48049
0.00750000 3.17724
0.0100000 2.75159
0.0125000 2.46110
0.0150000 2.24668
0.0200000 1.94570
0.0253000 1.72995
0.0314750 1.55102
0.0376500 1.41815
0.0500000 1.23063
0.0625000 1.10074
0.0750000 1.00485
0.100000 0.870267
0.125000 0.778426
0.150000 0.710634
0.200000 0.615482
0.275000 0.524956
0.350000 0.465387
0.500000 0.389477
0.750000 0.318153
1.00000 0.275658
1.50000 0.225288
2.00000 0.195297
2.75000 0.166804
3.50000 0.148091
5.00000 0.124320
7.50000 0.102139
10.0000 0.0890781
15.0000 0.0739557
20.0000 0.0653874
27.5000 0.0580458
35.0000 0.0542932
50.0000 0.0536489
62.5000 0.0606336
75.0000 0.0816111
81.2500 0.104815
87.5000 0.149738
90.6250 0.189445
93.7500 0.252821
96.8750 0.363115
100.000 0.581434
101.327 0.745091
102.655 0.994407
103.982 1.40193
105.309 2.13706
105.973 2.75016
106.636 3.67705
107.300 5.17578
107.964 7.83612
108.295 10.0185
108.627 13.2629
108.959 18.3891
109.291 27.1857
109.623 44.1827
109.789 59.3240
109.954 83.6883
110.120 126.370
110.203 160.719
110.286 210.459
110.369 285.841
110.452 405.496
110.535 605.213
110.618 944.056
110.709 1511.82
110.800 1890.48
110.891 1510.29
110.982 942.280
111.069 591.079
111.156 389.878
111.243 271.535
111.330 198.290
111.417 150.392
111.504 117.676
111.678 77.3495
111.851 54.5217
112.025 40.4264
112.373 24.7076
112.721 16.6223
113.069 11.9339
113.416 8.97735
113.764 6.99519
114.459 4.58684
