Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3255.09 7.50850
3367.99 7.05957
3480.88 6.64126
3537.33 6.43224
3565.55 6.32323
3572.60 6.29414
3579.66 6.26338
3583.19 6.24763
3586.72 6.23515
3588.48 6.23685
3590.24 6.26796
3591.13 6.32761
3591.57 6.39227
3592.01 6.51305
3592.45 6.76544
3592.67 7.00315
3592.89 7.39869
3593.11 8.12348
3593.22 8.72218
3593.33 9.61079
3593.44 10.9920
3593.55 13.2565
3593.66 17.1788
3593.77 24.1632
3593.89 35.8224
3594.00 44.3958
3594.12 37.7000
3594.23 26.4506
3594.31 20.9796
3594.38 17.2169
3594.54 12.8643
3594.69 10.6320
3594.84 9.36579
3595.00 8.58475
3595.15 8.07026
3595.45 7.45543
3595.76 7.11448
3596.07 6.90453
3596.68 6.66741
3597.29 6.54114
3597.90 6.46470
3599.13 6.37792
3601.58 6.29956
3604.03 6.26123
3608.92 6.21781
3613.82 6.18874
3623.62 6.14314
3633.41 6.10339
3672.60 5.96270
3711.78 5.85004
3750.96 5.80866
3790.14 5.99026
3809.73 6.31127
3829.33 7.02323
3848.92 8.67575
3858.71 10.2985
3868.51 13.0537
3878.30 18.0763
3888.10 28.1760
3893.00 37.2108
3897.90 51.3740
3902.79 74.3936
3907.69 112.338
3920.00 253.910
3926.16 221.161
3932.31 148.842
3936.58 111.134
3940.84 85.0019
3945.11 67.0637
3949.37 54.5154
3957.91 38.8402
3966.44 29.8890
3974.97 24.3120
3983.50 20.5948
4000.56 16.0665
4017.63 13.4799
4034.69 11.8356
4068.82 9.88563
4102.94 8.76463
4137.07 8.02026
4171.19 7.47019
4205.32 7.02675
4273.57 6.28148
4307.70 5.92432
4341.83 5.55120
4375.95 5.16209
4393.02 4.98651
4410.08 4.88976
4427.14 5.07430
4435.67 5.46704
4444.20 6.36832
4452.74 8.45809
4457.00 10.4652
4461.27 13.7600
4465.53 19.4420
4469.80 29.8721
4474.07 50.4552
4476.20 67.9521
4478.33 93.1403
4482.17 161.706
4486.00 221.364
4489.84 195.125
4493.67 134.856
4497.63 90.9044
4501.58 65.0067
4505.54 49.4483
4509.49 39.5659
4513.45 32.9289
4517.41 28.2567
4525.32 22.2472
4533.23 18.6334
4541.14 16.2635
4556.96 13.3918
4572.79 11.7390
4588.61 10.6726
4620.25 9.37888
4651.90 8.61642
4683.54 8.10595
4746.84 7.44595
4810.13 7.01737
4873.42 6.70080
5000.00 6.23127
5214.45 5.64284
5428.90 5.13536
5643.35 4.61649
5750.57 4.32729
5804.18 4.16665
5830.99 4.07548
5837.69 4.04864
5844.39 4.01636
5847.74 3.99537
5851.09 3.96623
5852.77 3.94527
5854.44 3.91667
5855.28 3.90038
5856.12 3.89525
5856.54 3.91848
5856.96 4.02422
5857.17 4.17997
5857.38 4.55189
5857.48 4.93570
5857.58 5.60588
5857.69 6.87342
5857.79 9.30912
5857.90 13.5225
5858.00 17.1420
5858.10 15.5251
5858.21 11.8587
5858.28 9.80761
5858.36 8.40854
5858.51 6.76341
5858.66 5.91217
5858.81 5.42345
5859.11 4.90358
5859.41 4.64535
5860.02 4.39769
5860.62 4.28155
5861.82 4.17167
5863.03 4.11875
5865.44 4.06494
5867.85 4.03534
5872.67 3.99864
5877.49 3.97256
5887.14 3.93026
5896.78 3.89242
5935.36 3.74730
6012.50 3.43344
6089.65 3.05819
6128.23 2.83650
6147.51 2.71290
6157.16 2.64435
6161.98 2.60442
6164.39 2.58395
6165.59 2.60080
6166.20 2.71966
6166.50 3.02501
6166.65 3.48941
6166.80 4.65946
6166.90 6.17767
6167.00 7.40269
6167.10 6.70686
6167.20 5.33712
6167.33 4.20548
6167.46 3.62416
6167.71 3.12222
6168.21 2.81888
6169.23 2.67371
6171.25 2.60266
6175.30 2.55064
6183.40 2.48217
6199.59 2.35579
6231.98 2.08778
6264.37 1.78799
6272.47 1.70651
6280.56 1.62040
6284.61 1.57472
6288.66 1.52852
6290.69 1.51022
6292.71 1.51713
6293.72 1.56299
6294.23 1.62133
6294.73 1.73869
6295.24 1.99846
6295.49 2.25118
6295.75 2.68430
6296.00 3.49597
6296.13 4.18765
6296.25 5.22646
6296.38 6.89422
6296.50 9.69253
6296.63 14.7861
6296.76 24.2725
6296.88 39.4209
6297.00 51.0475
6297.12 42.8949
6297.24 28.3208
6297.32 21.7182
6297.39 17.0395
6297.54 11.2640
6297.68 8.14992
6297.83 6.32412
6297.98 5.17170
6298.13 4.39960
6298.42 3.46290
6298.71 2.93166
6299.01 2.60018
6299.59 2.22077
6300.77 1.88859
6301.94 1.74212
6304.29 1.60473
6306.64 1.53410
6311.34 1.45012
6316.04 1.39277
6334.83 1.25251
6353.63 1.25403
6372.42 1.57306
6381.82 1.98971
6391.22 2.74192
6400.61 4.09070
6410.01 6.56207
6419.41 11.3099
6424.11 15.2903
6428.81 21.1367
6433.51 29.9646
6438.20 43.6795
6442.90 65.5367
6447.60 100.536
6454.30 180.667
6461.00 253.519
6462.79 256.665
6463.00 256.297
6463.21 256.183
6463.91 254.445
6464.61 251.378
6466.01 242.167
6468.81 215.709
6474.41 157.674
6481.25 106.456
6488.08 75.7666
6494.92 57.1085
6501.76 45.1493
6508.59 37.0608
6515.43 31.3324
6529.10 23.9111
6542.78 19.4101
6556.45 16.4360
6570.12 14.3406
6576.96 13.5075
6580.38 13.1277
6582.09 12.9507
6582.94 12.9081
6583.37 13.0261
6583.58 13.3257
6583.69 13.7037
6583.80 14.4523
6583.90 15.7029
6584.00 16.7472
