29-Cu_n-tot
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
4.032770e+02 6.56588817e+00
4.036590e+02 6.55127756e+00
4.044240e+02 6.53793174e+00
4.051890e+02 6.53090623e+00
4.067180e+02 6.52157959e+00
4.082470e+02 6.51402318e+00
4.143640e+02 6.48656905e+00
4.265980e+02 6.43177834e+00
4.510650e+02 6.31366523e+00
4.755330e+02 6.17643073e+00
5.000000e+02 6.00339869e+00
5.196160e+02 5.81754344e+00
5.294240e+02 5.69272383e+00
5.392320e+02 5.53207069e+00
5.441360e+02 5.43277627e+00
5.490390e+02 5.31741952e+00
5.539430e+02 5.18516130e+00
5.588470e+02 5.04482636e+00
5.612990e+02 4.98434335e+00
5.637510e+02 4.95248152e+00
5.662030e+02 4.99714800e+00
5.686550e+02 5.24832404e+00
5.698810e+02 5.55521644e+00
5.711070e+02 6.11936759e+00
5.717200e+02 6.56571591e+00
5.723330e+02 7.18623924e+00
5.729460e+02 8.06389685e+00
5.735590e+02 9.33337910e+00
5.741720e+02 1.12247826e+01
5.747850e+02 1.41519909e+01
5.753980e+02 1.89158924e+01
5.760110e+02 2.72143269e+01
5.763180e+02 3.37797483e+01
5.766240e+02 4.31137986e+01
5.769310e+02 5.68825063e+01
5.772370e+02 7.81379475e+01
5.775440e+02 1.12855025e+02
5.778500e+02 1.73622984e+02
5.781570e+02 2.88610765e+02
5.783100e+02 3.83633052e+02
5.784630e+02 5.17584715e+02
5.787320e+02 8.54787450e+02
5.790000e+02 1.10477821e+03
5.792690e+02 9.15376031e+02
5.795380e+02 5.93434051e+02
5.798130e+02 3.76067609e+02
5.800870e+02 2.52725114e+02
5.803620e+02 1.80734791e+02
5.806360e+02 1.36185264e+02
5.809110e+02 1.06971822e+02
5.811850e+02 8.68709690e+01
5.817340e+02 6.17786747e+01
5.822830e+02 4.72720006e+01
5.828320e+02 3.81000416e+01
5.839310e+02 2.75020288e+01
5.850290e+02 2.17693421e+01
5.861270e+02 1.82748334e+01
5.872250e+02 1.59625823e+01
5.883230e+02 1.43385811e+01
5.905190e+02 1.22363942e+01
5.927150e+02 1.09536348e+01
5.949120e+02 1.00984978e+01
5.971080e+02 9.49158979e+00
6.015000e+02 8.69209979e+00
6.058930e+02 8.19116371e+00
6.102850e+02 7.84811211e+00
6.146770e+02 7.59792205e+00
6.234620e+02 7.25489155e+00
6.322470e+02 7.02661547e+00
6.366390e+02 6.93732362e+00
6.410320e+02 6.86067120e+00
6.432280e+02 6.82949224e+00
6.443260e+02 6.81853235e+00
6.454240e+02 6.81552471e+00
6.465220e+02 6.83365623e+00
6.470710e+02 6.86317656e+00
6.476200e+02 6.92692614e+00
6.481690e+02 7.07512862e+00
6.484440e+02 7.22438147e+00
6.487180e+02 7.48890167e+00
6.489930e+02 8.01025067e+00
6.491300e+02 8.47622521e+00
6.492680e+02 9.22017463e+00
6.494050e+02 1.04993877e+01
6.495420e+02 1.29175359e+01
6.496110e+02 1.49840694e+01
6.496790e+02 1.80967745e+01
6.497480e+02 2.29302761e+01
6.498170e+02 3.04703778e+01
6.499080e+02 4.54964937e+01
6.500000e+02 5.61785361e+01
6.500920e+02 4.70857531e+01
6.501840e+02 3.24532945e+01
6.502600e+02 2.41101859e+01
6.503360e+02 1.89070406e+01
6.504130e+02 1.56257800e+01
