49-In_n-tot
> 49-In-113:0.042900
> 49-In-115:0.957100
5.000000e+00 1.08544037e+01
5.078130e+00 1.04835276e+01
5.156250e+00 1.01618616e+01
5.234380e+00 9.86312824e+00
5.312500e+00 9.57657071e+00
5.441000e+00 9.12032993e+00
5.468750e+00 9.06617389e+00
5.625000e+00 8.77317388e+00
5.882000e+00 8.30299178e+00
5.937500e+00 8.24609969e+00
6.250000e+00 7.93343277e+00
6.323000e+00 7.86130007e+00
6.543500e+00 7.75760659e+00
6.764000e+00 7.89401122e+00
6.853000e+00 8.12702814e+00
6.875000e+00 8.06939127e+00
6.942000e+00 7.89427203e+00
7.202900e+00 7.78076384e+00
7.463800e+00 8.03167148e+00
7.500000e+00 8.11003749e+00
7.724700e+00 8.59722993e+00
7.985600e+00 9.77199016e+00
8.246500e+00 1.24314996e+01
8.376950e+00 1.51088512e+01
8.507400e+00 1.99391991e+01
8.637850e+00 2.98909892e+01
8.703080e+00 3.93174950e+01
8.750000e+00 5.09308491e+01
8.768300e+00 5.54604126e+01
8.833530e+00 8.64148895e+01
8.866140e+00 1.13691017e+02
8.898750e+00 1.57001729e+02
8.931360e+00 2.31289939e+02
8.947670e+00 2.89718991e+02
8.963980e+00 3.72594291e+02
8.980280e+00 4.94429303e+02
8.996590e+00 6.80543152e+02
9.012890e+00 9.74827486e+02
9.029200e+00 1.44375864e+03
9.049600e+00 2.31553319e+03
9.070000e+00 2.90386257e+03
9.080200e+00 2.73789187e+03
9.090400e+00 2.33165078e+03
9.110800e+00 1.46396308e+03
9.124690e+00 1.05078302e+03
9.138590e+00 7.71519432e+02
9.152480e+00 5.83097079e+02
9.166380e+00 4.53215747e+02
9.194160e+00 2.94122775e+02
9.221950e+00 2.05766194e+02
9.249740e+00 1.52259537e+02
9.277530e+00 1.17603922e+02
9.333100e+00 7.70941281e+01
9.388680e+00 5.52831011e+01
9.444250e+00 4.22242751e+01
9.499830e+00 3.37910177e+01
9.555400e+00 2.80279736e+01
9.666550e+00 2.08711425e+01
9.777700e+00 1.67541567e+01
9.888850e+00 1.41638412e+01
1.000000e+01 1.24250575e+01
1.024630e+01 1.01433433e+01
1.049250e+01 8.92440176e+00
1.073880e+01 8.21730843e+00
1.098500e+01 7.81833364e+00
1.114170e+01 7.73597854e+00
1.123130e+01 7.68990037e+00
1.147750e+01 8.02486351e+00
1.160060e+01 8.65179136e+00
1.166220e+01 9.25736310e+00
1.171250e+01 1.00786985e+01
1.172380e+01 1.02634377e+01
1.178530e+01 1.20581247e+01
1.184690e+01 1.56109124e+01
1.187770e+01 1.87814182e+01
1.190840e+01 2.37814168e+01
1.193920e+01 3.20122059e+01
1.197000e+01 4.57589538e+01
1.200500e+01 6.94572120e+01
1.204000e+01 8.54129141e+01
1.207500e+01 6.98427949e+01
1.211000e+01 4.62138938e+01
1.214940e+01 2.96268309e+01
1.218880e+01 2.09398629e+01
1.222820e+01 1.61768134e+01
1.226760e+01 1.33617495e+01
1.228330e+01 1.26515989e+01
1.230700e+01 1.15803338e+01
1.234640e+01 1.03884114e+01
1.242530e+01 8.94469455e+00
1.250410e+01 8.13546111e+00
1.256870e+01 7.72442163e+00
1.258290e+01 7.63466875e+00
1.274050e+01 7.07059225e+00
1.285410e+01 6.85368411e+00
1.289810e+01 6.77320451e+00
1.305580e+01 6.60372696e+00
1.313950e+01 6.56626772e+00
1.337100e+01 6.50234589e+00
1.342500e+01 6.52197838e+00
1.346000e+01 6.54392346e+00
1.354900e+01 6.50794078e+00
1.356770e+01 6.50827295e+00
1.371040e+01 6.55984025e+00
1.375060e+01 6.59997131e+00
1.385310e+01 6.72802314e+00
1.395220e+01 6.98250626e+00
1.399580e+01 7.09856079e+00
1.406710e+01 7.42879795e+00
1.413850e+01 7.93669193e+00
1.420980e+01 8.76406716e+00
1.428120e+01 1.02260786e+01
1.431690e+01 1.14103013e+01
1.435260e+01 1.31425716e+01
1.435540e+01 1.33524235e+01
1.438820e+01 1.58134572e+01
1.442390e+01 2.02141175e+01
1.445960e+01 2.81801110e+01
1.447740e+01 3.47907203e+01
1.449530e+01 4.46578935e+01
1.451310e+01 6.01964218e+01
1.453090e+01 8.62378139e+01
1.454880e+01 1.32932964e+02
1.456660e+01 2.19875625e+02
1.458330e+01 3.49854048e+02
1.460000e+01 4.37680647e+02
1.461670e+01 3.52467521e+02
1.463340e+01 2.23165637e+02
1.464390e+01 1.65575220e+02
1.465440e+01 1.25435235e+02
1.467530e+01 7.78721113e+01
1.469630e+01 5.31274794e+01
1.471730e+01 3.90323007e+01
1.473820e+01 3.03420681e+01
1.475920e+01 2.46451220e+01
1.480110e+01 1.79022086e+01
1.484300e+01 1.42258729e+01
1.488500e+01 1.20056740e+01
1.496880e+01 9.57002902e+00
1.505270e+01 8.32783553e+00
1.513650e+01 7.60495164e+00
1.516180e+01 7.46590709e+00
1.522040e+01 7.14802122e+00
1.530420e+01 6.83926818e+00
1.547190e+01 6.45479691e+00
1.563960e+01 6.22879825e+00
1.580740e+01 6.08079810e+00
1.597510e+01 5.97579030e+00
1.631050e+01 5.83345118e+00
1.664590e+01 5.73683274e+00
1.677450e+01 5.70840983e+00
1.698130e+01 5.67188566e+00
1.731670e+01 5.62512613e+00
1.798750e+01 5.55181900e+00
1.838730e+01 5.51716770e+00
1.865840e+01 5.50103656e+00
1.919360e+01 5.47831210e+00
1.932920e+01 5.47697622e+00
1.966460e+01 5.47957483e+00
2.000000e+01 5.48980406e+00
2.037770e+01 5.55118066e+00
2.056660e+01 5.60152830e+00
2.067230e+01 5.64768268e+00
2.075550e+01 5.69566642e+00
2.094430e+01 5.88356748e+00
2.100840e+01 5.99556962e+00
2.103880e+01 6.05595251e+00
2.113320e+01 6.35562263e+00
2.122760e+01 6.91597032e+00
2.127480e+01 7.41680246e+00
2.132200e+01 8.23948326e+00
2.134450e+01 8.95423684e+00
2.136930e+01 9.75122892e+00
2.139290e+01 1.10260999e+01
2.141650e+01 1.29594300e+01
2.144010e+01 1.60797174e+01
2.146370e+01 2.15099123e+01
2.147550e+01 2.57973806e+01
2.148730e+01 3.18174941e+01
2.149910e+01 4.04015690e+01
2.151090e+01 5.25803206e+01
2.151260e+01 5.50530025e+01
2.153050e+01 8.10976115e+01
2.155000e+01 1.00479616e+02
2.156960e+01 8.19660364e+01
2.158910e+01 5.37045879e+01
2.160220e+01 4.03940350e+01
2.161530e+01 3.13477421e+01
2.162840e+01 2.52106270e+01
2.164160e+01 2.09629158e+01
2.166780e+01 1.57415312e+01
2.168060e+01 1.43241394e+01
2.169400e+01 1.28524629e+01
2.172020e+01 1.11243397e+01
