La-139(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
670.590 0.000949845
681.219 0.00102741
691.848 0.00190881
694.506 0.00287120
697.163 0.00563528
698.491 0.00950038
699.820 0.0204837
700.484 0.0357387
700.817 0.0509704
701.149 0.0787634
701.481 0.138003
701.647 0.196687
701.813 0.302785
701.896 0.391546
701.979 0.525796
702.062 0.743488
702.145 1.13006
702.187 1.44827
702.228 1.92083
702.270 2.66801
702.311 3.95099
702.353 6.43146
702.374 8.64848
702.394 12.1993
702.415 18.4519
702.436 30.7088
702.446 41.7362
702.457 59.2764
702.467 88.5400
702.477 137.657
702.489 220.475
702.500 275.782
702.511 220.477
702.523 137.660
702.533 87.4619
702.544 58.2227
702.555 40.8332
702.565 30.0430
702.586 17.9771
702.607 11.8770
702.628 8.40367
702.650 6.24913
702.692 3.83504
702.734 2.58595
702.776 1.86127
702.818 1.40312
702.861 1.09533
702.945 0.720158
703.030 0.509477
703.114 0.379256
703.198 0.293380
703.367 0.190551
703.536 0.133723
703.874 0.0763646
704.212 0.0494336
704.550 0.0346771
705.225 0.0198923
706.576 0.00923615
707.927 0.00547850
710.629 0.00277771
713.331 0.00182536
724.140 0.000892542
745.757 0.000648490
788.991 0.000622162
810.609 0.000677374
832.226 0.000837652
843.034 0.00104863
848.439 0.00125352
853.843 0.00162213
859.247 0.00240251
861.949 0.00317781
864.651 0.00459366
866.003 0.00579112
867.354 0.00762880
868.705 0.0106634
870.056 0.0162202
871.407 0.0281406
872.082 0.0400417
872.758 0.0617779
873.433 0.108168
873.771 0.154204
874.109 0.237648
874.278 0.307548
874.447 0.413641
874.616 0.586000
874.784 0.893622
874.869 1.14765
874.953 1.52699
875.038 2.13140
875.122 3.17775
875.207 5.23331
875.249 7.09223
875.291 10.1342
875.333 15.5972
875.354 20.1027
875.376 26.7979
875.397 37.2722
875.418 54.6913
875.439 85.6094
875.460 142.465
875.480 228.069
875.500 284.717
875.520 227.608
875.540 142.456
875.555 99.6145
875.569 71.6466
875.584 53.2105
875.598 40.7391
875.627 25.7335
875.656 17.6058
875.685 12.7407
875.714 9.63598
875.773 6.04303
875.831 4.13388
875.889 3.00260
875.947 2.27843
876.005 1.78814
876.121 1.18427
876.237 0.841761
876.353 0.628736
876.469 0.487535
876.702 0.317626
876.934 0.223333
877.166 0.165619
877.399 0.127751
877.863 0.0827221
878.328 0.0580039
878.793 0.0429889
879.257 0.0331962
880.187 0.0216231
881.116 0.0153113
882.045 0.0114996
882.974 0.00902730
884.833 0.00613428
886.692 0.00459100
890.409 0.00317091
894.126 0.00279082
897.843 0.00338553
899.701 0.00462783
901.560 0.00842313
902.489 0.0138017
903.419 0.0291063
903.883 0.0503123
904.348 0.109781
904.580 0.191028
904.696 0.270999
904.812 0.414439
904.929 0.712315
904.987 0.998973
905.045 1.49977
