Sn-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
748.030 11.0679
748.058 15.7077
748.072 19.1837
748.086 23.9246
748.093 26.9884
748.100 30.6052
748.108 35.0429
748.115 40.3935
748.122 47.1118
748.129 55.4175
748.136 66.1295
748.143 79.7484
748.150 97.8108
748.157 121.356
748.164 153.091
748.171 194.275
748.178 248.756
748.186 310.942
748.200 387.875
748.207 364.983
748.215 310.083
748.229 193.601
748.244 119.816
748.258 78.4303
748.272 54.3620
748.287 39.5550
748.301 29.8780
748.315 23.3393
748.344 15.3087
748.373 10.7681
748.401 7.98161
748.458 4.87388
748.516 3.27889
748.573 2.35461
748.630 1.77204
748.688 1.38152
748.802 0.907014
748.917 0.640765
749.031 0.476633
749.146 0.368377
749.375 0.238983
749.604 0.167556
749.834 0.124014
750.063 0.0955293
750.521 0.0617659
750.980 0.0432845
751.438 0.0320855
751.896 0.0247946
752.813 0.0161971
753.730 0.0115248
754.647 0.00871540
755.563 0.00690494
757.397 0.00481942
759.230 0.00375628
762.897 0.00297423
766.564 0.00329238
770.231 0.00546955
772.065 0.00882442
773.898 0.0185540
774.815 0.0321327
775.274 0.0456962
775.732 0.0704384
776.190 0.123110
776.419 0.175209
776.649 0.269308
776.763 0.347797
776.878 0.466441
776.992 0.658109
777.107 0.997647
777.164 1.27539
777.222 1.68726
777.279 2.33541
777.336 3.44081
777.394 5.55532
777.422 7.42232
777.451 10.3805
777.480 15.4904
777.508 25.2420
777.522 33.7095
777.537 46.7442
777.551 67.5677
777.565 101.153
777.583 162.039
777.600 202.323
777.617 161.669
777.635 101.157
777.647 71.5695
777.659 51.8642
777.671 38.7421
777.684 29.7937
777.708 18.9631
777.732 13.0409
777.757 9.46935
777.781 7.17305
777.830 4.51495
777.879 3.09369
777.927 2.25104
777.976 1.71038
778.025 1.34318
778.122 0.890639
778.220 0.633435
778.317 0.473471
778.415 0.367370
778.610 0.239565
778.804 0.168580
779.194 0.0965557
779.584 0.0625869
779.974 0.0439234
780.754 0.0251664
782.313 0.0115971
783.872 0.00678916
786.991 0.00330962
790.110 0.00206682
796.348 0.00115075
802.585 0.000812931
815.061 0.000554811
827.536 0.000458233
852.486 0.000395802
877.437 0.000402789
902.387 0.000472745
927.338 0.000705086
939.813 0.00103552
952.288 0.00197933
958.526 0.00329815
964.763 0.00705482
967.882 0.0122924
969.442 0.0175392
971.001 0.0271534
972.560 0.0477664
973.340 0.0683215
974.120 0.105793
974.510 0.137347
974.900 0.185474
975.289 0.264235
975.679 0.406329
975.874 0.524818
976.069 0.703696
976.264 0.992332
976.459 1.50278
976.556 1.91987
976.654 2.53748
976.751 3.50748
976.849 5.15486
976.946 8.29416
976.995 11.0431
977.044 15.3893
977.093 22.8283
977.141 36.8778
977.166 48.9624
977.190 67.2688
977.214 96.1867
977.239 141.792
977.269 226.881
977.300 283.612
977.331 226.886
977.361 141.799
977.384 99.3729
977.406 71.5507
977.428 53.1840
977.450 40.7453
977.494 25.7976
977.538 17.6562
977.583 12.7848
977.627 9.67060
977.715 6.07017
977.804 4.15327
977.892 3.01811
977.981 2.29101
978.069 1.79779
978.246 1.19094
978.423 0.846399
978.600 0.632272
978.776 0.490267
979.130 0.319394
979.484 0.224521
979.838 0.166436
980.191 0.128316
980.899 0.0829739
981.606 0.0580697
983.021 0.0330576
984.436 0.0213737
985.851 0.0149898
988.681 0.00860909
994.340 0.00402436
1000.00 0.00241294
1016.22 0.00104523
1032.45 0.000700319
1048.67 0.000571962
1064.89 0.000518036
1097.34 0.000496357
1129.78 0.000528682
1194.67 0.000725311
1227.12 0.000980794
1235.23 0.00111529
1243.34 0.00138210
1251.45 0.00246382
1255.51 0.00640015
1256.52 0.0103963
1257.54 0.0216395
1258.05 0.0371066
1258.55 0.0801528
1258.81 0.138601
1259.06 0.296474
1259.19 0.503967
1259.25 0.698776
1259.31 1.03261
1259.38 1.69078
1259.41 2.28209
1259.44 3.20333
1259.47 4.87146
1259.50 8.05160
1259.52 10.9876
1259.53 15.6929
1259.55 23.6222
1259.57 37.0364
1259.58 59.3447
1259.60 73.9657
1259.62 59.3453
1259.63 36.9293
1259.65 21.2199
1259.67 13.3455
1259.69 8.83498
1259.71 6.32667
1259.73 4.66688
1259.75 3.62049
1259.79 2.35311
1259.83 1.63362
1259.87 1.19876
1259.94 0.727381
1260.02 0.485387
1260.10 0.348175
1260.25 0.204269
1260.56 0.0947845
1260.87 0.0549276
1261.49 0.0256014
1262.11 0.0151339
1264.58 0.00489244
1269.53 0.00239124
1274.48 0.00204254
1279.43 0.00204267
1289.33 0.00241033
1299.22 0.00322946
1309.12 0.00500396
1314.07 0.00676598
1319.02 0.00997653
1321.49 0.0126889
1323.96 0.0168456
1326.44 0.0237021
1328.91 0.0362429
1330.15 0.0468459
1331.39 0.0630965
1332.62 0.0898611
1333.86 0.138649
1334.48 0.179774
1335.10 0.242431
1335.72 0.345170
1336.33 0.530432
1336.64 0.685525
1336.95 0.919337
1337.11 1.08453
1337.26 1.29707
1337.42 1.58092
1337.57 1.96628
1337.73 2.51592
1337.80 2.88393
1337.88 3.33233
1337.96 3.90194
1338.04 4.61999
1338.11 5.55518
1338.19 6.80419
1338.27 8.55014
1338.35 11.0193
1338.42 14.7188
1338.50 20.6062
1338.58 30.9291
1338.62 39.1516
1338.65 50.5954
1338.69 68.0421
1338.73 94.3567
1338.77 137.876
1338.81 206.920
1338.85 332.041
1338.90 415.854
1338.95 332.017
1338.99 206.896
1339.04 120.886
1339.09 75.7359
1339.15 50.9476
1339.20 36.3043
1339.25 27.0602
1339.30 20.8956
1339.40 13.5405
1339.50 9.42982
1339.60 6.95378
1339.81 4.21231
1340.01 2.81488
1340.21 2.01531
1340.42 1.51346
1340.62 1.17808
1341.03 0.771113
1341.43 0.544167
1341.84 0.404258
1342.24 0.312378
1343.06 0.202604
1343.87 0.142124
1344.68 0.105306
1345.50 0.0812700
1347.12 0.0527726
1348.75 0.0372037
1350.37 0.0277746
1352.00 0.0216459
1355.25 0.0144313
1358.50 0.0105224
1361.75 0.00818152
1365.00 0.00667977
1371.50 0.00496218
1378.01 0.00409153
1391.01 0.00339631
1417.02 0.00355671
1443.03 0.00488704
1456.03 0.00614911
1469.04 0.00813208
1482.04 0.0114315
1495.04 0.0174646
1501.55 0.0225454
1508.05 0.0302912
1514.55 0.0429517
1521.05 0.0657699
1524.30 0.0847669
1525.93 0.0975380
1527.55 0.113435
1528.37 0.122894
1529.18 0.133593
1529.99 0.145758
1530.81 0.159649
1531.62 0.175653
1532.43 0.194194
1533.24 0.215839
1534.06 0.241288
1534.87 0.271562
1535.68 0.307915
1536.50 0.352086
1537.31 0.406408
1538.12 0.474417
1538.93 0.560995
1539.75 0.673532
1540.56 0.823260
1541.37 1.02898
1542.18 1.32179
1543.00 1.75791
1543.81 2.44518
1544.62 3.61646
1545.03 4.53310
1545.44 5.82284
1545.84 7.71072
1546.25 10.5635
1546.65 15.0247
1547.06 22.0424
1547.58 35.2901
1548.10 44.1191
1548.62 35.2598
1549.14 22.0133
1549.72 12.8733
1550.29 8.06793
1550.87 5.42781
1551.45 3.86767
1552.03 2.88264
1552.60 2.22570
1553.76 1.43682
1554.91 1.00092
1556.06 0.736319
1558.37 0.445396
1560.68 0.297848
1562.98 0.212998
1565.29 0.159806
1567.60 0.124295
1572.21 0.0813235
1576.83 0.0573277
1581.44 0.0425853
1586.05 0.0328888
1595.28 0.0213379
1604.51 0.0149924
1613.74 0.0111443
1622.97 0.00864399
1623.00 0.00863670
1623.03 0.00862942
1623.11 0.00861160
1623.19 0.00859405
1623.35 0.00855912
1623.68 0.00848974
1624.32 0.00835386
1625.60 0.00809221
1628.16 0.00760733
1633.29 0.00676966
1643.56 0.00549713
1664.08 0.00395956
1684.60 0.00319409
1705.12 0.00295096
1725.64 0.00333084
1735.90 0.00396558
1746.16 0.00528290
1751.29 0.00645256
1756.42 0.00828423
1761.55 0.0113494
1766.68 0.0170048
1769.25 0.0218075
1771.82 0.0291791
1774.38 0.0413343
1776.95 0.0635055
1778.23 0.0821874
1779.51 0.110674
1780.79 0.157334
1782.08 0.241512
1782.72 0.311823
1783.36 0.417934
1784.00 0.589280
1784.32 0.717737
1784.64 0.892646
1784.96 1.14114
1785.12 1.30674
1785.28 1.50970
1785.44 1.76555
1785.60 2.08988
1785.76 2.51210
1785.92 3.07569
1786.08 3.85677
1786.24 4.96627
1786.40 6.62590
1786.56 9.26092
1786.73 13.8243
1786.81 17.4068
1786.89 22.5043
1786.97 30.0315
1787.05 41.6042
1787.13 60.0623
1787.21 89.7785
1787.30 144.001
1787.40 179.676
1787.50 143.392
1787.60 89.7603
1787.66 63.3547
1787.73 46.0276
1787.80 34.4543
1787.87 26.5409
1788.01 16.8832
1788.14 11.6184
1788.28 8.43237
1788.41 6.39725
1788.69 4.03162
1788.96 2.76315
1789.23 2.01177
1789.50 1.52782
1789.78 1.20033
1790.32 0.795621
1790.87 0.566025
1791.41 0.423172
1791.96 0.328314
1793.05 0.214083
1794.14 0.150669
1795.23 0.111800
1796.32 0.0863106
1798.50 0.0559760
1800.68 0.0393101
1802.86 0.0291817
1805.04 0.0225718
1809.40 0.0147455
1813.77 0.0104655
1818.13 0.00786922
1822.49 0.00617569
1831.21 0.00416962
1839.93 0.00306930
1857.38 0.00196524
1874.83 0.00146698
1892.27 0.00127188
1901.00 0.00131250
1909.72 0.00163225
1918.44 0.00369919
1922.80 0.0120954
1923.89 0.0207452
1924.98 0.0451432
1925.53 0.0787513
