Gd-154(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 4380.26
1.25000E-05 3917.81
1.50000E-05 3576.45
2.00000E-05 3097.28
2.75000E-05 2641.35
3.50000E-05 2341.29
4.25000E-05 2124.68
5.00000E-05 1958.84
6.25000E-05 1752.02
7.50000E-05 1599.35
0.000100000 1385.05
0.000125000 1238.80
0.000150000 1130.84
0.000200000 979.292
0.000275000 835.088
0.000350000 740.178
0.000425000 671.656
0.000500000 619.196
0.000625000 553.765
0.000750000 505.461
0.00100000 437.646
0.00125000 391.357
0.00150000 357.180
0.00200000 309.192
0.00275000 263.507
0.00350000 233.421
0.00425000 211.688
0.00500000 195.038
0.00625000 174.258
0.00750000 158.901
0.0100000 137.313
0.0125000 122.550
0.0150000 111.629
0.0200000 96.2553
0.0253000 85.1898
0.0314750 75.9715
0.0376500 69.0946
0.0500000 59.3264
0.0625000 52.5014
0.0750000 47.4227
0.100000 40.2171
0.125000 35.2336
0.150000 31.5118
0.200000 26.2135
0.237500 23.3539
0.275000 21.0811
0.350000 17.6559
0.500000 13.2590
0.750000 9.17245
1.00000 6.83625
1.50000 4.29733
2.00000 2.98815
2.75000 1.95029
3.50000 1.40392
4.25000 1.08621
5.00000 0.890486
6.25000 0.712753
7.50000 0.649202
8.75000 0.699466
9.37500 0.812174
10.0000 1.10509
10.3858 1.56024
10.5786 2.00661
10.7715 2.80500
10.9644 4.45552
11.0608 6.04005
11.1573 8.81089
11.2537 14.3334
11.3019 19.4228
11.3501 27.9220
11.3984 43.6706
11.4225 57.0922
11.4466 77.7130
11.4707 111.504
11.4948 171.588
11.5189 289.337
11.5310 390.415
11.5430 537.237
11.5523 686.516
11.5615 856.631
11.5800 1068.18
11.5985 855.265
11.6170 535.527
11.6334 347.982
11.6498 235.653
11.6661 167.288
11.6825 123.868
11.7153 74.9313
11.7480 49.8956
11.7807 35.5327
11.8135 26.5850
11.8790 16.5187
11.9445 11.3033
12.0100 8.26572
12.1409 5.05626
12.2719 3.48930
12.4029 2.61199
12.6649 1.72135
12.9269 1.30713
13.1888 1.08701
13.7128 0.887107
14.7606 0.819554
15.8085 0.921935
16.8564 1.16249
17.9043 1.62973
18.9521 2.61495
19.4761 3.56134
20.0000 5.21087
20.2859 6.68655
20.5718 8.93285
20.8576 12.5999
21.0006 15.3743
21.1435 19.2030
21.1792 20.3885
21.2150 21.6888
21.2328 22.3869
21.2507 23.1199
21.2686 23.8899
21.2864 24.6991
21.3043 25.5512
21.3222 26.4487
21.3401 27.3950
21.3579 28.3930
21.3937 30.5633
21.4294 32.9946
21.4651 35.7322
21.5009 38.8279
21.5366 42.3493
21.5723 46.3758
21.6438 56.3828
21.7153 70.0438
21.7867 89.3862
21.8582 118.051
21.9297 163.132
21.9654 196.042
22.0011 239.981
22.0369 300.491
22.0726 386.942
22.1083 516.446
22.1441 722.355
22.1798 1077.04
22.1977 1357.41
22.2155 1756.95
22.2334 2348.93
22.2513 3261.99
22.2691 4726.45
22.2870 7097.07
22.3085 11358.0
22.3300 14198.7
22.3515 11349.4
22.3730 7085.27
22.3971 4122.80
22.4212 2574.87
22.4452 1727.79
22.4693 1228.99
22.4934 914.635
22.5175 705.429
22.5656 454.464
22.6137 316.162
22.6619 232.260
22.7582 140.209
22.8545 93.5948
22.9508 66.8265
23.0471 50.0626
23.1434 38.8830
23.3360 25.3736
23.5285 17.8399
23.7211 13.2183
23.9137 10.1825
24.2989 6.57204
24.6841 4.59135
25.0693 3.39059
25.4544 2.60911
26.2248 1.68917
26.9951 1.19043
27.7655 0.891141
28.5359 0.698299
30.0766 0.474957
31.6173 0.357821
34.6987 0.253892
37.7801 0.230894
