Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
0.00991427 69.6629
0.0100865 69.0644
0.0102841 68.3976
0.0104816 67.7497
0.0106861 67.0985
0.0109056 66.4205
0.0111225 65.7700
0.0114695 64.7657
0.0117568 63.9710
0.0120623 63.1539
0.0122598 62.6428
0.0126550 61.6568
0.0130502 60.7159
0.0134453 59.8167
0.0138405 58.9564
0.0142356 58.1321
0.0147010 57.2066
0.0150259 56.5822
0.0154211 55.8523
0.0158528 55.0874
0.0162114 54.4734
0.0166066 53.8212
0.0170017 53.1918
0.0173969 52.5840
0.0177920 51.9965
0.0182563 51.3321
0.0185823 50.8784
0.0189775 50.3457
0.0193727 49.8293
0.0198285 49.2539
0.0201630 48.8426
0.0205581 48.3707
0.0210283 47.8276
0.0215201 47.2782
0.0221388 46.6111
0.0225339 46.2005
0.0230550 45.6761
0.0237194 45.0305
0.0241145 44.6599
0.0246474 44.1766
0.0253000 43.6004
0.0260413 42.9751
0.0267826 42.3758
0.0275238 41.8009
0.0282651 41.2488
0.0290475 40.6897
0.0297477 40.2072
0.0304889 39.7151
0.0312302 39.2406
0.0320134 38.7577
0.0329426 38.2079
0.0334540 37.9130
0.0341953 37.4995
0.0349366 37.0992
0.0356779 36.7115
0.0364191 36.3357
0.0371604 35.9711
0.0379017 35.6173
0.0386430 35.2738
0.0393842 34.9400
0.0404417 34.4808
0.0416081 33.9926
0.0426225 33.5861
0.0438319 33.1182
0.0451059 32.6474
0.0460557 32.3080
0.0475383 31.7997
0.0490208 31.3146
0.0506000 30.8221
0.0519859 30.4075
0.0534685 29.9825
0.0549607 29.5722
0.0564336 29.1832
0.0580950 28.7631
0.0593987 28.4446
0.0608812 28.0956
0.0623638 27.7592
0.0640268 27.3964
0.0653289 27.1211
0.0668114 26.8180
0.0682940 26.5249
0.0697765 26.2412
0.0712591 25.9663
0.0727416 25.6999
0.0742242 25.4416
0.0757067 25.1908
0.0771893 24.9473
0.0786718 24.7107
0.0808834 24.3707
0.0831811 24.0305
0.0852450 23.7378
0.0875671 23.4197
0.0902119 23.0736
0.0934973 22.6634
0.0964624 22.3116
0.0994275 21.9757
0.102393 21.6544
0.105609 21.3219
0.108323 21.0520
0.111288 20.7690
0.114253 20.4970
0.117218 20.2354
0.120226 19.9801
0.123148 19.7409
0.126113 19.5068
0.129079 19.2809
0.132044 19.0625
0.135353 18.8277
0.138800 18.5920
0.142111 18.3736
0.145287 18.1710
0.148329 17.9831
0.152799 17.7165
0.156670 17.4961
0.158730 17.3813
0.161767 17.2168
0.166362 16.9770
0.170590 16.7640
0.174186 16.5897
0.179485 16.3417
0.185683 16.0658
0.191346 15.8251
0.197276 15.5844
0.203206 15.3543
0.209136 15.1340
0.215556 14.9062
0.220997 14.7204
0.228257 14.4839
0.232857 14.3388
0.238787 14.1587
0.244717 13.9851
0.250648 13.8178
0.256578 13.6563
0.263541 13.4740
0.270706 13.2937
0.274368 13.2035
0.280299 13.0623
0.286229 12.9254
0.292159 12.7927
0.298089 12.6640
0.304019 12.5390
0.309950 12.4177
0.315880 12.2998
0.323534 12.1527
0.332724 11.9824
0.340980 11.8354
0.351461 11.6560
0.360847 11.5025
0.371367 11.3375
0.381112 11.1897
0.392972 11.0181
0.404833 10.8541
0.416693 10.6971
0.428554 10.5467
0.440414 10.4024
0.452274 10.2637
0.464760 10.1236
0.475995 10.0021
0.487856 9.87848
0.499716 9.75927
0.512214 9.63824
0.527081 9.50007
0.535297 9.42565
0.547158 9.32172
0.559018 9.22110
0.570878 9.12362
0.582739 9.02911
0.594599 8.93744
0.606460 8.84846
0.618320 8.76204
0.630180 8.67807
0.647067 8.56275
0.665762 8.43968
0.681960 8.33758
0.701343 8.21959
0.721695 8.10122
0.736924 8.01557
0.760645 7.88754
0.784366 7.76533
0.809600 7.64138
0.831807 7.53670
0.855528 7.42955
0.879370 7.32623
0.902970 7.22797
0.929521 7.12210
0.950411 7.04159
