Pt-192(n,g) JEFF-3.2
Energy(eV) XS(b)
1.00000E-05 503.839
1.25000E-05 450.647
1.50000E-05 411.383
1.56878E-05 402.263
1.96492E-05 359.434
2.00000E-05 356.268
2.11527E-05 346.425
2.23054E-05 337.355
2.46108E-05 321.165
2.75000E-05 303.826
3.08253E-05 286.971
3.50000E-05 269.313
3.86090E-05 256.417
4.83583E-05 229.116
5.00000E-05 225.323
5.52847E-05 214.284
6.05693E-05 204.722
7.50000E-05 183.976
7.58636E-05 182.925
7.82582E-05 180.105
8.06527E-05 177.411
8.54419E-05 172.368
9.50201E-05 163.449
0.000100000 159.327
0.000119014 146.047
0.000149066 130.497
0.000150000 130.090
0.000152294 129.107
0.000154588 128.145
0.000159177 126.285
0.000168353 122.794
0.000186707 116.603
0.000200000 112.661
0.000233852 104.188
0.000275000 96.0775
0.000292903 93.0950
0.000350000 85.1634
0.000366863 83.1830
0.000413182 78.3818
0.000459500 74.3263
0.000500000 71.2525
0.000575530 66.4125
0.000720857 59.3413
0.000750000 58.1769
0.000826441 55.4210
0.000902881 53.0229
0.00100000 50.3823
0.00113087 47.3773
0.00141643 42.3326
0.00150000 41.1363
0.00177409 37.8250
0.00200000 35.6245
0.00222206 33.7973
0.00275000 30.3799
0.00278316 30.1984
0.00287100 29.7327
0.00295885 29.2879
0.00313455 28.4551
0.00348594 26.9826
0.00350000 26.9283
0.00355414 26.7224
0.00360827 26.5211
0.00371654 26.1318
0.00393309 25.4021
0.00436618 24.1090
0.00500000 22.5287
0.00546868 21.5414
0.00684958 19.2470
0.00750000 18.3931
0.00857917 17.1968
0.0100000 15.9276
0.0107455 15.3648
0.0134589 13.7277
0.0150000 13.0027
0.0168574 12.2648
0.0200000 11.2589
0.0211141 10.9574
0.0253000 10.0086
0.0331234 8.74495
0.0376500 8.20122
0.0414874 7.81176
0.0500000 7.11381
0.0519634 6.97767
0.0585240 6.57355
0.0650847 6.23212
0.0750000 5.80370
0.0815193 5.56562
0.100000 5.02209
0.102104 4.96974
0.108550 4.81893
0.114995 4.68096
0.127886 4.43693
0.150000 4.09392
0.160179 3.96041
0.200000 3.53974
0.200626 3.53415
0.202209 3.52011
0.203792 3.50623
0.206958 3.47895
0.213291 3.42622
0.225956 3.32747
0.251286 3.15275
0.275000 3.01147
0.314739 2.81138
0.350000 2.66301
0.394213 2.50572
0.493756 2.23192
0.500000 2.21750
0.514805 2.18437
0.529609 2.15262
0.559218 2.09291
0.618436 1.98651
0.750000 1.79652
0.774597 1.76643
0.830948 1.70252
0.887299 1.64473
1.00000 1.54396
1.21518 1.39155
1.50000 1.24197
1.52202 1.23216
1.57006 1.21146
1.61810 1.19168
1.71418 1.15458
1.90635 1.08884
2.00000 1.06023
2.19386 1.00683
2.38772 0.959946
2.75000 0.885798
2.99065 0.844063
3.50000 0.770204
3.74582 0.740030
4.40000 0.672411
5.00000 0.622536
5.87637 0.564245
7.36023 0.491753
7.50000 0.486169
7.81250 0.474311
8.12500 0.463259
8.75000 0.443321
10.0000 0.410784
11.5466 0.381589
14.4622 0.356326
15.0000 0.356781
16.5571 0.374029
18.1141 0.445857
19.0571 0.578351
19.5285 0.724097
20.0000 1.01762
20.3928 1.56713
20.5892 2.10968
20.7856 3.08812
20.8838 3.90353
20.9819 5.13524
21.0801 7.12437
21.1783 10.6472
21.2274 13.5297
21.2765 17.8061
21.3256 24.5410
21.3747 36.0403
21.4238 58.0955
21.4484 77.5831
21.4729 108.653
21.4975 162.399
21.5097 205.081
21.5220 266.136
21.5282 306.883
21.5343 357.098
21.5404 419.665
21.5466 498.331
21.5527 598.547
21.5588 726.733
21.5650 891.500
21.5711 1100.57
21.5783 1408.90
21.5856 1760.84
21.6000 2200.84
21.6072 2070.75
21.6145 1759.72
21.6289 1099.14
21.6405 741.424
21.6521 516.934
21.6637 374.959
21.6753 282.063
21.6985 174.122
21.7217 117.305
21.7449 84.0969
21.7681 63.1442
21.8145 39.2793
21.8608 26.7624
21.9072 19.4103
21.9536 14.7334
22.0000 11.5781
22.0912 7.76772
22.1823 5.59826
22.2735 4.24768
22.3646 3.35075
22.5469 2.27144
22.7292 1.67207
23.0938 1.06524
23.4583 0.780430
24.1875 0.531342
24.9167 0.430284
26.3750 0.355947
27.8333 0.337356
28.4171 0.336727
29.8223 0.345443
31.2274 0.366431
34.0377 0.450302
35.5928 0.533175
37.8397 0.744395
38.9631 0.927220
40.0866 1.21242
41.2100 1.69354
42.3334 2.60452
42.8952 3.40405
43.4569 4.67878
43.7377 5.62282
43.8782 6.21135
44.0186 6.90165
44.0888 7.29252
44.1239 7.50097
44.1590 7.71873
44.1941 7.94650
44.2293 8.18483
44.2644 8.43439
44.2995 8.69582
44.3346 8.97006
44.3697 9.25787
44.4048 9.56016
44.4399 9.87783
44.5101 10.5642
44.5803 11.3266
