24-Cr_n-g
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
4.484480e+03 5.28459654e-02
4.588800e+03 5.34916226e-02
4.839400e+03 5.32020644e-02
4.929500e+03 5.38198514e-02
5.000000e+03 5.47420589e-02
5.138630e+03 5.79513251e-02
5.230990e+03 6.13705799e-02
5.277250e+03 6.28983711e-02
5.346490e+03 6.64853026e-02
5.346560e+03 6.64884979e-02
5.404240e+03 7.05388789e-02
5.415880e+03 7.13077442e-02
5.433110e+03 7.32734442e-02
5.447550e+03 7.48943944e-02
5.454770e+03 7.57281590e-02
5.458370e+03 7.62705794e-02
5.460180e+03 7.70520400e-02
5.461080e+03 7.94322402e-02
5.461530e+03 8.82153038e-02
5.461650e+03 9.69132677e-02
5.461760e+03 1.20402117e-01
5.461820e+03 1.51407072e-01
5.461840e+03 1.80192270e-01
5.461870e+03 2.29264987e-01
5.461900e+03 3.23079486e-01
5.461910e+03 4.05684053e-01
5.461930e+03 5.36953184e-01
5.461940e+03 7.62674792e-01
5.461960e+03 1.38184538e+00
5.461970e+03 2.14604822e+00
5.461980e+03 3.80967506e+00
5.461990e+03 7.40504304e+00
5.462000e+03 9.02843912e+00
5.462010e+03 7.06904272e+00
5.462020e+03 4.55274210e+00
5.462030e+03 2.61799514e+00
5.462040e+03 1.63693741e+00
5.462050e+03 1.11219615e+00
5.462060e+03 8.31867927e-01
5.462070e+03 6.33465499e-01
5.462080e+03 5.03058656e-01
5.462100e+03 3.54256280e-01
5.462120e+03 2.67928676e-01
5.462130e+03 2.18287501e-01
5.462170e+03 1.62106397e-01
5.462250e+03 1.17376095e-01
5.462330e+03 1.00490570e-01
5.462480e+03 8.75539245e-02
5.462640e+03 8.28720700e-02
5.463260e+03 7.82372118e-02
5.464500e+03 7.71562076e-02
5.466990e+03 7.71173082e-02
5.471950e+03 7.75758376e-02
5.481890e+03 7.86220114e-02
5.485190e+03 7.89687659e-02
5.501760e+03 8.23783821e-02
5.541510e+03 9.04093995e-02
5.554500e+03 9.29270660e-02
5.621000e+03 1.16184232e-01
5.670600e+03 1.32651548e-01
5.699630e+03 1.32657740e-01
5.728650e+03 1.24365697e-01
5.786700e+03 1.00159681e-01
5.816400e+03 9.10164962e-02
5.837850e+03 8.40830840e-02
5.889000e+03 7.36623986e-02
5.940150e+03 6.69938708e-02
5.991300e+03 6.24791095e-02
6.011800e+03 6.11827305e-02
6.042450e+03 5.92827007e-02
6.093600e+03 5.69181245e-02
6.195900e+03 5.36264316e-02
6.343980e+03 5.04575818e-02
6.402600e+03 4.91620406e-02
6.492050e+03 4.83099627e-02
6.640130e+03 4.50588231e-02
6.765070e+03 4.05971514e-02
6.788200e+03 3.99771799e-02
7.084400e+03 3.13429996e-02
7.127530e+03 3.07496499e-02
7.380600e+03 2.85107934e-02
7.490000e+03 2.95437865e-02
7.500000e+03 2.96648627e-02
7.636700e+03 3.13277264e-02
7.852460e+03 3.67815208e-02
7.921950e+03 3.86428134e-02
8.207200e+03 3.98648873e-02
8.214930e+03 3.95739559e-02
8.492500e+03 2.93761969e-02
8.577390e+03 2.63073362e-02
8.750000e+03 2.01643566e-02
8.777800e+03 1.91749999e-02
8.939860e+03 1.57122417e-02
9.083350e+03 1.26911883e-02
9.121090e+03 1.22408890e-02
9.211710e+03 1.11860057e-02
9.257020e+03 1.07221689e-02
9.279670e+03 1.07143877e-02
9.285340e+03 1.08932914e-02
9.291000e+03 1.14526520e-02
9.293830e+03 1.21766173e-02
9.296660e+03 1.38791299e-02
9.298080e+03 1.57061458e-02
9.299490e+03 1.92441751e-02
9.300910e+03 2.71662876e-02
9.301620e+03 3.49512428e-02
9.302330e+03 4.76461840e-02
9.303160e+03 7.01845976e-02
9.304000e+03 8.51853813e-02
9.304840e+03 7.01414931e-02
9.305680e+03 4.76134413e-02
9.306350e+03 3.52967069e-02
9.307030e+03 2.76047709e-02
9.308390e+03 1.95777963e-02
9.309740e+03 1.58954529e-02
9.311100e+03 1.39526254e-02
9.313810e+03 1.20873291e-02
9.316520e+03 1.12483322e-02
9.321950e+03 1.05129123e-02
9.327370e+03 1.01844976e-02
9.349070e+03 9.64972139e-03
9.375000e+03 9.30041586e-03
9.388900e+03 9.11317964e-03
9.392470e+03 9.08146340e-03
9.479260e+03 8.44725567e-03
9.652840e+03 7.22619682e-03
9.687500e+03 6.98732738e-03
9.694450e+03 6.93946797e-03
1.000000e+04 5.56061283e-03
1.013440e+04 5.20958769e-03
1.020160e+04 5.06099142e-03
1.023520e+04 5.09238052e-03
1.024360e+04 5.19326652e-03
1.025200e+04 5.51486339e-03
1.025620e+04 5.97067487e-03
1.026040e+04 7.23121403e-03
1.026250e+04 8.89898165e-03
1.026360e+04 1.04878013e-02
1.026460e+04 1.32362934e-02
1.026570e+04 1.86067858e-02
1.026620e+04 2.35037228e-02
1.026670e+04 3.13256500e-02
1.026720e+04 4.55494598e-02
1.026750e+04 5.69849674e-02
1.026780e+04 7.37836392e-02
1.026800e+04 9.96602482e-02
1.026830e+04 1.41777917e-01
1.026850e+04 2.14328504e-01
1.026880e+04 3.42770010e-01
1.026910e+04 5.50832165e-01
1.026930e+04 6.83232750e-01
1.026960e+04 5.42676229e-01
1.026990e+04 3.42830929e-01
1.027010e+04 2.14367041e-01
1.027040e+04 1.43905564e-01
1.027060e+04 1.00931368e-01
1.027090e+04 7.53961161e-02
1.027110e+04 5.80561749e-02
1.027140e+04 4.66699138e-02
1.027190e+04 3.23180888e-02
1.027240e+04 2.42067571e-02
1.027290e+04 1.91999447e-02
1.027390e+04 1.36152759e-02
1.027500e+04 1.07419109e-02
1.027600e+04 9.07372127e-03
1.027800e+04 7.31864420e-03
1.028210e+04 5.96560957e-03
1.028620e+04 5.46180526e-03
1.029430e+04 5.07581202e-03
1.030250e+04 4.92311287e-03
1.033500e+04 4.70770648e-03
1.040020e+04 4.50083614e-03
1.052530e+04 4.15892941e-03
1.053060e+04 4.14972627e-03
1.079130e+04 3.71155142e-03
1.105050e+04 3.27773786e-03
1.107880e+04 3.24455660e-03
1.131280e+04 3.00877283e-03
1.157580e+04 2.74406335e-03
1.183840e+04 2.57882768e-03
1.196970e+04 2.67538639e-03
1.200260e+04 2.84912537e-03
1.203540e+04 3.37510396e-03
1.205180e+04 4.10747395e-03
1.206000e+04 4.82780349e-03
1.206820e+04 6.11179266e-03
1.207640e+04 8.74546983e-03
1.208050e+04 1.12375272e-02
1.208460e+04 1.55207229e-02
1.208870e+04 2.38390840e-02
1.209080e+04 3.12485678e-02
1.209280e+04 4.31881004e-02
1.209490e+04 6.41410146e-02
1.209690e+04 1.05525332e-01
1.209800e+04 1.42914596e-01
1.209900e+04 2.01892850e-01
1.210000e+04 3.01517260e-01
1.210100e+04 4.69652556e-01
1.210220e+04 7.51426991e-01
1.210330e+04 9.37296090e-01
1.210440e+04 7.49244300e-01
1.210550e+04 4.70074249e-01
1.210630e+04 3.26835428e-01
1.210720e+04 2.33731434e-01
1.210800e+04 1.73049389e-01
1.210880e+04 1.32370743e-01
1.211050e+04 8.40079236e-02
1.211210e+04 5.80598418e-02
1.211380e+04 4.25534807e-02
1.211540e+04 3.27131899e-02
1.211870e+04 2.13390878e-02
1.212210e+04 1.52967954e-02
1.212540e+04 1.17347164e-02
1.213200e+04 7.91105289e-03
1.213860e+04 6.00953410e-03
1.214520e+04 4.93096105e-03
1.215750e+04 3.89586859e-03
1.215850e+04 3.81179280e-03
1.217170e+04 3.27195686e-03
1.218500e+04 2.96890451e-03
1.221150e+04 2.65442100e-03
1.226450e+04 2.40608478e-03
1.231750e+04 2.29924298e-03
1.235580e+04 2.26574858e-03
1.252950e+04 2.11395347e-03
1.274140e+04 2.00270213e-03
1.284740e+04 1.96755175e-03
1.287720e+04 1.98833710e-03
1.290040e+04 2.00455066e-03
1.292690e+04 2.23399109e-03
1.293350e+04 2.47799871e-03
1.294020e+04 3.16656669e-03
1.294350e+04 4.10955446e-03
1.294680e+04 6.70441875e-03
1.294840e+04 1.01777272e-02
1.294930e+04 1.35268170e-02
1.295010e+04 1.93081651e-02
1.295090e+04 3.09525919e-02
1.295130e+04 4.18555036e-02
1.295180e+04 5.96275385e-02
1.295220e+04 9.33967988e-02
1.295240e+04 1.22356097e-01
1.295260e+04 1.64447187e-01
1.295280e+04 2.36354325e-01
1.295300e+04 3.56387044e-01
1.295320e+04 5.98960539e-01
1.295330e+04 7.94007924e-01
1.295340e+04 1.07020227e+00
1.295360e+04 1.73012634e+00
1.295370e+04 2.13263585e+00
1.295390e+04 1.68405083e+00
1.295410e+04 1.06644962e+00
1.295420e+04 7.68641580e-01
1.295430e+04 5.81198990e-01
1.295450e+04 3.47631523e-01
1.295470e+04 2.27229188e-01
1.295490e+04 1.59063125e-01
1.295510e+04 1.17279776e-01
1.295530e+04 9.00014569e-02
1.295570e+04 5.84511040e-02
1.295620e+04 4.08566602e-02
1.295660e+04 3.05289496e-02
1.295740e+04 1.91105658e-02
1.295820e+04 1.33667787e-02
1.295910e+04 1.00800046e-02
1.296070e+04 6.65811558e-03
1.296400e+04 4.08043465e-03
1.296740e+04 3.14464905e-03
1.297400e+04 2.45604184e-03
1.298070e+04 2.20845146e-03
1.299400e+04 2.02573491e-03
1.300730e+04 1.95747551e-03
1.306050e+04 1.87419754e-03
1.316680e+04 1.81531035e-03
1.323630e+04 1.78715650e-03
1.337960e+04 1.73503535e-03
1.339870e+04 1.72908104e-03
1.365940e+04 1.64875388e-03
1.378980e+04 1.60930860e-03
1.380510e+04 1.60482355e-03
1.392020e+04 1.57609323e-03
1.405050e+04 1.54665158e-03
1.411570e+04 1.53479869e-03
1.418090e+04 1.52772273e-03
1.421350e+04 1.52782299e-03
1.423060e+04 1.53035444e-03
1.424610e+04 1.53372132e-03
1.427870e+04 1.54958160e-03
1.431130e+04 1.58375543e-03
1.431510e+04 1.59096241e-03
1.432760e+04 1.61506273e-03
1.434390e+04 1.66425986e-03
1.436020e+04 1.74617969e-03
1.437650e+04 1.89513234e-03
1.438460e+04 2.01942572e-03
1.439280e+04 2.20660468e-03
1.440090e+04 2.50679906e-03
1.440910e+04 3.03095605e-03
1.441720e+04 4.07295428e-03
1.442130e+04 5.02943211e-03
1.442540e+04 6.61157694e-03
1.442940e+04 9.51696944e-03
1.443150e+04 1.19638219e-02
1.443350e+04 1.56540079e-02
1.443550e+04 2.16160356e-02
1.443760e+04 3.18697839e-02
1.443960e+04 5.12203051e-02
1.444160e+04 8.94072937e-02
1.444340e+04 1.42368382e-01
1.444510e+04 1.77411306e-01
1.444680e+04 1.42049841e-01
1.444850e+04 8.94227571e-02
1.445000e+04 5.93104185e-02
1.445140e+04 4.10934177e-02
1.445290e+04 2.98385953e-02
1.445440e+04 2.25984477e-02
1.445730e+04 1.43404845e-02
1.446020e+04 1.00637312e-02
1.446310e+04 7.59153825e-03
1.446600e+04 6.04227211e-03
1.447190e+04 4.28995660e-03
1.447770e+04 3.37599666e-03
1.448360e+04 2.84273496e-03
1.448940e+04 2.50468903e-03
1.449520e+04 2.27731201e-03
1.450690e+04 2.00038211e-03
1.451860e+04 1.84543541e-03
1.453030e+04 1.75045862e-03
1.454200e+04 1.68856613e-03
1.454980e+04 1.66450892e-03
1.456540e+04 1.63738827e-03
1.457640e+04 1.63440227e-03
1.458870e+04 1.67082439e-03
1.460300e+04 1.72346818e-03
1.461210e+04 1.83702325e-03
1.461630e+04 1.89105751e-03
1.462960e+04 2.39044464e-03
1.463550e+04 3.00565085e-03
1.463620e+04 3.07885164e-03
1.463950e+04 3.75690512e-03
1.464290e+04 4.96348324e-03
1.464620e+04 7.44904380e-03
1.464790e+04 9.80524288e-03
1.464950e+04 1.38702942e-02
1.465120e+04 2.17862339e-02
1.465200e+04 2.88944608e-02
1.465280e+04 4.04274520e-02
1.465370e+04 6.08754712e-02
1.465410e+04 7.77595954e-02
1.465450e+04 1.01933713e-01
1.465490e+04 1.40029839e-01
1.465530e+04 2.00368538e-01
1.465570e+04 3.06479644e-01
1.465620e+04 4.88591460e-01
1.465660e+04 7.83585355e-01
1.465700e+04 9.74746062e-01
1.465740e+04 7.78167042e-01
1.465790e+04 4.90080205e-01
1.465820e+04 3.31852169e-01
1.465850e+04 2.34512143e-01
1.465890e+04 1.70498398e-01
1.465920e+04 1.29567085e-01
1.465990e+04 8.08722801e-02
1.466050e+04 5.50750353e-02
1.466120e+04 3.99448259e-02
1.466190e+04 3.03679922e-02
1.466320e+04 1.94312929e-02
1.466460e+04 1.36807394e-02
1.466590e+04 1.02960266e-02
1.466860e+04 6.69095564e-03
1.467120e+04 4.90097646e-03
1.467390e+04 3.88817740e-03
1.467880e+04 2.94126575e-03
1.467930e+04 2.84465083e-03
1.468220e+04 2.63305588e-03
1.469000e+04 2.06560388e-03
1.470070e+04 1.78203515e-03
1.472210e+04 1.56973478e-03
1.472890e+04 1.54402015e-03
1.474350e+04 1.49183604e-03
1.477570e+04 1.45921092e-03
1.479900e+04 1.45903408e-03
1.481070e+04 1.54656861e-03
1.481660e+04 1.92202512e-03
1.481950e+04 3.30078366e-03
1.482090e+04 7.82966601e-03
1.482170e+04 2.01762229e-02
1.482200e+04 4.56124832e-02
1.482220e+04 7.91050371e-02
1.482240e+04 1.55338772e-01
1.482250e+04 2.51858597e-01
