Cr-54(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 23.1969
1.25000E-05 21.0140
1.50000E-05 19.4027
2.00000E-05 17.1409
2.75000E-05 14.9888
3.50000E-05 13.5724
4.25000E-05 12.5500
5.00000E-05 11.7672
6.25000E-05 10.7910
7.50000E-05 10.0704
0.000100000 9.05886
0.000125000 8.36857
0.000150000 7.85902
0.000200000 7.14377
0.000275000 6.46322
0.000350000 6.01533
0.000425000 5.69200
0.000500000 5.44446
0.000625000 5.13576
0.000750000 4.90788
0.00100000 4.58801
0.00125000 4.36972
0.00150000 4.20859
0.00200000 3.98241
0.00275000 3.76720
0.00350000 3.62556
0.00425000 3.52332
0.00500000 3.44504
0.00625000 3.34742
0.00750000 3.27536
0.0100000 3.17421
0.0125000 3.10518
0.0150000 3.05422
0.0200000 2.98269
0.0253000 2.93142
0.0314750 2.88890
0.0376500 2.85732
0.0500000 2.81276
0.0625000 2.78189
0.0750000 2.75909
0.100000 2.72710
0.125000 2.70527
0.150000 2.68915
0.200000 2.66653
0.275000 2.64499
0.350000 2.63082
0.500000 2.61274
0.750000 2.59573
1.00000 2.58557
1.50000 2.57349
2.00000 2.56625
2.75000 2.55932
3.50000 2.55472
5.00000 2.54877
7.50000 2.54299
10.0000 2.53939
15.0000 2.53478
20.0000 2.53170
27.5000 2.52833
35.0000 2.52570
50.0000 2.52147
75.0000 2.51575
100.000 2.51074
150.000 2.50158
200.000 2.49297
275.000 2.48056
350.000 2.46853
500.000 2.44517
750.000 2.40777
999.999 2.37187
1000.00 2.37187
1000.01 2.37186
1000.02 2.37186
1000.03 2.37186
1000.06 2.37186
1000.12 2.37185
1000.25 2.37183
1000.49 2.37180
1000.98 2.37173
1001.96 2.37159
1003.91 2.37132
1007.81 2.37077
1015.63 2.36967
1031.25 2.36747
1062.50 2.36310
1125.00 2.35441
1250.00 2.33725
1500.00 2.30380
2000.00 2.23997
2750.00 2.15081
3500.00 2.06807
5000.00 1.91674
7500.00 1.68862
8750.00 1.57847
9375.00 1.52300
9687.50 1.49500
10000.0 1.46684
10134.4 1.45498
10201.6 1.45034
10235.2 1.45314
10243.6 1.45834
10252.0 1.47422
10256.2 1.49643
10260.4 1.55753
10262.5 1.63822
