48-Cd_n-g
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
1.851180e+01 3.03288962e+00
1.853660e+01 2.29478925e+00
1.856140e+01 1.79770785e+00
1.861100e+01 1.19434793e+00
1.866060e+01 8.58073107e-01
1.871020e+01 6.52603069e-01
1.880950e+01 4.25677619e-01
1.890870e+01 3.10173497e-01
1.900790e+01 2.43704521e-01
1.910710e+01 2.02080684e-01
1.920630e+01 1.74366189e-01
1.940470e+01 1.41059805e-01
1.960320e+01 1.22742864e-01
2.000000e+01 1.04812211e-01
2.044750e+01 1.00590692e-01
2.089500e+01 1.02198739e-01
2.111880e+01 1.05226729e-01
2.134250e+01 1.12152215e-01
2.145440e+01 1.20123534e-01
2.151030e+01 1.27218541e-01
2.156630e+01 1.38881941e-01
2.162220e+01 1.60330801e-01
2.165020e+01 1.78612660e-01
2.167810e+01 2.06808341e-01
2.170610e+01 2.53381937e-01
2.173410e+01 3.37353065e-01
2.176200e+01 5.05788651e-01
2.177600e+01 6.53857251e-01
2.179000e+01 8.73378236e-01
2.181050e+01 1.33522427e+00
2.183100e+01 1.64364777e+00
2.185150e+01 1.33672130e+00
2.187200e+01 8.75508728e-01
2.187550e+01 8.25423555e-01
2.189300e+01 5.75228359e-01
2.191390e+01 4.09385237e-01
2.193480e+01 3.14868625e-01
2.195580e+01 2.57662952e-01
2.199770e+01 1.96344371e-01
2.203950e+01 1.66658835e-01
2.208140e+01 1.50447700e-01
2.212330e+01 1.40869381e-01
2.220710e+01 1.31087701e-01
2.223610e+01 1.29674100e-01
2.229080e+01 1.27009541e-01
2.237460e+01 1.25461862e-01
2.254210e+01 1.25670485e-01
2.281330e+01 1.29743727e-01
2.287720e+01 1.32079408e-01
2.321230e+01 1.46195228e-01
2.335410e+01 1.52570119e-01
2.375100e+01 1.70434947e-01
2.421990e+01 2.06756299e-01
2.447210e+01 2.36853391e-01
2.455250e+01 2.46459156e-01
2.468880e+01 2.62917360e-01
2.515760e+01 3.55723238e-01
2.559010e+01 5.10307472e-01
2.562650e+01 5.23326877e-01
2.586090e+01 6.63099913e-01
2.609540e+01 8.74236440e-01
2.614910e+01 9.52331182e-01
2.632980e+01 1.21519598e+00
2.656430e+01 1.81896387e+00
2.668150e+01 2.31294365e+00
2.670820e+01 2.47989949e+00
2.679870e+01 3.04585704e+00
2.691590e+01 4.20041041e+00
2.698770e+01 5.40899901e+00
2.703310e+01 6.17324222e+00
2.715040e+01 9.96053338e+00
2.720900e+01 1.33113230e+01
2.723300e+01 1.55037200e+01
2.726720e+01 1.86279022e+01
2.726760e+01 1.86644429e+01
2.732620e+01 2.79438264e+01
2.735550e+01 3.53287954e+01
2.738480e+01 4.59231931e+01
2.741410e+01 6.17492018e+01
2.744340e+01 8.64380108e+01
2.747270e+01 1.26593985e+02
2.750000e+01 1.88249325e+02
2.750200e+01 1.92766201e+02
2.753600e+01 3.08196292e+02
2.754670e+01 3.32359953e+02
2.757000e+01 3.84978094e+02
2.758700e+01 3.62222144e+02
2.760400e+01 3.07804247e+02
2.763800e+01 1.92282526e+02
2.765980e+01 1.40028197e+02
2.768170e+01 1.03950561e+02
2.772540e+01 6.17596148e+01
2.776900e+01 4.01314560e+01
2.781270e+01 2.79353450e+01
2.782620e+01 2.56316196e+01
2.785640e+01 2.04782487e+01
2.790010e+01 1.56210795e+01
2.796590e+01 1.13224380e+01
2.798740e+01 9.91800144e+00
2.807480e+01 6.84098582e+00
2.810570e+01 6.18956026e+00
2.816210e+01 5.00119979e+00
2.824540e+01 3.87232900e+00
2.824950e+01 3.81686245e+00
2.833680e+01 3.01287676e+00
2.838520e+01 2.73879284e+00
2.845510e+01 2.34537456e+00
2.851150e+01 2.03038592e+00
2.852500e+01 1.98817980e+00
2.859480e+01 1.77537561e+00
2.866470e+01 1.57286531e+00
2.868620e+01 1.51796446e+00
2.873460e+01 1.45384009e+00
2.876950e+01 1.42735204e+00
2.880450e+01 1.42844021e+00
2.883940e+01 1.48604488e+00
2.885690e+01 1.55551464e+00
2.886090e+01 1.58294551e+00
2.887430e+01 1.68396605e+00
2.889180e+01 1.89941388e+00
2.890930e+01 2.26675737e+00
2.892670e+01 2.92105448e+00
2.894420e+01 4.10567997e+00
2.896170e+01 5.97138499e+00
2.897920e+01 7.21338088e+00
2.899680e+01 5.93056743e+00
2.901430e+01 4.01318999e+00
2.903480e+01 2.63009062e+00
2.903560e+01 2.60211077e+00
2.905530e+01 1.92368332e+00
2.907580e+01 1.53713889e+00
2.909630e+01 1.30557441e+00
2.911680e+01 1.15470527e+00
2.913730e+01 1.04932248e+00
2.917830e+01 9.10238045e-01
2.921930e+01 8.19011028e-01
2.926020e+01 7.50790850e-01
2.934220e+01 6.45937126e-01
2.938500e+01 6.01107110e-01
2.942420e+01 5.74183651e-01
2.950620e+01 5.26122010e-01
2.958810e+01 4.82261383e-01
2.967010e+01 4.40673941e-01
2.973440e+01 4.09503370e-01
2.983410e+01 3.78611280e-01
2.999800e+01 3.30304426e-01
3.008390e+01 3.05621712e-01
3.016200e+01 2.90584141e-01
3.032590e+01 2.59685302e-01
3.043330e+01 2.39774472e-01
3.065380e+01 2.15073458e-01
3.098170e+01 1.79023062e-01
3.113210e+01 1.62637878e-01
3.130960e+01 1.51896071e-01
3.163750e+01 1.32229366e-01
3.183090e+01 1.20710123e-01
3.229330e+01 1.03849342e-01
3.252970e+01 9.52942014e-02
3.259400e+01 9.37636689e-02
3.294910e+01 8.53870125e-02
3.322850e+01 7.88425718e-02
3.426070e+01 6.44473158e-02
3.462610e+01 5.93841189e-02
3.500000e+01 5.65197730e-02
3.557230e+01 5.23085851e-02
3.602380e+01 4.90024710e-02
3.688390e+01 4.58971466e-02
3.795500e+01 4.20534180e-02
3.881900e+01 3.90740928e-02
3.950720e+01 3.80622028e-02
4.063550e+01 3.64194007e-02
4.161430e+01 3.53604921e-02
4.197580e+01 3.52536259e-02
4.231080e+01 3.55272545e-02
4.250000e+01 3.61410437e-02
4.264590e+01 3.66685439e-02
4.281340e+01 3.82809334e-02
4.298090e+01 4.23267701e-02
4.306470e+01 4.70582384e-02
4.314850e+01 5.73386172e-02
4.319040e+01 6.75837193e-02
4.323220e+01 8.58568242e-02
4.327410e+01 1.21827010e-01
4.329510e+01 1.52855239e-01
4.331600e+01 1.98116462e-01
4.334800e+01 2.96641477e-01
4.338000e+01 3.62401261e-01
4.341200e+01 2.96820560e-01
4.344400e+01 1.98331190e-01
4.346840e+01 1.47060399e-01
4.349280e+01 1.14083895e-01
4.351720e+01 9.27849628e-02
4.354160e+01 7.86077043e-02
4.359040e+01 6.18704570e-02
4.363920e+01 5.29094269e-02
4.368800e+01 4.76126405e-02
4.373680e+01 4.42404053e-02
4.383440e+01 4.03633976e-02
4.402960e+01 3.70845603e-02
4.422480e+01 3.57601910e-02
4.440950e+01 3.54069509e-02
4.475360e+01 3.49158517e-02
4.500550e+01 3.45577391e-02
4.625000e+01 3.48417796e-02
4.656700e+01 3.49904781e-02
4.812500e+01 3.71577231e-02
4.812850e+01 3.71626812e-02
4.851890e+01 3.86685166e-02
4.890930e+01 4.22183222e-02
4.906250e+01 4.55795402e-02
4.910440e+01 4.65004959e-02
4.920200e+01 5.03763300e-02
4.929960e+01 5.67674438e-02
4.939720e+01 6.84538909e-02
4.944600e+01 7.83011441e-02
4.949480e+01 9.32685319e-02
4.954360e+01 1.17457051e-01
4.959240e+01 1.59599704e-01
4.964120e+01 2.39750378e-01
4.966560e+01 3.06641948e-01
4.969000e+01 4.01590193e-01
4.973000e+01 6.20710613e-01
4.977000e+01 7.66951591e-01
4.981000e+01 6.21248881e-01
4.985000e+01 4.02315452e-01
4.988750e+01 2.68487743e-01
4.992500e+01 1.90780702e-01
4.996250e+01 1.44703102e-01
5.000000e+01 1.15963880e-01
5.004800e+01 9.30471095e-02
5.009600e+01 7.87427387e-02
5.019210e+01 6.27488871e-02
5.028810e+01 5.45927283e-02
5.038410e+01 4.99453737e-02
5.057620e+01 4.52432978e-02
5.076820e+01 4.31592961e-02
5.103560e+01 4.21578366e-02
5.115230e+01 4.17432256e-02
5.153640e+01 4.16963057e-02
5.155340e+01 4.17302407e-02
5.159720e+01 4.18315290e-02
5.207120e+01 4.30209596e-02
5.209310e+01 4.30863656e-02
5.233010e+01 4.38998348e-02
5.258900e+01 4.49475833e-02
5.284790e+01 4.62873293e-02
5.307280e+01 4.79713534e-02
5.310680e+01 4.82746862e-02
5.319440e+01 4.93559388e-02
5.323630e+01 4.98956140e-02
5.336570e+01 5.21222871e-02
5.349520e+01 5.53513867e-02
5.362460e+01 6.05666753e-02
5.375410e+01 7.03324832e-02
5.381880e+01 7.90081495e-02
5.384090e+01 8.38320201e-02
5.388350e+01 9.32265722e-02
5.394820e+01 1.18793421e-01
5.398060e+01 1.39972527e-01
5.399300e+01 1.52110932e-01
5.401300e+01 1.71705681e-01
5.404530e+01 2.21999970e-01
5.407770e+01 3.07259656e-01
5.411000e+01 4.63112060e-01
5.414240e+01 7.61483521e-01
5.417120e+01 1.18944097e+00
5.418610e+01 1.33726498e+00
5.420000e+01 1.47517941e+00
5.422880e+01 1.19049443e+00
5.425760e+01 7.63138696e-01
5.427990e+01 5.37782117e-01
5.430230e+01 3.94074178e-01
5.432460e+01 3.01967090e-01
5.434700e+01 2.41079573e-01
5.439160e+01 1.69733046e-01
5.439230e+01 1.69140878e-01
5.443630e+01 1.31979380e-01
5.448100e+01 1.09939136e-01
5.452560e+01 9.61097346e-02
5.460910e+01 8.16647593e-02
5.461500e+01 8.06757329e-02
5.470430e+01 7.34048327e-02
5.479160e+01 6.97529908e-02
5.479370e+01 6.96723395e-02
5.488120e+01 6.81048925e-02
5.488300e+01 6.80729169e-02
5.492890e+01 6.77955021e-02
5.497230e+01 6.75466161e-02
5.499320e+01 6.76249530e-02
5.515100e+01 6.94275362e-02
5.518530e+01 7.00425994e-02
5.519090e+01 7.02092411e-02
5.532970e+01 7.52137172e-02
5.537730e+01 7.70835056e-02
5.539060e+01 7.79645646e-02
5.550840e+01 8.69742593e-02
5.556940e+01 9.17482269e-02
5.559020e+01 9.43119702e-02
5.566540e+01 1.04728220e-01
5.568710e+01 1.09137088e-01
5.569000e+01 1.09730340e-01
5.576140e+01 1.25716476e-01
5.578990e+01 1.35925580e-01
5.585740e+01 1.62476083e-01
5.588970e+01 1.81610223e-01
5.590550e+01 1.92082305e-01
5.595350e+01 2.36031167e-01
5.598950e+01 2.84984416e-01
5.600150e+01 3.03277141e-01
5.604440e+01 4.04786026e-01
5.604950e+01 4.16858287e-01
5.608930e+01 5.79105374e-01
5.609750e+01 6.14835657e-01
5.613920e+01 9.41611547e-01
5.614550e+01 9.93583914e-01
5.618780e+01 1.53025907e+00
5.618920e+01 1.54261541e+00
5.623000e+01 1.93928559e+00
5.623910e+01 1.88616855e+00
5.626400e+01 1.77553677e+00
5.627230e+01 1.75368242e+00
5.627920e+01 1.70843205e+00
5.628900e+01 1.64418042e+00
5.631390e+01 1.56654779e+00
5.631450e+01 1.56884153e+00
5.633890e+01 1.74860045e+00
5.634320e+01 1.82353982e+00
5.635140e+01 1.98791033e+00
5.636390e+01 2.38644998e+00
