I-127(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
65.9006 210.692
65.9300 263.170
65.9595 210.596
65.9889 131.740
66.0133 87.9644
66.0376 60.8707
66.0620 43.9248
66.0863 32.9321
66.1350 20.2825
66.1837 13.6795
66.2324 9.84247
66.2812 7.42976
66.3786 4.69237
66.4760 3.26203
66.5734 2.42409
66.7682 1.53391
66.9631 1.09716
67.1579 0.851994
67.5475 0.603274
67.9372 0.488829
68.3268 0.429856
69.1062 0.382749
70.6648 0.399818
72.2234 0.509786
73.7820 0.778797
74.5613 1.05249
75.3407 1.55204
75.7303 1.97171
76.1200 2.61012
76.5096 3.65049
76.8993 5.51785
77.0941 7.06642
77.2889 9.39457
77.4838 13.1289
77.6786 19.6776
77.7760 24.9824
77.8734 32.7738
77.9708 44.8807
78.0683 65.1559
78.1170 80.8408
78.1657 102.882
78.2144 135.164
78.2631 184.949
78.3118 266.995
78.3605 414.033
78.3849 533.518
78.4092 705.877
78.4336 959.628
78.4579 1332.27
78.4945 2131.01
78.5310 2662.85
78.5676 2129.61
78.6041 1330.72
78.6322 912.288
78.6603 644.321
78.6884 471.895
78.7165 357.469
78.7728 222.829
78.8290 150.994
78.8852 108.670
78.9414 81.7967
79.0539 51.0210
79.1663 34.7957
79.2787 25.2327
79.3912 19.1339
79.5036 15.0114
79.7285 9.95997
79.9533 7.10354
80.1782 5.33433
80.4031 4.16430
80.8528 2.76440
81.3026 1.99404
81.7523 1.52883
82.2021 1.22999
83.1015 0.894428
84.0010 0.743565
84.9005 0.708958
85.3503 0.759671
85.5751 0.887207
85.6876 1.13594
85.7438 1.48237
85.7719 1.81100
85.8000 2.33266
85.8700 3.93560
85.9400 2.35082
85.9742 1.75256
86.0084 1.41515
86.0768 1.10328
86.2135 0.925166
86.4870 0.895846
87.0340 1.04378
87.5810 1.35043
88.1280 1.93692
88.4015 2.43640
88.6750 3.19926
88.9485 4.44307
89.2220 6.66834
89.3588 8.50431
89.4955 11.2485
89.6323 15.6126
89.7690 23.1682
89.9058 37.9645
89.9741 51.3344
90.0425 73.1705
90.1109 112.287
90.1451 144.463
90.1793 192.136
90.2134 266.478
90.2476 389.519
90.2818 606.451
90.3160 1001.82
90.3490 1603.14
90.3820 2003.96
90.4150 1602.43
90.4480 1000.99
90.4853 579.958
90.5226 361.155
90.5599 241.956
90.5973 171.929
90.6346 127.888
90.6719 98.6136
90.7465 63.5423
90.8211 44.2386
90.8958 32.5363
91.0450 19.6995
91.1943 13.1998
91.3435 9.46558
91.4928 7.12579
91.6420 5.56401
91.9405 3.67426
92.2390 2.61789
92.5375 1.96798
92.8360 1.53966
93.4330 1.02747
94.0300 0.743913
94.6270 0.570198
95.2240 0.455806
96.4180 0.318648
97.6120 0.242151
100.000 0.163478
102.146 0.128505
104.291 0.108207
108.583 0.0881149
112.874 0.0819030
117.165 0.0848926
121.456 0.0984725
125.748 0.131917
127.893 0.164887
130.039 0.222416
132.184 0.337044
133.257 0.449431
133.794 0.559970
134.062 0.717736
134.129 0.817029
134.196 1.00362
134.263 1.43124
134.297 1.87316
134.330 2.63821
134.365 3.86711
134.400 4.68887
134.435 3.88274
134.470 2.66883
134.510 1.81044
134.551 1.37422
134.631 1.01091
134.792 0.834657
135.114 0.841830
135.757 1.07599
136.401 1.49873
137.045 2.26988
137.366 2.91441
137.688 3.88918
138.010 5.46555
138.332 8.26296
138.493 10.5558
138.654 13.9628
138.815 19.3403
138.895 23.2808
138.975 28.5519
139.056 35.8437
139.136 46.2978
139.217 62.0650
139.297 87.3105
139.378 131.345
139.418 166.511
139.458 217.196
139.498 293.545
139.539 413.352
139.579 610.165
139.619 938.308
