Sn-115(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 2935.87
1.25000E-05 2625.92
1.50000E-05 2397.12
2.00000E-05 2075.97
2.75000E-05 1770.39
3.50000E-05 1569.28
4.25000E-05 1424.09
5.00000E-05 1312.95
6.25000E-05 1174.33
7.50000E-05 1072.01
0.000100000 928.382
0.000125000 830.365
0.000150000 758.011
0.000200000 656.449
0.000275000 559.811
0.000350000 496.210
0.000425000 450.295
0.000500000 415.144
0.000625000 371.304
0.000750000 338.942
0.00100000 293.514
0.00125000 262.511
0.00150000 239.623
0.00200000 207.494
0.00275000 176.918
0.00350000 156.792
0.00425000 142.260
0.00500000 131.132
0.00625000 117.252
0.00750000 107.002
0.0100000 92.6089
0.0125000 82.7802
0.0150000 75.5206
0.0200000 65.3212
0.0253000 58.0010
0.0314750 51.9212
0.0376500 47.3999
0.0500000 41.0055
0.0625000 36.5628
0.0750000 33.2739
0.100000 28.6385
0.125000 25.4578
0.150000 23.0973
0.200000 19.7598
0.237500 17.9682
0.275000 16.5472
0.350000 14.4054
0.500000 11.6309
0.750000 8.96192
1.00000 7.33625
1.50000 5.37638
2.00000 4.20235
2.75000 3.10143
3.50000 2.40247
5.00000 1.57328
6.25000 1.17137
7.50000 0.903982
10.0000 0.580789
12.5000 0.400723
15.0000 0.290794
17.5000 0.219181
20.0000 0.170187
23.7500 0.121632
27.5000 0.0905624
35.0000 0.0549304
42.5000 0.0363214
50.0000 0.0255413
62.5000 0.0156642
75.0000 0.0104946
87.5000 0.00750206
100.000 0.00564142
125.000 0.00359481
150.000 0.00261376
175.000 0.00214946
200.000 0.00203082
223.182 0.00228411
234.773 0.00265708
246.365 0.00340097
257.956 0.00504939
263.751 0.00670952
269.547 0.00975269
272.445 0.0123287
275.342 0.0162816
278.240 0.0228064
281.138 0.0347481
282.587 0.0448522
284.036 0.0603513
285.485 0.0859138
286.934 0.132620
287.658 0.172057
288.382 0.232398
289.107 0.331577
289.831 0.511764
290.194 0.663057
290.556 0.893164
290.918 1.26822
291.280 1.94144
291.461 2.49956
291.642 3.33824
291.824 4.68223
292.005 7.03555
292.186 11.7281
292.276 16.0546
292.367 23.2653
292.412 28.8276
292.457 36.6173
292.503 47.9743
292.548 65.3365
292.593 93.7393
292.616 115.099
292.639 143.978
292.661 184.350
292.684 241.633
292.706 324.631
292.729 444.393
292.765 710.982
292.800 888.660
292.836 710.874
292.871 444.268
292.909 265.017
292.947 168.423
292.985 114.374
293.023 82.0947
293.060 61.4665
293.098 47.6513
293.174 30.9096
293.250 21.6067
293.325 15.9300
293.477 9.66617
293.628 6.47693
293.780 4.63821
293.931 3.48340
294.082 2.71133
294.385 1.77576
294.688 1.25226
294.991 0.930171
295.294 0.718050
295.899 0.464886
296.505 0.325402
297.110 0.240481
297.716 0.184984
298.927 0.119275
300.139 0.0833588
301.350 0.0616160
302.561 0.0474705
304.984 0.0308036
307.406 0.0217433
309.829 0.0162853
312.251 0.0127513
317.096 0.00861893
321.941 0.00640446
331.631 0.00428125
341.321 0.00340448
351.011 0.00305128
370.391 0.00314870
389.770 0.00421893
399.460 0.00540150
409.150 0.00755878
418.840 0.0120714
423.685 0.0164818
428.530 0.0244258
430.953 0.0310785
433.375 0.0412197
435.798 0.0578594
438.220 0.0881494
439.431 0.113687
440.643 0.152755
441.854 0.217008
443.065 0.333971
443.671 0.432407
444.276 0.582538
444.882 0.828191
445.488 1.27172
445.790 1.64164
446.093 2.20084
446.396 3.10435
446.699 4.70551
446.850 6.01587
447.002 7.95998
447.153 11.0216
447.229 13.2586
447.304 16.2488
447.380 20.3697
447.456 26.2658
447.532 35.1085
447.607 49.1985
447.645 59.5951
447.683 73.5235
447.721 92.8276
447.759 120.343
447.797 161.319
447.834 224.624
447.872 326.875
447.910 492.971
447.955 788.705
448.000 985.804
448.045 788.584
448.090 492.839
448.134 305.147
448.179 199.239
448.223 137.834
448.268 100.216
448.312 75.7496
448.356 59.1070
448.445 38.7241
448.534 27.2374
448.623 20.1753
448.800 12.3180
448.977 8.28460
449.155 5.94935
449.332 4.47695
449.510 3.49070
449.865 2.29199
450.220 1.61985
450.575 1.20563
450.929 0.932502
451.639 0.606176
452.349 0.426223
453.059 0.316629
453.769 0.245046
455.189 0.160430
456.608 0.114395
458.028 0.0867729
459.448 0.0690634
462.287 0.0489834
465.126 0.0392594
467.966 0.0349290
470.805 0.0341921
473.644 0.0366671
476.484 0.0430525
479.323 0.0556284
482.163 0.0803452
483.582 0.101722
485.002 0.134710
486.422 0.189132
487.841 0.288026
488.551 0.370871
489.261 0.496517
489.971 0.700413
490.681 1.06379
491.036 1.36295
491.391 1.80915
491.746 2.51710
492.100 3.73893
492.455 6.12023
492.633 8.26148
492.810 11.7378
492.988 17.9166
493.076 22.9530
493.165 30.3542
493.254 41.7762
493.343 60.3629
493.431 92.4022
493.520 149.141
493.610 238.595
493.700 298.186
493.790 238.505
493.880 149.050
493.976 89.0851
494.071 56.7192
494.167 38.5659
494.263 27.6838
494.358 20.7373
494.454 16.0761
494.645 10.4330
494.836 7.29436
495.028 5.37962
495.410 3.26572
495.793 2.18922
496.175 1.56850
496.558 1.17863
496.940 0.917953
497.705 0.602046
498.470 0.425251
499.235 0.316454
500.000 0.244781
501.429 0.163335
502.858 0.116901
504.287 0.0879367
505.716 0.0686542
508.575 0.0453610
511.433 0.0323417
514.291 0.0243193
517.149 0.0190186
522.866 0.0126506
528.582 0.00909972
534.298 0.00690909
545.731 0.00444374
557.164 0.00315203
568.596 0.00238870
591.462 0.00157082
614.327 0.00117438
637.193 0.000968376
682.923 0.000845263
728.654 0.00102175
751.520 0.00128821
774.385 0.00182086
785.818 0.00228585
797.251 0.00300850
808.683 0.00421132
820.116 0.00642535
825.832 0.00830450
831.549 0.0111929
837.265 0.0159677
842.981 0.0247170
845.840 0.0321245
848.698 0.0434910
851.556 0.0622405
854.414 0.0964947
855.843 0.125409
857.272 0.169639
858.701 0.242286
860.130 0.374160
860.845 0.484748
861.560 0.652781
862.274 0.926291
862.989 1.41607
863.346 1.82123
863.703 2.42869
864.061 3.39914
864.239 4.11773
864.418 5.09007
864.596 6.45172
864.775 8.43810
864.954 11.4974
865.132 16.5572
865.222 20.4276
865.311 25.7978
865.400 33.5433
865.490 45.2467
865.579 63.9803
865.668 96.1658
865.713 121.271
865.757 156.057
865.802 205.080
865.847 273.402
865.923 437.477
866.000 546.608
866.077 437.172
866.153 273.325
866.220 179.228
866.286 122.277
866.352 87.2820
866.418 64.8658
866.550 39.4065
866.682 26.2750
866.815 18.6996
866.947 13.9649
867.211 8.61747
867.476 5.83421
867.740 4.20788
868.004 3.17656
868.269 2.48214
868.798 1.63445
869.327 1.15681
869.855 0.861423
870.384 0.666217
871.442 0.432373
872.500 0.303023
873.557 0.224065
874.615 0.172361
876.730 0.111019
878.846 0.0774103
880.961 0.0570295
883.077 0.0437488
887.308 0.0280710
891.538 0.0195254
895.769 0.0143621
900.000 0.0110068
900.000 2.76598
1000.00 2.55317
1250.00 2.19445
1500.00 1.93686
1700.00 1.78672
2000.00 1.61000
2500.00 1.41061
3000.00 1.26954
3500.00 1.16939
4000.00 1.09052
5000.00 0.975413
6000.00 0.894339
7000.00 0.833578
8000.00 0.783418
10000.0 0.707443
12500.0 0.639344
15000.0 0.583135
17000.0 0.549414
20000.0 0.505591
25000.0 0.445820
30000.0 0.402342
35000.0 0.368281
40000.0 0.340012
50000.0 0.297451
60000.0 0.267148
70000.0 0.244308
80000.0 0.226537
99999.9 0.201360
100000 0.201397
150000 0.169703
200000 0.156376
250000 0.150322
300000 0.147831
500000 0.153190
501666 0.153287
618179 0.123314
700000 0.0982065
719663 0.0963762
800000 0.0912090
900000 0.0890276
995160 0.0888234
1.00000E+06 0.0866746
1.06250E+06 0.0845946
1.12500E+06 0.0826792
1.18750E+06 0.0809073
1.25000E+06 0.0792615
1.29134E+06 0.0796408
1.36029E+06 0.0785249
1.42924E+06 0.0774786
1.50000E+06 0.0751234
1.53704E+06 0.0752122
1.57407E+06 0.0752991
1.61111E+06 0.0753839
1.64814E+06 0.0754670
1.64814E+06 0.0754670
1.69863E+06 0.0753978
1.74912E+06 0.0753306
1.74912E+06 0.0753303
1.75000E+06 0.0751874
1.80127E+06 0.0745788
1.80128E+06 0.0745787
1.84102E+06 0.0736641
1.84102E+06 0.0736640
1.87381E+06 0.0726468
1.91744E+06 0.0714828
1.96107E+06 0.0703630
1.98124E+06 0.0700727
1.98124E+06 0.0700726
1.99113E+06 0.0697915
2.00000E+06 0.0694791
2.04237E+06 0.0687295
2.04237E+06 0.0687295
2.07818E+06 0.0684048
2.07819E+06 0.0684047
2.10250E+06 0.0678893
2.15362E+06 0.0665184
2.20474E+06 0.0652065
2.25586E+06 0.0639496
2.30699E+06 0.0627443
2.35811E+06 0.0615874
2.40923E+06 0.0604760
2.46035E+06 0.0594073
2.51147E+06 0.0583789
2.57254E+06 0.0572001
2.63360E+06 0.0560719
2.69467E+06 0.0549911
2.75574E+06 0.0539546
2.81680E+06 0.0529597
2.87787E+06 0.0520040
2.93893E+06 0.0510850
3.00000E+06 0.0502007
3.05778E+06 0.0480963
3.11556E+06 0.0461171
3.17334E+06 0.0442535
3.23112E+06 0.0424969
3.27918E+06 0.0411116
3.32723E+06 0.0397907
3.37529E+06 0.0385303
3.42334E+06 0.0373267
3.47140E+06 0.0361768
3.51945E+06 0.0350774
3.56751E+06 0.0340256
3.61556E+06 0.0330188
3.66362E+06 0.0320545
3.71167E+06 0.0311304
3.75973E+06 0.0302444
3.80778E+06 0.0293943
3.85584E+06 0.0285783
3.90389E+06 0.0277947
3.95195E+06 0.0270417
4.00000E+06 0.0263179
4.06250E+06 0.0247876
4.12500E+06 0.0233676
4.18750E+06 0.0220485
