Se-80(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 30.6812
1.25000E-05 27.4421
1.50000E-05 25.0511
2.00000E-05 21.6949
2.75000E-05 18.5015
3.50000E-05 16.3998
4.25000E-05 14.8826
5.00000E-05 13.7211
6.25000E-05 12.2725
7.50000E-05 11.2032
0.000100000 9.70226
0.000125000 8.67796
0.000150000 7.92186
0.000200000 6.86053
0.000275000 5.85068
0.000350000 5.18608
0.000425000 4.70629
0.000500000 4.33898
0.000625000 3.88090
0.000750000 3.54276
0.00100000 3.06812
0.00125000 2.74421
0.00150000 2.50511
0.00200000 2.16949
0.00275000 1.85015
0.00350000 1.63998
0.00425000 1.48826
0.00500000 1.37211
0.00625000 1.22725
0.00750000 1.12032
0.0100000 0.970229
0.0125000 0.867800
0.0150000 0.792190
0.0200000 0.686057
0.0253000 0.609980
0.0314750 0.546882
0.0376500 0.500029
0.0500000 0.433905
0.0625000 0.388097
0.0750000 0.354284
0.100000 0.306821
0.125000 0.274431
0.150000 0.250522
0.200000 0.216962
0.275000 0.185030
0.350000 0.164015
0.500000 0.137231
0.750000 0.112057
1.00000 0.0970512
1.50000 0.0792536
2.00000 0.0686458
2.75000 0.0585543
3.50000 0.0519144
5.00000 0.0434541
7.50000 0.0355067
10.0000 0.0307729
15.0000 0.0251642
20.0000 0.0218265
27.5000 0.0186575
35.0000 0.0165778
50.0000 0.0139386
75.0000 0.0114797
100.000 0.0100334
150.000 0.00835775
200.000 0.00740083
275.000 0.00655429
350.000 0.00606687
500.000 0.00563653
750.000 0.00583821
1000.00 0.00711894
1234.93 0.0102109
1352.40 0.0135128
1411.13 0.0168644
1425.82 0.0186607
1440.50 0.0225670
1447.84 0.0273751
1451.51 0.0320022
1455.18 0.0403172
1458.85 0.0579283
1460.69 0.0754057
1462.52 0.107188
1463.44 0.133945
1464.36 0.174776
1465.28 0.241627
1466.20 0.362253
1466.65 0.463010
1467.11 0.615419
1467.57 0.861876
1468.03 1.29782
1468.26 1.65638
1468.49 2.18643
1468.72 3.02575
1468.95 4.45434
1469.18 7.21026
1469.29 9.65160
1469.41 13.5120
1469.52 20.2496
1469.64 33.1363
1469.69 44.6434
1469.75 62.2441
1469.81 90.6458
1469.87 137.007
1469.93 219.898
1470.00 274.093
1470.07 218.599
1470.14 137.013
1470.19 90.0241
1470.25 61.4857
1470.31 43.9268
1470.37 32.6683
1470.48 19.8690
1470.60 13.2612
1470.72 9.44906
