Cd-108(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 45.6444
1.25000E-05 40.8256
1.50000E-05 37.2685
2.00000E-05 32.2754
2.75000E-05 27.5246
3.50000E-05 24.3979
4.25000E-05 22.1407
5.00000E-05 20.4127
6.25000E-05 18.2577
7.50000E-05 16.6669
0.000100000 14.4339
0.000125000 12.9101
0.000150000 11.7852
0.000200000 10.2062
0.000275000 8.70386
0.000350000 7.71510
0.000425000 7.00130
0.000500000 6.45484
0.000625000 5.77333
0.000750000 5.27025
0.00100000 4.56408
0.00125000 4.08216
0.00150000 3.72641
0.00200000 3.22704
0.00275000 2.75187
0.00350000 2.43913
0.00425000 2.21334
0.00500000 2.04048
0.00625000 1.82488
0.00750000 1.66572
0.0100000 1.44228
0.0125000 1.28976
0.0150000 1.17715
0.0200000 1.01905
0.0253000 0.905669
0.0314750 0.811593
0.0376500 0.741703
0.0500000 0.643001
0.0625000 0.574561
0.0750000 0.523994
0.100000 0.452920
0.125000 0.404329
0.150000 0.368397
0.200000 0.317836
0.275000 0.269535
0.350000 0.237599
0.500000 0.196648
0.750000 0.157795
1.00000 0.134406
1.50000 0.106398
2.00000 0.0895802
2.75000 0.0735653
3.50000 0.0630982
5.00000 0.0500294
7.50000 0.0383756
10.0000 0.0319696
15.0000 0.0252248
20.0000 0.0218395
27.5000 0.0193096
35.0000 0.0184248
42.5000 0.0195907
46.2500 0.0229962
48.1250 0.0277634
49.0625 0.0323947
50.0000 0.0405249
51.0356 0.0593138
51.5534 0.0780530
52.0712 0.112158
52.3301 0.140801
52.5890 0.184370
52.8479 0.255331
53.1068 0.382471
53.2363 0.487631
53.3657 0.645242
53.4952 0.896850
53.6246 1.33482
53.7541 2.19963
53.8188 2.98785
53.8835 4.28702
53.9482 6.64610
53.9806 8.61320
54.0130 11.5688
54.0453 16.2647
54.0777 24.2406
54.1100 38.8388
54.1424 66.8065
54.1712 106.933
54.2000 133.717
54.2288 106.989
54.2576 66.8772
54.2799 45.7197
54.3023 32.2215
54.3246 23.5640
54.3470 17.8351
54.3916 11.1081
54.4363 7.52666
54.4810 5.41919
54.5256 4.08206
54.6150 2.55145
54.7043 1.74475
54.7937 1.26917
54.8830 0.965784
54.9723 0.760581
55.1510 0.508913
55.3297 0.366354
55.5084 0.277874
55.6871 0.219213
56.0444 0.148705
56.4018 0.109549
57.1165 0.0698183
57.8312 0.0510661
58.5460 0.0407464
59.9754 0.0303600
62.8343 0.0228519
65.6932 0.0202410
77.1288 0.0182039
100.000 0.0200823
125.000 0.0254560
150.000 0.0365076
162.500 0.0465484
175.000 0.0631108
187.500 0.0937347
193.750 0.120190
200.000 0.161959
204.169 0.205161
208.337 0.270736
