11-Na_n-tot
>  11-Na-23:1.000000
3.540530e+04 4.22139000e+00
3.540980e+04 4.14990000e+00
3.542780e+04 4.07215000e+00
3.546390e+04 4.05014000e+00
3.553610e+04 4.04405000e+00
3.568050e+04 4.04209000e+00
3.596920e+04 4.04091000e+00
3.654660e+04 4.03949000e+00
3.712400e+04 4.03849000e+00
3.770140e+04 4.03785000e+00
4.001100e+04 4.03955000e+00
4.250830e+04 4.02407000e+00
4.375690e+04 4.02431000e+00
4.500550e+04 4.03435000e+00
4.625410e+04 4.06185000e+00
4.750280e+04 4.12395000e+00
4.875140e+04 4.26514000e+00
4.937570e+04 4.40124000e+00
5.000000e+04 4.63037000e+00
5.042800e+04 4.88680000e+00
5.085600e+04 5.29419000e+00
5.123500e+04 5.83429000e+00
5.161400e+04 6.80191000e+00
5.195550e+04 8.14862000e+00
5.229700e+04 1.10868000e+01
5.244900e+04 1.32322000e+01
5.266400e+04 1.83659000e+01
5.275200e+04 2.12281000e+01
5.298600e+04 3.05918000e+01
5.322000e+04 3.61194000e+01
5.335900e+04 3.40287000e+01
5.377600e+04 1.91780000e+01
5.405080e+04 1.31532000e+01
5.432550e+04 9.87538000e+00
5.460030e+04 8.04376000e+00
5.487500e+04 6.97231000e+00
5.517850e+04 6.16071000e+00
5.548200e+04 5.63901000e+00
5.608900e+04 5.05047000e+00
5.663890e+04 4.70221000e+00
5.718880e+04 4.47901000e+00
5.828850e+04 4.21600000e+00
5.938830e+04 4.06859000e+00
6.048800e+04 3.97428000e+00
6.266830e+04 3.87548000e+00
6.484850e+04 3.81892000e+00
6.702880e+04 3.78105000e+00
6.920900e+04 3.75288000e+00
7.235630e+04 3.71846000e+00
7.550350e+04 3.69026000e+00
8.179800e+04 3.64348000e+00
8.998900e+04 3.60507000e+00
9.946900e+04 3.53902000e+00
1.000000e+05 3.53633000e+00
1.019730e+05 3.52644000e+00
1.039450e+05 3.51668000e+00
1.078900e+05 3.49754000e+00
1.126520e+05 3.47344000e+00
1.150330e+05 3.46203000e+00
1.162240e+05 3.45767000e+00
1.168190e+05 3.45967000e+00
1.169680e+05 3.46350000e+00
1.171170e+05 3.47465000e+00
1.171910e+05 3.48951000e+00
1.172660e+05 3.52818000e+00
1.173030e+05 3.57629000e+00
1.173400e+05 3.69208000e+00
1.173590e+05 3.82328000e+00
1.173770e+05 4.09957000e+00
1.173870e+05 4.36648000e+00
1.173960e+05 4.82746000e+00
1.174050e+05 5.69336000e+00
1.174100e+05 6.41706000e+00
1.174150e+05 7.41342000e+00
1.174220e+05 9.76628000e+00
1.174300e+05 1.12738000e+01
1.174380e+05 9.65431000e+00
1.174460e+05 7.31446000e+00
1.174520e+05 6.04816000e+00
1.174580e+05 5.25454000e+00
1.174640e+05 4.75328000e+00
1.174700e+05 4.42988000e+00
1.174830e+05 4.04824000e+00
1.174950e+05 3.84945000e+00
1.175200e+05 3.65991000e+00
1.175440e+05 3.57702000e+00
1.175940e+05 3.50876000e+00
1.176430e+05 3.48223000e+00
1.177420e+05 3.46203000e+00
1.178410e+05 3.45455000e+00
1.182360e+05 3.44615000e+00
1.190260e+05 3.44101000e+00
1.206070e+05 3.43315000e+00
1.237680e+05 3.41781000e+00
1.300900e+05 3.38746000e+00
1.366040e+05 3.36673000e+00
1.398610e+05 3.35675000e+00
1.414900e+05 3.35216000e+00
1.423040e+05 3.35066000e+00
1.427110e+05 3.35186000e+00
1.429150e+05 3.35779000e+00
1.430170e+05 3.37581000e+00
1.430670e+05 3.42486000e+00
1.430930e+05 3.53504000e+00
1.431060e+05 3.71411000e+00
1.431180e+05 4.26779000e+00
1.431240e+05 4.77977000e+00
1.431300e+05 5.08687000e+00
1.431420e+05 4.16515000e+00
1.431500e+05 3.75726000e+00
1.431580e+05 3.57657000e+00
1.431740e+05 3.43912000e+00
1.432050e+05 3.37205000e+00
1.432690e+05 3.34973000e+00
1.433960e+05 3.34440000e+00
1.436500e+05 3.34332000e+00
1.441580e+05 3.34227000e+00
1.451740e+05 3.33962000e+00
1.472060e+05 3.33384000e+00
1.512700e+05 3.32224000e+00
1.596050e+05 3.30426000e+00
1.679400e+05 3.29162000e+00
1.736950e+05 3.29910000e+00
1.794500e+05 3.31984000e+00
1.822900e+05 3.34508000e+00
