Ba-136(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 34.1868
1.25000E-05 30.5776
1.50000E-05 27.9134
2.00000E-05 24.1737
2.75000E-05 20.6154
3.50000E-05 18.2736
4.25000E-05 16.5830
5.00000E-05 15.2888
6.25000E-05 13.6747
7.50000E-05 12.4832
0.000100000 10.8108
0.000125000 9.66946
0.000150000 8.82696
0.000200000 7.64437
0.000275000 6.51913
0.000350000 5.77858
0.000425000 5.24397
0.000500000 4.83469
0.000625000 4.32427
0.000750000 3.94749
0.00100000 3.41861
0.00125000 3.05768
0.00150000 2.79126
0.00200000 2.41727
0.00275000 2.06143
0.00350000 1.82723
0.00425000 1.65816
0.00500000 1.52873
0.00625000 1.36730
0.00750000 1.24814
0.0100000 1.08086
0.0125000 0.966706
0.0150000 0.882433
0.0200000 0.764133
0.0253000 0.679325
0.0314750 0.608977
0.0376500 0.556734
0.0500000 0.482989
0.0625000 0.431890
0.0750000 0.394161
0.100000 0.341182
0.125000 0.305010
0.150000 0.278295
0.200000 0.240769
0.275000 0.205020
0.350000 0.181459
0.500000 0.151365
0.750000 0.122974
1.00000 0.105971
1.50000 0.0856728
2.00000 0.0734684
2.75000 0.0617428
3.50000 0.0539400
5.00000 0.0438537
7.50000 0.0341718
10.0000 0.0282791
15.0000 0.0211607
20.0000 0.0168706
27.5000 0.0128062
35.0000 0.0101885
50.0000 0.00701800
75.0000 0.00436972
100.000 0.00304215
125.000 0.00228218
150.000 0.00181100
200.000 0.00129922
261.914 0.00105235
323.828 0.00107354
354.785 0.00121848
385.741 0.00156236
401.220 0.00190138
416.698 0.00253238
424.438 0.00313459
432.177 0.00439202
436.046 0.00584108
437.981 0.00718526
439.916 0.00954723
441.851 0.0144631
442.818 0.0193025
443.786 0.0280870
444.753 0.0467786
445.237 0.0653316
445.720 0.0990381
445.962 0.127347
446.204 0.170419
446.446 0.240713
446.688 0.367005
446.809 0.471944
446.930 0.629733
447.051 0.883044
447.171 1.32774
447.232 1.68858
447.292 2.21917
447.353 3.04463
447.413 4.42644
447.474 7.00610
447.504 9.21367
447.534 12.6232
447.565 18.2752
447.595 28.4104
447.610 36.6662
447.625 48.6110
447.633 56.6203
447.640 66.2522
447.648 78.1250
447.655 92.2474
447.666 118.226
447.678 147.622
447.700 184.276
447.711 173.321
447.723 147.352
447.745 92.0329
447.771 53.1518
447.796 33.0790
447.822 22.1538
447.847 15.7386
447.873 11.6933
447.898 9.01636
447.949 5.80905
448.000 4.04095
448.051 2.97128
448.153 1.79755
448.255 1.20256
448.357 0.861038
448.460 0.646833
448.562 0.504008
448.766 0.331076
448.970 0.234539
449.174 0.175214
449.378 0.136181
449.786 0.0896429
450.195 0.0640429
451.011 0.0383323
451.828 0.0263646
452.644 0.0198765
454.277 0.0135219
455.910 0.0107221
457.543 0.00934642
460.809 0.00836456
467.341 0.00903951
473.873 0.0115831
480.404 0.0165077
486.936 0.0264386
490.202 0.0355195
493.468 0.0505270
496.734 0.0779946
498.367 0.101221
500.000 0.136818
501.224 0.177617
502.447 0.240050
503.671 0.342688
504.894 0.529270
505.506 0.686003
505.812 0.791971
506.118 0.924621
506.271 1.00387
506.424 1.09373
506.730 1.31398
506.883 1.45005
507.036 1.60832
507.188 1.79403
507.341 2.01392
507.494 2.27709
507.647 2.59526
507.800 2.98542
507.953 3.47033
508.106 4.08421
508.259 4.87598
508.412 5.92225
508.565 7.34473
508.718 9.34899
508.871 12.2956
509.024 16.8860
509.177 24.5899
509.253 30.5684
509.330 38.9909
509.406 51.3667
509.483 70.5088
509.559 102.273
509.635 159.618
509.674 206.723
509.712 275.075
509.750 376.660
509.788 527.413
509.844 843.874
509.900 1054.15
509.956 843.072
510.012 526.743
510.066 327.854
510.121 214.902
510.175 149.077
510.230 108.587
510.284 82.1948
510.339 64.2057
510.448 42.1242
510.557 29.6581
510.666 21.9820
510.883 13.4313
511.101 9.03745
511.319 6.49139
511.537 4.88546
511.755 3.80929
512.191 2.50099
512.626 1.76715
513.062 1.31488
513.498 1.01669
514.369 0.660648
515.241 0.464699
516.112 0.345949
516.983 0.269194
518.726 0.182546
520.469 0.149604
521.341 0.157215
521.776 0.174644
522.212 0.212936
522.648 0.301749
522.866 0.392042
523.083 0.556087
523.301 0.898712
523.410 1.22857
523.519 1.80532
523.628 2.95246
523.683 4.00498
523.737 5.74836
523.791 8.95172
523.819 11.6467
523.846 15.7375
523.873 22.3587
523.900 33.8109
523.914 42.8147
523.928 55.4234
523.941 73.3261
523.955 98.5953
523.966 126.347
523.977 157.754
524.000 196.920
524.011 185.215
524.023 157.469
524.045 98.5856
524.060 71.7747
524.074 53.3792
524.103 31.8135
524.133 20.7001
524.162 14.4468
524.191 10.6071
524.220 8.11218
524.278 5.17422
524.336 3.58683
524.394 2.63584
524.510 1.60383
524.626 1.08614
524.743 0.790240
524.859 0.605334
524.975 0.482039
525.207 0.332733
525.440 0.248909
525.905 0.162321
526.369 0.120070
526.834 0.0957921
527.764 0.0694001
529.623 0.0463196
531.482 0.0352392
535.201 0.0236378
538.919 0.0173657
546.356 0.0107191
553.793 0.00734886
561.229 0.00538607
568.666 0.00413931
583.540 0.00270157
598.413 0.00193461
613.287 0.00147748
643.034 0.000982327
672.781 0.000733568
702.528 0.000590854
762.023 0.000441430
881.011 0.000329433
1000.00 0.000294088
1159.41 0.000293037
1318.81 0.000347312
1398.51 0.000428785
1438.36 0.000509174
1478.21 0.000654453
1518.07 0.000963067
1557.92 0.00183383
1577.84 0.00304608
1587.81 0.00426237
1597.77 0.00649668
1607.73 0.0113098
1612.71 0.0161347
1617.69 0.0249795
1620.18 0.0324706
1622.68 0.0439642
1625.17 0.0629141
1627.66 0.0974756
1628.90 0.126625
1630.15 0.171100
1631.39 0.243939
1632.64 0.375572
1633.26 0.485540
1633.88 0.651927
1634.51 0.921067
1635.13 1.39769
1635.44 1.78944
1635.75 2.36943
1636.06 3.28347
1636.37 4.84562
1636.69 7.85746
1636.84 10.5264
1637.00 14.7607
1637.15 22.1439
1637.31 36.3322
1637.39 48.8716
1637.46 68.4310
1637.54 100.219
1637.62 151.686
1637.71 242.966
1637.80 303.927
1637.89 242.964
1637.98 151.690
1638.07 94.2387
1638.16 61.9673
1638.25 42.9250
1638.34 31.3214
1638.43 23.6825
1638.51 18.5323
1638.69 12.1604
1638.87 8.56535
1639.04 6.34906
1639.40 3.88493
1639.75 2.61444
1640.10 1.87955
1640.46 1.41465
1640.81 1.10372
1641.52 0.725046
1642.23 0.512434
1642.93 0.381302
1643.64 0.294778
1645.05 0.191258
1646.47 0.134131
1647.88 0.0992875
1649.30 0.0764815
1652.13 0.0494237
1654.95 0.0346048
1657.78 0.0256156
1660.61 0.0197551
1666.27 0.0128307
1671.92 0.00905282
1683.24 0.00528146
1694.55 0.00353115
1705.86 0.00258058
1728.49 0.00164095
1751.11 0.00121574
1773.74 0.000996122
1818.99 0.000813293
1864.24 0.000787440
1909.50 0.000861306
1954.75 0.00105570
2000.00 0.00149076
2034.68 0.00225293
2052.02 0.00299633
2069.36 0.00433194
2078.04 0.00544827
2086.71 0.00714734
2095.38 0.00993148
2104.05 0.0149917
2108.38 0.0192538
2112.72 0.0257672
2117.05 0.0364660
2121.39 0.0559128
2123.56 0.0722559
2125.72 0.0971512
2127.89 0.137810
2128.98 0.168574
2130.06 0.210975
2131.14 0.271845
2131.68 0.312723
2132.23 0.363604
2132.77 0.428038
2133.31 0.511295
2133.85 0.621478
2134.39 0.771233
2134.94 0.982880
2135.48 1.29512
2136.02 1.78306
2136.56 2.60695
2136.83 3.24933
2137.10 4.15882
2137.37 5.50390
2137.65 7.60632
2137.92 11.1361
2138.19 17.6430
2138.32 23.1035
2138.46 31.1359
2138.59 43.3364
2138.73 61.8898
2138.91 98.9373
2139.10 123.592
2139.29 98.7041
2139.47 61.7036
2139.63 41.0646
2139.78 28.3288
2139.94 20.3873
2140.09 15.2431
2140.40 9.33555
2140.71 6.25623
2141.02 4.46886
2141.33 3.34554
2141.95 2.07281
2142.57 1.40651
2143.19 1.01604
2143.81 0.768013
2144.43 0.601034
2145.67 0.396600
2146.91 0.281328
2148.15 0.209980
2149.39 0.162787
2151.87 0.106211
2154.35 0.0749226
2156.82 0.0558227
2159.30 0.0433324
2164.26 0.0285442
2169.22 0.0204936
2174.17 0.0156639
2179.13 0.0125715
2189.05 0.00908309
2198.96 0.00742536
2218.79 0.00670237
2228.70 0.00728090
2238.62 0.00862381
2248.53 0.0111975
2258.45 0.0162022
2263.40 0.0205141
2268.36 0.0271534
2273.32 0.0380861
2278.27 0.0579109
2280.75 0.0744896
2281.99 0.0856530
2283.23 0.0995814
2284.47 0.117283
2285.71 0.140212
2286.33 0.154324
2286.95 0.170670
2287.57 0.189812
2288.19 0.212347
2288.81 0.239218
2289.43 0.271557
2290.05 0.310949
2290.67 0.359514
2291.29 0.420541
2291.91 0.498396
2292.53 0.600218
2293.15 0.736407
2293.77 0.924928
2294.39 1.19572
2295.01 1.60396
2295.62 2.25782
2296.24 3.39985
2296.55 4.31424
2296.86 5.62903
2297.17 7.61240
2297.48 10.7383
2297.79 15.8898
2298.10 24.4780
2298.45 39.1568
2298.80 48.9335
2299.15 39.1417
2299.50 24.4635
2299.76 17.0130
2300.01 12.1710
2300.27 8.99186
2300.53 6.86338
2301.04 4.31980
2301.56 2.94722
2302.07 2.12971
2302.59 1.60764
2303.62 1.00678
2304.65 0.687937
2305.68 0.499483
2306.71 0.378860
2307.73 0.297224
2309.79 0.196901
2311.85 0.140007
2313.91 0.104676
2315.97 0.0812485
2320.09 0.0530924
2324.21 0.0374624
2328.32 0.0278955
2332.44 0.0216163
2340.68 0.0141446
2348.91 0.0100342
2357.15 0.00753143
2365.39 0.00589357
2381.86 0.00394781
2398.33 0.00287731
