Zn-64(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 43.4888
1.30872E-05 38.5054
1.50000E-05 36.2235
1.61743E-05 35.0279
2.00000E-05 31.8925
2.23486E-05 30.3806
2.75000E-05 27.7716
2.85230E-05 27.3395
3.16102E-05 26.1654
3.46973E-05 25.1516
3.50000E-05 25.0595
3.57529E-05 24.8355
3.65057E-05 24.6185
3.80115E-05 24.2039
4.10230E-05 23.4443
4.70459E-05 22.1502
5.00000E-05 21.6028
5.93945E-05 20.1422
7.17432E-05 18.6781
7.50000E-05 18.3536
8.40918E-05 17.5498
0.000100000 16.4168
0.000108789 15.9004
0.000133486 14.7332
0.000150000 14.1193
0.000158184 13.8513
0.000179092 13.2522
0.000200000 12.7497
0.000207578 12.5866
0.000232276 12.1116
0.000256973 11.7069
0.000275000 11.4466
0.000306367 11.0496
0.000350000 10.5889
0.000405156 10.1167
0.000500000 9.49580
0.000503945 9.47385
0.000516294 9.40674
0.000528642 9.34201
0.000553340 9.21910
0.000602734 8.99635
0.000750000 8.46834
0.000800313 8.32230
0.000997891 7.86003
0.00100000 7.85585
0.00100611 7.84381
0.00101222 7.83188
0.00102443 7.80834
0.00104887 7.76251
0.00109774 7.67549
0.00119547 7.51772
0.00150000 7.12931
0.00159063 7.03587
0.00178821 6.85737
0.00198578 6.70622
0.00200000 6.69622
0.00204762 6.66347
0.00209524 6.63185
0.00219047 6.57173
0.00238094 6.46250
0.00275000 6.28413
0.00317125 6.11991
0.00350000 6.01292
0.00396156 5.88582
0.00475188 5.71288
0.00500000 5.66724
0.00566625 5.55989
0.00633250 5.46996
0.00750000 5.34232
0.00791313 5.30408
0.00949375 5.18158
0.0100000 5.14864
0.0113275 5.07299
0.0126550 5.00957
0.0150000 4.91888
0.0158163 4.89215
0.0189775 4.80545
0.0200000 4.78192
0.0226500 4.72851
0.0253000 4.68374
0.0338720 4.57687
0.0376500 4.54184
0.0424441 4.50430
0.0500000 4.45649
0.0510161 4.45088
0.0531591 4.43959
0.0553021 4.42897
0.0595881 4.40946
0.0750000 4.35371
0.0767322 4.34852
0.0810182 4.33640
0.0853043 4.32520
0.0938763 4.30515
0.100000 4.29243
0.114082 4.26717
0.128164 4.24620
0.150000 4.21971
0.162452 4.20706
0.196741 4.17865
0.200000 4.17634
0.207757 4.17105
0.215515 4.16605
0.231029 4.15682
0.275000 4.13503
0.299605 4.12499
0.350000 4.10781
0.368181 4.10250
0.436758 4.08552
0.500000 4.07305
0.573910 4.06115
0.711063 4.04418
0.750000 4.04022
0.848215 4.03147
1.00000 4.02052
1.12252 4.01333
1.39682 4.00073
1.50000 3.99688
1.67113 3.99128
2.00000 3.98252
2.21974 3.97773
2.75000 3.96848
2.76835 3.96821
2.83693 3.96720
2.90550 3.96622
3.04266 3.96437
3.31696 3.96097
3.50000 3.95890
3.95709 3.95430
4.41418 3.95034
5.00000 3.94595
5.51140 3.94261
6.60862 3.93650
7.50000 3.93232
8.80306 3.92705
10.0000 3.92283
10.9975 3.91965
13.1919 3.91341
15.0000 3.90883
17.5808 3.90288
20.0000 3.89776
21.9697 3.89382
26.3586 3.88557
27.5000 3.88352
31.2500 3.87698
35.0000 3.87068
35.1363 3.87045
35.6849 3.86955
36.2335 3.86865
37.3308 3.86686
39.5252 3.86332
43.9141 3.85637
50.0000 3.84695
52.6918 3.84285
61.4696 3.82970
70.2473 3.81679
75.0000 3.80987
78.8930 3.80424
78.8930 3.80424
78.8931 3.80424
78.8931 3.80424
78.8932 3.80424
78.8933 3.80424
78.8937 3.80424
78.8943 3.80424
78.8956 3.80424
78.8982 3.80423
78.9033 3.80422
78.9136 3.80421
78.9342 3.80418
78.9755 3.80412
79.0579 3.80400
79.2228 3.80376
79.5526 3.80329
80.2122 3.80234
81.5314 3.80043
84.1698 3.79664
89.4465 3.78908
100.000 3.77405
101.300 3.77221
101.300 3.77221
101.301 3.77221
101.301 3.77221
101.302 3.77220
101.304 3.77220
101.307 3.77220
101.314 3.77219
101.328 3.77217
101.356 3.77213
101.413 3.77205
101.525 3.77189
101.750 3.77157
102.199 3.77093
103.098 3.76966
104.896 3.76711
108.493 3.76203
115.685 3.75188
130.070 3.73168
130.070 3.73168
130.071 3.73168
130.071 3.73168
130.073 3.73168
130.075 3.73167
130.080 3.73167
130.090 3.73165
130.109 3.73162
130.148 3.73157
130.226 3.73146
130.382 3.73124
130.693 3.73081
131.316 3.72993
132.561 3.72819
135.053 3.72470
140.035 3.71773
150.000 3.70382
167.020 3.68013
167.020 3.68013
167.021 3.68013
167.021 3.68013
167.022 3.68013
167.024 3.68012
167.028 3.68012
167.036 3.68011
167.052 3.68008
167.085 3.68004
167.149 3.67995
167.278 3.67977
167.536 3.67941
168.051 3.67870
169.081 3.67726
171.143 3.67440
175.265 3.66868
183.510 3.65724
200.000 3.63445
214.450 3.61461
214.450 3.61464
214.451 3.61464
214.451 3.61464
214.452 3.61464
214.454 3.61464
214.458 3.61463
214.465 3.61462
214.480 3.61460
214.510 3.61456
214.569 3.61448
214.688 3.61432
214.926 3.61399
215.402 3.61334
216.354 3.61204
218.257 3.60945
222.064 3.60428
229.678 3.59404
244.905 3.57440
252.519 3.56571
260.133 3.55954
263.939 3.55903
267.746 3.56326
269.650 3.56939
271.553 3.58137
273.457 3.60584
274.408 3.62771
275.360 3.66232
275.360 3.66609
275.361 3.66612
275.362 3.66615
275.363 3.66621
275.366 3.66634
275.371 3.66659
275.382 3.66709
275.403 3.66809
275.446 3.67015
275.532 3.67440
275.703 3.68356
276.046 3.70490
276.733 3.76440
277.419 3.86190
278.105 4.03733
278.448 4.18281
278.791 4.40108
279.135 4.74996
279.478 5.35803
279.821 6.56072
279.992 7.65903
280.164 9.47172
280.335 12.7736
280.421 15.5353
280.507 19.6913
280.593 26.3250
280.679 37.6602
280.764 58.5830
280.850 99.0624
280.925 156.454
281.000 194.751
281.075 156.494
281.150 99.1146
281.221 63.8918
281.292 43.5482
281.362 31.5012
281.433 24.0118
281.575 15.7298
281.716 11.5689
281.857 9.20617
281.999 7.74414
282.282 6.10999
282.565 5.26713
282.848 4.77729
283.131 4.46774
283.414 4.25976
283.979 4.00625
284.545 3.86340
285.111 3.77489
285.677 3.71618
286.809 3.64525
287.940 3.60532
289.072 3.58032
290.204 3.56339
292.467 3.54199
294.731 3.52882
299.258 3.51242
303.784 3.50136
308.311 3.49243
317.365 3.47712
335.473 3.44976
353.580 3.42353
353.580 3.41974
353.581 3.41974
353.581 3.41974
353.582 3.41974
353.585 3.41973
353.589 3.41973
353.598 3.41971
353.616 3.41969
353.652 3.41963
353.725 3.41953
353.869 3.41932
354.158 3.41891
354.736 3.41808
355.892 3.41642
358.205 3.41310
362.829 3.40647
372.078 3.39324
390.575 3.36681
454.000 3.27583
454.000 3.27583
454.001 3.27583
454.002 3.27583
454.003 3.27583
454.006 3.27582
454.011 3.27581
454.023 3.27580
454.045 3.27577
454.090 3.27570
454.180 3.27557
454.360 3.27531
454.719 3.27479
455.438 3.27376
456.875 3.27169
459.750 3.26754
465.500 3.25923
477.000 3.24259
500.000 3.20919
582.950 3.08717
582.950 3.08716
582.951 3.08716
582.951 3.08716
582.953 3.08716
582.955 3.08716
582.960 3.08715
582.970 3.08713
582.991 3.08710
583.031 3.08704
583.112 3.08692
583.274 3.08668
583.597 3.08620
584.244 3.08524
585.537 3.08331
588.124 3.07946
593.298 3.07175
603.646 3.05629
624.343 3.02523
665.735 2.96251
748.520 2.83446
748.520 2.83445
748.521 2.83445
748.522 2.83445
748.523 2.83445
748.526 2.83445
748.532 2.83444
748.543 2.83442
748.566 2.83438
748.613 2.83431
748.705 2.83416
748.890 2.83387
749.260 2.83329
750.000 2.83213
751.649 2.82954
753.299 2.82695
756.598 2.82176
763.195 2.81136
776.390 2.79048
802.780 2.74841
855.560 2.66291
961.120 2.48596
961.120 2.48596
961.121 2.48596
961.121 2.48595
961.123 2.48595
961.125 2.48595
961.130 2.48594
961.139 2.48592
961.158 2.48589
961.196 2.48583
961.272 2.48569
961.424 2.48543
961.728 2.48491
962.335 2.48387
963.550 2.48178
965.980 2.47760
970.840 2.46922
980.560 2.45241
1000.00 2.41855
1058.53 2.31458
1117.05 2.20736
1234.10 1.98200
1234.10 1.98200
1234.11 1.98199
1234.11 1.98198
1234.12 1.98197
1234.13 1.98193
1234.17 1.98187
1234.23 1.98174
1234.36 1.98148
1234.62 1.98096
1235.14 1.97993
1236.18 1.97786
1238.26 1.97371
1242.41 1.96540
1250.72 1.94872
1267.34 1.91510
1300.58 1.84681
1367.05 1.70584
1500.00 1.40501
1584.60 1.19971
1584.60 1.19971
1584.61 1.19969
1584.61 1.19967
1584.63 1.19964
1584.65 1.19958
1584.70 1.19945
1584.80 1.19920
1585.01 1.19870
1585.41 1.19768
1586.22 1.19566
1587.85 1.19161
1591.09 1.18351
1597.58 1.16725
1610.56 1.13454
1636.53 1.06841
1688.45 0.933419
1792.30 0.655489
1896.15 0.379156
2000.00 0.140630
2034.70 0.0830994
2034.70 0.0830976
2034.71 0.0830906
2034.71 0.0830850
2034.72 0.0830724
2034.74 0.0830486
2034.77 0.0830010
2034.84 0.0829059
2034.97 0.0827158
2035.25 0.0823353
2035.79 0.0815793
2036.88 0.0800826
2039.06 0.0771506
2043.42 0.0715389
2052.14 0.0613827
2069.58 0.0458399
2078.30 0.0407719
2087.02 0.0377450
2095.74 0.0369592
2104.46 0.0386356
2113.19 0.0430181
2121.91 0.0503740
2130.63 0.0609998
2139.35 0.0752229
2156.79 0.115952
2174.23 0.175955
2191.67 0.259437
2209.11 0.371614
2243.99 0.709886
2278.87 1.26690
2313.75 2.16855
2348.63 3.63231
2383.51 6.05418
2418.40 10.2058
2453.28 17.7261
2470.72 23.7983
2488.16 32.5151
2505.60 45.4444
2523.04 65.4023
2540.48 97.7594
2557.92 153.365
2575.36 255.084
2592.80 447.803
2612.60 817.125
2612.60 817.165
2612.61 817.324
