Mo-100(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 10.0119
1.25000E-05 8.95487
1.50000E-05 8.17464
2.00000E-05 7.07945
2.75000E-05 6.03737
3.50000E-05 5.35156
4.25000E-05 4.85646
5.00000E-05 4.47743
6.25000E-05 4.00474
7.50000E-05 3.65581
0.000100000 3.16602
0.000125000 2.83178
0.000150000 2.58505
0.000200000 2.23872
0.000275000 1.90918
0.000350000 1.69231
0.000425000 1.53574
0.000500000 1.41589
0.000625000 1.26641
0.000750000 1.15607
0.00100000 1.00118
0.00125000 0.895482
0.00150000 0.817458
0.00200000 0.707938
0.00275000 0.603729
0.00350000 0.535147
0.00425000 0.485636
0.00500000 0.447733
0.00625000 0.400462
0.00750000 0.365568
0.0100000 0.316587
0.0125000 0.283161
0.0150000 0.258486
0.0200000 0.223851
0.0253000 0.199022
0.0314750 0.178430
0.0376500 0.163138
0.0500000 0.141555
0.0625000 0.126603
0.0750000 0.115566
0.100000 0.100071
0.125000 0.0894957
0.150000 0.0816883
0.200000 0.0707275
0.275000 0.0602952
0.350000 0.0534271
0.500000 0.0446689
0.750000 0.0364294
1.00000 0.0315122
1.50000 0.0256705
2.00000 0.0221808
2.75000 0.0188526
3.50000 0.0166562
5.00000 0.0138470
7.50000 0.0111928
10.0000 0.00960297
15.0000 0.00771149
20.0000 0.00658623
27.5000 0.00552889
35.0000 0.00485368
50.0000 0.00406206
73.5800 0.00367948
79.4749 0.00385172
85.3699 0.00453500
88.3174 0.00556693
89.7912 0.00662276
91.2649 0.00857866
92.7387 0.0128116
93.4755 0.0170599
94.2124 0.0248462
94.5809 0.0314322
94.9493 0.0415209
95.3177 0.0581131
95.6862 0.0882685
95.8704 0.113575
96.0546 0.152051
96.2388 0.214697
96.4230 0.326917
96.5151 0.419749
96.6073 0.558918
96.6994 0.781191
96.7915 1.16843
96.8836 1.93425
96.9296 2.63356
96.9757 3.78849
97.0218 5.89258
97.0448 7.65339
97.0678 10.3070
97.0908 14.5435
97.1139 21.7871
97.1369 35.1851
97.1599 61.1944
97.1800 97.9378
97.2000 122.449
97.2201 97.9577
97.2401 61.2195
97.2617 36.3850
97.2832 23.0696
97.3048 15.6432
97.3264 11.2088
97.3479 8.38722
97.3695 6.49633
97.4126 4.21170
97.4557 2.94365
97.4989 2.17071
97.5851 1.31839
97.6713 0.884604
97.7576 0.634567
97.8438 0.477539
97.9301 0.372559
98.1026 0.245305
98.2751 0.174075
98.4476 0.130227
98.6201 0.101333
98.9650 0.0668202
99.3100 0.0477765
99.6550 0.0361665
100.000 0.0285687
100.781 0.0187338
101.563 0.0136789
102.344 0.0107393
103.125 0.00887949
104.688 0.00674485
106.250 0.00561120
109.375 0.00450394
112.500 0.00399981
125.000 0.00341446
150.000 0.00342194
200.000 0.00452843
220.418 0.00548134
240.836 0.00698473
261.254 0.00949267
281.673 0.0140885
291.882 0.0179681
302.091 0.0239037
312.300 0.0336635
322.509 0.0514429
327.613 0.0664271
332.718 0.0893371
337.822 0.126978
342.927 0.195429
345.479 0.252983
348.032 0.340732
349.308 0.403020
350.584 0.484266
351.222 0.534510
351.541 0.562633
351.860 0.593050
352.179 0.626029
352.498 0.661842
352.817 0.700839
353.136 0.743406
353.455 0.790011
353.774 0.841146
354.412 0.959625
355.050 1.10516
355.688 1.28664
356.326 1.51703
356.964 1.81553
357.603 2.21203
358.241 2.75444
358.879 3.52440
359.517 4.66914
360.155 6.47727
360.793 9.57739
361.112 12.0332
361.431 15.5611
361.750 20.8830
362.069 29.4323
362.388 44.3768
362.548 56.3607
362.707 73.6900
362.867 99.8283
363.026 141.167
363.186 209.619
363.345 324.895
363.523 519.659
363.700 649.187
363.878 519.040
364.055 324.292
364.188 224.535
364.321 159.855
364.453 117.787
364.586 89.6508
364.852 56.2348
365.117 38.2525
365.383 27.5946
365.648 20.8042
366.179 12.9977
366.710 8.86717
367.241 6.42734
367.772 4.86887
368.303 3.81397
369.365 2.51954
370.428 1.78635
371.490 1.33153
372.552 1.03025
374.676 0.668619
376.800 0.468261
378.924 0.345859
381.048 0.265694
385.297 0.170605
389.545 0.118558
393.793 0.0870409
398.041 0.0665397
406.538 0.0424058
415.034 0.0293103
423.531 0.0214396
432.028 0.0163576
449.021 0.0104578
466.014 0.00740355
483.007 0.00604275
491.504 0.00646184
495.752 0.00777847
497.876 0.00934687
500.000 0.0125724
501.840 0.0189662
502.759 0.0254073
503.679 0.0372307
504.599 0.0625888
505.059 0.0878561
505.518 0.133844
505.748 0.172521
505.978 0.231413
506.208 0.327548
506.438 0.500452
506.553 0.644140
506.668 0.860478
506.783 1.20807
506.898 1.81822
506.956 2.31361
507.013 3.04242
507.071 4.17703
507.128 6.07799
507.185 9.63215
507.214 12.6910
507.243 17.4099
507.272 25.2538
507.300 39.3699
507.315 50.9596
507.329 67.6701
507.344 92.6358
507.358 129.350
507.379 206.979
507.400 258.741
507.421 206.986
507.442 129.360
507.456 93.2791
507.470 68.6752
507.498 40.4010
507.526 26.0594
507.554 18.0737
507.582 13.2037
507.610 10.0554
507.666 6.36550
507.722 4.38116
507.778 3.19607
507.834 2.43327
507.889 1.91398
508.001 1.27296
508.113 0.907585
508.225 0.679896
508.337 0.528639
508.560 0.346200
508.784 0.244717
509.007 0.182474
509.231 0.141603
509.678 0.0929256
510.125 0.0661660
511.019 0.0392705
511.914 0.0267013
512.808 0.0198406
514.596 0.0130167
516.385 0.00990889
518.173 0.00831265
521.750 0.00715273
525.327 0.00777002
528.904 0.0116414
530.693 0.0176128
531.587 0.0237069
532.481 0.0349442
533.375 0.0591054
533.822 0.0831962
534.270 0.127059
534.493 0.163939
534.717 0.220079
534.940 0.311735
535.164 0.476428
535.276 0.613204
535.387 0.819004
535.499 1.14937
535.611 1.72850
535.667 2.19810
535.723 2.88809
535.779 3.96040
535.834 5.75667
535.890 9.09887
535.918 11.9647
535.946 16.3687
535.974 23.6501
536.002 36.6470
536.030 62.3765
536.044 84.7955
536.058 117.418
536.079 188.063
536.100 234.869
536.121 187.711
536.142 117.426
536.158 81.9605
536.173 58.8571
536.188 43.5798
536.204 33.3425
536.234 21.0443
536.265 14.3904
536.296 10.4114
536.326 7.86620
536.388 4.93368
536.449 3.37385
536.510 2.45150
536.572 1.86103
536.633 1.46065
536.756 0.968144
536.878 0.688661
537.001 0.515026
537.124 0.399925
537.369 0.261415
537.614 0.184531
537.860 0.137460
538.105 0.106565
538.596 0.0698063
539.086 0.0496071
540.067 0.0292943
541.049 0.0197793
542.030 0.0145596
543.993 0.00929948
547.918 0.00542381
551.843 0.00397887
559.694 0.00281366
567.544 0.00230036
583.245 0.00177938
598.946 0.00148319
630.348 0.00112630
661.750 0.000915142
693.152 0.000787947
724.553 0.000742011
740.254 0.000780517
755.955 0.000967378
763.806 0.00125919
771.656 0.00211848
775.582 0.00333100
779.507 0.00679489
781.469 0.0116266
782.451 0.0164656
783.432 0.0253283
784.413 0.0443136
784.904 0.0632292
785.395 0.0976657
785.885 0.170777
786.131 0.242878
786.376 0.372691
786.499 0.480683
786.621 0.643451
786.744 0.905355
786.867 1.36613
786.928 1.74140
786.989 2.29378
787.051 3.15591
787.112 4.60894
787.173 7.34435
787.204 9.71070
787.235 13.3867
787.265 19.5541
787.296 30.8169
787.311 40.2350
787.327 54.0309
787.342 74.8591
787.357 106.322
787.379 170.285
787.400 212.667
787.422 169.970
787.443 106.326
787.456 78.8208
787.469 59.4084
787.495 36.1453
787.521 23.8158
787.547 16.7531
787.573 12.3599
787.599 9.48092
787.651 6.06000
787.702 4.19620
787.754 3.07358
787.858 1.84958
787.962 1.23320
788.066 0.880287
788.170 0.659680
788.273 0.512689
788.481 0.335175
788.689 0.236170
788.896 0.175386
789.104 0.135429
789.519 0.0877835
789.934 0.0615623
790.764 0.0351776
791.595 0.0228319
792.425 0.0160794
794.085 0.00932321
797.407 0.00446114
800.728 0.00274757
807.370 0.00151552
814.013 0.00108064
827.297 0.000767695
840.582 0.000659841
867.152 0.000598824
893.722 0.000614952
920.291 0.000687597
946.861 0.000842423
973.430 0.00116517
1000.00 0.00193970
1017.65 0.00322578
1026.48 0.00452121
1035.31 0.00690650
1044.14 0.0120571
1048.55 0.0172323
1052.96 0.0267421
1055.17 0.0348156
1057.38 0.0472314
1059.58 0.0677658
1061.79 0.105385
1062.89 0.137260
1064.00 0.186106
1065.10 0.266686
1066.20 0.413520
1066.76 0.537314
1067.31 0.726311
1067.86 1.03581
1068.41 1.59370
1068.69 2.05978
1068.96 2.76449
1069.24 3.90335
1069.51 5.91190
1069.65 7.55940
1069.79 10.0026
1069.93 13.8478
1070.07 20.4059
1070.20 32.9511
1070.27 44.0031
1070.34 61.5735
1070.41 91.8001
1070.48 149.634
1070.51 200.721
1070.55 277.019
1070.58 397.808
1070.62 590.401
1070.66 941.667
1070.70 1174.59
1070.74 932.723
1070.79 583.443
1070.83 341.116
1070.88 213.835
1070.93 143.910
1070.97 102.581
1071.02 76.4807
1071.07 59.0694
1071.16 38.1405
1071.26 26.5839
1071.35 19.5607
1071.54 11.8683
1071.72 7.93801
1071.91 5.67797
1072.10 4.26104
1072.29 3.31906
1072.66 2.17198
1073.04 1.53232
1073.41 1.13867
1073.79 0.879333
1074.54 0.569425
1075.29 0.398814
1076.04 0.294751
1076.79 0.226800
1078.29 0.146181
1079.79 0.102092
1081.29 0.0753650
1082.80 0.0579497
1085.80 0.0373806
1088.80 0.0261655
1091.80 0.0193834
1094.80 0.0149726
1100.81 0.00977560
1106.81 0.00695104
1118.82 0.00415177
1130.83 0.00287826
1142.84 0.00221745
1166.86 0.00168545
1190.88 0.00174902
1214.90 0.00269194
1226.90 0.00419690
1232.91 0.00574273
