Ge-72(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 53.4166
1.25000E-05 48.7131
1.50000E-05 45.2412
2.00000E-05 40.3677
2.75000E-05 35.7306
3.50000E-05 32.6788
4.25000E-05 30.4757
5.00000E-05 28.7891
6.25000E-05 26.6856
7.50000E-05 25.1329
0.000100000 22.9534
0.000125000 21.4661
0.000150000 20.3681
0.000200000 18.8270
0.000275000 17.3606
0.000350000 16.3956
0.000425000 15.6989
0.000500000 15.1655
0.000625000 14.5003
0.000750000 14.0093
0.00100000 13.3201
0.00125000 12.8498
0.00150000 12.5026
0.00200000 12.0152
0.00275000 11.5515
0.00350000 11.2463
0.00425000 11.0260
0.00500000 10.8573
0.00625000 10.6470
0.00750000 10.4917
0.0100000 10.2737
0.0125000 10.1250
0.0150000 10.0152
0.0200000 9.86099
0.0253000 9.75048
0.0314750 9.65881
0.0376500 9.59073
0.0500000 9.49461
0.0625000 9.42800
0.0750000 9.37881
0.100000 9.30970
0.125000 9.26249
0.150000 9.22758
0.200000 9.17849
0.275000 9.13158
0.350000 9.10053
0.500000 9.06057
0.750000 9.02225
1.00000 8.99870
1.50000 8.96936
2.00000 8.95049
2.75000 8.93064
3.50000 8.91583
5.00000 8.89325
7.50000 8.86469
10.0000 8.84093
15.0000 8.79940
20.0000 8.76162
27.5000 8.70844
35.0000 8.65780
50.0000 8.56140
75.0000 8.41099
100.000 8.27059
150.000 8.01420
200.000 7.78503
225.950 7.67542
238.925 7.62341
242.169 7.61123
245.413 7.60060
247.034 7.59733
247.845 7.59725
248.656 7.59972
249.467 7.60847
249.873 7.61857
250.278 7.63785
250.481 7.65426
250.684 7.67915
250.886 7.71917
251.089 7.78897
251.292 7.92626
251.393 8.05041
251.495 8.25280
251.596 8.61473
251.647 8.91156
251.697 9.34903
251.748 10.0289
251.799 11.1466
251.849 13.0979
251.900 16.5998
251.950 22.0111
252.000 25.6169
252.050 22.0137
252.100 16.6027
252.130 14.2681
252.161 12.6196
252.221 10.6400
252.282 9.59450
252.342 8.99300
252.403 8.61967
252.463 8.37443
252.584 8.08342
252.705 7.92451
252.826 7.82868
253.068 7.72369
253.311 7.67034
253.553 7.63939
253.795 7.61968
254.037 7.60623
254.521 7.58924
255.005 7.57893
255.974 7.56658
256.942 7.55876
257.910 7.55278
259.847 7.54304
263.720 7.52653
267.594 7.51118
283.088 7.45261
314.075 7.34137
376.050 7.13679
500.000 6.78554
618.850 6.50445
678.275 6.37989
707.987 6.32131
715.415 6.30729
722.843 6.29412
726.557 6.28858
730.271 6.28593
732.128 6.28853
733.057 6.29285
733.985 6.30213
734.914 6.32372
735.378 6.34577
735.842 6.38595
736.075 6.41948
736.307 6.46996
736.539 6.55084
736.771 6.69208
737.003 6.97205
737.119 7.22800
737.235 7.65072
737.351 8.42199
737.409 9.06734
737.467 10.0409
737.525 11.5991
737.583 14.2640
737.641 19.1994
737.699 28.8061
737.750 42.3284
737.800 51.3428
737.850 42.3321
737.901 28.8106
737.933 22.7386
737.965 18.5290
738.029 13.5815
738.093 11.0320
738.157 9.58887
738.221 8.70441
738.285 8.12701
738.413 7.44762
738.541 7.08004
738.669 6.85959
738.925 6.62012
739.181 6.49971
739.436 6.43075
739.948 6.35859
740.460 6.32331
740.972 6.30323
741.996 6.28187
743.020 6.27077
744.044 6.26380
746.091 6.25489
750.187 6.24359
754.282 6.23471
762.473 6.21871
770.663 6.20347
803.426 6.14482
868.950 6.03404
1000.00 5.83293
1250.00 5.50498
1500.00 5.22389
1750.00 4.96604
2000.00 4.70766
2047.72 4.65543
2095.44 4.60137
2119.30 4.57358
2143.16 4.54554
2155.09 4.53193
2167.02 4.52019
2172.98 4.51715
2178.95 4.52246
2181.93 4.53664
2183.42 4.55272
2184.91 4.58364
2186.40 4.65160
2187.15 4.71977
2187.90 4.84337
2188.27 4.94678
2188.64 5.10316
2189.01 5.35566
2189.39 5.80055
2189.57 6.16539
2189.76 6.70200
2189.95 7.54776
2190.13 8.97380
2190.32 11.6915
2190.41 14.0500
2190.51 17.7557
2190.60 24.0237
2190.69 35.7105
2190.74 45.7184
2190.78 60.3991
2190.83 83.5673
2190.88 118.690
2190.94 187.848
2191.00 232.986
2191.06 186.697
2191.12 118.739
2191.18 79.4709
2191.23 56.0012
2191.28 41.2331
2191.33 31.9244
2191.44 21.1940
2191.54 15.6430
2191.65 12.4363
2191.75 10.4275
2191.96 8.16314
2192.17 6.97603
2192.38 6.28419
2192.59 5.84267
2192.80 5.54644
2193.22 5.18261
2193.64 4.97768
2194.06 4.85060
2194.48 4.76633
2195.32 4.66473
2196.15 4.60802
2197.83 4.54952
2199.51 4.52079
2201.18 4.50399
2204.54 4.48488
2211.24 4.46522
2217.95 4.45228
2231.36 4.43084
2244.78 4.41063
2271.60 4.36964
2298.43 4.32624
2352.08 4.22791
2405.73 4.10477
2459.39 3.93390
2486.21 3.81421
2513.04 3.65097
2526.45 3.54244
2539.87 3.40525
2553.28 3.22418
2566.69 2.97100
2573.40 2.80117
2580.10 2.58707
2586.81 2.30853
2593.52 1.93298
2596.87 1.69353
2600.22 1.40979
2603.58 1.07749
2606.93 0.713634
2608.61 0.547424
2610.28 0.440783
2611.12 0.438267
2611.96 0.499276
2612.80 0.664490
2613.22 0.806273
2613.64 1.00369
2614.06 1.27496
2614.48 1.64278
2614.90 2.14099
2615.31 2.81672
2615.73 3.73807
