W-183(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 507.581
1.25000E-05 453.994
1.50000E-05 414.438
2.00000E-05 358.914
2.75000E-05 306.083
3.50000E-05 271.314
4.25000E-05 246.213
5.00000E-05 226.998
6.25000E-05 203.033
7.50000E-05 185.343
0.000100000 160.512
0.000125000 143.567
0.000150000 131.058
0.000200000 113.500
0.000275000 96.7939
0.000350000 85.7992
0.000425000 77.8619
0.000500000 71.7856
0.000625000 64.2077
0.000750000 58.6139
0.00100000 50.7622
0.00125000 45.4040
0.00150000 41.4488
0.00200000 35.8972
0.00275000 30.6151
0.00350000 27.1391
0.00425000 24.6298
0.00500000 22.7090
0.00625000 20.3136
0.00750000 18.5456
0.0100000 16.0643
0.0125000 14.3713
0.0150000 13.1218
0.0200000 11.3685
0.0253000 10.1123
0.0314750 9.07084
0.0376500 8.29793
0.0500000 7.20797
0.0625000 6.45372
0.0750000 5.89758
0.100000 5.11820
0.125000 4.58757
0.150000 4.19680
0.200000 3.65026
0.275000 3.13355
0.350000 2.79639
0.500000 2.37248
0.750000 1.98555
1.00000 1.76597
1.50000 1.53176
2.00000 1.42430
2.75000 1.38663
3.50000 1.46475
4.25000 1.69032
5.00000 2.19924
5.64943 3.21344
5.97414 4.22011
6.29885 6.03421
6.46121 7.54382
6.62356 9.82221
6.78592 13.4995
6.94828 20.0166
7.02945 25.3573
7.11063 33.2981
7.19181 45.8512
7.27299 67.4248
7.35417 109.250
7.39476 146.669
7.43534 207.184
7.45564 252.429
7.47593 314.032
7.49623 400.673
7.51652 527.316
7.53682 721.145
7.55711 1033.87
7.57741 1566.09
7.59770 2493.34
7.61885 3981.76
7.64000 4968.72
7.66115 3970.69
7.68230 2479.53
7.70041 1630.25
7.71852 1113.71
7.73662 795.553
7.75473 591.425
7.79094 359.278
7.82716 239.441
7.86337 170.343
7.89959 127.129
7.97201 78.3677
8.04444 53.0371
8.11687 38.2570
8.18930 28.9037
8.26173 22.6193
8.40658 14.9728
8.55144 10.6828
8.69629 8.04244
8.84115 6.30548
9.13086 4.23934
9.42058 3.10829
9.71029 2.42568
10.0000 1.98437
10.6250 1.44461
11.2500 1.17312
12.5000 0.939710
15.0000 0.880970
17.5000 1.05634
20.0000 1.54382
21.7369 2.36823
22.6053 3.18110
23.0395 3.79701
23.4738 4.64919
23.9080 5.87797
24.3422 7.74637
24.7764 10.7963
24.9935 13.1058
25.2106 16.2972
25.4277 20.8871
25.6449 27.8352
25.8620 39.0925
26.0791 59.1424
26.1876 75.6454
26.2962 100.275
26.4047 139.398
26.5133 207.045
26.5676 261.079
26.6219 339.380
26.6761 458.843
26.7304 653.801
26.7847 1002.74
26.8118 1289.52
26.8390 1714.09
26.8661 2375.61
26.8932 3469.18
26.9204 5394.26
26.9475 8896.08
26.9738 14231.2
27.0000 17803.4
27.0263 14254.6
27.0525 8907.86
27.0789 5464.16
27.1053 3543.12
27.1317 2439.07
27.1581 1765.82
27.1845 1331.18
27.2109 1036.56
27.2636 676.733
27.3164 474.956
27.3692 351.136
27.4748 213.798
27.5803 143.551
27.6859 102.953
27.7915 77.4170
27.8970 60.3325
28.1082 39.6215
28.3193 28.0364
28.5304 20.9161
28.7415 16.2342
29.1638 10.6639
29.5860 7.61228
30.0083 5.76938
30.4306 4.57824
31.2751 3.20030
32.1196 2.48704
33.8086 1.88938
35.4976 1.80350
37.1867 2.08073
38.0312 2.42684
38.4534 2.70772
38.6646 2.89646
38.8757 3.13554
39.0868 3.45080
39.2979 3.88989
39.5091 4.54981
39.7202 5.65490
39.9313 7.83058
40.0369 9.87403
40.1425 13.4205
40.2480 20.4922
40.3008 27.0515
40.3536 38.1157
40.4064 58.9739
40.4328 77.0910
40.4591 105.489
40.4855 153.379
40.5119 242.310
40.5251 317.222
40.5383 429.015
40.5515 600.931
40.5647 865.711
40.5824 1382.86
40.6000 1727.98
40.6177 1383.33
40.6353 865.839
40.6461 641.612
40.6568 483.830
40.6676 373.286
40.6783 294.692
40.6998 195.178
40.7213 138.129
40.7428 102.838
40.7643 79.6705
40.7858 63.7025
40.8073 52.2605
40.8288 43.7935
40.8503 37.3665
40.8718 32.3760
40.8933 28.4273
40.9041 26.7546
40.9149 25.2505
40.9256 23.8920
40.9364 22.6611
40.9471 21.5426
40.9579 20.5234
40.9794 18.7395
41.0224 15.9591
41.0654 13.9242
41.1514 11.2225
41.3234 8.54119
41.6674 6.92572
42.0115 6.85504
42.3555 7.40125
42.6996 8.38738
43.0436 9.84183
43.3877 11.9165
43.7317 14.9174
44.0757 19.4279
44.4198 26.6302
44.7638 39.2015
44.9359 49.3714
45.1079 64.3362
45.2799 87.7197
45.4519 127.366
45.6239 202.937
45.7100 269.502
45.7960 375.549
45.8820 558.918
45.9680 913.418
46.0110 1224.98
46.0540 1710.53
46.0970 2499.61
46.1400 3798.15
46.1900 6066.86
46.2400 7576.34
46.2900 6061.07
46.3400 3792.72
46.3825 2508.20
46.4250 1724.42
46.4675 1240.60
46.5100 929.901
46.5950 577.081
46.6800 396.506
46.7650 294.577
46.8500 233.629
47.0200 175.642
47.1900 169.696
47.2750 186.237
47.3600 223.060
47.4450 296.109
47.5300 446.069
47.5725 580.377
47.6150 790.861
47.6575 1133.07
47.7000 1694.90
47.7500 2687.44
47.8000 3348.77
47.8500 2683.07
47.9000 1685.34
47.9328 1225.47
47.9656 910.410
48.0313 544.990
48.0969 358.876
48.1625 254.085
48.2281 189.883
48.2938 147.861
48.4250 98.0040
48.5563 70.5679
48.6875 53.7586
48.9500 34.8546
49.2125 24.8447
49.4750 18.8086
50.0000 12.0705
50.4781 8.75998
50.9563 6.69384
51.9125 4.32784
52.8688 3.06243
53.8250 2.30315
55.7375 1.47528
57.6501 1.06183
59.5626 0.836759
61.4751 0.730848
62.4313 0.736020
63.3876 0.855752
63.8657 1.05988
64.1048 1.27076
64.3439 1.65771
64.5829 2.47412
64.7025 3.26824
64.8220 4.67155
64.9415 7.50572
65.0013 10.1517
65.0610 14.6287
65.1208 23.0909
65.1507 30.4498
65.1806 41.9931
65.2105 61.4825
65.2403 97.6900
65.2553 128.192
65.2702 173.763
65.2852 243.813
65.3001 351.802
65.3101 450.030
65.3201 562.074
65.3400 701.982
65.3600 561.855
65.3799 351.550
65.3968 232.494
65.4137 159.670
65.4306 114.556
65.4475 85.5135
65.4813 52.3354
65.5151 35.1349
65.5490 25.1860
65.5828 18.9485
65.6504 11.8904
65.7180 8.20998
65.7856 6.05556
65.9208 3.76629
66.0561 2.63962
66.1913 2.00324
66.4618 1.34688
66.7323 1.03132
67.0027 0.854671
67.5437 0.672042
68.6255 0.530517
69.7074 0.473915
74.0349 0.411974
78.3624 0.426088
82.6900 0.495696
87.0175 0.664912
89.1812 0.831339
91.3450 1.12149
93.5087 1.69242
94.5906 2.21160
95.6725 3.06851
96.7544 4.63671
97.2953 5.96342
97.8363 7.99835
98.1067 9.45066
98.3772 11.3540
98.6477 13.9167
98.9181 17.4830
99.1886 22.6546
99.4591 30.5615
99.7295 43.5331
99.8648 53.3841
100.000 67.0155
100.121 84.2522
100.243 109.092
100.364 146.707
100.486 207.396
100.607 314.348
100.668 400.820
100.728 526.834
100.789 718.861
100.850 1026.78
100.910 1546.18
100.971 2438.70
101.036 3891.65
101.100 4856.51
101.165 3878.92
101.230 2418.22
101.271 1765.39
101.313 1313.50
101.395 783.544
101.478 510.316
101.560 355.929
101.643 261.227
101.725 199.504
101.890 126.902
102.055 87.6399
102.221 64.1385
102.551 38.7392
102.881 26.2293
103.211 19.7305
103.376 18.2837
103.541 19.1289
103.624 21.9522
103.706 30.3826
103.748 40.9066
103.768 50.1254
103.789 64.5934
103.809 89.0535
103.830 133.858
103.840 171.123
103.851 226.071
103.861 309.110
103.871 434.612
103.878 552.965
103.886 687.989
103.900 855.850
103.915 684.592
103.929 431.666
103.946 251.483
103.962 159.509
103.979 109.711
103.995 80.5462
104.029 49.9751
104.062 35.3501
104.095 27.2082
104.128 22.2215
104.195 16.5968
104.328 11.7303
104.461 9.53813
104.727 7.32964
104.993 6.08394
105.524 4.56355
106.056 3.61594
107.120 2.48255
108.183 1.84190
109.247 1.44235
110.310 1.17651
112.437 0.857191
114.564 0.682227
116.691 0.578604
120.945 0.475500
125.199 0.443252
129.453 0.459093
131.580 0.490399
133.707 0.555140
134.771 0.618498
135.834 0.750202
136.366 0.899243
136.632 1.03507
136.898 1.26913
137.164 1.74268
137.297 2.19542
137.429 2.99030
137.562 4.59840
137.629 6.10858
137.695 8.68186
137.762 13.6241
137.795 17.9868
137.828 24.9478
137.862 37.0407
137.895 60.3610
137.911 80.8280
137.920 94.9176
137.928 112.677
137.936 135.287
137.945 164.288
137.953 201.548
137.961 248.958
137.971 319.039
137.981 398.277
138.000 497.137
138.010 467.507
138.020 397.438
138.039 248.920
138.051 184.204
138.063 138.688
138.086 84.3918
138.110 55.8222
138.134 39.4264
138.158 29.2830
138.181 22.6174
138.229 14.7251
138.276 10.4317
138.323 7.84962
138.418 5.04158
138.513 3.63363
138.608 2.83466
138.798 2.01679
138.987 1.63866
139.177 1.44432
139.556 1.29027
140.315 1.34108
141.073 1.66436
141.832 2.41812
142.211 3.16054
142.590 4.47988
142.969 7.17768
143.159 9.73616
143.349 14.1514
143.538 22.7732
143.633 30.5365
143.728 43.1809
143.823 65.7375
143.870 84.2182
143.917 111.507
143.965 153.842
144.012 223.450
144.060 345.115
144.107 564.829
144.154 905.012
144.200 1140.21
144.247 919.691
144.293 576.164
144.332 383.775
144.370 265.092
144.409 190.997
144.447 142.982
144.524 87.7889
144.601 59.0768
144.678 42.4005
144.755 31.9416
144.909 20.0878
145.063 13.9017
145.217 10.2872
145.526 6.46158
145.834 4.60154
146.142 3.57459
146.758 2.57827
147.374 2.18514
147.991 2.06421
149.223 2.29549
149.839 2.63893
150.456 3.20419
151.072 4.13643
151.688 5.76759
151.996 7.07427
152.304 8.97065
152.612 11.8759
152.921 16.6627
153.229 25.4020
153.383 32.7611
153.537 43.9473
153.691 62.0705
153.845 93.7754
153.999 154.607
154.076 205.765
154.153 278.859
154.277 443.545
154.400 551.307
154.524 440.685
154.647 277.155
154.789 161.769
154.930 102.580
155.072 70.9112
155.214 52.8458
155.356 42.0845
155.497 35.6517
155.781 30.7854
156.064 34.8653
156.206 41.8155
156.347 55.2521
156.489 82.4655
156.560 106.948
156.631 146.113
156.702 213.884
156.772 343.627
156.808 456.248
156.843 629.410
156.879 905.438
156.914 1349.06
156.957 2147.50
157.000 2677.74
157.044 2139.00
157.087 1334.02
157.120 922.909
157.152 657.915
157.185 485.752
157.217 370.591
157.282 233.914
157.347 160.329
157.412 116.681
157.477 88.8134
157.607 56.6755
157.737 39.5639
157.867 29.3894
158.127 18.3525
158.387 12.7660
158.647 9.52552
159.167 6.05936
159.687 4.31049
160.207 3.29148
161.248 2.19590
162.288 1.64621
163.328 1.33588
165.408 1.04826
167.488 1.01850
168.528 1.10976
169.569 1.33634
170.609 1.87791
171.129 2.43355
171.649 3.45114
171.909 4.30619
172.169 5.60342
172.429 7.70712
172.689 11.4501
172.819 14.5267
172.949 19.1028
173.079 26.3395
173.209 38.7681
173.274 48.6235
173.339 62.8032
173.404 84.2270
173.469 118.715
173.534 179.155
173.567 227.772
173.599 298.263
173.632 404.952
173.664 574.438
173.697 856.659
173.729 1334.75
173.765 2126.24
173.800 2650.45
173.836 2114.66
173.872 1316.23
173.908 813.128
173.943 530.336
173.979 366.730
174.014 266.450
174.050 201.456
174.085 157.265
174.156 103.117
174.227 72.6547
174.298 53.9111
174.440 33.0687
174.582 22.3798
174.724 16.1887
174.866 12.2876
175.008 9.67309
175.292 6.49666
175.576 4.71427
175.860 3.61520
176.144 2.89017
176.712 2.02246
177.280 1.54288
177.848 1.25016
178.416 1.05870
179.552 0.832802
180.688 0.712156
182.959 0.607844
185.231 0.605476
186.367 0.647009
187.503 0.744486
188.639 0.973996
189.207 1.20925
189.775 1.64154
190.059 2.00635
190.343 2.56279
190.627 3.47171
190.911 5.10564
191.053 6.46253
191.195 8.50394
191.337 11.7803
191.479 17.5292
191.550 22.1869
191.621 29.0296
191.692 39.6621
191.763 57.4696
191.798 71.2429
191.834 90.5949
191.869 118.931
191.905 162.625
191.940 234.578
191.976 363.437
191.993 468.350
192.011 618.739
192.029 839.619
192.047 1163.15
192.073 1862.06
192.100 2325.57
192.127 1859.00
192.154 1162.81
192.184 668.980
192.215 414.552
192.246 276.875
192.276 196.568
192.307 146.035
192.338 112.609
192.399 72.5588
192.460 50.5562
192.521 37.2307
192.644 22.6291
192.767 15.2424
192.889 11.0010
193.012 8.34449
193.134 6.57201
193.380 4.42842
193.625 3.23118
193.870 2.49538
194.115 2.01109
194.606 1.43334
195.096 1.11490
195.586 0.920907
196.077 0.794068
197.058 0.644037
198.038 0.562869
200.000 0.490715
200.743 0.486815
201.485 0.512543
201.857 0.561120
202.043 0.612169
202.228 0.706475
202.414 0.906668
202.507 1.10203
202.599 1.44831
202.692 2.15169
202.739 2.81070
202.785 3.93113
202.832 6.06354
202.855 7.93197
202.878 10.8856
202.901 15.9259
202.924 25.4525
202.936 33.6193
202.948 46.0309
202.959 65.5299
202.971 96.3552
202.985 153.954
203.000 191.898
203.015 153.459
203.029 95.9632
203.046 55.7981
203.063 35.0035
203.079 23.5830
203.096 16.9062
203.112 12.6776
203.129 9.88093
203.162 6.51571
203.195 4.66213
203.228 3.53754
203.294 2.30433
203.360 1.67806
203.426 1.31834
203.559 0.941451
203.691 0.758216
203.823 0.655468
204.088 0.549780
204.353 0.498789
204.617 0.469990
205.147 0.439603
206.205 0.414809
207.264 0.404121
211.498 0.392476
213.615 0.395485
215.733 0.409249
216.791 0.428951
217.321 0.448482
217.850 0.483895
218.379 0.558936
218.644 0.633101
218.908 0.767157
219.041 0.879305
219.173 1.04916
219.305 1.32465
219.438 1.81567
219.504 2.22027
219.570 2.82432
219.636 3.78375
219.702 5.43884
219.769 8.67536
219.802 11.5915
219.835 16.3218
219.868 24.7720
219.884 31.7118
219.901 41.8825
219.918 57.7257
219.934 83.5280
219.951 128.297
219.959 162.854
219.967 208.239
219.984 332.910
220.000 415.893
220.017 332.674
220.033 208.042
220.047 139.097
220.060 96.3501
220.074 69.5919
220.087 52.3129
220.114 32.2919
220.142 21.8114
220.169 15.7113
220.196 11.8703
220.250 7.50559
220.304 5.22137
