Gd-157(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 9.68576E+06
1.26000E-05 8.62908E+06
1.58000E-05 7.70622E+06
2.00000E-05 6.84986E+06
2.51000E-05 6.11494E+06
3.16000E-05 5.45040E+06
3.98000E-05 4.85718E+06
5.00000E-05 4.33419E+06
5.01000E-05 4.32987E+06
5.05063E-05 4.31245E+06
5.09125E-05 4.29523E+06
5.17250E-05 4.26142E+06
5.33500E-05 4.19612E+06
5.66000E-05 4.07407E+06
6.31000E-05 3.85892E+06
7.94000E-05 3.44096E+06
0.000100000 3.06711E+06
0.000126000 2.73350E+06
0.000158000 2.44227E+06
0.000200000 2.17217E+06
0.000251000 1.94053E+06
0.000316000 1.73125E+06
0.000398000 1.54463E+06
0.000500000 1.38033E+06
0.000501000 1.37897E+06
0.000505063 1.37350E+06
0.000509125 1.36810E+06
0.000517250 1.35749E+06
0.000533500 1.33700E+06
0.000566000 1.29871E+06
0.000631000 1.23127E+06
0.000794000 1.10047E+06
0.00100000 983782
0.00126000 880018
0.00158000 789820
0.00200000 706621
0.00251000 635759
0.00316000 572280
0.00398000 516282
0.00500000 467629
0.00501000 467230
0.00505063 465624
0.00509125 464038
0.00517250 460925
0.00533500 454925
0.00566000 443752
0.00631000 424198
0.00794000 386806
0.0100000 354125
0.0125900 325669
0.0158500 300551
0.0199500 277613
0.0200000 277370
0.0201600 276595
0.0203200 275827
0.0206400 274309
0.0212800 271345
0.0225600 265661
0.0251200 255035
0.0253000 254316
0.0256813 252803
0.0260625 251302
0.0268250 248334
0.0283500 242504
0.0314000 231121
0.0316200 230308
0.0321319 228421
0.0326438 226537
0.0336675 222777
0.0357150 215273
0.0398100 200283
0.0500000 163511
0.0501200 163090
0.0505256 161669
0.0509313 160254
0.0517425 157440
0.0533650 151881
0.0566100 141081
0.0631000 121006
0.0712650 99075.6
0.0794300 80948.2
0.0852370 70197.2
0.0926185 58769.8
0.100000 49461.2
0.106473 42733.7
0.112945 37105.8
0.119418 32383.1
0.125890 28404.5
0.134040 24251.2
0.142190 20860.3
0.150340 18070.4
0.158490 15757.4
0.168750 13377.9
0.179010 11459.9
0.189270 9897.38
0.199530 8611.99
0.200000 8558.72
0.201600 8380.76
0.203199 8207.85
0.206399 7876.42
0.212798 7266.70
0.225595 6228.58
0.238393 5384.57
0.251190 4690.98
0.267450 3976.65
0.283710 3405.04
0.299970 2941.76
0.316230 2561.97
0.336700 2174.81
0.357170 1864.92
0.377640 1613.64
0.398110 1407.50
0.423583 1199.33
0.449055 1032.11
0.500000 784.126
0.501190 779.392
0.505245 763.561
0.509301 748.184
0.517411 718.724
0.533633 664.562
0.566075 572.414
0.630960 435.884
0.712645 322.174
0.794330 246.958
0.897165 184.158
1.00000 142.531
1.12947 107.741
1.25893 84.7097
1.42191 65.5877
1.58489 53.1828
1.79008 43.5244
1.99526 38.6738
2.00000 38.6154
2.01600 38.4373
2.03199 38.2895
2.06399 38.0887
2.12797 38.1071
2.25595 40.3853
2.38392 48.0755
2.44790 56.1798
2.51189 70.3001
2.57799 98.1321
2.61104 122.320
2.64410 159.940
2.67715 222.389
2.71020 335.199
2.74325 561.279
2.75978 759.680
2.77630 1053.18
2.78848 1342.32
2.80065 1672.57
2.82500 2083.73
2.84935 1667.52
2.87370 1046.56
2.89174 731.403
2.90977 526.306
2.92781 392.447
2.94585 302.603
2.98192 195.608
3.01799 137.806
3.05406 103.426
3.09014 81.4195
3.16228 55.9354
3.26463 38.3675
3.36698 29.4380
3.46933 24.2080
3.57168 20.8293
3.77637 16.7662
3.98107 14.4144
4.49054 11.3392
5.00000 9.77439
5.01187 9.74674
5.05242 9.65450
5.09298 9.56556
5.17408 9.39683
5.33630 9.09178
5.66072 8.58490
6.30957 7.84940
7.94328 6.81553
10.0000 6.22637
11.2946 6.11184
12.5893 6.31708
13.4042 6.84024
14.2191 8.23672
14.6266 9.76289
15.0340 12.6732
15.2377 15.1856
15.4415 19.0810
15.6452 25.5851
15.8489 37.8693
15.9353 46.9799
16.0216 61.6704
16.1080 92.2620
16.1511 128.259
16.1727 161.786
16.1943 216.697
16.2172 303.951
16.2400 366.336
16.2857 253.925
16.3131 210.009
16.3404 197.973
16.3951 220.066
16.4498 283.207
16.5046 399.400
16.5593 618.543
16.5866 804.428
16.6140 1086.84
16.6413 1541.49
16.6687 2326.72
16.6961 3798.09
16.7097 5007.59
16.7234 6703.02
16.7467 10756.2
16.7700 13492.7
16.7934 10835.4
16.8167 6797.69
16.8412 4107.58
16.8657 2639.14
16.8902 1809.02
16.9147 1308.34
16.9392 987.393
16.9637 770.842
17.0127 507.323
17.0617 359.871
17.1107 269.343
17.2087 168.694
17.3067 116.930
17.4047 86.8217
17.5027 67.7634
17.6007 54.9383
17.7967 39.2973
17.9927 30.5435
18.3847 21.9615
18.7767 18.9664
19.1686 19.8155
19.3646 22.2344
19.5606 27.1754
19.7566 37.2473
19.8546 46.1490
19.9526 60.0510
20.0000 69.6745
20.0638 87.4043
20.1276 113.758
20.1914 155.131
20.2233 185.164
20.2552 225.008
20.2871 279.342
20.3189 355.859
20.3508 468.125
20.3827 641.241
20.4146 925.939
20.4465 1433.11
20.4625 1842.17
20.4784 2427.60
20.4944 3281.71
20.5103 4522.14
20.5352 7286.51
20.5600 9175.16
20.5849 7395.18
20.6097 4658.84
20.6251 3450.91
20.6404 2602.16
20.6712 1587.00
20.7019 1053.70
20.7326 747.539
20.7633 557.767
20.7940 432.803
20.8555 284.203
20.9169 202.811
20.9784 153.558
21.1013 99.7357
21.2241 73.3196
21.3470 60.8681
21.4085 59.5520
21.4699 64.1326
21.5006 70.9086
21.5314 83.9049
21.5621 109.035
21.5928 157.931
21.6214 232.332
21.6500 283.705
21.6786 235.035
21.7072 159.535
21.7316 115.826
21.7560 88.7043
21.7804 71.5907
21.8048 60.3068
21.8536 46.8547
21.9024 39.3337
22.0001 31.2853
22.0977 26.9721
22.2929 22.2905
22.4882 19.8671
22.6834 18.8527
22.8786 19.8541
22.9763 22.2347
23.0251 24.5897
23.0739 28.5112
23.1227 35.4504
23.1715 48.9190
23.1959 60.6495
23.2203 78.6593
23.2447 107.265
23.2691 153.028
23.2996 238.189
23.3300 296.161
23.3605 240.944
23.3909 156.310
23.4179 106.383
23.4449 76.3708
23.4719 58.0465
23.4989 46.3454
23.5529 33.0508
23.6069 26.1463
23.6609 22.1152
23.7149 19.5514
23.8229 16.5754
24.0389 14.0068
24.2549 13.0836
24.4709 13.0579
24.6869 14.2071
24.7949 15.6695
24.9029 18.4489
25.0109 24.1807
25.0649 29.4616
25.1189 38.1367
25.1783 55.8832
25.2080 71.3095
25.2377 95.3801
25.2675 135.586
25.2972 208.827
25.3120 269.158
25.3269 357.276
25.3418 488.856
25.3566 685.017
25.3675 877.954
25.3783 1099.78
25.4000 1384.26
25.4109 1309.17
25.4217 1119.20
25.4434 709.274
25.4675 422.460
25.4917 270.605
25.5158 186.694
25.5400 136.838
25.5641 105.192
25.5882 83.9730
25.6365 58.2822
25.6848 43.9380
25.7331 35.1218
25.8296 25.2653
25.9262 20.1298
26.0227 17.0889
26.2158 13.7602
26.4089 12.0233
