Sr-86(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 50.5554
1.25000E-05 45.2181
1.50000E-05 41.2783
2.00000E-05 35.7480
2.75000E-05 30.4860
3.50000E-05 27.0230
4.25000E-05 24.5230
5.00000E-05 22.6091
6.25000E-05 20.2222
7.50000E-05 18.4602
0.000100000 15.9870
0.000125000 14.2992
0.000150000 13.0533
0.000200000 11.3045
0.000275000 9.64054
0.000350000 8.54543
0.000425000 7.75485
0.000500000 7.14962
0.000625000 6.39482
0.000750000 5.83765
0.00100000 5.05555
0.00125000 4.52183
0.00150000 4.12785
0.00200000 3.57483
0.00275000 3.04863
0.00350000 2.70233
0.00425000 2.45233
0.00500000 2.26094
0.00625000 2.02226
0.00750000 1.84607
0.0100000 1.59875
0.0125000 1.42998
0.0150000 1.30540
0.0200000 1.13053
0.0253000 1.00518
0.0314750 0.901217
0.0376500 0.824022
0.0500000 0.715079
0.0625000 0.639612
0.0750000 0.583908
0.100000 0.505721
0.125000 0.452368
0.150000 0.412987
0.200000 0.357717
0.275000 0.305137
0.350000 0.270542
0.500000 0.226464
0.750000 0.185060
1.00000 0.160399
1.50000 0.131182
2.00000 0.113796
2.75000 0.0972869
3.50000 0.0864507
5.00000 0.0726917
7.50000 0.0598501
10.0000 0.0522682
15.0000 0.0434036
20.0000 0.0382347
27.5000 0.0334608
35.0000 0.0304479
50.0000 0.0268765
75.0000 0.0240794
100.000 0.0229927
150.000 0.0232036
200.000 0.0255038
275.000 0.0332352
350.000 0.0506945
387.500 0.0677214
425.000 0.0975951
462.500 0.157359
471.875 0.181799
476.563 0.196350
478.906 0.204325
481.250 0.212822
483.594 0.221886
485.938 0.231571
488.281 0.241934
490.625 0.253040
492.969 0.264963
495.313 0.277784
497.656 0.291599
500.000 0.306511
502.664 0.324947
505.328 0.345160
510.655 0.391909
515.983 0.449205
521.310 0.520497
526.638 0.610768
531.965 0.727439
537.293 0.881953
542.620 1.09270
547.948 1.39078
553.275 1.83214
558.603 2.52586
563.930 3.70803
566.594 4.63883
569.258 5.96944
571.921 7.96355
574.585 11.1387
577.249 16.6177
578.581 20.9580
579.913 27.1601
581.244 36.3720
582.576 50.6439
583.908 73.6360
585.240 111.070
586.820 177.298
588.400 220.804
589.980 176.103
591.560 109.914
593.156 67.2772
594.751 43.5484
596.347 29.9360
597.942 21.6464
599.537 16.2996
601.133 12.6782
604.324 8.25973
607.515 5.78524
610.706 4.26808
617.088 2.58764
623.469 1.72979
629.851 1.23486
636.233 0.924115
642.615 0.716559
655.379 0.465552
668.143 0.325601
680.906 0.239845
693.670 0.183615
719.198 0.116947
744.725 0.0805569
770.253 0.0586153
795.780 0.0444148
846.835 0.0278317
897.890 0.0189406
948.945 0.0136609
1000.00 0.0102916
1092.47 0.00669961
1184.94 0.00476876
1277.40 0.00393422
1300.52 0.00409749
1323.64 0.00500791
1335.20 0.00647288
1340.98 0.00799372
1346.76 0.0108274
1352.53 0.0169801
1355.42 0.0231652
1358.31 0.0345069
1359.76 0.0441105
1361.20 0.0588349
1362.65 0.0830823
1364.09 0.127202
1364.82 0.164357
1365.54 0.220896
1366.26 0.313378
1366.98 0.479627
1367.34 0.618246
1367.71 0.826575
1368.07 1.16151
1368.43 1.75069
1368.61 2.23083
1368.79 2.93399
1368.97 4.03649
1369.15 5.88119
1369.33 9.35751
1369.42 12.3382
1369.51 16.9642
1369.60 24.7649
1369.69 38.8286
1369.74 50.4141
1369.78 67.3545
1369.83 92.6998
1369.87 130.585
1369.94 209.277
1370.00 260.541
1370.07 207.995
1370.13 130.595
1370.21 73.6548
1370.28 45.0105
1370.36 29.7821
1370.44 20.9835
1370.51 15.5148
1370.59 11.9091
1370.75 7.62496
1370.90 5.28591
1371.05 3.87507
1371.36 2.33827
1371.67 1.56021
1371.98 1.11565
1372.28 0.836583
1372.59 0.651136
1373.21 0.426597
1373.82 0.301283
1374.44 0.224312
1375.05 0.173674
1376.28 0.113267
1377.51 0.0800326
1378.74 0.0597998
1379.97 0.0465738
1382.43 0.0308982
1384.89 0.0223189
1389.81 0.0137155
1394.73 0.00969241
1399.66 0.00748461
1409.50 0.00525229
1429.18 0.00358114
1448.86 0.00293043
1488.23 0.00235577
1527.60 0.00206227
1685.07 0.00149313
1842.53 0.00122632
2000.00 0.00109782
2295.93 0.00113686
2443.90 0.00139629
2480.89 0.00156679
2517.89 0.00195104
2536.38 0.00242705
2554.88 0.00371007
2564.13 0.00546151
2573.37 0.0103975
2578.00 0.0172404
2580.31 0.0240745
2582.62 0.0365627
2584.93 0.0632311
2586.09 0.0897152
2587.25 0.137776
2588.40 0.239236
2588.98 0.338722
2589.56 0.516658
2589.85 0.663624
2590.14 0.883639
2590.42 1.23438
2590.71 1.84384
2591.00 3.04430
2591.15 4.14035
2591.29 5.92994
2591.44 9.19039
2591.51 11.8816
2591.58 15.9039
2591.65 22.2459
2591.72 32.9089
2591.80 52.1302
2591.87 88.1857
2591.93 140.784
2592.00 175.721
