Cd-110(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 560.181
1.25000E-05 501.488
1.50000E-05 458.163
2.00000E-05 397.348
2.75000E-05 339.483
3.50000E-05 301.401
4.25000E-05 273.908
5.00000E-05 252.861
6.25000E-05 226.613
7.50000E-05 207.237
0.000100000 180.040
0.000125000 161.479
0.000150000 147.778
0.000200000 128.546
0.000275000 110.247
0.000350000 98.2031
0.000425000 89.5087
0.000500000 82.8525
0.000625000 74.5512
0.000750000 68.4233
0.00100000 59.8213
0.00125000 53.9508
0.00150000 49.6171
0.00200000 43.5335
0.00275000 37.7443
0.00350000 33.9336
0.00425000 31.1823
0.00500000 29.0756
0.00625000 26.4478
0.00750000 24.5075
0.0100000 21.7829
0.0125000 19.9226
0.0150000 18.5486
0.0200000 16.6184
0.0253000 15.2333
0.0314750 14.0830
0.0376500 13.2276
0.0500000 12.0180
0.0625000 11.1777
0.0750000 10.5556
0.100000 9.67860
0.125000 9.07658
0.150000 8.62954
0.200000 7.99664
0.237500 7.65621
0.275000 7.38566
0.350000 6.97642
0.500000 6.44192
0.750000 5.91834
1.00000 5.59053
1.50000 5.17776
2.00000 4.91402
2.75000 4.64627
3.50000 4.45907
5.00000 4.20553
7.50000 3.94973
10.0000 3.78731
12.5000 3.67023
15.0000 3.57863
20.0000 3.43639
27.5000 3.26816
35.0000 3.11346
42.5000 2.94829
50.0000 2.75287
54.9289 2.59645
59.8578 2.40665
64.7867 2.17006
69.7156 1.87066
72.1800 1.69478
74.6444 1.50765
77.1089 1.33453
79.5733 1.26522
80.8056 1.35324
81.4217 1.46364
81.7297 1.54403
81.8838 1.59208
82.0378 1.64609
82.1918 1.70670
82.3458 1.77462
82.4999 1.85062
82.6539 1.93561
82.8079 2.03060
82.9620 2.13672
83.1160 2.25527
83.2700 2.38770
83.5781 2.70116
83.8861 3.09357
84.1942 3.58673
84.5022 4.20985
84.8103 5.00276
85.1183 6.02056
85.4264 7.34130
85.7344 9.07761
86.0425 11.3970
86.3506 14.5553
86.6586 18.9592
86.9667 25.2818
87.2747 34.7007
87.5828 49.4145
87.8908 73.9018
88.1989 118.392
88.3529 155.307
88.5069 210.423
88.6610 297.422
88.8150 445.332
88.9690 724.421
89.0460 965.379
89.1231 1339.02
89.2001 1957.41
89.2771 3068.50
89.3156 3971.31
89.3541 5272.45
89.3926 7184.92
89.4311 9987.45
89.4901 16159.2
89.5490 20425.0
89.6080 16526.8
89.6669 10448.3
89.7073 7516.03
89.7476 5529.60
89.7880 4186.28
89.8284 3258.68
89.9091 2119.12
89.9898 1483.56
90.0705 1096.91
90.1513 845.324
90.3127 549.336
90.4742 388.476
90.6356 291.288
90.7971 227.958
90.9585 184.305
91.2815 129.438
91.6044 97.3596
91.9273 76.8618
92.2502 62.8948
92.8960 45.4806
93.5418 35.3264
94.1876 28.8172
94.8335 24.3544
96.1251 18.7255
97.4167 15.3834
98.7084 13.2013
100.000 11.6783
101.563 10.3648
103.125 9.41313
106.250 8.13437
109.375 7.31988
112.500 6.75811
118.750 6.03618
125.000 5.59304
131.250 5.29333
137.500 5.07678
150.000 4.78350
162.500 4.59211
175.000 4.45489
187.500 4.34847
200.000 4.25804
207.747 4.20312
211.621 4.17332
215.494 4.13929
219.367 4.09625
221.304 4.06810
223.241 4.03172
224.209 4.00867
225.178 3.98083
226.146 3.94638
227.114 3.90309
227.599 3.87767
228.083 3.85045
228.567 3.82453
229.051 3.81123
229.293 3.81990
229.535 3.85432
229.777 3.94517
230.019 4.17132
230.141 4.39636
230.262 4.77471
230.383 5.44832
230.504 6.74943
230.564 7.87799
230.625 9.61307
230.685 12.4420
230.746 17.4293
230.806 27.2621
230.821 31.2120
230.837 36.1066
230.852 42.3016
230.859 46.0559
230.867 50.2794
230.874 55.1839
230.882 60.8405
230.890 67.4041
230.897 74.9608
230.912 94.4631
230.927 122.245
230.942 163.565
230.958 226.546
230.973 326.356
230.988 485.748
231.007 790.241
231.026 1004.25
231.036 954.217
231.045 818.985
231.064 523.787
231.078 378.145
231.091 279.579
231.104 213.033
231.118 167.107
231.144 110.700
231.171 79.2868
231.197 60.0449
231.224 47.5278
231.277 32.6874
231.330 24.5583
231.383 19.6072
231.436 16.3556
231.489 14.0968
231.595 11.2273
231.702 9.52543
231.808 8.42314
231.914 7.66242
232.127 6.69744
232.339 6.12268
232.551 5.74690
232.764 5.48459
233.189 5.14600
233.613 4.93918
234.038 4.80067
234.463 4.70181
235.313 4.57036
236.163 4.48690
237.012 4.42903
237.862 4.38632
239.561 4.32692
241.261 4.28685
244.659 4.23437
248.058 4.19968
251.457 4.17371
258.254 4.13480
271.849 4.07943
285.444 4.03603
299.039 3.99730
312.634 3.95938
319.432 3.93953
326.229 3.91824
329.628 3.90690
333.027 3.89545
334.726 3.89044
336.425 3.88842
337.275 3.89183
337.700 3.89706
338.125 3.90811
338.550 3.93371
338.762 3.95987
338.975 4.00770
339.081 4.04774
339.187 4.10825
339.293 4.20569
339.399 4.37713
339.506 4.72083
339.559 5.03903
339.612 5.57249
339.665 6.56608
339.691 7.41898
339.718 8.73064
339.745 10.9027
339.771 14.7868
339.784 17.9576
339.798 22.5426
339.811 29.3091
339.824 39.1816
339.844 60.4477
339.864 74.5381
339.884 60.3353
339.904 39.1834
339.918 28.4663
339.933 21.5044
339.947 16.9343
339.962 13.8528
339.991 10.1576
340.020 8.16261
340.049 6.97089
340.078 6.21143
340.136 5.33471
340.194 4.86830
340.252 4.59245
340.310 4.41551
340.368 4.29570
340.484 4.14797
340.600 4.06398
340.716 4.01156
340.833 3.97658
341.065 3.93403
341.297 3.90987
341.761 3.88412
342.226 3.87061
342.690 3.86199
343.619 3.85056
345.477 3.83457
347.335 3.82006
351.051 3.78744
354.767 3.74385
356.625 3.71496
358.482 3.67855
360.340 3.63086
362.198 3.56536
363.127 3.52256
364.056 3.47031
364.985 3.40603
365.914 3.32826
366.379 3.28602
366.843 3.24657
367.308 3.22301
367.772 3.25502
368.004 3.32593
