Pd-110(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 17.1882
1.25000E-05 15.9713
1.50000E-05 15.0730
2.00000E-05 13.8120
2.75000E-05 12.6123
3.50000E-05 11.8227
4.25000E-05 11.2526
5.00000E-05 10.8163
6.25000E-05 10.2720
7.50000E-05 9.87029
0.000100000 9.30638
0.000125000 8.92155
0.000150000 8.63748
0.000200000 8.23873
0.000275000 7.85933
0.000350000 7.60963
0.000425000 7.42937
0.000500000 7.29137
0.000625000 7.11927
0.000750000 6.99222
0.00100000 6.81390
0.00125000 6.69220
0.00150000 6.60236
0.00200000 6.47626
0.00275000 6.35627
0.00350000 6.27730
0.00425000 6.22029
0.00500000 6.17664
0.00625000 6.12221
0.00750000 6.08202
0.0100000 6.02561
0.0125000 5.98710
0.0150000 5.95868
0.0200000 5.91877
0.0253000 5.89014
0.0314750 5.86640
0.0376500 5.84875
0.0500000 5.82384
0.0625000 5.80655
0.0750000 5.79378
0.100000 5.77581
0.125000 5.76352
0.150000 5.75441
0.200000 5.74156
0.275000 5.72921
0.350000 5.72098
0.500000 5.71027
0.750000 5.69977
1.00000 5.69313
1.50000 5.68451
2.00000 5.67865
2.75000 5.67214
3.50000 5.66702
5.00000 5.65881
7.50000 5.64799
10.0000 5.63897
15.0000 5.62379
20.0000 5.61103
27.5000 5.59487
35.0000 5.58129
42.5000 5.56963
46.2500 5.56441
48.1250 5.56198
50.0000 5.55993
50.4675 5.55972
50.9350 5.56020
51.1688 5.56137
51.4025 5.56503
51.5194 5.57009
51.6363 5.58342
51.6947 5.59995
51.7239 5.61482
51.7531 5.63898
51.7824 5.68184
51.8116 5.76794
51.8262 5.84665
51.8408 5.97440
51.8554 6.19352
51.8700 6.57873
51.8850 7.19191
51.9000 7.60088
51.9150 7.19234
51.9300 6.57924
51.9393 6.30979
51.9486 6.12117
51.9672 5.89692
51.9858 5.77983
52.0044 5.71303
52.0230 5.67183
52.0416 5.64483
52.0788 5.61292
52.1531 5.58512
52.2275 5.57371
52.3763 5.56458
52.5250 5.56101
52.8225 5.55810
53.1200 5.55681
54.3100 5.55446
56.6900 5.55146
61.4500 5.54619
66.2100 5.54143
68.5900 5.53939
69.7800 5.53905
70.0775 5.53952
70.3750 5.54127
70.5238 5.54382
70.6725 5.55075
70.7469 5.55963
70.8213 5.58148
70.8584 5.60666
70.8956 5.66056
70.9142 5.71344
70.9328 5.80608
70.9514 5.98364
70.9607 6.13301
70.9700 6.34617
70.9850 6.83172
71.0000 7.15551
71.0150 6.83196
71.0300 6.34646
71.0449 6.03641
71.0598 5.86232
71.0747 5.76169
71.0897 5.70007
71.1195 5.63301
71.1493 5.59980
