O-18(n,tot) JEFF-3.2
Energy(eV) XS(b)
2.10000E+07 1.69999
2.20000E+07 1.69741
2.25312E+07 1.69514
2.30000E+07 1.69314
2.30486E+07 1.69285
2.33738E+07 1.69094
2.40000E+07 1.68727
2.50000E+07 1.67989
2.57229E+07 1.67355
2.60000E+07 1.67112
2.62131E+07 1.66898
2.62246E+07 1.66886
2.64541E+07 1.66656
2.70000E+07 1.66107
2.70197E+07 1.66085
2.75498E+07 1.65491
2.80000E+07 1.64986
2.83325E+07 1.64577
2.90000E+07 1.63757
2.94119E+07 1.63209
3.00000E+07 1.62426
3.00000E+07 1.62445
3.10000E+07 1.61067
3.20000E+07 1.59584
3.30000E+07 1.58070
3.40000E+07 1.56470
3.50000E+07 1.54852
3.60000E+07 1.53164
3.70000E+07 1.51469
3.80000E+07 1.49719
3.90000E+07 1.47972
4.00000E+07 1.46181
4.10000E+07 1.44400
4.20000E+07 1.42588
4.30000E+07 1.40791
4.40000E+07 1.38971
4.50000E+07 1.37171
4.60000E+07 1.35357
4.70000E+07 1.33567
4.80000E+07 1.31768
4.90000E+07 1.29997
5.00000E+07 1.28222
5.10000E+07 1.26479
5.20000E+07 1.24735
5.30000E+07 1.23024
5.40000E+07 1.21318
5.50000E+07 1.19644
5.60000E+07 1.17979
5.70000E+07 1.16348
5.80000E+07 1.14721
5.90000E+07 1.13135
6.00000E+07 1.11559
6.10000E+07 1.10034
6.20000E+07 1.08521
6.30000E+07 1.07023
6.40000E+07 1.05539
6.50000E+07 1.04070
6.60000E+07 1.02663
6.70000E+07 1.01271
6.80000E+07 0.998956
6.90000E+07 0.985358
7.00000E+07 0.971920
7.10000E+07 0.959044
7.20000E+07 0.946338
7.30000E+07 0.933782
7.40000E+07 0.921406
7.50000E+07 0.909180
7.60000E+07 0.897470
7.70000E+07 0.885910
7.80000E+07 0.874640
7.90000E+07 0.863410
8.00000E+07 0.852350
8.10000E+07 0.841970
8.20000E+07 0.831640
8.30000E+07 0.821570
8.40000E+07 0.811550
8.50000E+07 0.801690
8.60000E+07 0.792090
8.70000E+07 0.782520
8.80000E+07 0.773220
8.90000E+07 0.763950
9.00000E+07 0.754820
9.10000E+07 0.746372
9.20000E+07 0.737964
9.30000E+07 0.729676
9.40000E+07 0.721648
9.50000E+07 0.713630
9.60000E+07 0.705862
9.70000E+07 0.698114
9.80000E+07 0.690486
9.90000E+07 0.683088
1.00000E+08 0.675700
1.02000E+08 0.662046
1.04000E+08 0.648852
1.06000E+08 0.635988
1.08000E+08 0.623654
1.10000E+08 0.611720
1.12000E+08 0.600578
1.14000E+08 0.589926
1.16000E+08 0.579624
1.18000E+08 0.569562
1.20000E+08 0.559940
1.22000E+08 0.551014
1.24000E+08 0.542298
1.26000E+08 0.533972
1.28000E+08 0.525926
1.30000E+08 0.518060
