77-Ir_n-tot
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
7.513690e+00 2.00725336e+01
7.593650e+00 2.00863883e+01
7.765060e+00 2.07668359e+01
7.951840e+00 2.20680197e+01
8.016430e+00 2.28045658e+01
8.130930e+00 2.46273855e+01
8.142110e+00 2.48761278e+01
8.267790e+00 2.84005011e+01
8.310030e+00 3.00308050e+01
8.393480e+00 3.44918674e+01
8.489120e+00 4.16471151e+01
8.519160e+00 4.46822740e+01
8.578670e+00 5.36845427e+01
8.644850e+00 6.63900815e+01
8.668210e+00 7.28868624e+01
8.707690e+00 8.75530637e+01
8.757760e+00 1.12546717e+02
8.770530e+00 1.20909947e+02
8.802530e+00 1.50668291e+02
8.833370e+00 1.86233143e+02
8.847310e+00 2.08248315e+02
8.864800e+00 2.41055184e+02
8.869690e+00 2.52972505e+02
8.892080e+00 3.14927068e+02
8.896220e+00 3.28522344e+02
8.914470e+00 4.07469589e+02
8.927640e+00 4.75642866e+02
8.936850e+00 5.42888593e+02
8.959060e+00 7.37903367e+02
8.959240e+00 7.40030663e+02
8.970430e+00 8.92697873e+02
8.974770e+00 9.59970112e+02
8.981630e+00 1.09061691e+03
8.990480e+00 1.28257301e+03
8.992820e+00 1.34624999e+03
9.004010e+00 1.69278994e+03
9.006190e+00 1.77180560e+03
9.015210e+00 2.17253037e+03
9.021900e+00 2.51720977e+03
9.026400e+00 2.79861020e+03
9.044950e+00 4.14974998e+03
9.047200e+00 4.28740348e+03
9.068000e+00 5.31558128e+03
9.078400e+00 4.92882725e+03
9.088800e+00 4.33055238e+03
9.091050e+00 4.19556959e+03
9.109600e+00 2.85429262e+03
9.114100e+00 2.59025762e+03
9.127940e+00 1.91903325e+03
9.132680e+00 1.72447953e+03
9.141790e+00 1.44867996e+03
9.155750e+00 1.12620070e+03
9.169470e+00 8.83650621e+02
9.178830e+00 7.66456147e+02
9.197150e+00 5.86748808e+02
9.201900e+00 5.51885973e+02
9.224840e+00 4.16818341e+02
9.224980e+00 4.16172768e+02
9.248050e+00 3.28924175e+02
9.252520e+00 3.14999902e+02
9.280210e+00 2.48560254e+02
9.294200e+00 2.22855835e+02
9.335580e+00 1.65547291e+02
9.340350e+00 1.60726058e+02
9.386500e+00 1.24302817e+02
9.390940e+00 1.21507978e+02
9.446310e+00 9.65758117e+01
9.478800e+00 8.59784784e+01
9.557050e+00 6.90303925e+01
9.571100e+00 6.70317196e+01
9.663400e+00 6.19613201e+01
9.667790e+00 6.22196401e+01
9.709550e+00 6.60340896e+01
9.755700e+00 7.89561345e+01
9.778530e+00 9.23544173e+01
9.778780e+00 9.25052472e+01
9.801850e+00 1.16234073e+02
9.824930e+00 1.58501089e+02
9.848000e+00 2.35278348e+02
9.871000e+00 3.55895539e+02
9.889260e+00 4.20306233e+02
9.894000e+00 4.37069935e+02
9.917000e+00 3.56703494e+02
9.940000e+00 2.35047817e+02
9.955000e+00 1.79002971e+02
9.970000e+00 1.40350741e+02
1.000000e+01 9.51231638e+01
1.002060e+01 7.77923482e+01
1.004130e+01 6.63047888e+01
1.008250e+01 5.27676395e+01
1.012380e+01 4.58016187e+01
1.015630e+01 4.31688808e+01
1.016500e+01 4.25017447e+01
1.020630e+01 4.21772430e+01
1.024750e+01 4.53430418e+01
1.028880e+01 5.49179601e+01
1.030940e+01 6.43013526e+01
1.031250e+01 6.64761816e+01
1.033000e+01 7.88119159e+01
1.036000e+01 1.09771487e+02
1.039000e+01 1.30501906e+02
1.042000e+01 1.09121371e+02
1.045000e+01 7.68596802e+01
1.048410e+01 5.37728539e+01
1.051820e+01 4.14924718e+01
1.055230e+01 3.45719132e+01
1.058650e+01 3.03172310e+01
1.062500e+01 2.75835871e+01
1.065470e+01 2.55403729e+01
1.072290e+01 2.29968037e+01
1.085940e+01 2.02166010e+01
1.093750e+01 1.92894311e+01
1.099580e+01 1.86593492e+01
1.125000e+01 1.69849933e+01
1.126870e+01 1.68758550e+01
1.154160e+01 1.58665083e+01
1.187500e+01 1.50109141e+01
1.208740e+01 1.45641748e+01
1.250000e+01 1.39509480e+01
1.263320e+01 1.37885709e+01
1.372480e+01 1.28371247e+01
1.375000e+01 1.28201330e+01
1.481640e+01 1.22525716e+01
1.500000e+01 1.21734538e+01
1.590790e+01 1.18474536e+01
1.645370e+01 1.16916543e+01
1.699950e+01 1.15824053e+01
1.750000e+01 1.15812107e+01
1.754530e+01 1.15825557e+01
1.781820e+01 1.16906409e+01
1.809110e+01 1.19650094e+01
1.836400e+01 1.26575856e+01
1.850050e+01 1.33901641e+01
1.863690e+01 1.47496205e+01
1.875000e+01 1.71338472e+01
1.877340e+01 1.76276390e+01
1.884160e+01 2.04116596e+01
1.890980e+01 2.52642636e+01
1.897800e+01 3.47929447e+01
1.901220e+01 4.33781361e+01
1.904630e+01 5.73102572e+01
1.908040e+01 8.19327448e+01
1.909740e+01 1.01871658e+02
1.911450e+01 1.30903180e+02
1.912300e+01 1.50567840e+02
1.913150e+01 1.75097165e+02
1.914010e+01 2.06082362e+02
1.914860e+01 2.45673427e+02
1.915710e+01 2.96994969e+02
1.916570e+01 3.64094399e+02
1.917420e+01 4.52138164e+02
1.918270e+01 5.66457915e+02
1.919200e+01 7.24978069e+02
1.920140e+01 9.07034511e+02
1.922000e+01 1.14067948e+03
1.922930e+01 1.07903638e+03
1.923870e+01 9.23214506e+02
1.925730e+01 5.86762544e+02
1.926890e+01 4.37113552e+02
1.928050e+01 3.32120120e+02
1.930370e+01 2.06737863e+02
1.932690e+01 1.41025161e+02
1.935010e+01 1.03370265e+02
1.937340e+01 8.00788419e+01
1.939660e+01 6.47685113e+01
1.944300e+01 4.66455881e+01
1.948940e+01 3.68320232e+01
1.953580e+01 3.10185476e+01
1.962870e+01 2.50927402e+01
1.972150e+01 2.29722535e+01
1.981430e+01 2.33655630e+01
1.990720e+01 2.70530473e+01
1.995360e+01 3.12904297e+01
2.000000e+01 3.89516164e+01
2.004190e+01 5.19729901e+01
2.008380e+01 7.86942434e+01
